Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
21/05/2025 3:05:36 PM,0,34.0,31.5,,34.0,3.0,99.2,31.2,34.0,34.0,35.3,,34.0,3.0,99.2,31.2,34.0,34.0,15.6,,34.0,3.0,99.2,31.2,34.0,34.0,30.6,,34.0,34.0,28.6,,34.0,34.0,39.6,,34.0,34.0,37.7,,34.0,34.0,34.1,,34.0,34.0,36.2,,34.0,34.0,41.5,,34.0,34.0,43.2,,34.0,34.0,15.6,,34.0,34.0,33.2,,34.0,34.0,11.4,,34.0,34.0,50.4,,34.0,34.0,40.9,,34.0,34.0,41.0,,34.0,34.0,40.6,,34.0,34.0,37.6,,34.0,34.0,26.8,,34.0,34.0,27.2,,34.0,34.0,16.6,,34.0,34.0,18.1,,34.0,34.0,23.1,,34.0,34.0,23.6,,34.0,0.3,
21/05/2025 3:06:36 PM,60,34.0,31.6,,34.0,3.0,99.2,31.2,34.0,34.0,35.3,,34.0,3.0,99.2,31.2,34.0,34.0,14.9,,34.0,3.0,99.2,31.2,34.0,34.0,32.2,,34.0,34.0,28.1,,34.0,34.0,39.5,,34.0,34.0,37.4,,34.0,34.0,34.1,,34.0,34.0,35.0,,34.0,34.0,41.2,,34.0,34.0,42.5,,34.0,34.0,14.9,,34.0,34.0,31.4,,34.0,34.0,11.9,,34.0,34.0,50.1,,34.0,34.0,46.5,,34.0,34.0,42.4,,34.0,34.0,45.1,,34.0,34.0,38.0,,34.0,34.0,25.3,,34.0,34.0,29.0,,34.0,34.0,16.9,,34.0,34.0,19.0,,34.0,34.0,22.3,,34.0,34.0,24.1,,34.0,0.2,
21/05/2025 3:07:36 PM,120,34.0,35.0,,34.0,3.0,99.2,31.2,34.0,34.0,36.3,,34.0,3.0,99.2,31.2,34.0,34.0,20.2,,34.0,3.0,99.2,31.2,34.0,34.0,30.7,,34.0,34.0,28.6,,34.0,34.0,41.0,,34.0,34.0,40.3,,34.0,34.0,34.1,,34.0,34.0,39.7,,34.0,34.0,39.5,,34.0,34.0,42.2,,34.0,34.0,20.2,,34.0,34.0,34.4,,34.0,34.0,9.2,,34.0,34.0,42.9,,34.0,34.0,70.7,,34.0,34.0,41.6,,34.0,34.0,77.5,,34.0,34.0,42.7,,34.0,34.0,34.8,,34.0,34.0,36.5,,34.0,34.0,20.8,,34.0,34.0,23.2,,34.0,34.0,23.5,,34.0,34.0,24.1,,34.0,1.9,
21/05/2025 3:08:36 PM,180,34.0,36.1,,34.0,3.0,99.2,31.2,34.0,34.0,39.2,,34.0,3.0,99.2,31.2,34.0,34.0,22.9,,34.0,3.0,99.2,31.2,34.0,34.0,31.9,,34.0,34.0,28.8,,34.0,34.0,44.7,,34.0,34.0,42.9,,34.0,34.0,38.6,,34.0,34.0,40.6,,34.0,34.0,40.5,,34.0,34.0,44.0,,34.0,34.0,22.9,,34.0,34.0,33.4,,34.0,34.0,9.2,,34.0,34.0,41.4,,34.0,34.0,70.8,,34.0,34.0,40.4,,34.0,34.0,76.3,,34.0,34.0,45.8,,34.0,34.0,34.2,,34.0,34.0,37.7,,34.0,34.0,22.0,,34.0,34.0,24.0,,34.0,34.0,25.1,,34.0,34.0,23.3,,34.0,0.7,
21/05/2025 3:09:36 PM,240,34.0,36.2,1.600,34.0,3.0,99.2,31.2,34.0,34.0,38.9,1.435,34.0,3.0,99.2,31.2,34.0,34.0,22.4,2.905,34.0,3.0,99.2,31.2,34.0,34.0,31.1,1.959,34.0,34.0,27.9,2.229,34.0,34.0,43.4,1.208,34.0,34.0,43.2,1.241,34.0,34.0,39.6,1.409,34.0,34.0,40.0,1.367,34.0,34.0,41.1,1.343,34.0,34.0,42.5,1.241,34.0,34.0,22.4,2.905,34.0,34.0,34.1,1.747,34.0,34.0,9.0,8.605,34.0,34.0,43.1,1.275,34.0,34.0,71.0,0.465,34.0,34.0,39.5,1.357,34.0,34.0,78.8,0.357,34.0,34.0,48.0,1.049,34.0,34.0,33.2,1.801,34.0,34.0,38.3,1.517,34.0,34.0,22.6,3.059,34.0,34.0,25.6,2.581,34.0,34.0,24.2,2.587,34.0,34.0,24.3,2.808,34.0,0.1,
21/05/2025 3:10:36 PM,300,34.0,36.5,1.596,34.0,3.0,99.2,31.2,34.0,34.0,38.6,1.463,34.0,3.0,99.2,31.2,34.0,34.0,25.8,2.649,34.0,3.0,99.2,31.2,34.0,34.0,30.9,1.951,34.0,34.0,27.9,2.275,34.0,34.0,42.4,1.254,34.0,34.0,42.7,1.297,34.0,34.0,40.1,1.384,34.0,34.0,40.4,1.347,34.0,34.0,40.5,1.359,34.0,34.0,42.5,1.295,34.0,34.0,25.8,2.649,34.0,34.0,33.4,1.858,34.0,34.0,8.8,8.569,34.0,34.0,42.6,1.302,34.0,34.0,74.3,0.415,34.0,34.0,43.1,1.252,34.0,34.0,80.2,0.330,34.0,34.0,47.1,1.040,34.0,34.0,35.5,1.662,34.0,34.0,38.3,1.496,34.0,34.0,23.0,3.060,34.0,34.0,25.1,2.601,34.0,34.0,26.2,2.589,34.0,34.0,24.1,2.808,34.0,0.1,
21/05/2025 3:11:36 PM,360,34.0,36.7,,34.0,3.0,99.2,31.2,34.0,34.0,38.9,,34.0,3.0,99.2,31.2,34.0,34.0,23.8,,34.0,3.0,99.2,31.2,34.0,34.0,31.0,,34.0,34.0,28.5,,34.0,34.0,43.2,,34.0,34.0,42.5,,34.0,34.0,40.1,,34.0,34.0,41.1,,34.0,34.0,41.2,,34.0,34.0,42.7,,34.0,34.0,23.8,,34.0,34.0,36.1,,34.0,34.0,9.7,,34.0,34.0,42.5,,34.0,34.0,70.1,,34.0,34.0,43.2,,34.0,34.0,78.9,,34.0,34.0,47.4,,34.0,34.0,35.5,,34.0,34.0,37.7,,34.0,34.0,23.3,,34.0,34.0,26.6,,34.0,34.0,25.6,,34.0,34.0,23.7,,34.0,0.2,
21/05/2025 3:12:36 PM,420,34.0,36.7,1.563,34.0,3.0,99.2,31.2,34.0,34.0,39.4,1.426,34.0,3.0,99.2,31.2,34.0,34.0,24.4,2.512,34.0,3.0,99.2,31.2,34.0,34.0,30.9,1.898,34.0,34.0,29.8,2.169,34.0,34.0,43.3,1.223,34.0,34.0,43.7,1.247,34.0,34.0,40.1,1.380,34.0,34.0,40.7,1.319,34.0,34.0,40.3,1.370,34.0,34.0,41.9,1.290,34.0,34.0,24.4,2.512,34.0,34.0,34.2,1.708,34.0,34.0,8.8,8.650,34.0,34.0,42.0,1.261,34.0,34.0,73.0,0.431,34.0,34.0,42.1,1.267,34.0,34.0,80.5,0.315,34.0,34.0,50.3,1.007,34.0,34.0,34.7,1.690,34.0,34.0,37.4,1.514,34.0,34.0,23.1,2.897,34.0,34.0,26.8,2.457,34.0,34.0,25.7,2.570,34.0,34.0,23.7,2.717,34.0,0.1,
21/05/2025 3:13:36 PM,480,34.0,36.9,,34.0,3.0,99.2,31.2,34.0,34.0,39.5,,34.0,3.0,99.2,31.2,34.0,34.0,26.0,,34.0,3.0,99.2,31.2,34.0,34.0,32.8,,34.0,34.0,29.7,,34.0,34.0,43.7,,34.0,34.0,42.9,,34.0,34.0,40.1,,34.0,34.0,40.8,,34.0,34.0,41.0,,34.0,34.0,42.0,,34.0,34.0,26.0,,34.0,34.0,33.3,,34.0,34.0,9.8,,34.0,34.0,42.1,,34.0,34.0,70.3,,34.0,34.0,42.9,,34.0,34.0,82.7,,34.0,34.0,48.0,,34.0,34.0,36.3,,34.0,34.0,38.6,,34.0,34.0,23.3,,34.0,34.0,26.0,,34.0,34.0,25.2,,34.0,34.0,24.6,,34.0,0.2,
