Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
21/05/2025 5:57:46 PM,0,34.0,33.2,,34.0,3.0,99.2,31.2,34.0,34.0,36.6,,34.0,3.0,99.2,31.2,34.0,34.0,19.5,,34.0,3.0,99.2,31.2,34.0,34.0,31.7,,34.0,34.0,30.2,,34.0,34.0,39.9,,34.0,34.0,40.0,,34.0,34.0,35.4,,34.0,34.0,36.9,,34.0,34.0,43.9,,34.0,34.0,46.1,,34.0,34.0,19.5,,34.0,34.0,34.9,,34.0,34.0,14.6,,34.0,34.0,42.6,,34.0,34.0,47.0,,34.0,34.0,50.5,,34.0,34.0,40.0,,34.0,34.0,43.8,,34.0,34.0,29.0,,34.0,34.0,30.8,,34.0,34.0,16.4,,34.0,34.0,16.3,,34.0,34.0,24.8,,34.0,34.0,25.8,,34.0,0.3,
21/05/2025 5:58:46 PM,60,34.0,32.8,,34.0,3.0,99.2,31.2,34.0,34.0,37.5,,34.0,3.0,99.2,31.2,34.0,34.0,19.5,,34.0,3.0,99.2,31.2,34.0,34.0,31.3,,34.0,34.0,29.6,,34.0,34.0,41.4,,34.0,34.0,42.3,,34.0,34.0,35.5,,34.0,34.0,36.3,,34.0,34.0,42.6,,34.0,34.0,45.1,,34.0,34.0,19.5,,34.0,34.0,34.0,,34.0,34.0,14.3,,34.0,34.0,36.7,,34.0,34.0,47.8,,34.0,34.0,45.8,,34.0,34.0,40.5,,34.0,34.0,42.5,,34.0,34.0,28.6,,34.0,34.0,30.1,,34.0,34.0,16.2,,34.0,34.0,17.0,,34.0,34.0,24.0,,34.0,34.0,24.2,,34.0,0.2,
21/05/2025 5:59:46 PM,120,34.0,32.5,,34.0,3.0,99.2,31.2,34.0,34.0,37.4,,34.0,3.0,99.2,31.2,34.0,34.0,20.3,,34.0,3.0,99.2,31.2,34.0,34.0,31.6,,34.0,34.0,28.6,,34.0,34.0,41.6,,34.0,34.0,41.6,,34.0,34.0,36.0,,34.0,34.0,37.0,,34.0,34.0,42.7,,34.0,34.0,44.5,,34.0,34.0,20.3,,34.0,34.0,33.6,,34.0,34.0,13.1,,34.0,34.0,33.2,,34.0,34.0,48.9,,34.0,34.0,45.3,,34.0,34.0,41.2,,34.0,34.0,41.3,,34.0,34.0,29.9,,34.0,34.0,30.1,,34.0,34.0,16.3,,34.0,34.0,15.1,,34.0,34.0,22.6,,34.0,34.0,25.5,,34.0,0.2,
21/05/2025 6:00:46 PM,180,34.0,33.6,1.807,34.0,3.0,99.2,31.2,34.0,34.0,39.0,1.459,34.0,3.0,99.2,31.2,34.0,34.0,19.7,3.520,34.0,3.0,99.2,31.2,34.0,34.0,32.4,1.915,34.0,34.0,28.3,2.206,34.0,34.0,44.1,1.225,34.0,34.0,45.1,1.181,34.0,34.0,36.1,1.601,34.0,34.0,37.3,1.534,34.0,34.0,44.5,1.206,34.0,34.0,44.4,1.167,34.0,34.0,19.7,3.520,34.0,34.0,36.5,1.677,34.0,34.0,13.6,5.405,34.0,34.0,40.3,1.429,34.0,34.0,47.3,1.057,34.0,34.0,48.3,1.087,34.0,34.0,41.4,1.324,34.0,34.0,40.6,1.324,34.0,34.0,29.1,2.199,34.0,34.0,30.9,2.060,34.0,34.0,15.7,4.525,34.0,34.0,16.3,4.343,34.0,34.0,25.1,2.715,34.0,34.0,23.8,2.717,34.0,0.1,
21/05/2025 6:01:46 PM,240,34.0,33.6,,34.0,3.0,99.2,31.2,34.0,34.0,39.4,,34.0,3.0,99.2,31.2,34.0,34.0,18.6,,34.0,3.0,99.2,31.2,34.0,34.0,32.2,,34.0,34.0,27.9,,34.0,34.0,45.4,,34.0,34.0,45.6,,34.0,34.0,36.2,,34.0,34.0,38.1,,34.0,34.0,45.1,,34.0,34.0,45.6,,34.0,34.0,18.6,,34.0,34.0,33.8,,34.0,34.0,13.8,,34.0,34.0,39.8,,34.0,34.0,49.6,,34.0,34.0,46.8,,34.0,34.0,40.8,,34.0,34.0,41.8,,34.0,34.0,28.0,,34.0,34.0,32.0,,34.0,34.0,16.7,,34.0,34.0,15.5,,34.0,34.0,23.1,,34.0,34.0,25.8,,34.0,0.6,
21/05/2025 6:02:46 PM,300,34.0,33.8,,34.0,3.0,99.2,31.2,34.0,34.0,39.9,,34.0,3.0,99.2,31.2,34.0,34.0,19.8,,34.0,3.0,99.2,31.2,34.0,34.0,32.9,,34.0,34.0,29.2,,34.0,34.0,46.0,,34.0,34.0,45.8,,34.0,34.0,36.2,,34.0,34.0,37.3,,34.0,34.0,43.9,,34.0,34.0,46.1,,34.0,34.0,19.8,,34.0,34.0,35.2,,34.0,34.0,13.3,,34.0,34.0,35.4,,34.0,34.0,48.4,,34.0,34.0,45.3,,34.0,34.0,41.1,,34.0,34.0,42.6,,34.0,34.0,29.7,,34.0,34.0,30.6,,34.0,34.0,16.6,,34.0,34.0,17.4,,34.0,34.0,24.8,,34.0,34.0,26.1,,34.0,0.3,
21/05/2025 6:03:46 PM,360,34.0,34.0,,34.0,3.0,99.2,31.2,34.0,34.0,39.6,,34.0,3.0,99.2,31.2,34.0,34.0,19.8,,34.0,3.0,99.2,31.2,34.0,34.0,33.6,,34.0,34.0,29.4,,34.0,34.0,46.1,,34.0,34.0,44.1,,34.0,34.0,36.3,,34.0,34.0,38.6,,34.0,34.0,44.1,,34.0,34.0,47.2,,34.0,34.0,19.8,,34.0,34.0,37.4,,34.0,34.0,13.3,,34.0,34.0,34.1,,34.0,34.0,51.8,,34.0,34.0,46.5,,34.0,34.0,41.1,,34.0,34.0,42.3,,34.0,34.0,29.5,,34.0,34.0,30.8,,34.0,34.0,15.9,,34.0,34.0,16.5,,34.0,34.0,24.4,,34.0,34.0,25.2,,34.0,0.2,
21/05/2025 6:04:46 PM,420,34.0,34.0,1.740,34.0,3.0,99.2,31.2,34.0,34.0,39.8,1.381,34.0,3.0,99.2,31.2,34.0,34.0,19.2,3.740,34.0,3.0,99.2,31.2,34.0,34.0,31.3,1.917,34.0,34.0,30.2,2.073,34.0,34.0,47.5,1.078,34.0,34.0,44.4,1.125,34.0,34.0,36.3,1.598,34.0,34.0,37.7,1.487,34.0,34.0,44.4,1.131,34.0,34.0,46.9,1.113,34.0,34.0,19.2,3.740,34.0,34.0,34.3,1.602,34.0,34.0,14.3,5.304,34.0,34.0,38.0,1.414,34.0,34.0,45.8,1.082,34.0,34.0,47.5,1.049,34.0,34.0,41.4,1.367,34.0,34.0,43.2,1.234,34.0,34.0,28.7,2.169,34.0,34.0,31.7,1.965,34.0,34.0,16.6,4.266,34.0,34.0,17.7,4.204,34.0,34.0,24.3,2.784,34.0,34.0,27.6,2.383,34.0,0.0,
21/05/2025 6:05:46 PM,480,34.0,34.2,1.753,34.0,3.0,99.2,31.2,34.0,34.0,40.1,1.394,34.0,3.0,99.2,31.2,34.0,34.0,21.2,3.469,34.0,3.0,99.2,31.2,34.0,34.0,32.7,1.832,34.0,34.0,29.5,2.170,34.0,34.0,47.7,1.083,34.0,34.0,44.2,1.171,34.0,34.0,37.0,1.579,34.0,34.0,38.6,1.472,34.0,34.0,45.9,1.122,34.0,34.0,47.3,1.084,34.0,34.0,21.2,3.469,34.0,34.0,35.4,1.705,34.0,34.0,14.2,5.337,34.0,34.0,37.2,1.512,34.0,34.0,47.8,1.068,34.0,34.0,44.9,1.141,34.0,34.0,40.2,1.398,34.0,34.0,42.0,1.270,34.0,34.0,28.8,2.145,34.0,34.0,31.9,1.955,34.0,34.0,16.9,4.386,34.0,34.0,18.6,3.998,34.0,34.0,23.2,2.644,34.0,34.0,25.7,2.496,34.0,0.1,
