Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
22/05/2025 9:36:17 AM,0,28.1,31.0,,28.1,-0.4,8.4,23.9,28.1,27.7,58.9,,27.7,-0.7,14.0,23.5,27.7,27.9,0.0,,27.9,-0.5,10.9,23.7,27.9,27.6,81.3,,27.6,27.8,82.4,,27.8,27.6,65.2,,27.6,27.6,52.1,,27.6,27.8,34.7,,27.8,27.7,22.6,,27.7,27.7,11.6,,27.7,27.5,11.4,,27.5,27.9,0.0,,27.9,27.7,0.0,,27.7,28.5,0.0,,28.5,28.3,0.0,,28.3,30.0,0.0,,30.0,29.6,0.0,,29.6,28.4,0.0,,28.4,28.4,0.0,,28.4,28.4,0.0,,28.4,28.3,0.0,,28.3,28.4,0.0,,28.4,28.5,112.1,,28.5,28.4,105.3,,28.4,28.4,94.7,,28.4,,
22/05/2025 9:37:15 AM,60,30.7,219.7,,30.6,1.0,26.2,26.9,30.6,30.6,247.4,,30.5,1.0,24.5,26.8,30.5,30.0,207.4,,29.9,0.6,12.9,26.1,29.9,30.7,260.2,,30.5,31.0,263.4,,30.8,30.7,252.0,,30.6,30.6,251.3,,30.5,30.4,222.7,,30.2,30.2,218.1,,30.1,30.2,223.0,,30.1,30.0,219.0,,29.8,30.0,207.4,,29.9,30.0,215.0,,29.9,31.0,207.4,,30.9,31.0,193.7,,30.8,32.8,201.0,,32.6,32.4,212.2,,32.3,31.9,253.2,,31.7,32.0,252.7,,31.8,31.4,225.9,,31.2,30.8,209.6,,30.7,30.5,187.4,,30.4,30.4,185.2,,30.3,30.3,189.6,,30.2,30.3,187.5,,30.1,30.6,
22/05/2025 9:38:15 AM,120,32.2,218.0,,32.1,1.9,72.1,28.8,32.1,32.5,245.0,,32.3,2.0,78.6,29.1,32.3,31.1,206.3,,31.0,1.3,37.9,27.4,31.0,32.7,257.4,,32.5,33.0,260.7,,32.9,32.8,249.3,,32.6,32.5,248.7,,32.4,31.7,221.1,,31.6,31.5,216.6,,31.4,31.5,221.5,,31.4,31.2,217.6,,31.1,31.1,206.3,,31.0,31.3,213.5,,31.2,32.5,206.1,,32.3,32.5,192.4,,32.4,33.9,199.9,,33.8,33.6,210.9,,33.5,34.3,250.2,,34.1,34.2,250.1,,34.1,33.4,223.6,,33.2,32.4,207.8,,32.3,31.8,186.2,,31.7,31.7,184.1,,31.6,31.5,188.4,,31.4,31.4,186.4,,31.3,0.9,
22/05/2025 9:39:15 AM,180,33.4,192.6,,33.3,2.6,95.4,30.3,33.3,34.1,232.8,,34.0,3.0,99.1,31.1,34.0,32.0,205.7,,31.9,1.8,67.0,28.6,31.9,34.5,255.9,,34.4,34.7,171.4,,34.7,34.5,247.4,,34.3,34.2,248.3,,34.0,33.0,220.4,,32.9,32.7,216.0,,32.6,32.6,221.0,,32.5,32.4,217.0,,32.3,32.0,205.7,,31.9,32.4,212.9,,32.3,33.8,204.9,,33.7,33.8,191.3,,33.7,34.6,175.8,,34.6,34.4,210.0,,34.4,34.1,36.0,,34.2,34.1,50.2,,34.2,34.5,53.2,,34.6,33.8,206.9,,33.7,33.0,185.7,,32.9,32.8,183.3,,32.7,32.5,187.9,,32.4,32.4,185.9,,32.3,12.2,
22/05/2025 9:40:15 AM,240,33.9,134.8,,33.8,2.9,98.8,31.0,33.8,34.1,94.1,,34.1,3.1,99.4,31.3,34.1,32.9,205.9,,32.8,2.3,88.8,29.7,32.8,34.1,49.1,,34.1,34.0,43.7,,34.1,34.1,57.6,,34.1,34.2,61.0,,34.2,34.1,220.2,,34.0,33.7,215.9,,33.7,33.6,221.2,,33.6,33.4,217.0,,33.3,32.9,205.9,,32.8,33.4,213.0,,33.3,34.4,66.9,,34.5,34.4,84.4,,34.5,34.0,90.8,,34.1,34.1,93.3,,34.1,34.0,45.2,,34.0,34.0,50.5,,34.0,34.0,43.6,,34.0,34.4,50.6,,34.5,34.0,185.5,,33.9,33.8,183.3,,33.7,33.5,187.7,,33.4,33.3,185.9,,33.3,30.7,
22/05/2025 9:41:15 AM,300,34.2,112.0,,34.2,3.1,99.5,31.4,34.2,34.1,67.8,,34.1,3.1,99.4,31.3,34.1,33.7,205.5,,33.6,2.8,97.8,30.7,33.6,34.0,51.5,,34.0,34.0,41.1,,34.0,34.0,73.1,,34.0,34.0,75.1,,34.0,34.2,77.0,,34.3,34.6,175.7,,34.6,34.5,221.5,,34.5,34.3,216.9,,34.3,33.7,205.5,,33.6,34.3,212.6,,34.2,34.0,20.8,,34.0,34.0,46.1,,34.0,34.0,88.5,,34.0,34.0,89.1,,34.0,34.0,46.8,,34.0,34.0,51.2,,34.0,34.0,46.0,,34.0,34.0,43.0,,34.0,34.4,48.2,,34.4,34.5,100.9,,34.6,34.4,187.4,,34.3,34.1,185.5,,34.1,6.9,
22/05/2025 9:42:15 AM,360,34.1,63.4,,34.1,3.1,99.4,31.2,34.1,34.0,65.9,,34.0,3.0,99.2,31.2,34.0,34.4,205.8,,34.4,3.3,99.8,31.6,34.4,34.0,51.2,,34.0,34.0,45.6,,34.0,34.0,72.1,,34.0,34.0,71.4,,34.0,34.0,72.1,,34.0,34.0,68.9,,34.1,34.1,87.5,,34.1,34.1,82.6,,34.2,34.4,205.8,,34.4,34.2,76.6,,34.2,34.0,27.8,,34.0,34.0,45.1,,34.0,34.0,78.0,,34.0,34.0,78.7,,34.0,34.0,46.6,,34.0,34.0,48.3,,34.0,34.0,45.7,,34.0,34.0,46.3,,34.0,34.0,33.3,,34.0,34.0,25.6,,34.0,34.1,37.5,,34.2,34.2,49.6,,34.3,30.4,
22/05/2025 9:43:15 AM,420,34.0,59.5,,34.0,3.0,99.2,31.2,34.0,34.0,62.6,,34.0,3.0,99.2,31.2,34.0,34.1,76.9,,34.1,3.1,99.4,31.3,34.1,34.0,49.1,,34.0,34.0,42.9,,34.0,34.0,69.1,,34.0,34.0,66.0,,34.0,34.0,69.8,,34.0,34.0,73.4,,34.0,34.0,87.4,,34.0,34.0,85.2,,34.0,34.1,76.9,,34.1,34.0,81.3,,34.0,34.0,25.4,,34.0,34.0,46.2,,34.0,34.0,72.8,,34.0,34.0,73.5,,34.0,34.0,45.9,,34.0,34.0,49.3,,34.0,34.0,42.6,,34.0,34.0,46.6,,34.0,34.0,38.5,,34.0,34.0,38.7,,34.0,34.0,46.8,,34.0,34.0,49.1,,34.0,2.6,
22/05/2025 9:44:15 AM,480,34.0,56.9,,34.0,3.0,99.2,31.2,34.0,34.0,58.7,,34.0,3.0,99.2,31.2,34.0,34.0,75.3,,34.0,3.0,99.2,31.2,34.0,34.0,45.7,,34.0,34.0,41.2,,34.0,34.0,63.4,,34.0,34.0,62.5,,34.0,34.0,65.8,,34.0,34.0,67.8,,34.0,34.0,80.1,,34.0,34.0,82.8,,34.0,34.0,75.3,,34.0,34.0,80.3,,34.0,34.0,24.0,,34.0,34.0,44.1,,34.0,34.0,70.7,,34.0,34.0,67.2,,34.0,34.0,46.0,,34.0,34.0,46.7,,34.0,34.0,41.6,,34.0,34.0,44.9,,34.0,34.0,35.7,,34.0,34.0,38.2,,34.0,34.0,47.1,,34.0,34.0,50.5,,34.0,1.4,
