Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
22/05/2025 2:52:30 PM,0,34.0,35.5,,34.0,3.0,99.2,31.2,34.0,34.0,40.8,,34.0,3.0,99.2,31.2,34.0,34.0,20.7,,34.0,3.0,99.2,31.2,34.0,34.0,31.0,,34.0,34.0,29.0,,34.0,34.0,47.9,,34.0,34.0,47.2,,34.0,34.0,37.7,,34.0,34.0,39.5,,34.0,34.0,44.4,,34.0,34.0,48.7,,34.0,34.0,20.7,,34.0,34.0,39.3,,34.0,34.0,13.7,,34.0,34.0,40.9,,34.0,34.0,53.0,,34.0,34.0,48.9,,34.0,34.0,41.9,,34.0,34.0,41.3,,34.0,34.0,32.5,,34.0,34.0,31.5,,34.0,34.0,18.1,,34.0,34.0,18.1,,34.0,34.0,27.7,,34.0,34.0,27.5,,34.0,0.2,
22/05/2025 2:53:30 PM,60,34.0,35.4,,34.0,3.0,99.2,31.2,34.0,34.0,39.6,,34.0,3.0,99.2,31.2,34.0,34.0,19.6,,34.0,3.0,99.2,31.2,34.0,34.0,31.4,,34.0,34.0,29.6,,34.0,34.0,44.6,,34.0,34.0,45.1,,34.0,34.0,37.7,,34.0,34.0,37.6,,34.0,34.0,44.4,,34.0,34.0,48.8,,34.0,34.0,19.6,,34.0,34.0,38.1,,34.0,34.0,16.8,,34.0,34.0,50.0,,34.0,34.0,54.1,,34.0,34.0,49.0,,34.0,34.0,41.8,,34.0,34.0,42.5,,34.0,34.0,31.2,,34.0,34.0,31.6,,34.0,34.0,16.7,,34.0,34.0,18.9,,34.0,34.0,27.9,,34.0,34.0,26.4,,34.0,0.2,
22/05/2025 2:54:30 PM,120,34.0,35.2,,34.0,3.0,99.2,31.2,34.0,34.0,39.8,,34.0,3.0,99.2,31.2,34.0,34.0,19.4,,34.0,3.0,99.2,31.2,34.0,34.0,31.6,,34.0,34.0,29.0,,34.0,34.0,46.1,,34.0,34.0,44.6,,34.0,34.0,37.7,,34.0,34.0,37.7,,34.0,34.0,43.6,,34.0,34.0,48.1,,34.0,34.0,19.4,,34.0,34.0,36.7,,34.0,34.0,17.5,,34.0,34.0,54.9,,34.0,34.0,52.2,,34.0,34.0,44.3,,34.0,34.0,43.7,,34.0,34.0,40.2,,34.0,34.0,31.7,,34.0,34.0,31.9,,34.0,34.0,17.8,,34.0,34.0,17.0,,34.0,34.0,25.8,,34.0,34.0,26.3,,34.0,0.1,
22/05/2025 2:55:30 PM,180,34.0,35.3,,34.0,3.0,99.2,31.2,34.0,34.0,39.1,,34.0,3.0,99.2,31.2,34.0,34.0,19.8,,34.0,3.0,99.2,31.2,34.0,34.0,31.0,,34.0,34.0,28.4,,34.0,34.0,45.9,,34.0,34.0,42.7,,34.0,34.0,37.7,,34.0,34.0,37.9,,34.0,34.0,44.8,,34.0,34.0,46.5,,34.0,34.0,19.8,,34.0,34.0,37.0,,34.0,34.0,19.1,,34.0,34.0,58.3,,34.0,34.0,51.1,,34.0,34.0,45.6,,34.0,34.0,43.2,,34.0,34.0,42.7,,34.0,34.0,31.3,,34.0,34.0,31.4,,34.0,34.0,17.4,,34.0,34.0,17.0,,34.0,34.0,27.5,,34.0,34.0,26.1,,34.0,0.1,
22/05/2025 2:56:30 PM,240,34.0,35.6,1.655,34.0,3.0,99.2,31.2,34.0,34.0,40.7,1.366,34.0,3.0,99.2,31.2,34.0,34.0,19.8,3.448,34.0,3.0,99.2,31.2,34.0,34.0,32.8,1.862,34.0,34.0,29.6,2.104,34.0,34.0,47.7,1.089,34.0,34.0,45.9,1.123,34.0,34.0,37.7,1.516,34.0,34.0,37.4,1.491,34.0,34.0,43.7,1.183,34.0,34.0,47.8,1.049,34.0,34.0,19.8,3.448,34.0,34.0,37.3,1.555,34.0,34.0,18.8,3.874,34.0,34.0,52.5,0.887,34.0,34.0,47.3,1.027,34.0,34.0,45.3,1.090,34.0,34.0,41.1,1.336,34.0,34.0,41.3,1.293,34.0,34.0,31.5,1.961,34.0,34.0,32.5,1.941,34.0,34.0,18.9,3.927,34.0,34.0,17.1,4.046,34.0,34.0,28.6,2.347,34.0,34.0,28.7,2.289,34.0,0.0,
22/05/2025 2:57:30 PM,300,34.0,35.6,,34.0,3.0,99.2,31.2,34.0,34.0,40.4,,34.0,3.0,99.2,31.2,34.0,34.0,18.3,,34.0,3.0,99.2,31.2,34.0,34.0,33.5,,34.0,34.0,27.7,,34.0,34.0,49.2,,34.0,34.0,44.0,,34.0,34.0,37.7,,34.0,34.0,37.5,,34.0,34.0,44.5,,34.0,34.0,47.1,,34.0,34.0,18.3,,34.0,34.0,38.7,,34.0,34.0,17.5,,34.0,34.0,51.7,,34.0,34.0,48.3,,34.0,34.0,52.5,,34.0,34.0,43.1,,34.0,34.0,44.4,,34.0,34.0,32.9,,34.0,34.0,30.6,,34.0,34.0,17.3,,34.0,34.0,18.0,,34.0,34.0,26.3,,34.0,34.0,26.1,,34.0,0.1,
22/05/2025 2:58:30 PM,360,34.0,35.3,1.663,34.0,3.0,99.2,31.2,34.0,34.0,39.9,1.407,34.0,3.0,99.2,31.2,34.0,34.0,19.3,3.603,34.0,3.0,99.2,31.2,34.0,34.0,32.3,1.922,34.0,34.0,30.2,2.162,34.0,34.0,45.5,1.137,34.0,34.0,45.0,1.172,34.0,34.0,37.7,1.516,34.0,34.0,37.8,1.515,34.0,34.0,43.4,1.179,34.0,34.0,46.6,1.085,34.0,34.0,19.3,3.603,34.0,34.0,36.3,1.590,34.0,34.0,18.7,4.031,34.0,34.0,55.5,0.817,34.0,34.0,47.5,1.026,34.0,34.0,55.2,0.811,34.0,34.0,40.9,1.296,34.0,34.0,44.3,1.137,34.0,34.0,31.8,1.975,34.0,34.0,32.5,1.894,34.0,34.0,17.2,4.160,34.0,34.0,17.5,4.060,34.0,34.0,24.8,2.560,34.0,34.0,26.1,2.468,34.0,0.0,
22/05/2025 2:59:30 PM,420,34.0,35.1,,34.0,3.0,99.2,31.2,34.0,34.0,39.6,,34.0,3.0,99.2,31.2,34.0,34.0,19.4,,34.0,3.0,99.2,31.2,34.0,34.0,32.7,,34.0,34.0,29.0,,34.0,34.0,45.4,,34.0,34.0,44.2,,34.0,34.0,37.7,,34.0,34.0,37.7,,34.0,34.0,44.6,,34.0,34.0,46.1,,34.0,34.0,19.4,,34.0,34.0,35.7,,34.0,34.0,17.9,,34.0,34.0,52.3,,34.0,34.0,51.0,,34.0,34.0,48.5,,34.0,34.0,41.7,,34.0,34.0,43.7,,34.0,34.0,31.2,,34.0,34.0,32.9,,34.0,34.0,17.3,,34.0,34.0,16.2,,34.0,34.0,28.3,,34.0,34.0,26.5,,34.0,0.4,
22/05/2025 3:00:31 PM,480,34.0,35.0,1.685,34.0,3.0,99.2,31.2,34.0,34.0,40.1,1.401,34.0,3.0,99.2,31.2,34.0,34.0,18.9,3.624,34.0,3.0,99.2,31.2,34.0,34.0,32.8,1.914,34.0,34.0,28.9,2.193,34.0,34.0,46.5,1.116,34.0,34.0,45.0,1.171,34.0,34.0,37.7,1.516,34.0,34.0,38.2,1.476,34.0,34.0,42.9,1.257,34.0,34.0,46.7,1.081,34.0,34.0,18.9,3.624,34.0,34.0,37.7,1.552,34.0,34.0,17.3,4.026,34.0,34.0,53.2,0.842,34.0,34.0,51.9,0.916,34.0,34.0,46.1,1.085,34.0,34.0,41.5,1.298,34.0,34.0,43.0,1.276,34.0,34.0,29.5,2.051,34.0,34.0,33.6,1.835,34.0,34.0,17.2,4.215,34.0,34.0,16.6,4.239,34.0,34.0,24.6,2.606,34.0,34.0,25.6,2.556,34.0,0.1,
