Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
22/05/2025 3:26:50 PM,0,34.0,42.8,1.245,34.0,3.0,99.2,31.2,34.0,34.0,38.6,1.440,34.0,3.0,99.2,31.2,34.0,34.0,38.0,1.494,34.0,3.0,99.2,31.2,34.0,34.0,29.4,2.029,34.0,34.0,26.3,2.342,34.0,34.0,39.9,1.374,34.0,34.0,38.8,1.443,34.0,34.0,48.3,1.025,34.0,34.0,46.8,1.097,34.0,34.0,41.6,1.315,34.0,34.0,44.0,1.204,34.0,34.0,38.0,1.494,34.0,34.0,36.0,1.621,34.0,34.0,9.0,8.487,34.0,34.0,52.2,0.880,34.0,34.0,83.6,0.288,34.0,34.0,46.3,1.062,34.0,34.0,132.1,-0.074,34.0,34.0,58.4,0.729,34.0,34.0,41.4,1.273,34.0,34.0,48.8,0.984,34.0,34.0,34.3,1.699,34.0,34.0,39.5,1.426,34.0,34.0,33.1,1.875,34.0,34.0,28.5,2.307,34.0,0.1,
22/05/2025 3:27:51 PM,60,34.0,41.0,,34.0,3.0,99.2,31.2,34.0,34.0,39.2,,34.0,3.0,99.2,31.2,34.0,34.0,37.6,,34.0,3.0,99.2,31.2,34.0,34.0,29.8,,34.0,34.0,26.8,,34.0,34.0,41.0,,34.0,34.0,40.8,,34.0,34.0,47.1,,34.0,34.0,45.1,,34.0,34.0,40.9,,34.0,34.0,43.3,,34.0,34.0,37.6,,34.0,34.0,36.1,,34.0,34.0,8.9,,34.0,34.0,50.1,,34.0,34.0,75.5,,34.0,34.0,42.1,,34.0,34.0,113.2,,34.0,34.0,51.6,,34.0,34.0,41.3,,34.0,34.0,45.2,,34.0,34.0,33.3,,34.0,34.0,36.8,,34.0,34.0,30.6,,34.0,34.0,27.0,,34.0,1.3,
22/05/2025 3:28:50 PM,120,34.0,40.1,,34.0,3.0,99.2,31.2,34.0,34.0,38.1,,34.0,3.0,99.2,31.2,34.0,34.0,36.4,,34.0,3.0,99.2,31.2,34.0,34.0,29.9,,34.0,34.0,28.5,,34.0,34.0,40.3,,34.0,34.0,38.1,,34.0,34.0,45.1,,34.0,34.0,44.7,,34.0,34.0,40.3,,34.0,34.0,42.9,,34.0,34.0,36.4,,34.0,34.0,35.2,,34.0,34.0,8.7,,34.0,34.0,46.3,,34.0,34.0,75.6,,34.0,34.0,41.6,,34.0,34.0,113.4,,34.0,34.0,51.7,,34.0,34.0,40.0,,34.0,34.0,45.2,,34.0,34.0,32.9,,34.0,34.0,35.2,,34.0,34.0,28.5,,34.0,34.0,26.3,,34.0,0.1,
22/05/2025 3:29:51 PM,180,34.0,39.6,,34.0,3.0,99.2,31.2,34.0,34.0,36.8,,34.0,3.0,99.2,31.2,34.0,34.0,34.2,,34.0,3.0,99.2,31.2,34.0,34.0,30.6,,34.0,34.0,26.5,,34.0,34.0,37.1,,34.0,34.0,37.3,,34.0,34.0,44.6,,34.0,34.0,43.0,,34.0,34.0,40.3,,34.0,34.0,40.8,,34.0,34.0,34.2,,34.0,34.0,35.6,,34.0,34.0,8.8,,34.0,34.0,46.7,,34.0,34.0,78.4,,34.0,34.0,42.8,,34.0,34.0,110.9,,34.0,34.0,52.6,,34.0,34.0,39.6,,34.0,34.0,44.4,,34.0,34.0,32.4,,34.0,34.0,34.6,,34.0,34.0,31.0,,34.0,34.0,26.1,,34.0,0.5,
22/05/2025 3:30:51 PM,240,34.0,39.2,,34.0,3.0,99.2,31.2,34.0,34.0,36.6,,34.0,3.0,99.2,31.2,34.0,34.0,36.1,,34.0,3.0,99.2,31.2,34.0,34.0,29.3,,34.0,34.0,26.2,,34.0,34.0,38.0,,34.0,34.0,38.0,,34.0,34.0,43.1,,34.0,34.0,42.7,,34.0,34.0,40.1,,34.0,34.0,40.7,,34.0,34.0,36.1,,34.0,34.0,33.4,,34.0,34.0,8.6,,34.0,34.0,45.9,,34.0,34.0,75.8,,34.0,34.0,42.5,,34.0,34.0,112.4,,34.0,34.0,50.5,,34.0,34.0,39.1,,34.0,34.0,43.9,,34.0,34.0,32.2,,34.0,34.0,34.4,,34.0,34.0,29.6,,34.0,34.0,25.4,,34.0,0.3,
22/05/2025 3:31:51 PM,300,34.0,39.0,,34.0,3.0,99.2,31.2,34.0,34.0,37.1,,34.0,3.0,99.2,31.2,34.0,34.0,34.2,,34.0,3.0,99.2,31.2,34.0,34.0,29.8,,34.0,34.0,27.6,,34.0,34.0,38.3,,34.0,34.0,38.6,,34.0,34.0,42.9,,34.0,34.0,42.0,,34.0,34.0,38.7,,34.0,34.0,40.2,,34.0,34.0,34.2,,34.0,34.0,34.8,,34.0,34.0,8.6,,34.0,34.0,45.7,,34.0,34.0,77.5,,34.0,34.0,39.5,,34.0,34.0,112.2,,34.0,34.0,47.7,,34.0,34.0,38.6,,34.0,34.0,43.3,,34.0,34.0,31.5,,34.0,34.0,34.9,,34.0,34.0,30.0,,34.0,34.0,25.7,,34.0,0.1,
22/05/2025 3:32:51 PM,360,34.0,38.6,1.448,34.0,3.0,99.2,31.2,34.0,34.0,36.2,1.587,34.0,3.0,99.2,31.2,34.0,34.0,33.6,1.647,34.0,3.0,99.2,31.2,34.0,34.0,29.2,2.116,34.0,34.0,26.9,2.361,34.0,34.0,36.3,1.530,34.0,34.0,38.1,1.505,34.0,34.0,42.6,1.258,34.0,34.0,42.3,1.283,34.0,34.0,39.4,1.426,34.0,34.0,40.2,1.353,34.0,34.0,33.6,1.647,34.0,34.0,33.2,1.818,34.0,34.0,8.6,9.254,34.0,34.0,45.1,1.113,34.0,34.0,77.7,0.381,34.0,34.0,39.4,1.367,34.0,34.0,113.1,0.031,34.0,34.0,47.3,1.046,34.0,34.0,39.2,1.445,34.0,34.0,42.3,1.237,34.0,34.0,32.7,1.894,34.0,34.0,33.4,1.749,34.0,34.0,29.5,2.083,34.0,34.0,24.4,2.650,34.0,0.0,
22/05/2025 3:33:51 PM,420,34.0,39.2,1.447,34.0,3.0,99.2,31.2,34.0,34.0,37.1,1.572,34.0,3.0,99.2,31.2,34.0,34.0,35.0,1.658,34.0,3.0,99.2,31.2,34.0,34.0,29.8,2.089,34.0,34.0,28.1,2.373,34.0,34.0,38.6,1.474,34.0,34.0,38.5,1.512,34.0,34.0,42.6,1.258,34.0,34.0,43.2,1.234,34.0,34.0,39.5,1.411,34.0,34.0,41.1,1.344,34.0,34.0,35.0,1.658,34.0,34.0,35.3,1.791,34.0,34.0,8.3,9.103,34.0,34.0,45.0,1.130,34.0,34.0,74.7,0.402,34.0,34.0,43.6,1.310,34.0,34.0,111.4,0.046,34.0,34.0,49.4,1.003,34.0,34.0,38.4,1.485,34.0,34.0,43.3,1.256,34.0,34.0,31.7,1.948,34.0,34.0,35.9,1.669,34.0,34.0,27.9,2.216,34.0,34.0,25.4,2.671,34.0,0.0,
22/05/2025 3:34:51 PM,480,34.0,39.0,1.448,34.0,3.0,99.2,31.2,34.0,34.0,37.1,1.571,34.0,3.0,99.2,31.2,34.0,34.0,36.3,1.666,34.0,3.0,99.2,31.2,34.0,34.0,30.9,2.089,34.0,34.0,27.3,2.336,34.0,34.0,38.6,1.476,34.0,34.0,38.2,1.519,34.0,34.0,42.6,1.258,34.0,34.0,42.6,1.262,34.0,34.0,38.6,1.441,34.0,34.0,41.3,1.352,34.0,34.0,36.3,1.666,34.0,34.0,34.2,1.737,34.0,34.0,8.8,8.498,34.0,34.0,46.4,1.098,34.0,34.0,74.5,0.434,34.0,34.0,39.0,1.416,34.0,34.0,111.5,0.042,34.0,34.0,49.3,0.995,34.0,34.0,39.4,1.430,34.0,34.0,41.4,1.293,34.0,34.0,31.9,1.943,34.0,34.0,34.7,1.733,34.0,34.0,28.4,2.189,34.0,34.0,26.5,2.542,34.0,0.0,
