PCS_ID,PCS_Name,Category,Physical_Effect,Type,Size_LxWxH_cm,Brand,Model_Name,Model_Number,Product_Reference,Availability,Image,Publication,Price_USD,Target_Body,Plug_Power,Experiment_ID,Manikin_ID,Clothing_ID,Research_Center,Country,Context,Posture,Year,Manikin_Company,Manikin_Type,Manikin_Gender,Manikin_Body_Segments,Clo_All,Clo_Pelvis,Clo_Left_Upper_Arm,Clo_Right_Upper_Arm,Clo_Left_Forearm,Clo_Right_Forearm,Clo_Left_Hand,Clo_Right_Hand,Clo_Left_Lower_Leg,Clo_Right_Lower_Leg,Clo_Left_Foot,Clo_Right_Foot,Clo_Head,Clo_Chest,Clo_Back,Clo_Left_Thigh,Clo_Right_Thigh
1,DeskFan_13D,Cooling,Convective,Desk fan,"5, 12.3, 12.3",Simpeak,S20,S20,https://a.co/d/54m7ADL,Market-ready,ID1_desk_fan_angled.png,,13.0,Face,3.0,1,1,1,The University of Sydney,Australia,Office,Sitting,2024,PT Manikins,Thermal,Female,22,0.4,0.99,0.71,0.59,0.34,0.16,0.03,0.01,0.2,0.24,0.72,0.71,0.54,1.44,0.68,0.15,0.16
2,DeskFan_20D,Cooling,Convective,Desk fan,20D,,Lileng,,,Market-ready,ID2_desk_fan_angled.png,,,Face,5.0,1,1,1,The University of Sydney,Australia,Office,Sitting,2024,PT Manikins,Thermal,Female,22,0.4,0.99,0.71,0.59,0.34,0.16,0.03,0.01,0.2,0.24,0.72,0.71,0.54,1.44,0.68,0.15,0.16
3,Desk_EvaporativeCooler_evachill,Cooling,"Convective, Evaporative",Evaporative cooler,"17, 17, 17",Evapolar,evaCHILL,EV-500L,https://www.evapolar.com/products/evachill,Market-ready,ID3_evaporative_cooler_angled.png,,119.0,Face,7.5,1,1,1,The University of Sydney,Australia,Office,Sitting,2024,PT Manikins,Thermal,Female,22,0.4,0.99,0.71,0.59,0.34,0.16,0.03,0.01,0.2,0.24,0.72,0.71,0.54,1.44,0.68,0.15,0.16
4,Desk_EvaporativeCooler_mist,Cooling,"Convective, Evaporative",Evaporative cooler,"9, 21, 26",Quixnova,Quixnova Air Fan,EJ-JHQ01,https://amzn.asia/d/cBzO26O,Market-ready,ID4_evaporative_cooler_angled.png,,22.0,Face,10.0,1,1,1,The University of Sydney,Australia,Office,Sitting,2024,PT Manikins,Thermal,Female,22,0.4,0.99,0.71,0.59,0.34,0.16,0.03,0.01,0.2,0.24,0.72,0.71,0.54,1.44,0.68,0.15,0.16
5,DeskFan_Dyson,Cooling,Convective,Desk fan,"11.3, 15.3, 59.5",Dyson,Dyson Hot+Cool Jet Focus,,https://www.dyson.com.au/dyson-hot-cool-jet-focus-fan-heater-white-silver,Market-ready,ID5_desk_fan_angled.png,,,Face,10.0,1,1,1,The University of Sydney,Australia,Office,Sitting,2024,PT Manikins,Thermal,Female,22,0.4,0.99,0.71,0.59,0.34,0.16,0.03,0.01,0.2,0.24,0.72,0.71,0.54,1.44,0.68,0.15,0.16
6,NeckFan,Cooling,Convective,Neck fan,"19.6, 19.6, 5.8",JisuLife,Neck Fan Life3,FA12,https://jisulife.com/en-jp/products/jisulife-bladeless-neck-fan,Market-ready,ID6_neck_fan_front.png,,46.0,"Neck, Face",5.0,1,1,1,The University of Sydney,Australia,Office,Sitting,2024,PT Manikins,Thermal,Female,22,0.4,0.99,0.71,0.59,0.34,0.16,0.03,0.01,0.2,0.24,0.72,0.71,0.54,1.44,0.68,0.15,0.16
7,HandheldFan,Cooling,Convective,Handhend fan,"4, 8.5, 16.4",JisuLife,FA20X,20x,,Market-ready,ID7_handheld_fan_angled.png,,,Face,5.0,1,1,1,The University of Sydney,Australia,Office,Sitting,2024,PT Manikins,Thermal,Female,22,0.4,0.99,0.71,0.59,0.34,0.16,0.03,0.01,0.2,0.24,0.72,0.71,0.54,1.44,0.68,0.15,0.16
8,StandFan_Dyson,Cooling,Convective,Standing fan,"17.8, 29.8, 98.3",Dyson,Dyson Cool tower fan,,https://www.dyson.com.au/dyson-cool-tower-fan-white-silver,Market-ready,ID8_standing_fan_front.png,,,Trunk,56.0,1,1,1,The University of Sydney,Australia,Office,Sitting,2024,PT Manikins,Thermal,Female,22,0.4,0.99,0.71,0.59,0.34,0.16,0.03,0.01,0.2,0.24,0.72,0.71,0.54,1.44,0.68,0.15,0.16
9,PedestalFan_20D,Cooling,Convective,Standing fan,"40, 47, 63",Sunbeam,,FA8900,https://www.choice.com.au/products/home-and-living/cooling/fans/sunbeam-infinity-oscillating-pedestal-fan-fa8900,Market-ready,ID9_standing_fan_front.png,,111.0,Trunk,55.0,1,1,1,The University of Sydney,Australia,Office,Sitting,2024,PT Manikins,Thermal,Female,22,0.4,0.99,0.71,0.59,0.34,0.16,0.03,0.01,0.2,0.24,0.72,0.71,0.54,1.44,0.68,0.15,0.16
10,Stand_EvaporativeCooler_75H,Cooling,Convective,Standing fan,"34, 31, 75",De'Longhi,EV Evaporative Coolers,EV250.WH,https://www.delonghi.com/en-au/p/evaporative-coolers-ev250.wh-evaporative-cooler/EV250.WH.html,Market-ready,ID10_standing_fan_angled.png,,164.0,Trunk,70.0,1,1,1,The University of Sydney,Australia,Office,Sitting,2024,PT Manikins,Thermal,Female,22,0.4,0.99,0.71,0.59,0.34,0.16,0.03,0.01,0.2,0.24,0.72,0.71,0.54,1.44,0.68,0.15,0.16
11,HeatingPad_76W,Heating,"Radiant, Conductive",Heating pad,"76, 40, 2",Koreal,,,https://amzn.asia/d/aTK7cbn,Market-ready,ID14_heating_pad_front.png,,38.0,Back,120.0,1,1,1,The University of Sydney,Australia,Office,Sitting,2024,PT Manikins,Thermal,Female,22,0.4,0.99,0.71,0.59,0.34,0.16,0.03,0.01,0.2,0.24,0.72,0.71,0.54,1.44,0.68,0.15,0.16
