path,size_bytes,size_human
image/device_image/raw image/IMG_4842.dng,97957073,93.42 MB
image/device_image/raw image/IMG_4848.dng,88292294,84.20 MB
image/device_image/raw image/IMG_4838.dng,87837694,83.77 MB
image/device_image/raw image/IMG_4839.dng,84330337,80.42 MB
image/device_image/raw image/IMG_4849.dng,80775976,77.03 MB
image/device_image/raw image/IMG_4844.dng,76391369,72.85 MB
image/device_image/raw image/IMG_4841.dng,76014185,72.49 MB
image/device_image/raw image/IMG_4840.dng,72480994,69.12 MB
image/device_image/raw image/IMG_4845.dng,67990855,64.84 MB
image/device_image/raw image/IMG_4809.dng,67695354,64.56 MB
image/device_image/raw image/IMG_4815.dng,66717267,63.63 MB
image/device_image/raw image/IMG_4810.dng,66713146,63.62 MB
image/device_image/raw image/IMG_4847.dng,65628740,62.59 MB
image/device_image/raw image/IMG_4811.dng,65376911,62.35 MB
image/device_image/raw image/IMG_4816.dng,65106235,62.09 MB
image/device_image/raw image/IMG_4846.dng,64968771,61.96 MB
image/device_image/raw image/IMG_4817.dng,63636141,60.69 MB
image/device_image/raw image/IMG_4852.dng,60580682,57.77 MB
image/device_image/raw image/IMG_4850.dng,58889259,56.16 MB
image/device_image/raw image/IMG_4818.dng,58798927,56.08 MB
image/device_image/raw image/IMG_4851.dng,56907796,54.27 MB
image/device_image/raw image/IMG_4826.dng,56077268,53.48 MB
image/device_image/raw image/IMG_4837.dng,55160260,52.60 MB
image/PCS Database Graphical Abstract.pptx,55062730,52.51 MB
