PCS_ID,Category,Physical_Effect,Type,Size,Brand,Model_Name,Model_Number,Product_Reference,Availability,Image,Publication,PCS_Level,Price_USD,Year,Target_Body,Angle_Horizontal,Distance_Horizontal,Distance_Vertical,Plug_Power,Research_Center,Country,Context,Posture,Manikin_Company,Manikin_Type,Manikin_Gender,Manikin_Body_Segments,Control_Method,Baseline_Ta,Baseline_MRT,Baseline_RH,Baseline_V,Baseline_Tsk_All,Baseline_Tsk_Head,Baseline_Tsk_Chest,Baseline_Tsk_Back,Baseline_Tsk_Pelvis,Baseline_Tsk_Left_Upper_Arm,Baseline_Tsk_Right_Upper_Arm,Baseline_Tsk_Left_Forearm,Baseline_Tsk_Right_Forearm,Baseline_Tsk_Left_Hand,Baseline_Tsk_Right_Hand,Baseline_Tsk_Left_Thigh,Baseline_Tsk_Right_Thigh,Baseline_Tsk_Left_Lower_Leg,Baseline_Tsk_Right_Lower_Leg,Baseline_Tsk_Left_Foot,Baseline_Tsk_Right_Foot,Baseline_P_All,Baseline_P_Head,Baseline_P_Chest,Baseline_P_Back,Baseline_P_Pelvis,Baseline_P_Left_Upper_Arm,Baseline_P_Right_Upper_Arm,Baseline_P_Left_Forearm,Baseline_P_Right_Forearm,Baseline_P_Left_Hand,Baseline_P_Right_Hand,Baseline_P_Left_Thigh,Baseline_P_Right_Thigh,Baseline_P_Left_Lower_Leg,Baseline_P_Right_Lower_Leg,Baseline_P_Left_Foot,Baseline_P_Right_Foot,PCS_Ta,PCS_MRT,PCS_RH,PCS_V,PCS_Tsk_All,PCS_Tsk_Head,PCS_Tsk_Chest,PCS_Tsk_Back,PCS_Tsk_Pelvis,PCS_Tsk_Left_Upper_Arm,PCS_Tsk_Right_Upper_Arm,PCS_Tsk_Left_Forearm,PCS_Tsk_Right_Forearm,PCS_Tsk_Left_Hand,PCS_Tsk_Right_Hand,PCS_Tsk_Left_Thigh,PCS_Tsk_Right_Thigh,PCS_Tsk_Left_Lower_Leg,PCS_Tsk_Right_Lower_Leg,PCS_Tsk_Left_Foot,PCS_Tsk_Right_Foot,PCS_P_All,PCS_P_Head,PCS_P_Chest,PCS_P_Back,PCS_P_Pelvis,PCS_P_Left_Upper_Arm,PCS_P_Right_Upper_Arm,PCS_P_Left_Forearm,PCS_P_Right_Forearm,PCS_P_Left_Hand,PCS_P_Right_Hand,PCS_P_Left_Thigh,PCS_P_Right_Thigh,PCS_P_Left_Lower_Leg,PCS_P_Right_Lower_Leg,PCS_P_Left_Foot,PCS_P_Right_Foot,Delta_Teq_All,Delta_Teq_Head,Delta_Teq_Chest,Delta_Teq_Back,Delta_Teq_Pelvis,Delta_Teq_Left_Upper_Arm,Delta_Teq_Right_Upper_Arm,Delta_Teq_Left_Forearm,Delta_Teq_Right_Forearm,Delta_Teq_Left_Hand,Delta_Teq_Right_Hand,Delta_Teq_Left_Thigh,Delta_Teq_Right_Thigh,Delta_Teq_Left_Lower_Leg,Delta_Teq_Right_Lower_Leg,Delta_Teq_Left_Foot,Delta_Teq_Right_Foot,Delta_P_All,Delta_P_Head,Delta_P_Chest,Delta_P_Back,Delta_P_Pelvis,Delta_P_Left_Upper_Arm,Delta_P_Right_Upper_Arm,Delta_P_Left_Forearm,Delta_P_Right_Forearm,Delta_P_Left_Hand,Delta_P_Right_Hand,Delta_P_Left_Thigh,Delta_P_Right_Thigh,Delta_P_Left_Lower_Leg,Delta_P_Right_Lower_Leg,Delta_P_Left_Foot,Delta_P_Right_Foot,Clo_All,Clo_Head,Clo_Chest,Clo_Back,Clo_Pelvis,Clo_Left_Upper_Arm,Clo_Right_Upper_Arm,Clo_Left_Forearm,Clo_Right_Forearm,Clo_Left_Hand,Clo_Right_Hand,Clo_Left_Thigh,Clo_Right_Thigh,Clo_Left_Lower_Leg,Clo_Right_Lower_Leg,Clo_Left_Foot,Clo_Right_Foot,MRT,Air_Temperature,RH,Vel
1,Cooling,Convective,Desk fan,,Simpeak,S20,S20,https://a.co/d/54m7ADL,Market-ready,ID1_desk_fan_angled.png,,0.5,13.0,2024.0,Face,135.0,60.0,,3.0,The University of Sydney,Australia,Office,Sitting,PT Manikins,Thermal,Female,22.0,TskControl34,24.8,25.4,62.29,0.26,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,53.42,28.87,29.24,46.57,34.32,44.7,54.52,58.36,74.28,97.82,86.98,62.74,66.04,66.82,65.92,48.78,45.3,25.0,25.3,62.34,0.04,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,53.62,34.37,28.58,46.54,32.37,44.6,54.08,64.63,76.5,109.0,88.97,61.88,65.67,62.58,62.77,44.85,44.47,-0.03,-1.27,0.2,-0.02,0.51,0.02,0.07,-0.96,-0.27,-1.03,-0.2,0.14,0.06,0.57,0.43,0.72,0.17,0.2,5.5,-0.66,-0.03,-1.95,-0.1,-0.44,6.27,2.22,11.18,1.99,-0.86,-0.37,-4.24,-3.15,-3.93,-0.83,0.4,0.54,1.44,0.68,0.99,0.71,0.59,0.34,0.16,0.03,0.01,0.15,0.16,0.2,0.24,0.72,0.71,,,,
1,Cooling,Convective,Desk fan,,Simpeak,S20,S20,https://a.co/d/54m7ADL,Market-ready,ID1_desk_fan_angled.png,,1.0,13.0,2024.0,Face,135.0,60.0,,3.0,The University of Sydney,Australia,Office,Sitting,PT Manikins,Thermal,Female,22.0,TskControl34,24.8,25.4,62.29,0.26,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,53.42,28.87,29.24,46.57,34.32,44.7,54.52,58.36,74.28,97.82,86.98,62.74,66.04,66.82,65.92,48.78,45.3,25.2,25.2,62.78,0.18,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,54.47,44.24,30.12,46.01,31.18,46.15,52.03,66.13,75.03,109.15,88.53,62.78,64.16,62.32,63.97,44.92,44.82,-0.18,-3.26,-0.28,0.04,0.82,-0.29,0.41,-1.19,-0.09,-1.04,-0.16,0.01,0.27,0.6,0.27,0.71,0.1,1.05,15.38,0.89,-0.57,-3.14,1.45,-2.49,7.77,0.75,11.33,1.55,0.04,-1.88,-4.5,-1.95,-3.86,-0.48,0.4,0.54,1.44,0.68,0.99,0.71,0.59,0.34,0.16,0.03,0.01,0.15,0.16,0.2,0.24,0.72,0.71,,,,
1,Cooling,Convective,Desk fan,,Simpeak,S20,S20,https://a.co/d/54m7ADL,Market-ready,ID1_desk_fan_angled.png,,0.0,13.0,2024.0,Face,135.0,60.0,,3.0,The University of Sydney,Australia,Office,Sitting,PT Manikins,Thermal,Female,22.0,TskControl34,24.8,25.4,62.29,0.26,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,53.42,28.87,29.24,46.57,34.32,44.7,54.52,58.36,74.28,97.82,86.98,62.74,66.04,66.82,65.92,48.78,45.3,25.0,25.1,60.78,0.03,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,53.86,33.06,29.17,47.06,34.14,43.94,54.04,63.62,73.68,105.94,90.4,62.25,66.75,62.66,64.46,46.12,45.42,-0.07,-1.01,0.02,-0.11,0.05,0.15,0.08,-0.81,0.07,-0.74,-0.35,0.08,-0.09,0.56,0.2,0.49,-0.02,0.44,4.2,-0.07,0.49,-0.18,-0.76,-0.48,5.26,-0.6,8.12,3.42,-0.49,0.71,-4.16,-1.46,-2.66,0.12,0.4,0.54,1.44,0.68,0.99,0.71,0.59,0.34,0.16,0.03,0.01,0.15,0.16,0.2,0.24,0.72,0.71,,,,
1,Cooling,Convective,Desk fan,,Simpeak,S20,S20,https://a.co/d/54m7ADL,Market-ready,ID1_desk_fan_angled.png,,0.5,13.0,2024.0,Face,135.0,60.0,,3.0,The University of Sydney,Australia,Office,Sitting,PT Manikins,Thermal,Female,22.0,TskControl34,22.1,22.3,30.15,0.2,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,73.42,38.81,41.48,59.9,46.24,64.86,71.8,84.52,96.12,125.18,113.52,90.2,94.58,90.86,95.06,64.08,64.26,22.3,22.5,42.93,0.22,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,74.16,51.74,40.57,59.57,45.24,64.88,70.0,87.82,98.08,134.24,120.88,88.33,91.35,90.08,93.84,63.24,64.34,-0.12,-2.87,0.24,0.08,0.26,-0.0,0.3,-0.46,-0.24,-0.86,-0.77,0.25,0.42,0.1,0.15,0.15,-0.01,0.74,12.92,-0.91,-0.33,-1.0,0.02,-1.8,3.3,1.96,9.06,7.36,-1.87,-3.23,-0.78,-1.22,-0.84,0.08,0.4,0.54,1.44,0.68,0.99,0.71,0.59,0.34,0.16,0.03,0.01,0.15,0.16,0.2,0.24,0.72,0.71,,,,
1,Cooling,Convective,Desk fan,,Simpeak,S20,S20,https://a.co/d/54m7ADL,Market-ready,ID1_desk_fan_angled.png,,1.0,13.0,2024.0,Face,135.0,60.0,,3.0,The University of Sydney,Australia,Office,Sitting,PT Manikins,Thermal,Female,22.0,TskControl34,22.1,22.3,30.15,0.2,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,73.42,38.81,41.48,59.9,46.24,64.86,71.8,84.52,96.12,125.18,113.52,90.2,94.58,90.86,95.06,64.08,64.26,22.3,22.5,42.93,0.22,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,74.22,56.08,40.88,59.55,45.2,64.78,68.12,89.2,99.92,141.2,124.4,87.65,88.87,87.5,92.6,62.8,63.36,-0.13,-3.8,0.14,0.07,0.27,0.01,0.61,-0.65,-0.47,-1.51,-1.13,0.33,0.72,0.44,0.31,0.24,0.17,0.8,17.26,-0.6,-0.35,-1.04,-0.08,-3.68,4.68,3.8,16.02,10.88,-2.55,-5.71,-3.36,-2.46,-1.28,-0.9,0.4,0.54,1.44,0.68,0.99,0.71,0.59,0.34,0.16,0.03,0.01,0.15,0.16,0.2,0.24,0.72,0.71,,,,
1,Cooling,Convective,Desk fan,,Simpeak,S20,S20,https://a.co/d/54m7ADL,Market-ready,ID1_desk_fan_angled.png,,0.0,13.0,2024.0,Face,135.0,60.0,,3.0,The University of Sydney,Australia,Office,Sitting,PT Manikins,Thermal,Female,22.0,TskControl34,22.1,22.3,30.15,0.2,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,73.42,38.81,41.48,59.9,46.24,64.86,71.8,84.52,96.12,125.18,113.52,90.2,94.58,90.86,95.06,64.08,64.26,22.3,22.1,42.93,0.09,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,74.88,49.51,41.45,60.56,47.2,64.88,71.16,87.28,97.54,137.18,115.96,90.43,94.06,90.2,94.68,63.74,64.04,-0.24,-2.39,-0.0,-0.12,-0.25,-0.0,0.11,-0.39,-0.17,-1.13,-0.25,-0.04,0.07,0.09,0.05,0.06,0.04,1.46,10.7,-0.03,0.66,0.96,0.02,-0.64,2.76,1.42,12.0,2.44,0.23,-0.52,-0.66,-0.38,-0.34,-0.22,0.4,0.54,1.44,0.68,0.99,0.71,0.59,0.34,0.16,0.03,0.01,0.15,0.16,0.2,0.24,0.72,0.71,,,,
1,Cooling,Convective,Desk fan,,Simpeak,S20,S20,https://a.co/d/54m7ADL,Market-ready,ID1_desk_fan_angled.png,,0.0,13.0,2024.0,Face,135.0,60.0,,3.0,The University of Sydney,Australia,Office,Sitting,PT Manikins,Thermal,Female,22.0,TskControl34,28.6,28.5,31.5,0.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,33.94,19.48,16.45,31.06,20.32,30.34,31.12,39.48,41.34,47.44,46.12,41.42,43.17,44.52,43.46,33.48,30.18,28.6,28.5,31.5,0.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,36.18,29.26,20.3,31.09,20.06,33.18,32.54,51.52,42.3,52.2,46.46,42.46,43.39,45.58,44.46,33.28,30.18,-0.36,-1.8,-1.29,0.01,0.07,-0.51,-0.25,-1.68,-0.13,-0.55,-0.04,-0.14,-0.03,-0.13,-0.13,0.03,0.0,2.24,9.79,3.85,0.03,-0.26,2.84,1.42,12.04,0.96,4.76,0.34,1.04,0.22,1.06,1.0,-0.2,0.0,0.4,0.54,1.44,0.68,0.99,0.71,0.59,0.34,0.16,0.03,0.01,0.15,0.16,0.2,0.24,0.72,0.71,,,,
1,Cooling,Convective,Desk fan,,Simpeak,S20,S20,https://a.co/d/54m7ADL,Market-ready,ID1_desk_fan_angled.png,,1.0,13.0,2024.0,Face,135.0,60.0,,3.0,The University of Sydney,Australia,Office,Sitting,PT Manikins,Thermal,Female,22.0,TskControl34,28.6,28.5,31.5,0.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,33.94,19.48,16.45,31.06,20.32,30.34,31.12,39.48,41.34,47.44,46.12,41.42,43.17,44.52,43.46,33.48,30.18,28.6,28.5,31.5,0.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,37.64,34.18,22.09,31.89,19.28,35.36,33.84,62.24,41.58,62.8,46.94,42.23,43.29,46.0,44.86,33.2,30.38,-0.6,-2.79,-1.89,-0.14,0.28,-0.91,-0.48,-3.17,-0.03,-1.78,-0.1,-0.11,-0.02,-0.18,-0.18,0.05,-0.04,3.7,14.7,5.64,0.82,-1.04,5.02,2.72,22.76,0.24,15.36,0.82,0.81,0.12,1.48,1.4,-0.28,0.2,0.4,0.54,1.44,0.68,0.99,0.71,0.59,0.34,0.16,0.03,0.01,0.15,0.16,0.2,0.24,0.72,0.71,,,,
1,Cooling,Convective,Desk fan,,Simpeak,S20,S20,https://a.co/d/54m7ADL,Market-ready,ID1_desk_fan_angled.png,,0.5,13.0,2024.0,Face,135.0,60.0,,3.0,The University of Sydney,Australia,Office,Sitting,PT Manikins,Thermal,Female,22.0,TskControl34,28.6,28.5,31.5,0.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,33.94,19.48,16.45,31.06,20.32,30.34,31.12,39.48,41.34,47.44,46.12,41.42,43.17,44.52,43.46,33.48,30.18,28.6,28.5,31.5,0.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,37.3,32.02,21.36,31.88,19.9,34.5,33.04,58.16,42.62,59.68,46.7,42.54,43.85,46.22,45.86,33.54,29.96,-0.54,-2.35,-1.65,-0.13,0.11,-0.75,-0.34,-2.6,-0.17,-1.42,-0.07,-0.16,-0.09,-0.21,-0.3,-0.01,0.04,3.36,12.54,4.91,0.82,-0.42,4.16,1.92,18.68,1.28,12.24,0.58,1.12,0.68,1.7,2.4,0.06,-0.22,0.4,0.54,1.44,0.68,0.99,0.71,0.59,0.34,0.16,0.03,0.01,0.15,0.16,0.2,0.24,0.72,0.71,,,,
2,Cooling,Convective,Desk fan,,,Lileng,,,Market-ready,ID2_desk_fan_angled.png,,0.5,,2024.0,Face,135.0,60.0,,5.0,The University of Sydney,Australia,Office,Sitting,PT Manikins,Thermal,Female,22.0,TskControl34,28.6,28.5,31.5,0.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,33.94,19.48,16.45,31.06,20.32,30.34,31.12,39.48,41.34,47.44,46.12,41.42,43.17,44.52,43.46,33.48,30.18,28.6,28.5,31.5,0.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,37.7,25.67,23.89,31.23,21.6,35.82,38.06,57.12,50.22,68.6,48.28,42.97,43.4,46.16,45.52,33.52,30.68,-0.61,-0.83,-2.49,-0.01,-0.35,-0.99,-1.23,-2.46,-1.18,-2.45,-0.26,-0.21,-0.04,-0.2,-0.26,-0.01,-0.09,3.76,6.19,7.44,0.16,1.28,5.48,6.94,17.64,8.88,21.16,2.16,1.55,0.23,1.64,2.06,0.04,0.5,0.4,0.54,1.44,0.68,0.99,0.71,0.59,0.34,0.16,0.03,0.01,0.15,0.16,0.2,0.24,0.72,0.71,,,,
