Datetime,Ta,Tg,Twb,MRT,RH,V,WBGT,ET
2025-02-11 09:15:27,25.2,25.1,25.2,25.1,19.06,0.0,25.17,24.23
2025-02-11 09:16:27,25.2,25.2,25.2,25.2,63.18,0.1,25.2,26.01
2025-02-11 09:17:27,25.2,25.2,25.2,25.2,63.18,0.08,25.2,26.01
2025-02-11 09:18:27,25.1,25.2,25.2,25.3,63.55,0.08,25.2,26.01
2025-02-11 09:19:27,25.1,25.2,25.2,25.3,63.95,0.13,25.2,26.03
2025-02-11 09:20:27,25.2,25.2,25.2,25.2,63.57,0.11,25.2,26.03
2025-02-11 09:21:27,25.2,25.2,25.2,25.2,63.57,0.17,25.2,26.03
2025-02-11 09:22:27,25.2,25.2,25.2,25.2,63.98,0.12,25.2,26.06
2025-02-11 09:23:27,25.2,25.2,25.2,25.2,63.98,0.12,25.2,26.06
2025-02-11 09:24:27,25.3,25.2,25.2,25.2,63.6,0.06,25.2,26.06
2025-02-11 09:25:27,25.2,25.2,25.2,25.2,63.98,0.1,25.2,26.06
2025-02-11 09:26:27,25.3,25.2,25.2,25.1,63.6,0.09,25.2,26.06
2025-02-11 09:27:27,25.3,25.2,25.2,25.1,63.6,0.14,25.2,26.06
2025-02-11 09:28:27,25.3,25.2,25.3,25.1,63.2,0.09,25.27,26.03
2025-02-11 09:29:27,25.3,25.3,25.2,25.3,63.2,0.12,25.23,26.03
2025-02-11 09:30:27,25.3,25.2,25.3,25.1,63.2,0.08,25.27,26.03
2025-02-11 09:31:27,25.3,25.3,25.3,25.3,63.6,0.11,25.3,26.06
2025-02-11 09:32:27,25.3,25.3,25.3,25.3,63.6,0.13,25.3,26.06
2025-02-11 09:33:27,25.3,25.3,25.3,25.3,63.6,0.06,25.3,26.06
2025-02-11 09:34:27,25.3,25.3,25.3,25.3,63.6,0.08,25.3,26.06
2025-02-11 09:35:27,25.3,25.2,25.3,25.1,63.6,0.09,25.27,26.15
2025-02-11 09:36:27,25.3,25.3,25.3,25.3,63.6,0.06,25.3,26.06
2025-02-11 09:37:27,25.3,25.3,25.3,25.3,63.6,0.12,25.3,26.06
2025-02-11 09:38:27,25.3,25.3,25.3,25.3,63.6,0.07,25.3,26.15
2025-02-11 09:39:27,25.3,25.3,25.3,25.3,63.6,0.11,25.3,26.15
2025-02-11 09:40:27,25.3,25.3,25.3,25.3,63.6,0.08,25.3,26.15
