Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
1/02/2025 5:23:59 PM,597497,34.0,52.9,,34.0,3.0,99.2,31.2,34.0,34.0,54.7,,34.0,3.0,99.2,31.2,34.0,34.0,31.2,,34.0,3.0,99.2,31.2,34.0,34.0,45.1,,34.0,34.0,43.3,,34.0,34.0,60.4,,34.0,34.0,57.2,,34.0,34.0,56.8,,34.0,34.0,57.9,,34.0,34.0,66.8,,34.0,34.0,69.2,,34.0,34.0,31.2,,34.0,34.0,54.8,,34.0,34.0,18.4,,34.0,34.0,76.4,,34.0,34.0,103.0,,34.0,34.0,92.3,,34.0,34.0,63.1,,34.0,34.0,75.7,,34.0,34.0,47.6,,34.0,34.0,51.8,,34.0,34.0,28.0,,34.0,34.0,31.0,,34.0,34.0,35.4,,34.0,34.0,40.0,,34.0,0.5,
1/02/2025 5:24:44 PM,597542,34.0,54.3,,34.0,3.0,99.2,31.2,34.0,34.0,56.6,,34.0,3.0,99.2,31.2,34.0,34.0,30.2,,34.0,3.0,99.2,31.2,34.0,34.0,45.0,,34.0,34.0,44.4,,34.0,34.0,61.9,,34.0,34.0,63.4,,34.0,34.0,56.3,,34.0,34.0,60.3,,34.0,34.0,67.0,,34.0,34.0,68.5,,34.0,34.0,30.2,,34.0,34.0,53.7,,34.0,34.0,19.2,,34.0,34.0,81.4,,34.0,34.0,117.1,,34.0,34.0,93.7,,34.0,34.0,67.6,,34.0,34.0,76.0,,34.0,34.0,46.5,,34.0,34.0,54.3,,34.0,34.0,27.6,,34.0,34.0,32.0,,34.0,34.0,36.4,,34.0,34.0,40.8,,34.0,0.8,
1/02/2025 5:25:44 PM,597602,34.0,54.6,,34.0,3.0,99.2,31.2,34.0,34.0,56.8,,34.0,3.0,99.2,31.2,34.0,34.0,31.5,,34.0,3.0,99.2,31.2,34.0,34.0,44.4,,34.0,34.0,43.8,,34.0,34.0,63.3,,34.0,34.0,64.2,,34.0,34.0,55.2,,34.0,34.0,60.7,,34.0,34.0,68.7,,34.0,34.0,70.9,,34.0,34.0,31.5,,34.0,34.0,54.6,,34.0,34.0,16.9,,34.0,34.0,64.0,,34.0,34.0,124.4,,34.0,34.0,91.5,,34.0,34.0,75.0,,34.0,34.0,76.8,,34.0,34.0,47.5,,34.0,34.0,54.8,,34.0,34.0,28.2,,34.0,34.0,32.6,,34.0,34.0,38.0,,34.0,34.0,40.9,,34.0,0.8,
1/02/2025 5:26:45 PM,597662,34.0,54.0,,34.0,3.0,99.2,31.2,34.0,34.0,56.7,,34.0,3.0,99.2,31.2,34.0,34.0,30.3,,34.0,3.0,99.2,31.2,34.0,34.0,43.7,,34.0,34.0,44.6,,34.0,34.0,62.8,,34.0,34.0,64.4,,34.0,34.0,55.2,,34.0,34.0,60.2,,34.0,34.0,69.1,,34.0,34.0,70.7,,34.0,34.0,30.3,,34.0,34.0,54.1,,34.0,34.0,15.8,,34.0,34.0,58.4,,34.0,34.0,117.9,,34.0,34.0,93.8,,34.0,34.0,68.9,,34.0,34.0,80.4,,34.0,34.0,45.6,,34.0,34.0,53.7,,34.0,34.0,28.7,,34.0,34.0,31.4,,34.0,34.0,38.5,,34.0,34.0,42.0,,34.0,0.2,
1/02/2025 5:27:45 PM,597722,34.0,55.2,,34.0,3.0,99.2,31.2,34.0,34.0,57.1,,34.0,3.0,99.2,31.2,34.0,34.0,31.8,,34.0,3.0,99.2,31.2,34.0,34.0,45.4,,34.0,34.0,45.1,,34.0,34.0,63.0,,34.0,34.0,64.8,,34.0,34.0,55.0,,34.0,34.0,59.8,,34.0,34.0,68.7,,34.0,34.0,71.0,,34.0,34.0,31.8,,34.0,34.0,54.1,,34.0,34.0,15.6,,34.0,34.0,65.3,,34.0,34.0,134.0,,34.0,34.0,101.7,,34.0,34.0,71.6,,34.0,34.0,88.1,,34.0,34.0,46.0,,34.0,34.0,57.4,,34.0,34.0,28.9,,34.0,34.0,32.3,,34.0,34.0,34.7,,34.0,34.0,39.9,,34.0,0.8,
1/02/2025 5:28:44 PM,597782,34.0,54.6,,34.0,3.0,99.2,31.2,34.0,34.0,56.0,,34.0,3.0,99.2,31.2,34.0,34.0,32.3,,34.0,3.0,99.2,31.2,34.0,34.0,44.8,,34.0,34.0,43.9,,34.0,34.0,62.9,,34.0,34.0,61.6,,34.0,34.0,55.0,,34.0,34.0,60.5,,34.0,34.0,67.7,,34.0,34.0,70.7,,34.0,34.0,32.3,,34.0,34.0,54.9,,34.0,34.0,14.9,,34.0,34.0,60.0,,34.0,34.0,124.4,,34.0,34.0,101.5,,34.0,34.0,69.5,,34.0,34.0,86.7,,34.0,34.0,46.0,,34.0,34.0,56.9,,34.0,34.0,29.3,,34.0,34.0,33.5,,34.0,34.0,36.9,,34.0,34.0,40.1,,34.0,0.5,
1/02/2025 5:29:45 PM,597842,34.0,54.0,,34.0,3.0,99.2,31.2,34.0,34.0,56.0,,34.0,3.0,99.2,31.2,34.0,34.0,32.2,,34.0,3.0,99.2,31.2,34.0,34.0,44.9,,34.0,34.0,43.1,,34.0,34.0,61.8,,34.0,34.0,63.0,,34.0,34.0,55.0,,34.0,34.0,61.4,,34.0,34.0,68.1,,34.0,34.0,70.1,,34.0,34.0,32.2,,34.0,34.0,54.2,,34.0,34.0,16.7,,34.0,34.0,61.0,,34.0,34.0,105.8,,34.0,34.0,98.7,,34.0,34.0,64.4,,34.0,34.0,81.1,,34.0,34.0,45.7,,34.0,34.0,56.8,,34.0,34.0,28.8,,34.0,34.0,37.5,,34.0,34.0,35.8,,34.0,34.0,41.6,,34.0,0.9,
1/02/2025 5:30:44 PM,597902,34.0,54.2,,34.0,3.0,99.2,31.2,34.0,34.0,55.5,,34.0,3.0,99.2,31.2,34.0,34.0,31.4,,34.0,3.0,99.2,31.2,34.0,34.0,44.1,,34.0,34.0,44.0,,34.0,34.0,61.6,,34.0,34.0,61.0,,34.0,34.0,55.0,,34.0,34.0,60.8,,34.0,34.0,66.9,,34.0,34.0,69.6,,34.0,34.0,31.4,,34.0,34.0,55.9,,34.0,34.0,15.8,,34.0,34.0,65.4,,34.0,34.0,117.4,,34.0,34.0,96.9,,34.0,34.0,67.4,,34.0,34.0,80.3,,34.0,34.0,46.0,,34.0,34.0,57.1,,34.0,34.0,29.7,,34.0,34.0,34.5,,34.0,34.0,36.5,,34.0,34.0,41.4,,34.0,0.2,
1/02/2025 5:31:44 PM,597962,34.0,54.8,,34.0,3.0,99.2,31.2,34.0,34.0,57.3,,34.0,3.0,99.2,31.2,34.0,34.0,31.3,,34.0,3.0,99.2,31.2,34.0,34.0,44.6,,34.0,34.0,44.5,,34.0,34.0,64.5,,34.0,34.0,64.7,,34.0,34.0,55.0,,34.0,34.0,61.1,,34.0,34.0,67.5,,34.0,34.0,68.1,,34.0,34.0,31.3,,34.0,34.0,55.5,,34.0,34.0,16.2,,34.0,34.0,61.3,,34.0,34.0,121.9,,34.0,34.0,103.0,,34.0,34.0,68.0,,34.0,34.0,86.8,,34.0,34.0,44.4,,34.0,34.0,57.3,,34.0,34.0,28.5,,34.0,34.0,35.4,,34.0,34.0,35.8,,34.0,34.0,40.5,,34.0,0.0,
