Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
3/02/2025 6:22:23 PM,773797,34.0,52.7,,34.0,3.0,99.2,31.2,34.0,34.0,58.5,,34.0,3.0,99.2,31.2,34.0,34.0,31.5,,34.0,3.0,99.2,31.2,34.0,34.0,45.7,,34.0,34.0,44.0,,34.0,34.0,65.4,,34.0,34.0,66.8,,34.0,34.0,56.5,,34.0,34.0,64.2,,34.0,34.0,68.3,,34.0,34.0,67.8,,34.0,34.0,31.5,,34.0,34.0,53.5,,34.0,34.0,18.0,,34.0,34.0,50.5,,34.0,34.0,95.4,,34.0,34.0,87.9,,34.0,34.0,63.6,,34.0,34.0,69.9,,34.0,34.0,45.0,,34.0,34.0,52.6,,34.0,34.0,28.2,,34.0,34.0,31.1,,34.0,34.0,34.8,,34.0,34.0,38.9,,34.0,0.4,
3/02/2025 6:22:48 PM,773822,34.0,52.9,,34.0,3.0,99.2,31.2,34.0,34.0,58.1,,34.0,3.0,99.2,31.2,34.0,34.0,32.6,,34.0,3.0,99.2,31.2,34.0,34.0,45.6,,34.0,34.0,43.9,,34.0,34.0,64.9,,34.0,34.0,65.6,,34.0,34.0,57.0,,34.0,34.0,62.3,,34.0,34.0,70.0,,34.0,34.0,70.7,,34.0,34.0,32.6,,34.0,34.0,55.3,,34.0,34.0,18.4,,34.0,34.0,51.7,,34.0,34.0,91.1,,34.0,34.0,86.6,,34.0,34.0,62.4,,34.0,34.0,70.1,,34.0,34.0,46.2,,34.0,34.0,51.3,,34.0,34.0,27.8,,34.0,34.0,31.2,,34.0,34.0,36.5,,34.0,34.0,39.8,,34.0,0.1,
3/02/2025 6:23:48 PM,773882,34.0,52.3,,34.0,3.0,99.2,31.2,34.0,34.0,57.8,,34.0,3.0,99.2,31.2,34.0,34.0,32.6,,34.0,3.0,99.2,31.2,34.0,34.0,43.8,,34.0,34.0,45.9,,34.0,34.0,65.0,,34.0,34.0,64.1,,34.0,34.0,57.0,,34.0,34.0,62.6,,34.0,34.0,68.1,,34.0,34.0,67.4,,34.0,34.0,32.6,,34.0,34.0,54.1,,34.0,34.0,17.7,,34.0,34.0,51.9,,34.0,34.0,94.0,,34.0,34.0,87.2,,34.0,34.0,64.0,,34.0,34.0,69.7,,34.0,34.0,44.8,,34.0,34.0,51.3,,34.0,34.0,28.6,,34.0,34.0,30.7,,34.0,34.0,33.7,,34.0,34.0,38.6,,34.0,0.5,
3/02/2025 6:24:48 PM,773942,34.0,53.3,,34.0,3.0,99.2,31.2,34.0,34.0,58.3,,34.0,3.0,99.2,31.2,34.0,34.0,30.7,,34.0,3.0,99.2,31.2,34.0,34.0,45.7,,34.0,34.0,44.0,,34.0,34.0,64.4,,34.0,34.0,66.8,,34.0,34.0,57.0,,34.0,34.0,64.6,,34.0,34.0,69.8,,34.0,34.0,70.2,,34.0,34.0,30.7,,34.0,34.0,56.9,,34.0,34.0,18.3,,34.0,34.0,54.1,,34.0,34.0,94.0,,34.0,34.0,87.1,,34.0,34.0,59.8,,34.0,34.0,74.4,,34.0,34.0,44.9,,34.0,34.0,53.7,,34.0,34.0,28.1,,34.0,34.0,31.5,,34.0,34.0,33.6,,34.0,34.0,40.1,,34.0,0.3,
3/02/2025 6:25:48 PM,774002,34.0,55.3,,34.0,3.0,99.2,31.2,34.0,34.0,58.2,,34.0,3.0,99.2,31.2,34.0,34.0,31.8,,34.0,3.0,99.2,31.2,34.0,34.0,45.8,,34.0,34.0,45.2,,34.0,34.0,65.0,,34.0,34.0,64.9,,34.0,34.0,57.0,,34.0,34.0,63.7,,34.0,34.0,69.3,,34.0,34.0,67.5,,34.0,34.0,31.8,,34.0,34.0,53.2,,34.0,34.0,28.0,,34.0,34.0,103.4,,34.0,34.0,101.0,,34.0,34.0,87.0,,34.0,34.0,63.0,,34.0,34.0,71.4,,34.0,34.0,47.5,,34.0,34.0,50.2,,34.0,34.0,32.0,,34.0,34.0,32.9,,34.0,34.0,34.9,,34.0,34.0,39.6,,34.0,1.4,
3/02/2025 6:26:48 PM,774062,34.0,55.1,,34.0,3.0,99.2,31.2,34.0,34.0,57.6,,34.0,3.0,99.2,31.2,34.0,34.0,30.9,,34.0,3.0,99.2,31.2,34.0,34.0,44.5,,34.0,34.0,44.3,,34.0,34.0,64.6,,34.0,34.0,64.2,,34.0,34.0,57.0,,34.0,34.0,58.4,,34.0,34.0,68.1,,34.0,34.0,71.6,,34.0,34.0,30.9,,34.0,34.0,54.1,,34.0,34.0,28.1,,34.0,34.0,111.0,,34.0,34.0,100.2,,34.0,34.0,85.8,,34.0,34.0,64.1,,34.0,34.0,70.8,,34.0,34.0,48.0,,34.0,34.0,52.1,,34.0,34.0,31.0,,34.0,34.0,31.8,,34.0,34.0,34.5,,34.0,34.0,36.2,,34.0,0.2,
3/02/2025 6:27:48 PM,774122,34.0,55.7,,34.0,3.0,99.2,31.2,34.0,34.0,58.2,,34.0,3.0,99.2,31.2,34.0,34.0,30.1,,34.0,3.0,99.2,31.2,34.0,34.0,44.5,,34.0,34.0,43.3,,34.0,34.0,64.7,,34.0,34.0,66.8,,34.0,34.0,57.0,,34.0,34.0,59.2,,34.0,34.0,71.0,,34.0,34.0,70.3,,34.0,34.0,30.1,,34.0,34.0,53.7,,34.0,34.0,27.7,,34.0,34.0,113.0,,34.0,34.0,95.3,,34.0,34.0,93.4,,34.0,34.0,62.8,,34.0,34.0,72.0,,34.0,34.0,48.6,,34.0,34.0,51.9,,34.0,34.0,31.4,,34.0,34.0,31.8,,34.0,34.0,36.2,,34.0,34.0,39.6,,34.0,0.1,
3/02/2025 6:28:48 PM,774182,34.0,55.9,,34.0,3.0,99.2,31.2,34.0,34.0,58.0,,34.0,3.0,99.2,31.2,34.0,34.0,32.2,,34.0,3.0,99.2,31.2,34.0,34.0,44.8,,34.0,34.0,45.1,,34.0,34.0,64.8,,34.0,34.0,65.2,,34.0,34.0,57.0,,34.0,34.0,58.2,,34.0,34.0,71.6,,34.0,34.0,67.3,,34.0,34.0,32.2,,34.0,34.0,55.7,,34.0,34.0,26.8,,34.0,34.0,113.2,,34.0,34.0,96.2,,34.0,34.0,91.5,,34.0,34.0,64.2,,34.0,34.0,75.0,,34.0,34.0,48.7,,34.0,34.0,51.6,,34.0,34.0,32.8,,34.0,34.0,31.0,,34.0,34.0,37.5,,34.0,34.0,40.4,,34.0,0.4,
3/02/2025 6:29:48 PM,774242,34.0,56.0,,34.0,3.0,99.2,31.2,34.0,34.0,58.6,,34.0,3.0,99.2,31.2,34.0,34.0,31.9,,34.0,3.0,99.2,31.2,34.0,34.0,44.5,,34.0,34.0,44.7,,34.0,34.0,65.4,,34.0,34.0,67.2,,34.0,34.0,57.0,,34.0,34.0,59.6,,34.0,34.0,70.4,,34.0,34.0,69.1,,34.0,34.0,31.9,,34.0,34.0,56.5,,34.0,34.0,26.4,,34.0,34.0,114.8,,34.0,34.0,93.7,,34.0,34.0,86.4,,34.0,34.0,64.4,,34.0,34.0,73.0,,34.0,34.0,49.5,,34.0,34.0,51.1,,34.0,34.0,33.2,,34.0,34.0,33.0,,34.0,34.0,37.0,,34.0,34.0,39.7,,34.0,0.0,
