Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
4/02/2025 1:23:54 PM,842287,34.0,68.6,,34.0,3.0,99.2,31.2,34.0,34.0,73.6,,34.0,3.0,99.2,31.2,34.0,34.0,39.0,,34.0,3.0,99.2,31.2,34.0,34.0,53.0,,34.0,34.0,48.4,,34.0,34.0,86.6,,34.0,34.0,85.1,,34.0,34.0,71.5,,34.0,34.0,76.3,,34.0,34.0,84.9,,34.0,34.0,85.7,,34.0,34.0,39.0,,34.0,34.0,94.9,,34.0,34.0,24.2,,34.0,34.0,75.6,,34.0,34.0,96.6,,34.0,34.0,87.3,,34.0,34.0,69.1,,34.0,34.0,80.5,,34.0,34.0,62.1,,34.0,34.0,65.0,,34.0,34.0,35.2,,34.0,34.0,37.5,,34.0,34.0,66.0,,34.0,34.0,65.7,,34.0,0.1,
4/02/2025 1:24:49 PM,842342,34.0,73.7,,34.0,3.0,99.2,31.2,34.0,34.0,79.3,,34.0,3.0,99.2,31.2,34.0,34.0,41.8,,34.0,3.0,99.2,31.2,34.0,34.0,53.8,,34.0,34.0,49.7,,34.0,34.0,94.2,,34.0,34.0,92.2,,34.0,34.0,78.4,,34.0,34.0,73.2,,34.0,34.0,87.2,,34.0,34.0,92.7,,34.0,34.0,41.8,,34.0,34.0,99.5,,34.0,34.0,43.3,,34.0,34.0,81.3,,34.0,34.0,112.0,,34.0,34.0,95.1,,34.0,34.0,76.2,,34.0,34.0,84.8,,34.0,34.0,66.2,,34.0,34.0,67.8,,34.0,34.0,38.8,,34.0,34.0,32.6,,34.0,34.0,71.9,,34.0,34.0,69.8,,34.0,1.6,
4/02/2025 1:25:49 PM,842402,34.0,74.1,,34.0,3.0,99.2,31.2,34.0,34.0,81.1,,34.0,3.0,99.2,31.2,34.0,34.0,41.4,,34.0,3.0,99.2,31.2,34.0,34.0,53.7,,34.0,34.0,53.0,,34.0,34.0,96.5,,34.0,34.0,94.5,,34.0,34.0,79.5,,34.0,34.0,77.9,,34.0,34.0,94.0,,34.0,34.0,94.7,,34.0,34.0,41.4,,34.0,34.0,105.3,,34.0,34.0,21.1,,34.0,34.0,81.0,,34.0,34.0,107.8,,34.0,34.0,94.4,,34.0,34.0,70.4,,34.0,34.0,81.6,,34.0,34.0,66.9,,34.0,34.0,69.3,,34.0,34.0,38.3,,34.0,34.0,39.3,,34.0,34.0,71.5,,34.0,34.0,72.2,,34.0,1.4,
4/02/2025 1:26:49 PM,842462,34.0,74.3,,34.0,3.0,99.2,31.2,34.0,34.0,81.1,,34.0,3.0,99.2,31.2,34.0,34.0,41.7,,34.0,3.0,99.2,31.2,34.0,34.0,54.6,,34.0,34.0,51.7,,34.0,34.0,97.7,,34.0,34.0,93.8,,34.0,34.0,79.4,,34.0,34.0,76.7,,34.0,34.0,97.1,,34.0,34.0,95.1,,34.0,34.0,41.7,,34.0,34.0,105.7,,34.0,34.0,24.4,,34.0,34.0,82.9,,34.0,34.0,104.5,,34.0,34.0,95.1,,34.0,34.0,74.0,,34.0,34.0,80.1,,34.0,34.0,66.6,,34.0,34.0,67.1,,34.0,34.0,38.8,,34.0,34.0,38.2,,34.0,34.0,71.8,,34.0,34.0,70.1,,34.0,0.2,
4/02/2025 1:27:49 PM,842522,34.0,74.9,,34.0,3.0,99.2,31.2,34.0,34.0,80.5,,34.0,3.0,99.2,31.2,34.0,34.0,43.9,,34.0,3.0,99.2,31.2,34.0,34.0,54.4,,34.0,34.0,50.8,,34.0,34.0,95.8,,34.0,34.0,93.5,,34.0,34.0,79.5,,34.0,34.0,80.1,,34.0,34.0,99.2,,34.0,34.0,101.1,,34.0,34.0,43.9,,34.0,34.0,104.9,,34.0,34.0,25.7,,34.0,34.0,80.4,,34.0,34.0,106.4,,34.0,34.0,93.5,,34.0,34.0,71.2,,34.0,34.0,81.0,,34.0,34.0,67.1,,34.0,34.0,67.6,,34.0,34.0,39.7,,34.0,34.0,39.0,,34.0,34.0,72.9,,34.0,34.0,70.3,,34.0,0.5,
4/02/2025 1:28:49 PM,842582,34.0,74.6,,34.0,3.0,99.2,31.2,34.0,34.0,80.4,,34.0,3.0,99.2,31.2,34.0,34.0,44.3,,34.0,3.0,99.2,31.2,34.0,34.0,54.2,,34.0,34.0,50.7,,34.0,34.0,96.2,,34.0,34.0,93.1,,34.0,34.0,79.5,,34.0,34.0,78.5,,34.0,34.0,97.0,,34.0,34.0,95.8,,34.0,34.0,44.3,,34.0,34.0,105.0,,34.0,34.0,25.3,,34.0,34.0,81.3,,34.0,34.0,105.2,,34.0,34.0,96.8,,34.0,34.0,76.8,,34.0,34.0,85.5,,34.0,34.0,65.7,,34.0,34.0,67.4,,34.0,34.0,37.7,,34.0,34.0,39.4,,34.0,34.0,71.3,,34.0,34.0,71.6,,34.0,0.3,
4/02/2025 1:29:49 PM,842642,34.0,75.1,,34.0,3.0,99.2,31.2,34.0,34.0,81.4,,34.0,3.0,99.2,31.2,34.0,34.0,42.9,,34.0,3.0,99.2,31.2,34.0,34.0,54.1,,34.0,34.0,50.7,,34.0,34.0,98.8,,34.0,34.0,94.7,,34.0,34.0,79.2,,34.0,34.0,79.2,,34.0,34.0,96.9,,34.0,34.0,95.7,,34.0,34.0,42.9,,34.0,34.0,105.1,,34.0,34.0,26.1,,34.0,34.0,82.9,,34.0,34.0,105.5,,34.0,34.0,94.3,,34.0,34.0,75.2,,34.0,34.0,85.1,,34.0,34.0,65.9,,34.0,34.0,68.6,,34.0,34.0,39.4,,34.0,34.0,40.4,,34.0,34.0,74.0,,34.0,34.0,71.2,,34.0,0.3,
4/02/2025 1:30:49 PM,842702,34.0,74.6,,34.0,3.0,99.2,31.2,34.0,34.0,80.7,,34.0,3.0,99.2,31.2,34.0,34.0,43.6,,34.0,3.0,99.2,31.2,34.0,34.0,53.2,,34.0,34.0,50.9,,34.0,34.0,95.7,,34.0,34.0,95.4,,34.0,34.0,79.2,,34.0,34.0,79.3,,34.0,34.0,98.2,,34.0,34.0,97.2,,34.0,34.0,43.6,,34.0,34.0,104.9,,34.0,34.0,24.0,,34.0,34.0,81.3,,34.0,34.0,101.6,,34.0,34.0,92.9,,34.0,34.0,73.9,,34.0,34.0,83.0,,34.0,34.0,66.8,,34.0,34.0,68.1,,34.0,34.0,38.6,,34.0,34.0,39.4,,34.0,34.0,73.6,,34.0,34.0,71.3,,34.0,0.8,
4/02/2025 1:31:49 PM,842762,34.0,74.8,,34.0,3.0,99.2,31.2,34.0,34.0,81.3,,34.0,3.0,99.2,31.2,34.0,34.0,42.9,,34.0,3.0,99.2,31.2,34.0,34.0,56.2,,34.0,34.0,50.8,,34.0,34.0,96.6,,34.0,34.0,94.5,,34.0,34.0,80.1,,34.0,34.0,79.6,,34.0,34.0,98.8,,34.0,34.0,95.7,,34.0,34.0,42.9,,34.0,34.0,104.4,,34.0,34.0,22.7,,34.0,34.0,83.6,,34.0,34.0,108.1,,34.0,34.0,94.5,,34.0,34.0,75.0,,34.0,34.0,83.9,,34.0,34.0,64.8,,34.0,34.0,67.8,,34.0,34.0,39.2,,34.0,34.0,39.6,,34.0,34.0,72.4,,34.0,34.0,71.2,,34.0,0.6,
