Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
5/02/2025 10:23:41 AM,917872,34.0,59.2,,34.0,3.0,99.2,31.2,34.0,34.0,62.5,,34.0,3.0,99.2,31.2,34.0,34.0,42.1,,34.0,3.0,99.2,31.2,34.0,34.0,49.3,,34.0,34.0,48.4,,34.0,34.0,69.2,,34.0,34.0,70.8,,34.0,34.0,60.6,,34.0,34.0,68.4,,34.0,34.0,71.5,,34.0,34.0,74.3,,34.0,34.0,42.1,,34.0,34.0,59.9,,34.0,34.0,22.1,,34.0,34.0,125.9,,34.0,34.0,98.4,,34.0,34.0,91.1,,34.0,34.0,62.2,,34.0,34.0,72.4,,34.0,34.0,48.5,,34.0,34.0,57.8,,34.0,34.0,32.1,,34.0,34.0,35.7,,34.0,34.0,38.2,,34.0,34.0,42.8,,34.0,0.1,
5/02/2025 10:23:51 AM,917882,34.0,59.2,,34.0,3.0,99.2,31.2,34.0,34.0,62.7,,34.0,3.0,99.2,31.2,34.0,34.0,42.6,,34.0,3.0,99.2,31.2,34.0,34.0,48.8,,34.0,34.0,47.2,,34.0,34.0,70.3,,34.0,34.0,71.6,,34.0,34.0,60.6,,34.0,34.0,67.4,,34.0,34.0,72.9,,34.0,34.0,73.8,,34.0,34.0,42.6,,34.0,34.0,60.4,,34.0,34.0,22.1,,34.0,34.0,121.0,,34.0,34.0,98.7,,34.0,34.0,88.6,,34.0,34.0,61.2,,34.0,34.0,72.7,,34.0,34.0,48.3,,34.0,34.0,55.8,,34.0,34.0,31.6,,34.0,34.0,36.6,,34.0,34.0,41.2,,34.0,34.0,43.9,,34.0,0.1,
5/02/2025 10:24:51 AM,917942,34.0,60.9,,34.0,3.0,99.2,31.2,34.0,34.0,62.8,,34.0,3.0,99.2,31.2,34.0,34.0,41.5,,34.0,3.0,99.2,31.2,34.0,34.0,47.4,,34.0,34.0,48.4,,34.0,34.0,69.0,,34.0,34.0,73.2,,34.0,34.0,60.6,,34.0,34.0,72.0,,34.0,34.0,72.3,,34.0,34.0,75.5,,34.0,34.0,41.5,,34.0,34.0,60.5,,34.0,34.0,25.4,,34.0,34.0,141.4,,34.0,34.0,100.9,,34.0,34.0,96.1,,34.0,34.0,62.4,,34.0,34.0,77.3,,34.0,34.0,49.2,,34.0,34.0,58.1,,34.0,34.0,32.4,,34.0,34.0,36.9,,34.0,34.0,39.8,,34.0,34.0,44.5,,34.0,1.3,
5/02/2025 10:25:51 AM,918002,34.0,60.5,,34.0,3.0,99.2,31.2,34.0,34.0,63.7,,34.0,3.0,99.2,31.2,34.0,34.0,41.9,,34.0,3.0,99.2,31.2,34.0,34.0,49.3,,34.0,34.0,47.6,,34.0,34.0,71.9,,34.0,34.0,73.3,,34.0,34.0,60.6,,34.0,34.0,69.8,,34.0,34.0,71.2,,34.0,34.0,73.7,,34.0,34.0,41.9,,34.0,34.0,59.2,,34.0,34.0,25.7,,34.0,34.0,144.5,,34.0,34.0,103.6,,34.0,34.0,88.6,,34.0,34.0,63.0,,34.0,34.0,72.3,,34.0,34.0,48.8,,34.0,34.0,56.2,,34.0,34.0,32.2,,34.0,34.0,35.9,,34.0,34.0,40.3,,34.0,34.0,43.5,,34.0,0.3,
5/02/2025 10:26:51 AM,918062,34.0,60.1,,34.0,3.0,99.2,31.2,34.0,34.0,64.0,,34.0,3.0,99.2,31.2,34.0,34.0,42.4,,34.0,3.0,99.2,31.2,34.0,34.0,49.2,,34.0,34.0,47.0,,34.0,34.0,71.6,,34.0,34.0,75.2,,34.0,34.0,60.6,,34.0,34.0,70.5,,34.0,34.0,56.1,,34.0,34.0,76.4,,34.0,34.0,42.4,,34.0,34.0,58.8,,34.0,34.0,26.4,,34.0,34.0,144.3,,34.0,34.0,104.6,,34.0,34.0,89.7,,34.0,34.0,63.0,,34.0,34.0,72.8,,34.0,34.0,48.9,,34.0,34.0,56.6,,34.0,34.0,32.2,,34.0,34.0,37.3,,34.0,34.0,41.6,,34.0,34.0,42.7,,34.0,0.7,
5/02/2025 10:27:51 AM,918122,34.0,60.5,,34.0,3.0,99.2,31.2,34.0,34.0,62.8,,34.0,3.0,99.2,31.2,34.0,34.0,42.8,,34.0,3.0,99.2,31.2,34.0,34.0,47.9,,34.0,34.0,47.3,,34.0,34.0,69.9,,34.0,34.0,72.7,,34.0,34.0,60.6,,34.0,34.0,70.4,,34.0,34.0,69.9,,34.0,34.0,76.0,,34.0,34.0,42.8,,34.0,34.0,59.4,,34.0,34.0,27.3,,34.0,34.0,140.2,,34.0,34.0,99.5,,34.0,34.0,92.2,,34.0,34.0,62.4,,34.0,34.0,74.4,,34.0,34.0,49.0,,34.0,34.0,56.2,,34.0,34.0,34.1,,34.0,34.0,36.8,,34.0,34.0,40.6,,34.0,34.0,43.3,,34.0,0.8,
5/02/2025 10:28:51 AM,918182,34.0,61.5,,34.0,3.0,99.2,31.2,34.0,34.0,64.7,,34.0,3.0,99.2,31.2,34.0,34.0,42.0,,34.0,3.0,99.2,31.2,34.0,34.0,49.0,,34.0,34.0,47.8,,34.0,34.0,73.9,,34.0,34.0,75.5,,34.0,34.0,60.5,,34.0,34.0,72.5,,34.0,34.0,73.2,,34.0,34.0,77.2,,34.0,34.0,42.0,,34.0,34.0,58.6,,34.0,34.0,26.6,,34.0,34.0,143.3,,34.0,34.0,107.8,,34.0,34.0,91.6,,34.0,34.0,66.0,,34.0,34.0,71.2,,34.0,34.0,50.8,,34.0,34.0,56.5,,34.0,34.0,31.3,,34.0,34.0,36.4,,34.0,34.0,39.7,,34.0,34.0,43.3,,34.0,0.2,
5/02/2025 10:29:51 AM,918242,34.0,62.2,,34.0,3.0,99.2,31.2,34.0,34.0,64.0,,34.0,3.0,99.2,31.2,34.0,34.0,43.1,,34.0,3.0,99.2,31.2,34.0,34.0,49.2,,34.0,34.0,48.0,,34.0,34.0,71.3,,34.0,34.0,75.2,,34.0,34.0,60.5,,34.0,34.0,72.6,,34.0,34.0,75.9,,34.0,34.0,94.8,,34.0,34.0,43.1,,34.0,34.0,58.7,,34.0,34.0,26.2,,34.0,34.0,141.1,,34.0,34.0,103.6,,34.0,34.0,85.7,,34.0,34.0,64.5,,34.0,34.0,70.7,,34.0,34.0,50.2,,34.0,34.0,55.9,,34.0,34.0,33.3,,34.0,34.0,36.9,,34.0,34.0,39.6,,34.0,34.0,43.5,,34.0,0.4,
5/02/2025 10:30:51 AM,918302,34.0,61.0,,34.0,3.0,99.2,31.2,34.0,34.0,63.8,,34.0,3.0,99.2,31.2,34.0,34.0,40.4,,34.0,3.0,99.2,31.2,34.0,34.0,49.0,,34.0,34.0,49.0,,34.0,34.0,71.4,,34.0,34.0,73.9,,34.0,34.0,60.5,,34.0,34.0,72.3,,34.0,34.0,73.7,,34.0,34.0,79.6,,34.0,34.0,40.4,,34.0,34.0,59.5,,34.0,34.0,26.4,,34.0,34.0,142.6,,34.0,34.0,103.1,,34.0,34.0,89.8,,34.0,34.0,61.6,,34.0,34.0,70.6,,34.0,34.0,48.0,,34.0,34.0,55.5,,34.0,34.0,32.8,,34.0,34.0,37.6,,34.0,34.0,38.7,,34.0,34.0,44.0,,34.0,0.1,
