Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
5/02/2025 2:39:36 PM,933227,33.9,95.2,,33.9,3.0,99.0,31.1,33.9,34.0,88.4,,34.0,3.0,99.2,31.2,34.0,34.0,54.4,,34.0,3.0,99.2,31.2,34.0,34.0,47.0,,34.0,34.0,44.9,,34.0,34.0,87.6,,34.0,34.0,88.5,,34.0,34.0,134.5,,34.0,34.0,121.0,,34.0,34.0,115.4,,34.0,34.0,103.4,,34.0,34.0,54.4,,34.0,34.0,82.1,,34.0,34.0,44.4,,34.0,34.0,135.3,,34.0,32.2,204.2,,32.2,32.6,214.2,,32.6,34.0,139.7,,34.0,34.0,140.5,,34.0,34.0,107.6,,34.0,34.0,66.6,,34.0,34.0,50.9,,34.0,34.0,42.2,,34.0,34.0,95.9,,34.0,34.0,79.5,,34.0,0.5,
5/02/2025 2:39:51 PM,933242,33.9,95.3,,33.9,3.0,99.0,31.1,33.9,34.0,89.4,,34.0,3.0,99.2,31.2,34.0,34.0,53.5,,34.0,3.0,99.2,31.2,34.0,34.0,47.2,,34.0,34.0,45.9,,34.0,34.0,89.8,,34.0,34.0,89.1,,34.0,34.0,135.0,,34.0,34.0,118.2,,34.0,34.0,116.0,,34.0,34.0,102.8,,34.0,34.0,53.5,,34.0,34.0,82.4,,34.0,34.0,45.9,,34.0,34.0,132.8,,34.0,32.2,204.5,,32.2,32.6,214.3,,32.6,34.0,137.6,,34.0,34.0,139.2,,34.0,34.0,107.0,,34.0,34.0,68.8,,34.0,34.0,51.1,,34.0,34.0,43.0,,34.0,34.0,95.6,,34.0,34.0,78.6,,34.0,0.1,
5/02/2025 2:40:51 PM,933302,34.0,72.4,,34.0,3.0,99.1,31.1,34.0,34.0,67.0,,34.0,3.0,99.2,31.2,34.0,34.0,47.5,,34.0,3.0,99.2,31.2,34.0,34.0,46.6,,34.0,34.0,42.9,,34.0,34.0,67.3,,34.0,34.0,63.5,,34.0,34.0,94.0,,34.0,34.0,82.5,,34.0,34.0,76.9,,34.0,34.0,67.6,,34.0,34.0,47.5,,34.0,34.0,65.8,,34.0,34.0,28.1,,34.0,34.0,94.8,,34.0,33.1,204.0,,33.1,33.7,213.5,,33.6,34.0,98.4,,34.0,34.0,107.4,,34.0,34.0,74.3,,34.0,34.0,56.6,,34.0,34.0,45.4,,34.0,34.0,38.3,,34.0,34.0,65.6,,34.0,34.0,52.5,,34.0,16.2,
5/02/2025 2:41:51 PM,933362,34.0,71.1,,34.0,3.0,99.2,31.1,34.0,34.0,65.8,,34.0,3.0,99.2,31.2,34.0,34.0,47.0,,34.0,3.0,99.2,31.2,34.0,34.0,43.5,,34.0,34.0,43.2,,34.0,34.0,66.0,,34.0,34.0,63.1,,34.0,34.0,92.5,,34.0,34.0,76.3,,34.0,34.0,73.8,,34.0,34.0,66.7,,34.0,34.0,47.0,,34.0,34.0,64.9,,34.0,34.0,23.2,,34.0,34.0,93.1,,34.0,33.5,203.4,,33.5,34.1,213.1,,34.1,34.0,101.4,,34.0,34.0,108.4,,34.0,34.0,76.6,,34.0,34.0,58.6,,34.0,34.0,41.2,,34.0,34.0,38.0,,34.0,34.0,63.2,,34.0,34.0,51.7,,34.0,0.1,
5/02/2025 2:42:51 PM,933422,34.0,70.6,,34.0,3.0,99.2,31.2,34.0,34.0,66.0,,34.0,3.0,99.2,31.2,34.0,34.0,46.6,,34.0,3.0,99.2,31.2,34.0,34.0,46.8,,34.0,34.0,43.6,,34.0,34.0,65.7,,34.0,34.0,63.6,,34.0,34.0,91.2,,34.0,34.0,76.1,,34.0,34.0,75.8,,34.0,34.0,73.6,,34.0,34.0,46.6,,34.0,34.0,64.8,,34.0,34.0,20.7,,34.0,34.0,75.0,,34.0,33.8,203.1,,33.7,34.4,212.7,,34.4,34.0,101.0,,34.0,34.0,105.1,,34.0,34.0,77.2,,34.0,34.0,59.2,,34.0,34.0,39.9,,34.0,34.0,37.9,,34.0,34.0,61.9,,34.0,34.0,49.8,,34.0,0.3,
5/02/2025 2:43:51 PM,933482,34.0,68.0,,34.0,3.0,99.2,31.2,34.0,34.0,64.4,,34.0,3.0,99.2,31.2,34.0,34.0,46.7,,34.0,3.0,99.2,31.2,34.0,34.0,45.5,,34.0,34.0,43.1,,34.0,34.0,66.5,,34.0,34.0,63.7,,34.0,34.0,84.4,,34.0,34.0,74.0,,34.0,34.0,73.0,,34.0,34.0,63.2,,34.0,34.0,46.7,,34.0,34.0,61.9,,34.0,34.0,19.9,,34.0,34.0,94.5,,34.0,34.1,203.0,,34.1,34.0,147.7,,34.0,34.0,99.5,,34.0,34.0,106.4,,34.0,34.0,74.7,,34.0,34.0,59.5,,34.0,34.0,40.4,,34.0,34.0,37.4,,34.0,34.0,63.4,,34.0,34.0,48.2,,34.0,3.0,
5/02/2025 2:44:51 PM,933542,34.0,67.6,,34.0,3.0,99.2,31.2,34.0,34.0,64.9,,34.0,3.0,99.2,31.2,34.0,34.0,45.1,,34.0,3.0,99.2,31.2,34.0,34.0,46.4,,34.0,34.0,43.9,,34.0,34.0,66.9,,34.0,34.0,65.5,,34.0,34.0,83.2,,34.0,34.0,71.8,,34.0,34.0,70.1,,34.0,34.0,60.4,,34.0,34.0,45.1,,34.0,34.0,62.8,,34.0,34.0,20.3,,34.0,34.0,87.9,,34.0,34.4,202.7,,34.3,34.0,149.6,,34.0,34.0,96.8,,34.0,34.0,105.6,,34.0,34.0,74.7,,34.0,34.0,57.8,,34.0,34.0,42.5,,34.0,34.0,37.8,,34.0,34.0,61.7,,34.0,34.0,53.3,,34.0,0.0,
5/02/2025 2:45:51 PM,933602,34.0,65.6,,34.0,3.0,99.2,31.2,34.0,34.0,62.6,,34.0,3.0,99.2,31.2,34.0,34.0,45.9,,34.0,3.0,99.2,31.2,34.0,34.0,45.4,,34.0,34.0,43.5,,34.0,34.0,65.1,,34.0,34.0,61.3,,34.0,34.0,80.9,,34.0,34.0,69.5,,34.0,34.0,70.2,,34.0,34.0,64.6,,34.0,34.0,45.9,,34.0,34.0,61.2,,34.0,34.0,23.1,,34.0,34.0,90.7,,34.0,34.1,146.4,,34.1,34.0,151.2,,34.0,34.0,97.3,,34.0,34.0,105.8,,34.0,34.0,73.6,,34.0,34.0,58.1,,34.0,34.0,39.8,,34.0,34.0,39.0,,34.0,34.0,59.3,,34.0,34.0,47.5,,34.0,0.4,
5/02/2025 2:46:51 PM,933662,34.0,66.1,,34.0,3.0,99.2,31.2,34.0,34.0,63.4,,34.0,3.0,99.2,31.2,34.0,34.0,45.3,,34.0,3.0,99.2,31.2,34.0,34.0,46.0,,34.0,34.0,43.6,,34.0,34.0,66.8,,34.0,34.0,64.3,,34.0,34.0,78.4,,34.0,34.0,68.4,,34.0,34.0,69.0,,34.0,34.0,66.7,,34.0,34.0,45.3,,34.0,34.0,61.7,,34.0,34.0,22.5,,34.0,34.0,90.2,,34.0,34.0,150.8,,34.0,34.0,149.1,,34.0,34.0,98.6,,34.0,34.0,106.2,,34.0,34.0,75.7,,34.0,34.0,60.6,,34.0,34.0,41.2,,34.0,34.0,38.8,,34.0,34.0,60.6,,34.0,34.0,47.7,,34.0,0.0,
