Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
7/02/2025 4:47:54 PM,1113722,34.0,51.7,,34.0,3.0,99.2,31.2,34.0,34.0,57.8,,34.0,3.0,99.2,31.2,34.0,34.0,29.6,,34.0,3.0,99.2,31.2,34.0,34.0,45.4,,34.0,34.0,46.1,,34.0,34.0,68.2,,34.0,34.0,70.8,,34.0,34.0,45.5,,34.0,34.0,54.4,,34.0,34.0,71.9,,34.0,34.0,74.0,,34.0,34.0,29.6,,34.0,34.0,58.5,,34.0,34.0,17.8,,34.0,34.0,49.4,,34.0,34.0,73.2,,34.0,34.0,67.5,,34.0,34.0,55.5,,34.0,34.0,67.5,,34.0,34.0,46.5,,34.0,34.0,55.8,,34.0,34.0,27.4,,34.0,34.0,33.0,,34.0,34.0,34.6,,34.0,34.0,38.4,,34.0,0.2,
7/02/2025 4:48:54 PM,1113782,34.0,53.4,,34.0,3.0,99.2,31.2,34.0,34.0,58.3,,34.0,3.0,99.2,31.2,34.0,34.0,31.4,,34.0,3.0,99.2,31.2,34.0,34.0,47.9,,34.0,34.0,46.4,,34.0,34.0,66.9,,34.0,34.0,70.8,,34.0,34.0,47.2,,34.0,34.0,51.7,,34.0,34.0,70.3,,34.0,34.0,73.1,,34.0,34.0,31.4,,34.0,34.0,55.1,,34.0,34.0,23.0,,34.0,34.0,71.6,,34.0,34.0,70.1,,34.0,34.0,67.2,,34.0,34.0,60.2,,34.0,34.0,60.8,,34.0,34.0,60.0,,34.0,34.0,56.6,,34.0,34.0,31.0,,34.0,34.0,32.5,,34.0,34.0,41.0,,34.0,34.0,40.9,,34.0,2.5,
7/02/2025 4:49:54 PM,1113842,34.0,54.8,,34.0,3.0,99.2,31.2,34.0,34.0,57.9,,34.0,3.0,99.2,31.2,34.0,34.0,29.3,,34.0,3.0,99.2,31.2,34.0,34.0,47.0,,34.0,34.0,45.4,,34.0,34.0,68.1,,34.0,34.0,69.1,,34.0,34.0,47.2,,34.0,34.0,53.2,,34.0,34.0,72.3,,34.0,34.0,72.7,,34.0,34.0,29.3,,34.0,34.0,53.1,,34.0,34.0,32.2,,34.0,34.0,90.2,,34.0,34.0,69.3,,34.0,34.0,78.0,,34.0,34.0,50.4,,34.0,34.0,64.9,,34.0,34.0,57.7,,34.0,34.0,56.3,,34.0,34.0,31.2,,34.0,34.0,32.3,,34.0,34.0,47.1,,34.0,34.0,45.5,,34.0,1.0,
7/02/2025 4:50:54 PM,1113902,34.0,53.7,,34.0,3.0,99.2,31.2,34.0,34.0,56.6,,34.0,3.0,99.2,31.2,34.0,34.0,30.4,,34.0,3.0,99.2,31.2,34.0,34.0,44.8,,34.0,34.0,46.0,,34.0,34.0,64.9,,34.0,34.0,68.1,,34.0,34.0,47.2,,34.0,34.0,51.9,,34.0,34.0,68.1,,34.0,34.0,70.4,,34.0,34.0,30.4,,34.0,34.0,50.9,,34.0,34.0,32.9,,34.0,34.0,88.9,,34.0,34.0,61.6,,34.0,34.0,71.8,,34.0,34.0,49.5,,34.0,34.0,62.9,,34.0,34.0,60.2,,34.0,34.0,55.2,,34.0,34.0,32.7,,34.0,34.0,32.1,,34.0,34.0,50.0,,34.0,34.0,45.2,,34.0,0.1,
7/02/2025 4:51:54 PM,1113962,34.0,54.0,,34.0,3.0,99.2,31.2,34.0,34.0,57.1,,34.0,3.0,99.2,31.2,34.0,34.0,29.9,,34.0,3.0,99.2,31.2,34.0,34.0,46.7,,34.0,34.0,45.3,,34.0,34.0,65.8,,34.0,34.0,69.4,,34.0,34.0,46.3,,34.0,34.0,51.6,,34.0,34.0,69.1,,34.0,34.0,70.5,,34.0,34.0,29.9,,34.0,34.0,53.5,,34.0,34.0,33.4,,34.0,34.0,86.5,,34.0,34.0,65.9,,34.0,34.0,76.2,,34.0,34.0,54.0,,34.0,34.0,62.5,,34.0,34.0,58.0,,34.0,34.0,54.5,,34.0,34.0,32.4,,34.0,34.0,30.9,,34.0,34.0,47.2,,34.0,34.0,45.0,,34.0,0.0,
7/02/2025 4:52:54 PM,1114022,34.0,55.3,,34.0,3.0,99.2,31.2,34.0,34.0,57.4,,34.0,3.0,99.2,31.2,34.0,34.0,28.2,,34.0,3.0,99.2,31.2,34.0,34.0,45.3,,34.0,34.0,46.3,,34.0,34.0,67.9,,34.0,34.0,68.7,,34.0,34.0,46.3,,34.0,34.0,54.1,,34.0,34.0,70.3,,34.0,34.0,73.4,,34.0,34.0,28.2,,34.0,34.0,52.6,,34.0,34.0,33.6,,34.0,34.0,87.8,,34.0,34.0,79.6,,34.0,34.0,89.2,,34.0,34.0,53.4,,34.0,34.0,67.0,,34.0,34.0,57.5,,34.0,34.0,56.2,,34.0,34.0,31.2,,34.0,34.0,33.5,,34.0,34.0,48.1,,34.0,34.0,43.9,,34.0,0.5,
7/02/2025 4:53:54 PM,1114082,34.0,55.4,,34.0,3.0,99.2,31.2,34.0,34.0,58.2,,34.0,3.0,99.2,31.2,34.0,34.0,28.4,,34.0,3.0,99.2,31.2,34.0,34.0,44.9,,34.0,34.0,46.3,,34.0,34.0,68.6,,34.0,34.0,71.0,,34.0,34.0,46.3,,34.0,34.0,55.9,,34.0,34.0,70.1,,34.0,34.0,73.3,,34.0,34.0,28.4,,34.0,34.0,51.9,,34.0,34.0,34.2,,34.0,34.0,87.9,,34.0,34.0,75.5,,34.0,34.0,75.5,,34.0,34.0,54.2,,34.0,34.0,68.3,,34.0,34.0,58.5,,34.0,34.0,56.0,,34.0,34.0,31.7,,34.0,34.0,32.4,,34.0,34.0,51.3,,34.0,34.0,45.1,,34.0,0.2,
7/02/2025 4:54:54 PM,1114142,34.0,55.5,,34.0,3.0,99.2,31.2,34.0,34.0,56.4,,34.0,3.0,99.2,31.2,34.0,34.0,31.7,,34.0,3.0,99.2,31.2,34.0,34.0,46.4,,34.0,34.0,46.2,,34.0,34.0,64.5,,34.0,34.0,67.8,,34.0,34.0,46.3,,34.0,34.0,54.2,,34.0,34.0,68.7,,34.0,34.0,72.1,,34.0,34.0,31.7,,34.0,34.0,53.2,,34.0,34.0,34.7,,34.0,34.0,94.1,,34.0,34.0,74.3,,34.0,34.0,76.3,,34.0,34.0,54.4,,34.0,34.0,67.3,,34.0,34.0,60.8,,34.0,34.0,57.1,,34.0,34.0,32.5,,34.0,34.0,33.8,,34.0,34.0,53.1,,34.0,34.0,47.0,,34.0,0.3,
7/02/2025 4:55:54 PM,1114202,34.0,55.1,,34.0,3.0,99.2,31.2,34.0,34.0,57.0,,34.0,3.0,99.2,31.2,34.0,34.0,30.2,,34.0,3.0,99.2,31.2,34.0,34.0,46.0,,34.0,34.0,45.6,,34.0,34.0,65.1,,34.0,34.0,70.0,,34.0,34.0,46.3,,34.0,34.0,53.8,,34.0,34.0,69.1,,34.0,34.0,72.4,,34.0,34.0,30.2,,34.0,34.0,52.1,,34.0,34.0,35.0,,34.0,34.0,90.6,,34.0,34.0,71.0,,34.0,34.0,76.8,,34.0,34.0,52.3,,34.0,34.0,65.6,,34.0,34.0,59.8,,34.0,34.0,55.4,,34.0,34.0,33.3,,34.0,34.0,34.0,,34.0,34.0,52.8,,34.0,34.0,44.6,,34.0,0.4,
