Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
10/02/2025 5:54:05 PM,1376887,34.0,55.8,,34.0,3.0,99.2,31.2,34.0,34.0,63.6,,34.0,3.0,99.2,31.2,34.0,34.0,28.7,,34.0,3.0,99.2,31.2,34.0,34.0,48.0,,34.0,34.0,48.3,,34.0,34.0,71.7,,34.0,34.0,70.3,,34.0,34.0,64.0,,34.0,34.0,62.2,,34.0,34.0,75.5,,34.0,34.0,71.0,,34.0,34.0,28.7,,34.0,34.0,54.3,,34.0,34.0,20.3,,34.0,34.0,72.6,,34.0,34.0,108.2,,34.0,34.0,85.6,,34.0,34.0,72.0,,34.0,34.0,72.1,,34.0,34.0,49.9,,34.0,34.0,48.2,,34.0,34.0,28.5,,34.0,34.0,27.1,,34.0,34.0,38.9,,34.0,34.0,38.4,,34.0,0.2,
10/02/2025 5:54:59 PM,1376942,34.0,55.7,,34.0,3.0,99.2,31.2,34.0,34.0,64.1,,34.0,3.0,99.2,31.2,34.0,34.0,28.0,,34.0,3.0,99.2,31.2,34.0,34.0,49.1,,34.0,34.0,46.6,,34.0,34.0,72.1,,34.0,34.0,72.1,,34.0,34.0,64.0,,34.0,34.0,63.8,,34.0,34.0,74.2,,34.0,34.0,71.0,,34.0,34.0,28.0,,34.0,34.0,54.0,,34.0,34.0,20.2,,34.0,34.0,76.5,,34.0,34.0,100.8,,34.0,34.0,81.1,,34.0,34.0,69.3,,34.0,34.0,72.3,,34.0,34.0,50.7,,34.0,34.0,50.0,,34.0,34.0,27.8,,34.0,34.0,28.6,,34.0,34.0,36.3,,34.0,34.0,38.5,,34.0,0.5,
10/02/2025 5:55:59 PM,1377002,34.0,56.1,,34.0,3.0,99.2,31.2,34.0,34.0,64.3,,34.0,3.0,99.2,31.2,34.0,34.0,31.8,,34.0,3.0,99.2,31.2,34.0,34.0,48.7,,34.0,34.0,47.8,,34.0,34.0,74.6,,34.0,34.0,70.0,,34.0,34.0,64.0,,34.0,34.0,64.5,,34.0,34.0,76.5,,34.0,34.0,70.9,,34.0,34.0,31.8,,34.0,34.0,51.6,,34.0,34.0,19.7,,34.0,34.0,73.4,,34.0,34.0,107.0,,34.0,34.0,78.6,,34.0,34.0,71.0,,34.0,34.0,71.9,,34.0,34.0,51.5,,34.0,34.0,49.7,,34.0,34.0,28.5,,34.0,34.0,28.5,,34.0,34.0,38.4,,34.0,34.0,38.5,,34.0,0.3,
10/02/2025 5:57:00 PM,1377062,34.0,56.2,,34.0,3.0,99.2,31.2,34.0,34.0,64.6,,34.0,3.0,99.2,31.2,34.0,34.0,30.0,,34.0,3.0,99.2,31.2,34.0,34.0,49.3,,34.0,34.0,48.2,,34.0,34.0,72.8,,34.0,34.0,72.6,,34.0,34.0,64.0,,34.0,34.0,62.9,,34.0,34.0,75.5,,34.0,34.0,71.5,,34.0,34.0,30.0,,34.0,34.0,54.5,,34.0,34.0,20.2,,34.0,34.0,72.0,,34.0,34.0,110.3,,34.0,34.0,80.7,,34.0,34.0,73.0,,34.0,34.0,71.9,,34.0,34.0,51.6,,34.0,34.0,49.4,,34.0,34.0,28.6,,34.0,34.0,27.7,,34.0,34.0,38.4,,34.0,34.0,36.6,,34.0,0.1,
10/02/2025 5:58:00 PM,1377122,34.0,56.0,,34.0,3.0,99.2,31.2,34.0,34.0,64.3,,34.0,3.0,99.2,31.2,34.0,34.0,28.8,,34.0,3.0,99.2,31.2,34.0,34.0,50.0,,34.0,34.0,47.6,,34.0,34.0,75.1,,34.0,34.0,69.2,,34.0,34.0,64.0,,34.0,34.0,62.2,,34.0,34.0,76.0,,34.0,34.0,70.9,,34.0,34.0,28.8,,34.0,34.0,51.8,,34.0,34.0,20.6,,34.0,34.0,76.8,,34.0,34.0,105.7,,34.0,34.0,83.0,,34.0,34.0,74.2,,34.0,34.0,71.8,,34.0,34.0,50.1,,34.0,34.0,49.0,,34.0,34.0,28.8,,34.0,34.0,28.5,,34.0,34.0,37.6,,34.0,34.0,36.8,,34.0,0.1,
10/02/2025 5:59:00 PM,1377182,34.0,55.7,,34.0,3.0,99.2,31.2,34.0,34.0,63.6,,34.0,3.0,99.2,31.2,34.0,34.0,29.0,,34.0,3.0,99.2,31.2,34.0,34.0,49.5,,34.0,34.0,46.5,,34.0,34.0,72.9,,34.0,34.0,70.4,,34.0,34.0,62.8,,34.0,34.0,61.5,,34.0,34.0,75.1,,34.0,34.0,71.1,,34.0,34.0,29.0,,34.0,34.0,52.0,,34.0,34.0,20.0,,34.0,34.0,71.5,,34.0,34.0,110.2,,34.0,34.0,85.6,,34.0,34.0,73.4,,34.0,34.0,71.4,,34.0,34.0,50.9,,34.0,34.0,49.0,,34.0,34.0,28.7,,34.0,34.0,28.3,,34.0,34.0,38.5,,34.0,34.0,37.0,,34.0,0.3,
10/02/2025 6:00:00 PM,1377242,34.0,56.0,,34.0,3.0,99.2,31.2,34.0,34.0,63.6,,34.0,3.0,99.2,31.2,34.0,34.0,31.1,,34.0,3.0,99.2,31.2,34.0,34.0,48.0,,34.0,34.0,48.0,,34.0,34.0,72.9,,34.0,34.0,70.4,,34.0,34.0,62.8,,34.0,34.0,64.4,,34.0,34.0,74.0,,34.0,34.0,69.6,,34.0,34.0,31.1,,34.0,34.0,54.2,,34.0,34.0,19.2,,34.0,34.0,74.7,,34.0,34.0,111.6,,34.0,34.0,85.5,,34.0,34.0,71.5,,34.0,34.0,72.5,,34.0,34.0,50.2,,34.0,34.0,49.7,,34.0,34.0,27.8,,34.0,34.0,27.8,,34.0,34.0,39.5,,34.0,34.0,36.8,,34.0,0.7,
10/02/2025 6:01:00 PM,1377302,34.0,56.4,,34.0,3.0,99.2,31.2,34.0,34.0,64.9,,34.0,3.0,99.2,31.2,34.0,34.0,29.8,,34.0,3.0,99.2,31.2,34.0,34.0,51.5,,34.0,34.0,46.8,,34.0,34.0,75.4,,34.0,34.0,71.9,,34.0,34.0,62.8,,34.0,34.0,63.7,,34.0,34.0,75.1,,34.0,34.0,71.3,,34.0,34.0,29.8,,34.0,34.0,57.5,,34.0,34.0,20.0,,34.0,34.0,72.8,,34.0,34.0,105.5,,34.0,34.0,84.2,,34.0,34.0,71.8,,34.0,34.0,72.2,,34.0,34.0,50.5,,34.0,34.0,49.2,,34.0,34.0,28.2,,34.0,34.0,28.0,,34.0,34.0,36.7,,34.0,34.0,37.3,,34.0,0.1,
10/02/2025 6:01:59 PM,1377362,34.0,55.4,,34.0,3.0,99.2,31.2,34.0,34.0,63.9,,34.0,3.0,99.2,31.2,34.0,34.0,28.7,,34.0,3.0,99.2,31.2,34.0,34.0,48.5,,34.0,34.0,47.4,,34.0,34.0,72.9,,34.0,34.0,71.6,,34.0,34.0,62.8,,34.0,34.0,62.9,,34.0,34.0,74.5,,34.0,34.0,70.0,,34.0,34.0,28.7,,34.0,34.0,53.2,,34.0,34.0,19.6,,34.0,34.0,71.1,,34.0,34.0,106.8,,34.0,34.0,82.7,,34.0,34.0,72.4,,34.0,34.0,70.8,,34.0,34.0,49.5,,34.0,34.0,48.9,,34.0,34.0,28.3,,34.0,34.0,27.7,,34.0,34.0,36.6,,34.0,34.0,37.5,,34.0,0.1,
