Manikin #3.4.32
Interval (sec),10
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
12/12/2024 5:08:08 PM,14037,34.0,90.9,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,90.3,,34.0,34.0,93.5,,34.0,34.0,125.9,,34.0,34.0,118.3,,34.0,34.0,102.9,,34.0,34.0,106.9,,34.0,34.0,90.5,,34.0,34.0,93.4,,34.0,34.0,70.2,,34.0,34.0,73.0,,34.0,34.0,28.2,,34.0,34.0,90.0,,34.0,34.0,193.1,,34.0,34.0,164.6,,34.0,34.0,119.6,,34.0,34.0,148.7,,34.0,34.0,88.5,,34.0,34.0,78.1,,34.0,34.0,55.8,,34.0,34.0,53.6,,34.0,34.0,61.0,,34.0,34.0,50.6,,34.0,0.0,
12/12/2024 5:08:13 PM,14042,34.0,90.9,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,91.3,,34.0,34.0,91.4,,34.0,34.0,125.5,,34.0,34.0,114.6,,34.0,34.0,102.9,,34.0,34.0,108.9,,34.0,34.0,89.9,,34.0,34.0,94.4,,34.0,34.0,69.2,,34.0,34.0,73.8,,34.0,34.0,29.4,,34.0,34.0,91.0,,34.0,34.0,190.0,,34.0,34.0,165.5,,34.0,34.0,119.4,,34.0,34.0,149.9,,34.0,34.0,88.9,,34.0,34.0,79.8,,34.0,34.0,54.9,,34.0,34.0,54.1,,34.0,34.0,61.5,,34.0,34.0,50.3,,34.0,0.0,
12/12/2024 5:08:23 PM,14052,34.0,90.8,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,92.6,,34.0,34.0,92.4,,34.0,34.0,124.8,,34.0,34.0,117.4,,34.0,34.0,102.9,,34.0,34.0,107.1,,34.0,34.0,88.3,,34.0,34.0,93.1,,34.0,34.0,70.8,,34.0,34.0,74.0,,34.0,34.0,28.9,,34.0,34.0,92.3,,34.0,34.0,193.0,,34.0,34.0,161.2,,34.0,34.0,120.3,,34.0,34.0,153.0,,34.0,34.0,89.8,,34.0,34.0,78.4,,34.0,34.0,54.6,,34.0,34.0,53.9,,34.0,34.0,58.7,,34.0,34.0,48.7,,34.0,0.0,
12/12/2024 5:08:33 PM,14062,34.0,90.8,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,93.8,,34.0,34.0,93.0,,34.0,34.0,128.9,,34.0,34.0,118.2,,34.0,34.0,102.9,,34.0,34.0,106.0,,34.0,34.0,88.6,,34.0,34.0,92.8,,34.0,34.0,69.9,,34.0,34.0,73.2,,34.0,34.0,28.3,,34.0,34.0,89.8,,34.0,34.0,186.0,,34.0,34.0,168.1,,34.0,34.0,120.1,,34.0,34.0,143.9,,34.0,34.0,92.4,,34.0,34.0,78.6,,34.0,34.0,55.0,,34.0,34.0,52.4,,34.0,34.0,61.1,,34.0,34.0,49.7,,34.0,0.0,
12/12/2024 5:08:43 PM,14072,34.0,90.2,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,92.9,,34.0,34.0,95.0,,34.0,34.0,130.4,,34.0,34.0,120.1,,34.0,34.0,102.9,,34.0,34.0,107.0,,34.0,34.0,88.8,,34.0,34.0,92.6,,34.0,34.0,68.2,,34.0,34.0,72.8,,34.0,34.0,28.3,,34.0,34.0,97.7,,34.0,34.0,182.7,,34.0,34.0,161.8,,34.0,34.0,112.7,,34.0,34.0,135.8,,34.0,34.0,88.7,,34.0,34.0,78.6,,34.0,34.0,54.4,,34.0,34.0,52.7,,34.0,34.0,58.6,,34.0,34.0,49.1,,34.0,0.0,
12/12/2024 5:08:53 PM,14082,34.0,91.0,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,91.7,,34.0,34.0,92.9,,34.0,34.0,126.7,,34.0,34.0,116.0,,34.0,34.0,102.9,,34.0,34.0,105.2,,34.0,34.0,89.8,,34.0,34.0,94.1,,34.0,34.0,68.0,,34.0,34.0,73.0,,34.0,34.0,34.1,,34.0,34.0,114.9,,34.0,34.0,179.3,,34.0,34.0,161.1,,34.0,34.0,117.0,,34.0,34.0,135.9,,34.0,34.0,91.4,,34.0,34.0,78.5,,34.0,34.0,56.7,,34.0,34.0,54.1,,34.0,34.0,60.7,,34.0,34.0,50.3,,34.0,0.0,
12/12/2024 5:09:03 PM,14092,34.0,92.0,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,91.5,,34.0,34.0,94.6,,34.0,34.0,128.4,,34.0,34.0,119.1,,34.0,34.0,102.9,,34.0,34.0,104.0,,34.0,34.0,89.6,,34.0,34.0,93.2,,34.0,34.0,67.8,,34.0,34.0,73.0,,34.0,34.0,36.9,,34.0,34.0,132.8,,34.0,34.0,181.2,,34.0,34.0,159.2,,34.0,34.0,119.0,,34.0,34.0,136.8,,34.0,34.0,90.3,,34.0,34.0,76.1,,34.0,34.0,57.9,,34.0,34.0,54.5,,34.0,34.0,60.0,,34.0,34.0,51.3,,34.0,0.0,
12/12/2024 5:09:13 PM,14102,34.0,92.4,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,91.4,,34.0,34.0,93.6,,34.0,34.0,128.4,,34.0,34.0,117.8,,34.0,34.0,102.9,,34.0,34.0,105.8,,34.0,34.0,89.0,,34.0,34.0,93.7,,34.0,34.0,66.6,,34.0,34.0,73.2,,34.0,34.0,38.4,,34.0,34.0,138.5,,34.0,34.0,186.1,,34.0,34.0,158.9,,34.0,34.0,116.2,,34.0,34.0,139.2,,34.0,34.0,93.2,,34.0,34.0,74.9,,34.0,34.0,58.6,,34.0,34.0,56.3,,34.0,34.0,58.4,,34.0,34.0,50.6,,34.0,0.0,
12/12/2024 5:09:23 PM,14112,34.0,92.4,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,91.9,,34.0,34.0,92.5,,34.0,34.0,127.0,,34.0,34.0,115.7,,34.0,34.0,102.9,,34.0,34.0,106.9,,34.0,34.0,88.2,,34.0,34.0,92.4,,34.0,34.0,70.7,,34.0,34.0,73.5,,34.0,34.0,40.1,,34.0,34.0,139.6,,34.0,34.0,188.0,,34.0,34.0,158.2,,34.0,34.0,117.3,,34.0,34.0,139.0,,34.0,34.0,91.2,,34.0,34.0,77.1,,34.0,34.0,58.8,,34.0,34.0,55.8,,34.0,34.0,58.0,,34.0,34.0,49.2,,34.0,0.0,
