Manikin #3.4.32
Interval (sec),10
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
12/12/2024 6:31:13 PM,19022,32.6,71.1,,32.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,32.2,77.9,,32.2,32.2,77.6,,32.2,31.5,90.9,,31.5,31.7,87.7,,31.7,32.4,73.9,,32.4,32.3,76.1,,32.3,32.7,67.6,,32.8,32.6,71.0,,32.6,33.8,48.8,,33.8,33.5,53.2,,33.5,33.5,54.0,,33.5,30.3,112.6,,30.3,30.3,112.1,,30.4,30.6,106.7,,30.7,31.7,86.2,,31.7,31.1,97.5,,31.2,32.5,72.1,,32.5,32.9,64.8,,32.9,33.6,51.1,,33.6,33.7,49.1,,33.7,33.8,48.7,,33.7,34.0,44.1,,34.0,0.0,
12/12/2024 6:31:23 PM,19032,32.6,71.2,,32.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,32.2,77.9,,32.2,32.2,77.6,,32.2,31.5,90.9,,31.5,31.6,88.1,,31.7,32.4,73.9,,32.4,32.3,76.1,,32.3,32.7,67.8,,32.8,32.6,71.2,,32.6,33.8,49.0,,33.8,33.5,53.3,,33.5,33.5,54.0,,33.5,30.3,112.8,,30.3,30.3,112.1,,30.4,30.6,107.3,,30.6,31.7,86.2,,31.7,31.1,97.5,,31.2,32.5,72.1,,32.5,32.9,64.8,,32.9,33.6,51.3,,33.6,33.7,49.1,,33.7,33.8,48.6,,33.8,34.0,44.1,,34.0,0.0,
12/12/2024 6:31:33 PM,19042,32.5,71.2,,32.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,32.2,77.9,,32.2,32.2,77.6,,32.2,31.5,90.9,,31.5,31.6,88.0,,31.7,32.4,73.9,,32.4,32.3,76.1,,32.3,32.7,67.9,,32.7,32.6,71.1,,32.6,33.8,49.0,,33.8,33.5,53.3,,33.5,33.5,54.0,,33.5,30.3,112.8,,30.3,30.3,112.3,,30.3,30.6,107.7,,30.6,31.7,86.2,,31.7,31.1,97.5,,31.1,32.5,72.1,,32.5,32.9,64.8,,32.9,33.6,51.4,,33.6,33.7,49.1,,33.7,33.8,48.7,,33.8,34.0,44.1,,34.0,0.0,
12/12/2024 6:31:43 PM,19052,32.5,71.3,,32.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,32.2,77.9,,32.2,32.2,77.6,,32.2,31.5,90.9,,31.5,31.6,88.1,,31.6,32.4,73.9,,32.4,32.3,76.1,,32.3,32.7,67.9,,32.7,32.5,71.4,,32.6,33.8,49.0,,33.8,33.5,53.3,,33.5,33.5,54.0,,33.5,30.3,112.2,,30.3,30.3,113.2,,30.3,30.6,107.9,,30.6,31.7,86.7,,31.7,31.1,97.7,,31.1,32.5,72.1,,32.5,32.9,64.8,,32.9,33.6,51.1,,33.6,33.7,49.1,,33.7,33.8,48.7,,33.8,34.0,44.1,,34.0,0.0,
12/12/2024 6:31:53 PM,19062,32.5,71.3,,32.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,32.2,77.9,,32.2,32.2,77.6,,32.2,31.5,90.9,,31.5,31.6,88.1,,31.6,32.4,73.9,,32.4,32.3,76.1,,32.3,32.7,67.9,,32.7,32.5,71.3,,32.6,33.8,49.0,,33.8,33.5,53.4,,33.5,33.5,54.0,,33.5,30.4,111.9,,30.3,30.3,113.3,,30.3,30.6,107.9,,30.6,31.7,86.9,,31.7,31.1,97.5,,31.1,32.5,72.1,,32.5,32.9,64.8,,32.9,33.6,51.1,,33.6,33.7,49.1,,33.7,33.8,48.6,,33.8,34.0,44.1,,34.0,0.0,
12/12/2024 6:32:03 PM,19072,32.6,71.2,,32.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,32.2,77.9,,32.2,32.2,77.6,,32.2,31.5,90.9,,31.5,31.7,87.4,,31.6,32.4,73.9,,32.4,32.3,76.1,,32.3,32.7,67.9,,32.7,32.5,71.3,,32.6,33.8,49.0,,33.8,33.5,53.3,,33.5,33.5,54.0,,33.5,30.4,111.5,,30.3,30.3,113.3,,30.3,30.6,107.9,,30.6,31.7,86.9,,31.7,31.1,97.5,,31.1,32.5,72.0,,32.5,32.9,64.8,,32.9,33.6,51.1,,33.6,33.7,49.1,,33.7,33.8,48.6,,33.8,34.0,44.1,,34.0,0.0,
12/12/2024 6:32:13 PM,19082,32.6,71.2,,32.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,32.2,77.9,,32.2,32.2,77.6,,32.2,31.5,90.9,,31.5,31.7,87.4,,31.7,32.4,73.9,,32.4,32.3,76.1,,32.3,32.7,67.9,,32.7,32.5,71.3,,32.5,33.8,49.0,,33.8,33.5,53.4,,33.5,33.5,53.9,,33.5,30.4,110.8,,30.3,30.3,113.3,,30.3,30.6,107.9,,30.6,31.7,86.9,,31.7,31.1,97.5,,31.1,32.5,72.1,,32.5,32.9,64.8,,32.9,33.6,51.1,,33.6,33.7,49.1,,33.7,33.8,48.5,,33.8,34.0,44.1,,34.0,0.0,
12/12/2024 6:32:23 PM,19092,32.6,71.2,,32.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,32.2,77.9,,32.2,32.2,77.6,,32.2,31.5,90.9,,31.5,31.7,87.8,,31.7,32.4,73.9,,32.4,32.3,76.1,,32.3,32.7,67.9,,32.7,32.5,71.3,,32.5,33.7,49.1,,33.8,33.5,53.4,,33.5,33.5,53.3,,33.5,30.4,110.8,,30.4,30.2,113.9,,30.3,30.6,107.9,,30.6,31.7,86.9,,31.7,31.2,96.9,,31.1,32.5,72.1,,32.5,32.9,64.7,,32.9,33.6,51.1,,33.6,33.7,49.1,,33.7,33.8,48.5,,33.8,34.0,44.1,,34.0,0.0,
12/12/2024 6:32:33 PM,19102,32.6,71.2,,32.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,32.2,77.9,,32.2,32.2,77.6,,32.2,31.5,90.9,,31.5,31.6,88.0,,31.7,32.4,73.9,,32.4,32.3,76.1,,32.3,32.7,67.9,,32.7,32.5,71.4,,32.5,33.8,48.9,,33.8,33.5,53.4,,33.5,33.5,53.3,,33.5,30.4,110.8,,30.4,30.3,113.3,,30.3,30.6,107.9,,30.6,31.7,86.9,,31.7,31.2,96.9,,31.1,32.5,72.1,,32.5,32.9,64.5,,32.9,33.6,51.1,,33.6,33.7,49.1,,33.7,33.8,48.5,,33.8,34.0,44.1,,34.0,0.0,
