Manikin #3.4.32
Interval (sec),10
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
12/12/2024 4:27:13 PM,11582,34.0,106.9,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,95.9,,34.0,34.0,95.1,,34.0,34.0,140.4,,34.0,34.0,127.4,,34.0,34.0,121.0,,34.0,34.0,123.6,,34.0,34.0,111.4,,34.0,34.0,114.9,,34.0,34.0,115.6,,34.0,34.0,110.2,,34.0,34.0,34.2,,34.0,34.0,105.3,,34.0,32.1,204.1,,32.1,34.0,173.0,,34.2,34.0,118.4,,34.0,34.0,143.7,,34.0,34.0,103.9,,34.0,34.0,87.5,,34.0,34.0,71.7,,34.0,34.0,69.9,,34.0,34.0,83.1,,34.0,34.0,71.6,,34.0,0.0,
12/12/2024 4:27:23 PM,11592,34.0,107.0,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,95.9,,34.0,34.0,95.5,,34.0,34.0,140.5,,34.0,34.0,127.7,,34.0,34.0,121.0,,34.0,34.0,124.1,,34.0,34.0,111.0,,34.0,34.0,114.5,,34.0,34.0,115.4,,34.0,34.0,108.1,,34.0,34.0,34.7,,34.0,34.0,104.4,,34.0,32.1,204.1,,32.1,34.0,168.7,,34.2,34.0,122.9,,34.0,34.0,147.4,,34.0,34.0,104.4,,34.0,34.0,87.9,,34.0,34.0,71.3,,34.0,34.0,69.3,,34.0,34.0,83.7,,34.0,34.0,72.1,,34.0,0.0,
12/12/2024 4:27:33 PM,11602,34.0,106.0,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,97.1,,34.0,34.0,94.9,,34.0,34.0,137.7,,34.0,34.0,128.6,,34.0,34.0,121.0,,34.0,34.0,123.5,,34.0,34.0,110.4,,34.0,34.0,114.2,,34.0,34.0,110.3,,34.0,34.0,107.5,,34.0,34.0,35.3,,34.0,34.0,105.9,,34.0,32.2,204.0,,32.1,34.0,166.6,,34.1,34.0,118.8,,34.0,34.0,141.6,,34.0,34.0,101.3,,34.0,34.0,86.3,,34.0,34.0,70.8,,34.0,34.0,68.1,,34.0,34.0,83.7,,34.0,34.0,71.9,,34.0,0.0,
12/12/2024 4:27:43 PM,11612,34.0,106.6,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,93.6,,34.0,34.0,93.5,,34.0,34.0,137.8,,34.0,34.0,127.0,,34.0,34.0,119.4,,34.0,34.0,124.8,,34.0,34.0,112.3,,34.0,34.0,113.8,,34.0,34.0,114.6,,34.0,34.0,108.4,,34.0,34.0,34.7,,34.0,34.0,102.6,,34.0,32.2,204.0,,32.2,34.0,179.5,,34.1,34.0,124.5,,34.0,34.0,147.3,,34.0,34.0,102.0,,34.0,34.0,88.0,,34.0,34.0,70.0,,34.0,34.0,67.5,,34.0,34.0,83.6,,34.0,34.0,72.3,,34.0,0.0,
12/12/2024 4:27:53 PM,11622,34.0,105.9,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,93.9,,34.0,34.0,93.8,,34.0,34.0,137.9,,34.0,34.0,124.3,,34.0,34.0,120.6,,34.0,34.0,124.5,,34.0,34.0,112.6,,34.0,34.0,113.4,,34.0,34.0,113.3,,34.0,34.0,106.7,,34.0,34.0,34.4,,34.0,34.0,104.4,,34.0,32.2,204.0,,32.2,34.0,178.1,,34.0,34.0,117.9,,34.0,34.0,149.4,,34.0,34.0,98.6,,34.0,34.0,86.9,,34.0,34.0,69.7,,34.0,34.0,68.0,,34.0,34.0,82.1,,34.0,34.0,71.5,,34.0,0.0,
12/12/2024 4:28:03 PM,11632,34.0,105.5,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,95.6,,34.0,34.0,94.9,,34.0,34.0,137.5,,34.0,34.0,126.8,,34.0,34.0,119.3,,34.0,34.0,124.4,,34.0,34.0,110.0,,34.0,34.0,113.2,,34.0,34.0,111.5,,34.0,34.0,104.2,,34.0,34.0,33.8,,34.0,34.0,103.0,,34.0,32.2,204.0,,32.2,34.0,179.6,,34.0,34.0,119.7,,34.0,34.0,147.4,,34.0,34.0,99.7,,34.0,34.0,87.3,,34.0,34.0,69.3,,34.0,34.0,67.4,,34.0,34.0,79.9,,34.0,34.0,71.3,,34.0,0.0,
12/12/2024 4:28:13 PM,11642,34.0,105.8,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,95.0,,34.0,34.0,95.6,,34.0,34.0,134.8,,34.0,34.0,128.7,,34.0,34.0,118.7,,34.0,34.0,124.1,,34.0,34.0,110.7,,34.0,34.0,112.8,,34.0,34.0,112.4,,34.0,34.0,103.6,,34.0,34.0,33.1,,34.0,34.0,105.7,,34.0,32.2,204.0,,32.2,34.0,177.7,,34.0,34.0,119.0,,34.0,34.0,154.8,,34.0,34.0,100.3,,34.0,34.0,89.8,,34.0,34.0,69.0,,34.0,34.0,67.4,,34.0,34.0,80.3,,34.0,34.0,72.2,,34.0,0.0,
12/12/2024 4:28:23 PM,11652,34.0,105.6,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,96.1,,34.0,34.0,94.6,,34.0,34.0,138.7,,34.0,34.0,127.9,,34.0,34.0,118.4,,34.0,34.0,125.1,,34.0,34.0,108.6,,34.0,34.0,112.4,,34.0,34.0,111.4,,34.0,34.0,105.7,,34.0,34.0,33.5,,34.0,34.0,102.3,,34.0,32.3,203.9,,32.2,34.0,177.3,,34.0,34.0,119.1,,34.0,34.0,148.7,,34.0,34.0,98.5,,34.0,34.0,89.6,,34.0,34.0,68.6,,34.0,34.0,67.3,,34.0,34.0,80.8,,34.0,34.0,71.6,,34.0,0.0,
12/12/2024 4:28:33 PM,11662,34.0,105.6,,34.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,34.0,95.8,,34.0,34.0,96.0,,34.0,34.0,136.5,,34.0,34.0,127.9,,34.0,34.0,118.9,,34.0,34.0,124.6,,34.0,34.0,109.2,,34.0,34.0,112.3,,34.0,34.0,112.6,,34.0,34.0,103.5,,34.0,34.0,34.3,,34.0,34.0,101.6,,34.0,32.3,203.9,,32.2,34.0,176.5,,34.0,34.0,123.7,,34.0,34.0,151.2,,34.0,34.0,98.6,,34.0,34.0,88.9,,34.0,34.0,68.2,,34.0,34.0,67.5,,34.0,34.0,80.1,,34.0,34.0,70.8,,34.0,0.0,
