Manikin #3.4.32
Interval (sec),10
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
13/12/2024 3:25:23 PM,94272,33.7,50.6,,33.7,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.4,55.2,,33.4,33.5,54.3,,33.5,32.9,65.1,,32.9,33.0,62.4,,33.0,33.4,55.0,,33.4,33.5,54.2,,33.5,33.7,49.4,,33.7,33.7,50.6,,33.7,34.4,36.4,,34.4,34.3,39.1,,34.3,34.5,35.6,,34.4,32.7,68.9,,32.8,31.8,85.5,,31.8,32.1,79.8,,32.1,33.1,61.8,,33.1,32.7,67.8,,32.7,33.6,51.6,,33.6,34.0,44.8,,34.0,34.5,35.5,,34.5,34.6,34.1,,34.6,34.5,35.7,,34.5,34.7,31.2,,34.7,0.0,
13/12/2024 3:25:33 PM,94282,33.7,50.6,,33.7,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.4,55.1,,33.4,33.5,54.3,,33.5,32.9,65.1,,32.9,33.0,62.4,,33.0,33.4,55.0,,33.4,33.5,54.2,,33.5,33.7,49.4,,33.7,33.7,50.7,,33.7,34.4,36.4,,34.4,34.3,39.0,,34.3,34.5,35.3,,34.5,32.6,69.6,,32.8,31.8,85.8,,31.8,32.1,79.8,,32.1,33.1,61.8,,33.1,32.7,67.8,,32.7,33.6,51.7,,33.6,34.0,44.8,,34.0,34.5,35.5,,34.5,34.6,34.1,,34.6,34.5,35.7,,34.5,34.7,31.2,,34.7,0.0,
13/12/2024 3:25:43 PM,94292,33.7,50.5,,33.7,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.4,55.1,,33.4,33.5,54.3,,33.5,32.9,65.1,,32.9,33.0,62.4,,33.0,33.4,54.9,,33.4,33.5,54.2,,33.5,33.7,49.4,,33.7,33.7,50.7,,33.7,34.4,36.4,,34.4,34.3,38.9,,34.3,34.5,35.1,,34.5,32.6,70.3,,32.7,31.8,85.6,,31.8,32.1,79.8,,32.1,33.1,61.8,,33.1,32.7,67.8,,32.7,33.6,51.4,,33.6,34.0,44.8,,34.0,34.5,35.5,,34.5,34.6,34.0,,34.6,34.5,35.7,,34.5,34.7,31.2,,34.7,0.0,
13/12/2024 3:25:53 PM,94302,33.7,50.5,,33.7,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.4,55.1,,33.4,33.5,54.3,,33.5,32.9,65.1,,32.9,33.0,62.4,,33.0,33.4,54.8,,33.4,33.5,54.3,,33.5,33.7,49.4,,33.7,33.7,50.5,,33.7,34.4,36.4,,34.4,34.3,38.9,,34.3,34.5,35.0,,34.5,32.6,70.9,,32.7,31.8,85.8,,31.8,32.1,79.8,,32.1,33.1,61.8,,33.1,32.8,67.2,,32.7,33.6,51.5,,33.6,34.0,44.8,,34.0,34.5,35.5,,34.5,34.6,34.0,,34.6,34.5,35.7,,34.5,34.7,31.1,,34.7,0.0,
13/12/2024 3:26:03 PM,94312,33.7,50.5,,33.7,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.4,55.1,,33.4,33.5,54.3,,33.5,32.9,65.1,,32.9,33.0,62.4,,33.0,33.5,54.4,,33.4,33.5,54.2,,33.5,33.7,49.4,,33.7,33.7,50.5,,33.7,34.4,36.4,,34.4,34.3,38.9,,34.3,34.5,35.0,,34.5,32.5,71.6,,32.6,31.8,84.5,,31.8,32.1,79.8,,32.1,33.1,61.8,,33.1,32.8,67.2,,32.7,33.6,51.7,,33.6,34.0,44.8,,34.0,34.5,35.5,,34.5,34.6,34.1,,34.6,34.5,35.7,,34.5,34.7,31.1,,34.7,0.0,
13/12/2024 3:26:13 PM,94322,33.7,50.6,,33.7,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.4,55.2,,33.4,33.5,54.3,,33.5,32.9,65.1,,32.9,33.0,62.8,,33.0,33.4,54.8,,33.4,33.5,54.2,,33.5,33.7,49.4,,33.7,33.7,50.6,,33.7,34.4,36.4,,34.4,34.3,38.9,,34.3,34.5,35.0,,34.5,32.5,71.6,,32.6,31.8,84.5,,31.8,32.1,79.8,,32.1,33.1,61.8,,33.1,32.7,67.8,,32.7,33.6,51.4,,33.6,34.0,44.8,,34.0,34.5,35.5,,34.5,34.6,33.9,,34.6,34.5,35.7,,34.5,34.7,31.1,,34.7,0.0,
13/12/2024 3:26:23 PM,94332,33.7,50.6,,33.7,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.4,55.2,,33.4,33.5,54.3,,33.5,32.9,65.1,,32.9,33.0,63.0,,33.0,33.4,54.8,,33.4,33.5,54.5,,33.5,33.7,49.4,,33.7,33.7,50.6,,33.7,34.4,36.4,,34.4,34.3,38.9,,34.3,34.5,35.0,,34.5,32.5,72.0,,32.6,31.8,84.5,,31.8,32.1,79.8,,32.1,33.1,61.8,,33.1,32.8,67.4,,32.7,33.6,51.2,,33.6,34.0,44.8,,34.0,34.5,35.2,,34.5,34.6,33.9,,34.6,34.5,35.6,,34.5,34.7,31.0,,34.7,0.0,
13/12/2024 3:26:33 PM,94342,33.7,50.6,,33.7,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.4,55.2,,33.4,33.5,54.3,,33.5,32.9,65.1,,32.9,33.0,63.0,,33.0,33.4,54.7,,33.4,33.5,54.4,,33.5,33.7,49.4,,33.7,33.7,50.7,,33.7,34.4,36.4,,34.4,34.3,38.9,,34.3,34.5,35.0,,34.5,32.5,73.0,,32.5,31.8,84.5,,31.8,32.1,79.8,,32.1,33.1,61.8,,33.1,32.7,67.8,,32.7,33.6,51.3,,33.6,34.0,44.8,,34.0,34.5,35.1,,34.5,34.6,33.9,,34.6,34.5,35.7,,34.5,34.7,31.0,,34.7,0.0,
13/12/2024 3:26:43 PM,94352,33.7,50.6,,33.7,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.4,55.2,,33.4,33.5,54.3,,33.5,32.9,65.1,,32.9,33.0,62.9,,33.0,33.4,54.8,,33.4,33.5,54.3,,33.5,33.7,49.4,,33.7,33.7,50.7,,33.7,34.4,36.3,,34.4,34.3,39.0,,34.3,34.5,35.0,,34.5,32.5,73.0,,32.5,31.8,85.1,,31.8,32.1,79.8,,32.1,33.1,61.8,,33.1,32.8,67.2,,32.8,33.6,51.4,,33.6,34.0,44.8,,34.0,34.5,35.1,,34.5,34.6,33.8,,34.6,34.5,35.7,,34.5,34.7,31.0,,34.7,0.0,
