Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
23/01/2025 5:50:38 PM,0,34.0,58.4,,34.0,3.0,99.2,31.2,34.0,34.0,64.5,,34.0,3.0,99.2,31.2,34.0,34.0,37.9,,34.0,3.0,99.2,31.2,34.0,34.0,51.1,,34.0,34.0,49.6,,34.0,34.0,73.0,,34.0,34.0,74.9,,34.0,34.0,59.1,,34.0,34.0,68.4,,34.0,34.0,69.3,,34.0,34.0,70.9,,34.0,34.0,37.9,,34.0,34.0,58.0,,34.0,34.0,19.6,,34.0,34.0,66.5,,34.0,34.0,128.4,,34.0,34.0,104.9,,34.0,34.0,74.7,,34.0,34.0,68.4,,34.0,34.0,52.0,,34.0,34.0,60.3,,34.0,34.0,30.8,,34.0,34.0,33.4,,34.0,34.0,37.3,,34.0,34.0,39.0,,34.0,0.8,
23/01/2025 5:51:38 PM,60,34.0,57.9,,34.0,3.0,99.2,31.2,34.0,34.0,63.3,,34.0,3.0,99.2,31.2,34.0,34.0,37.1,,34.0,3.0,99.2,31.2,34.0,34.0,51.4,,34.0,34.0,48.1,,34.0,34.0,71.7,,34.0,34.0,72.6,,34.0,34.0,58.6,,34.0,34.0,65.8,,34.0,34.0,69.6,,34.0,34.0,71.8,,34.0,34.0,37.1,,34.0,34.0,59.8,,34.0,34.0,20.1,,34.0,34.0,71.6,,34.0,34.0,124.0,,34.0,34.0,106.2,,34.0,34.0,76.9,,34.0,34.0,64.8,,34.0,34.0,53.1,,34.0,34.0,57.0,,34.0,34.0,30.8,,34.0,34.0,32.9,,34.0,34.0,36.3,,34.0,34.0,37.5,,34.0,0.6,
23/01/2025 5:52:38 PM,120,34.0,58.0,,34.0,3.0,99.2,31.2,34.0,34.0,63.5,,34.0,3.0,99.2,31.2,34.0,34.0,34.6,,34.0,3.0,99.2,31.2,34.0,34.0,51.7,,34.0,34.0,49.1,,34.0,34.0,71.8,,34.0,34.0,73.0,,34.0,34.0,58.2,,34.0,34.0,62.9,,34.0,34.0,70.0,,34.0,34.0,71.1,,34.0,34.0,34.6,,34.0,34.0,57.6,,34.0,34.0,20.1,,34.0,34.0,87.0,,34.0,34.0,120.6,,34.0,34.0,97.2,,34.0,34.0,75.0,,34.0,34.0,65.6,,34.0,34.0,55.5,,34.0,34.0,57.4,,34.0,34.0,31.1,,34.0,34.0,33.5,,34.0,34.0,38.2,,34.0,34.0,38.4,,34.0,0.9,
23/01/2025 5:53:38 PM,180,34.0,57.3,,34.0,3.0,99.2,31.2,34.0,34.0,61.8,,34.0,3.0,99.2,31.2,34.0,34.0,35.8,,34.0,3.0,99.2,31.2,34.0,34.0,49.7,,34.0,34.0,48.2,,34.0,34.0,71.3,,34.0,34.0,70.4,,34.0,34.0,55.9,,34.0,34.0,65.4,,34.0,34.0,69.7,,34.0,34.0,68.6,,34.0,34.0,35.8,,34.0,34.0,56.3,,34.0,34.0,20.4,,34.0,34.0,85.0,,34.0,34.0,122.8,,34.0,34.0,98.2,,34.0,34.0,73.3,,34.0,34.0,67.1,,34.0,34.0,53.9,,34.0,34.0,57.0,,34.0,34.0,30.9,,34.0,34.0,31.6,,34.0,34.0,36.3,,34.0,34.0,38.6,,34.0,0.6,
23/01/2025 5:54:38 PM,240,34.0,57.9,-0.643,34.0,3.0,99.2,31.2,34.0,34.0,62.8,-0.646,34.0,3.0,99.2,31.2,34.0,34.0,36.1,-0.651,34.0,3.0,99.2,31.2,34.0,34.0,50.0,-0.647,34.0,34.0,48.9,-0.643,34.0,34.0,71.8,-0.643,34.0,34.0,72.3,-0.645,34.0,34.0,56.9,-0.650,34.0,34.0,64.0,-0.651,34.0,34.0,68.3,-0.649,34.0,34.0,71.1,-0.653,34.0,34.0,36.1,-0.651,34.0,34.0,56.9,-0.651,34.0,34.0,21.0,-0.634,34.0,34.0,89.1,-0.632,34.0,34.0,121.6,-0.626,34.0,34.0,92.9,-0.625,34.0,34.0,77.2,-0.634,34.0,34.0,67.4,-0.633,34.0,34.0,55.9,-0.636,34.0,34.0,56.7,-0.641,34.0,34.0,32.9,-0.640,34.0,34.0,33.0,-0.641,34.0,34.0,36.9,-0.643,34.0,34.0,37.1,-0.643,34.0,0.0,
23/01/2025 5:55:38 PM,300,34.0,57.9,,34.0,3.0,99.2,31.2,34.0,34.0,62.0,,34.0,3.0,99.2,31.2,34.0,34.0,32.3,,34.0,3.0,99.2,31.2,34.0,34.0,50.6,,34.0,34.0,48.8,,34.0,34.0,70.2,,34.0,34.0,70.6,,34.0,34.0,56.9,,34.0,34.0,64.5,,34.0,34.0,68.5,,34.0,34.0,68.9,,34.0,34.0,32.3,,34.0,34.0,56.3,,34.0,34.0,20.6,,34.0,34.0,91.2,,34.0,34.0,124.0,,34.0,34.0,98.5,,34.0,34.0,78.5,,34.0,34.0,64.8,,34.0,34.0,56.1,,34.0,34.0,59.9,,34.0,34.0,33.7,,34.0,34.0,33.7,,34.0,34.0,37.5,,34.0,34.0,38.5,,34.0,0.6,
23/01/2025 5:56:38 PM,360,34.0,57.1,,34.0,3.0,99.2,31.2,34.0,34.0,62.1,,34.0,3.0,99.2,31.2,34.0,34.0,35.3,,34.0,3.0,99.2,31.2,34.0,34.0,50.5,,34.0,34.0,47.3,,34.0,34.0,71.4,,34.0,34.0,70.7,,34.0,34.0,56.9,,34.0,34.0,63.3,,34.0,34.0,67.2,,34.0,34.0,69.4,,34.0,34.0,35.3,,34.0,34.0,55.2,,34.0,34.0,19.8,,34.0,34.0,94.0,,34.0,34.0,115.6,,34.0,34.0,95.1,,34.0,34.0,73.4,,34.0,34.0,63.3,,34.0,34.0,53.8,,34.0,34.0,57.3,,34.0,34.0,33.4,,34.0,34.0,33.1,,34.0,34.0,38.6,,34.0,34.0,37.3,,34.0,0.6,
23/01/2025 5:57:38 PM,420,34.0,57.3,,34.0,3.0,99.2,31.2,34.0,34.0,62.2,,34.0,3.0,99.2,31.2,34.0,34.0,35.3,,34.0,3.0,99.2,31.2,34.0,34.0,50.9,,34.0,34.0,47.9,,34.0,34.0,70.0,,34.0,34.0,71.9,,34.0,34.0,56.9,,34.0,34.0,63.3,,34.0,34.0,67.8,,34.0,34.0,69.2,,34.0,34.0,35.3,,34.0,34.0,56.2,,34.0,34.0,19.4,,34.0,34.0,85.8,,34.0,34.0,120.7,,34.0,34.0,99.6,,34.0,34.0,76.8,,34.0,34.0,64.6,,34.0,34.0,52.9,,34.0,34.0,56.1,,34.0,34.0,31.8,,34.0,34.0,33.4,,34.0,34.0,39.5,,34.0,34.0,37.5,,34.0,0.1,
23/01/2025 5:58:38 PM,480,34.0,57.8,,34.0,3.0,99.2,31.2,34.0,34.0,62.3,,34.0,3.0,99.2,31.2,34.0,34.0,34.2,,34.0,3.0,99.2,31.2,34.0,34.0,50.3,,34.0,34.0,49.2,,34.0,34.0,70.2,,34.0,34.0,72.5,,34.0,34.0,56.1,,34.0,34.0,65.3,,34.0,34.0,70.4,,34.0,34.0,69.7,,34.0,34.0,34.2,,34.0,34.0,57.8,,34.0,34.0,20.0,,34.0,34.0,89.7,,34.0,34.0,118.2,,34.0,34.0,93.4,,34.0,34.0,73.1,,34.0,34.0,67.3,,34.0,34.0,57.3,,34.0,34.0,60.3,,34.0,34.0,31.1,,34.0,34.0,32.4,,34.0,34.0,37.4,,34.0,34.0,37.4,,34.0,0.1,
