Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
24/01/2025 3:40:06 PM,0,34.0,57.1,,34.0,3.0,99.2,31.2,34.0,34.0,60.1,,34.0,3.0,99.2,31.2,34.0,34.0,40.7,,34.0,3.0,99.2,31.2,34.0,34.0,48.8,,34.0,34.0,46.1,,34.0,34.0,69.8,,34.0,34.0,66.2,,34.0,34.0,56.4,,34.0,34.0,61.8,,34.0,34.0,67.5,,34.0,34.0,66.6,,34.0,34.0,40.7,,34.0,34.0,57.1,,34.0,34.0,20.2,,34.0,34.0,97.5,,34.0,34.0,95.4,,34.0,34.0,95.7,,34.0,34.0,66.5,,34.0,34.0,70.6,,34.0,34.0,52.9,,34.0,34.0,59.9,,34.0,34.0,35.3,,34.0,34.0,39.5,,34.0,34.0,39.9,,34.0,34.0,40.4,,34.0,0.5,
24/01/2025 3:41:06 PM,60,34.0,57.9,-0.643,34.0,3.0,99.2,31.2,34.0,34.0,60.1,-0.646,34.0,3.0,99.2,31.2,34.0,34.0,39.8,-0.651,34.0,3.0,99.2,31.2,34.0,34.0,48.5,-0.647,34.0,34.0,47.8,-0.643,34.0,34.0,68.1,-0.643,34.0,34.0,67.4,-0.645,34.0,34.0,56.4,-0.650,34.0,34.0,62.1,-0.651,34.0,34.0,68.3,-0.649,34.0,34.0,68.3,-0.653,34.0,34.0,39.8,-0.651,34.0,34.0,57.8,-0.651,34.0,34.0,20.1,-0.634,34.0,34.0,106.8,-0.632,34.0,34.0,97.7,-0.626,34.0,34.0,102.1,-0.625,34.0,34.0,67.3,-0.634,34.0,34.0,67.9,-0.633,34.0,34.0,52.3,-0.636,34.0,34.0,63.3,-0.641,34.0,34.0,34.8,-0.640,34.0,34.0,39.6,-0.641,34.0,34.0,39.8,-0.643,34.0,34.0,41.8,-0.643,34.0,0.1,
24/01/2025 3:42:06 PM,120,34.0,58.4,,34.0,3.0,99.2,31.2,34.0,34.0,60.9,,34.0,3.0,99.2,31.2,34.0,34.0,38.9,,34.0,3.0,99.2,31.2,34.0,34.0,49.4,,34.0,34.0,47.4,,34.0,34.0,70.3,,34.0,34.0,67.9,,34.0,34.0,56.4,,34.0,34.0,63.3,,34.0,34.0,71.1,,34.0,34.0,66.9,,34.0,34.0,38.9,,34.0,34.0,56.2,,34.0,34.0,20.8,,34.0,34.0,111.3,,34.0,34.0,96.1,,34.0,34.0,102.6,,34.0,34.0,66.0,,34.0,34.0,68.8,,34.0,34.0,52.3,,34.0,34.0,64.0,,34.0,34.0,35.4,,34.0,34.0,42.6,,34.0,34.0,39.3,,34.0,34.0,42.3,,34.0,0.6,
24/01/2025 3:43:06 PM,180,34.0,57.5,-0.643,34.0,3.0,99.2,31.2,34.0,34.0,57.6,-0.646,34.0,3.0,99.2,31.2,34.0,34.0,40.6,-0.651,34.0,3.0,99.2,31.2,34.0,34.0,47.9,-0.647,34.0,34.0,47.9,-0.643,34.0,34.0,68.5,-0.643,34.0,34.0,68.0,-0.645,34.0,34.0,45.0,-0.650,34.0,34.0,62.8,-0.651,34.0,34.0,68.7,-0.649,34.0,34.0,66.0,-0.653,34.0,34.0,40.6,-0.651,34.0,34.0,57.0,-0.651,34.0,34.0,21.1,-0.634,34.0,34.0,112.6,-0.632,34.0,34.0,94.6,-0.626,34.0,34.0,100.8,-0.625,34.0,34.0,68.7,-0.634,34.0,34.0,69.2,-0.633,34.0,34.0,53.1,-0.636,34.0,34.0,63.0,-0.641,34.0,34.0,36.8,-0.640,34.0,34.0,40.4,-0.641,34.0,34.0,41.0,-0.643,34.0,34.0,40.8,-0.643,34.0,0.1,
24/01/2025 3:44:06 PM,240,34.0,57.7,,34.0,3.0,99.2,31.2,34.0,34.0,61.2,,34.0,3.0,99.2,31.2,34.0,34.0,41.7,,34.0,3.0,99.2,31.1,34.0,34.0,49.9,,34.0,34.0,47.2,,34.0,34.0,69.2,,34.0,34.0,70.5,,34.0,34.0,55.9,,34.0,34.0,63.1,,34.0,34.0,70.7,,34.0,34.0,67.6,,34.0,34.0,41.7,,34.0,34.0,57.2,,34.0,34.0,21.2,,34.0,34.0,106.5,,34.0,34.0,90.0,,34.0,34.0,97.4,,34.0,34.0,64.5,,34.0,34.0,67.2,,34.0,34.0,52.0,,34.0,34.0,59.9,,34.0,34.0,34.9,,34.0,34.0,39.4,,34.0,34.0,40.8,,34.0,34.0,39.7,,34.0,0.2,
24/01/2025 3:45:06 PM,300,34.0,58.2,,34.0,3.0,99.2,31.2,34.0,34.0,59.6,,34.0,3.0,99.2,31.2,34.0,34.0,39.1,,34.0,3.0,99.2,31.2,34.0,34.0,49.7,,34.0,34.0,45.8,,34.0,34.0,66.9,,34.0,34.0,67.5,,34.0,34.0,55.8,,34.0,34.0,62.3,,34.0,34.0,69.4,,34.0,34.0,71.1,,34.0,34.0,39.1,,34.0,34.0,57.0,,34.0,34.0,21.7,,34.0,34.0,115.0,,34.0,34.0,93.3,,34.0,34.0,97.8,,34.0,34.0,67.3,,34.0,34.0,69.7,,34.0,34.0,51.7,,34.0,34.0,64.0,,34.0,34.0,35.7,,34.0,34.0,40.3,,34.0,34.0,40.6,,34.0,34.0,42.1,,34.0,0.8,
24/01/2025 3:46:06 PM,360,34.0,57.2,-0.643,34.0,3.0,99.2,31.2,34.0,34.0,60.4,-0.646,34.0,3.0,99.2,31.2,34.0,34.0,39.3,-0.651,34.0,3.0,99.2,31.2,34.0,34.0,49.2,-0.647,34.0,34.0,47.2,-0.643,34.0,34.0,68.4,-0.643,34.0,34.0,68.3,-0.645,34.0,34.0,56.2,-0.650,34.0,34.0,50.8,-0.651,34.0,34.0,70.2,-0.649,34.0,34.0,66.1,-0.653,34.0,34.0,39.3,-0.651,34.0,34.0,56.6,-0.651,34.0,34.0,21.4,-0.634,34.0,34.0,112.1,-0.632,34.0,34.0,90.1,-0.626,34.0,34.0,99.7,-0.625,34.0,34.0,67.7,-0.634,34.0,34.0,68.8,-0.633,34.0,34.0,52.5,-0.636,34.0,34.0,63.6,-0.641,34.0,34.0,35.4,-0.640,34.0,34.0,40.9,-0.641,34.0,34.0,40.1,-0.643,34.0,34.0,39.6,-0.643,34.0,0.0,
24/01/2025 3:47:06 PM,420,34.0,58.2,,34.0,3.0,99.2,31.2,34.0,34.0,60.5,,34.0,3.0,99.2,31.2,34.0,34.0,38.4,,34.0,3.0,99.2,31.2,34.0,34.0,46.2,,34.0,34.0,46.7,,34.0,34.0,69.1,,34.0,34.0,69.6,,34.0,34.0,56.2,,34.0,34.0,63.0,,34.0,34.0,68.2,,34.0,34.0,66.1,,34.0,34.0,38.4,,34.0,34.0,55.5,,34.0,34.0,21.1,,34.0,34.0,109.6,,34.0,34.0,91.8,,34.0,34.0,105.7,,34.0,34.0,68.0,,34.0,34.0,72.1,,34.0,34.0,52.1,,34.0,34.0,62.0,,34.0,34.0,35.5,,34.0,34.0,40.9,,34.0,34.0,39.4,,34.0,34.0,47.9,,34.0,0.2,
24/01/2025 3:48:06 PM,480,34.0,57.3,-0.643,34.0,3.0,99.2,31.2,34.0,34.0,60.1,-0.646,34.0,3.0,99.2,31.2,34.0,34.0,38.3,-0.651,34.0,3.0,99.2,31.2,34.0,34.0,48.7,-0.647,34.0,34.0,47.3,-0.643,34.0,34.0,68.1,-0.643,34.0,34.0,67.7,-0.645,34.0,34.0,56.2,-0.650,34.0,34.0,61.9,-0.651,34.0,34.0,70.2,-0.649,34.0,34.0,65.5,-0.653,34.0,34.0,38.3,-0.651,34.0,34.0,57.8,-0.651,34.0,34.0,20.3,-0.634,34.0,34.0,106.7,-0.632,34.0,34.0,96.2,-0.626,34.0,34.0,99.9,-0.625,34.0,34.0,65.4,-0.634,34.0,34.0,67.6,-0.633,34.0,34.0,52.6,-0.636,34.0,34.0,62.1,-0.641,34.0,34.0,34.3,-0.640,34.0,34.0,39.8,-0.641,34.0,34.0,36.4,-0.643,34.0,34.0,40.1,-0.643,34.0,0.1,
