Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
24/01/2025 3:50:16 PM,0,34.0,57.8,,34.0,3.0,99.2,31.2,34.0,34.0,60.1,,34.0,3.0,99.2,31.2,34.0,34.0,39.3,,34.0,3.0,99.2,31.2,34.0,34.0,50.0,,34.0,34.0,46.0,,34.0,34.0,67.9,,34.0,34.0,67.9,,34.0,34.0,56.2,,34.0,34.0,63.0,,34.0,34.0,69.5,,34.0,34.0,67.2,,34.0,34.0,39.3,,34.0,34.0,55.9,,34.0,34.0,21.9,,34.0,34.0,109.2,,34.0,34.0,94.9,,34.0,34.0,104.6,,34.0,34.0,64.2,,34.0,34.0,71.6,,34.0,34.0,51.0,,34.0,34.0,64.2,,34.0,34.0,34.2,,34.0,34.0,39.3,,34.0,34.0,39.5,,34.0,34.0,40.2,,34.0,1.0,
24/01/2025 3:51:16 PM,60,34.0,57.3,,34.0,3.0,99.2,31.2,34.0,34.0,60.3,,34.0,3.0,99.2,31.2,34.0,34.0,38.6,,34.0,3.0,99.2,31.2,34.0,34.0,50.5,,34.0,34.0,46.5,,34.0,34.0,68.2,,34.0,34.0,67.7,,34.0,34.0,56.2,,34.0,34.0,62.3,,34.0,34.0,69.5,,34.0,34.0,54.0,,34.0,34.0,38.6,,34.0,34.0,56.7,,34.0,34.0,21.1,,34.0,34.0,99.4,,34.0,34.0,98.3,,34.0,34.0,114.1,,34.0,34.0,69.0,,34.0,34.0,71.5,,34.0,34.0,52.0,,34.0,34.0,62.8,,34.0,34.0,34.3,,34.0,34.0,38.3,,34.0,34.0,40.7,,34.0,34.0,43.2,,34.0,0.2,
24/01/2025 3:52:16 PM,120,34.0,58.7,,34.0,3.0,99.2,31.2,34.0,34.0,60.7,,34.0,3.0,99.2,31.2,34.0,34.0,41.1,,34.0,3.0,99.2,31.2,34.0,34.0,49.5,,34.0,34.0,47.2,,34.0,34.0,70.1,,34.0,34.0,67.5,,34.0,34.0,56.2,,34.0,34.0,64.2,,34.0,34.0,70.5,,34.0,34.0,69.0,,34.0,34.0,41.1,,34.0,34.0,56.6,,34.0,34.0,20.9,,34.0,34.0,110.5,,34.0,34.0,94.2,,34.0,34.0,104.3,,34.0,34.0,64.3,,34.0,34.0,68.9,,34.0,34.0,53.6,,34.0,34.0,65.2,,34.0,34.0,36.4,,34.0,34.0,40.8,,34.0,34.0,42.4,,34.0,34.0,42.2,,34.0,0.1,
24/01/2025 3:53:16 PM,180,34.0,58.0,,34.0,3.0,99.2,31.2,34.0,34.0,60.9,,34.0,3.0,99.2,31.2,34.0,34.0,36.5,,34.0,3.0,99.2,31.2,34.0,34.0,50.1,,34.0,34.0,46.6,,34.0,34.0,70.4,,34.0,34.0,68.1,,34.0,34.0,56.2,,34.0,34.0,61.2,,34.0,34.0,69.7,,34.0,34.0,67.8,,34.0,34.0,36.5,,34.0,34.0,56.6,,34.0,34.0,20.2,,34.0,34.0,113.5,,34.0,34.0,90.9,,34.0,34.0,101.5,,34.0,34.0,65.3,,34.0,34.0,69.1,,34.0,34.0,52.1,,34.0,34.0,64.5,,34.0,34.0,35.6,,34.0,34.0,40.7,,34.0,34.0,41.4,,34.0,34.0,39.8,,34.0,0.1,
24/01/2025 3:54:16 PM,240,34.0,56.7,,34.0,3.0,99.2,31.2,34.0,34.0,61.8,,34.0,3.0,99.2,31.2,34.0,34.0,37.7,,34.0,3.0,99.2,31.2,34.0,34.0,48.9,,34.0,34.0,47.4,,34.0,34.0,72.2,,34.0,34.0,70.0,,34.0,34.0,56.2,,34.0,34.0,63.8,,34.0,34.0,33.5,,34.0,34.0,70.2,,34.0,34.0,37.7,,34.0,34.0,56.1,,34.0,34.0,21.2,,34.0,34.0,107.6,,34.0,34.0,99.2,,34.0,34.0,105.4,,34.0,34.0,70.3,,34.0,34.0,67.6,,34.0,34.0,52.5,,34.0,34.0,63.2,,34.0,34.0,35.4,,34.0,34.0,40.2,,34.0,34.0,41.7,,34.0,34.0,41.9,,34.0,0.5,
24/01/2025 3:55:16 PM,300,34.0,58.1,,34.0,3.0,99.2,31.2,34.0,34.0,61.3,,34.0,3.0,99.2,31.2,34.0,34.0,38.3,,34.0,3.0,99.2,31.2,34.0,34.0,50.1,,34.0,34.0,47.3,,34.0,34.0,70.4,,34.0,34.0,69.1,,34.0,34.0,56.2,,34.0,34.0,63.1,,34.0,34.0,72.3,,34.0,34.0,67.6,,34.0,34.0,38.3,,34.0,34.0,57.8,,34.0,34.0,20.8,,34.0,34.0,107.9,,34.0,34.0,98.3,,34.0,34.0,101.9,,34.0,34.0,64.9,,34.0,34.0,67.5,,34.0,34.0,52.0,,34.0,34.0,60.1,,34.0,34.0,34.8,,34.0,34.0,38.3,,34.0,34.0,40.4,,34.0,34.0,40.2,,34.0,0.2,
24/01/2025 3:56:16 PM,360,34.0,59.0,,34.0,3.0,99.2,31.2,34.0,34.0,61.8,,34.0,3.0,99.2,31.2,34.0,34.0,39.1,,34.0,3.0,99.2,31.2,34.0,34.0,50.4,,34.0,34.0,47.3,,34.0,34.0,73.2,,34.0,34.0,68.2,,34.0,34.0,56.2,,34.0,34.0,63.8,,34.0,34.0,71.1,,34.0,34.0,70.5,,34.0,34.0,39.1,,34.0,34.0,57.5,,34.0,34.0,20.8,,34.0,34.0,116.4,,34.0,34.0,94.8,,34.0,34.0,100.1,,34.0,34.0,65.1,,34.0,34.0,71.7,,34.0,34.0,52.5,,34.0,34.0,62.6,,34.0,34.0,35.9,,34.0,34.0,40.9,,34.0,34.0,40.3,,34.0,34.0,41.5,,34.0,0.4,
24/01/2025 3:57:17 PM,420,34.0,57.7,-0.643,34.0,3.0,99.2,31.2,34.0,34.0,60.3,-0.646,34.0,3.0,99.2,31.2,34.0,34.0,38.4,-0.651,34.0,3.0,99.2,31.2,34.0,34.0,49.8,-0.647,34.0,34.0,47.7,-0.643,34.0,34.0,68.9,-0.643,34.0,34.0,67.0,-0.645,34.0,34.0,56.2,-0.650,34.0,34.0,62.1,-0.651,34.0,34.0,70.4,-0.649,34.0,34.0,65.6,-0.653,34.0,34.0,38.4,-0.651,34.0,34.0,56.2,-0.651,34.0,34.0,20.6,-0.634,34.0,34.0,105.3,-0.632,34.0,34.0,100.2,-0.626,34.0,34.0,101.6,-0.625,34.0,34.0,68.4,-0.634,34.0,34.0,68.0,-0.633,34.0,34.0,52.1,-0.636,34.0,34.0,62.2,-0.641,34.0,34.0,34.6,-0.640,34.0,34.0,38.7,-0.641,34.0,34.0,41.2,-0.643,34.0,34.0,40.5,-0.643,34.0,0.0,
24/01/2025 3:58:16 PM,480,34.0,58.6,-0.643,34.0,3.0,99.2,31.2,34.0,34.0,61.2,-0.646,34.0,3.0,99.2,31.2,34.0,34.0,38.0,-0.651,34.0,3.0,99.2,31.2,34.0,34.0,49.9,-0.647,34.0,34.0,48.0,-0.643,34.0,34.0,69.7,-0.643,34.0,34.0,69.3,-0.645,34.0,34.0,56.2,-0.650,34.0,34.0,64.4,-0.651,34.0,34.0,72.4,-0.649,34.0,34.0,67.4,-0.653,34.0,34.0,38.0,-0.651,34.0,34.0,58.8,-0.651,34.0,34.0,21.4,-0.634,34.0,34.0,111.5,-0.632,34.0,34.0,97.6,-0.626,34.0,34.0,100.3,-0.625,34.0,34.0,67.5,-0.634,34.0,34.0,71.1,-0.633,34.0,34.0,53.4,-0.636,34.0,34.0,60.8,-0.641,34.0,34.0,34.7,-0.640,34.0,34.0,38.8,-0.641,34.0,34.0,40.3,-0.643,34.0,34.0,41.0,-0.643,34.0,0.0,
