Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
24/01/2025 5:22:17 PM,0,34.0,59.9,-0.643,34.0,3.0,99.2,31.2,34.0,34.0,58.6,-0.646,34.0,3.0,99.2,31.2,34.0,34.0,40.2,-0.651,34.0,3.0,99.2,31.2,34.0,34.0,41.1,-0.647,34.0,34.0,46.2,-0.643,34.0,34.0,66.9,-0.643,34.0,34.0,66.0,-0.645,34.0,34.0,57.5,-0.650,34.0,34.0,60.8,-0.651,34.0,34.0,64.5,-0.649,34.0,34.0,64.2,-0.653,34.0,34.0,40.2,-0.651,34.0,34.0,57.6,-0.651,34.0,34.0,14.9,-0.634,34.0,34.0,107.4,-0.632,34.0,34.0,94.0,-0.626,34.0,34.0,107.5,-0.625,34.0,34.0,76.3,-0.634,34.0,34.0,101.7,-0.633,34.0,34.0,67.5,-0.636,34.0,34.0,71.9,-0.641,34.0,34.0,42.3,-0.640,34.0,34.0,50.3,-0.641,34.0,34.0,38.7,-0.643,34.0,34.0,39.5,-0.643,34.0,0.1,
24/01/2025 5:23:17 PM,60,34.0,61.0,,34.0,3.0,99.2,31.2,34.0,34.0,59.3,,34.0,3.0,99.2,31.2,34.0,34.0,40.9,,34.0,3.0,99.2,31.2,34.0,34.0,49.2,,34.0,34.0,45.1,,34.0,34.0,66.7,,34.0,34.0,65.4,,34.0,34.0,57.5,,34.0,34.0,61.5,,34.0,34.0,66.1,,34.0,34.0,64.4,,34.0,34.0,40.9,,34.0,34.0,56.7,,34.0,34.0,17.0,,34.0,34.0,118.8,,34.0,34.0,89.5,,34.0,34.0,104.8,,34.0,34.0,76.5,,34.0,34.0,107.4,,34.0,34.0,67.7,,34.0,34.0,75.4,,34.0,34.0,43.3,,34.0,34.0,50.1,,34.0,34.0,39.5,,34.0,34.0,41.5,,34.0,0.5,
24/01/2025 5:24:17 PM,120,34.0,60.9,-0.643,34.0,3.0,99.2,31.2,34.0,34.0,58.1,-0.646,34.0,3.0,99.2,31.2,34.0,34.0,41.7,-0.651,34.0,3.0,99.2,31.2,34.0,34.0,48.9,-0.647,34.0,34.0,44.9,-0.643,34.0,34.0,63.9,-0.643,34.0,34.0,63.9,-0.645,34.0,34.0,57.5,-0.650,34.0,34.0,61.1,-0.651,34.0,34.0,64.3,-0.649,34.0,34.0,67.3,-0.653,34.0,34.0,41.7,-0.651,34.0,34.0,56.1,-0.651,34.0,34.0,17.2,-0.634,34.0,34.0,119.4,-0.632,34.0,34.0,94.6,-0.626,34.0,34.0,102.4,-0.625,34.0,34.0,78.8,-0.634,34.0,34.0,106.6,-0.633,34.0,34.0,69.2,-0.636,34.0,34.0,74.6,-0.641,34.0,34.0,43.6,-0.640,34.0,34.0,51.3,-0.641,34.0,34.0,40.9,-0.643,34.0,34.0,39.0,-0.643,34.0,0.1,
24/01/2025 5:25:16 PM,180,34.0,60.9,,34.0,3.0,99.2,31.2,34.0,34.0,57.8,,34.0,3.0,99.2,31.2,34.0,34.0,41.4,,34.0,3.0,99.2,31.2,34.0,34.0,49.2,,34.0,34.0,45.8,,34.0,34.0,62.2,,34.0,34.0,63.8,,34.0,34.0,57.6,,34.0,34.0,62.0,,34.0,34.0,60.0,,34.0,34.0,62.3,,34.0,34.0,41.4,,34.0,34.0,55.5,,34.0,34.0,17.7,,34.0,34.0,122.1,,34.0,34.0,89.3,,34.0,34.0,99.9,,34.0,34.0,77.1,,34.0,34.0,107.2,,34.0,34.0,70.1,,34.0,34.0,87.0,,34.0,34.0,44.3,,34.0,34.0,52.5,,34.0,34.0,40.1,,34.0,34.0,39.7,,34.0,0.9,
24/01/2025 5:26:17 PM,240,34.0,59.6,-0.643,34.0,3.0,99.2,31.2,34.0,34.0,58.1,-0.646,34.0,3.0,99.2,31.2,34.0,34.0,42.1,-0.651,34.0,3.0,99.2,31.2,34.0,34.0,50.7,-0.647,34.0,34.0,44.8,-0.643,34.0,34.0,63.2,-0.643,34.0,34.0,63.8,-0.645,34.0,34.0,57.2,-0.650,34.0,34.0,61.4,-0.651,34.0,34.0,61.9,-0.649,34.0,34.0,60.3,-0.653,34.0,34.0,42.1,-0.651,34.0,34.0,54.6,-0.651,34.0,34.0,16.9,-0.634,34.0,34.0,118.0,-0.632,34.0,34.0,88.3,-0.626,34.0,34.0,100.9,-0.625,34.0,34.0,78.7,-0.634,34.0,34.0,93.9,-0.633,34.0,34.0,69.8,-0.636,34.0,34.0,75.1,-0.641,34.0,34.0,44.8,-0.640,34.0,34.0,51.0,-0.641,34.0,34.0,35.2,-0.643,34.0,34.0,40.5,-0.643,34.0,0.1,
24/01/2025 5:27:17 PM,300,34.0,60.5,,34.0,3.0,99.2,31.2,34.0,34.0,57.7,,34.0,3.0,99.2,31.2,34.0,34.0,42.6,,34.0,3.0,99.2,31.2,34.0,34.0,47.9,,34.0,34.0,46.1,,34.0,34.0,63.4,,34.0,34.0,63.7,,34.0,34.0,56.3,,34.0,34.0,60.9,,34.0,34.0,58.3,,34.0,34.0,64.5,,34.0,34.0,42.6,,34.0,34.0,54.4,,34.0,34.0,17.9,,34.0,34.0,120.8,,34.0,34.0,90.5,,34.0,34.0,103.8,,34.0,34.0,77.2,,34.0,34.0,107.4,,34.0,34.0,70.1,,34.0,34.0,75.7,,34.0,34.0,43.7,,34.0,34.0,51.6,,34.0,34.0,40.1,,34.0,34.0,42.9,,34.0,0.4,
24/01/2025 5:28:16 PM,360,34.0,60.6,,34.0,3.0,99.2,31.2,34.0,34.0,58.5,,34.0,3.0,99.2,31.2,34.0,34.0,42.3,,34.0,3.0,99.2,31.2,34.0,34.0,48.3,,34.0,34.0,49.0,,34.0,34.0,66.4,,34.0,34.0,62.7,,34.0,34.0,55.9,,34.0,34.0,62.0,,34.0,34.0,63.5,,34.0,34.0,63.5,,34.0,34.0,42.3,,34.0,34.0,55.3,,34.0,34.0,16.3,,34.0,34.0,117.5,,34.0,34.0,90.4,,34.0,34.0,100.8,,34.0,34.0,74.8,,34.0,34.0,110.3,,34.0,34.0,68.6,,34.0,34.0,77.1,,34.0,34.0,43.8,,34.0,34.0,51.5,,34.0,34.0,38.6,,34.0,34.0,40.6,,34.0,0.1,
24/01/2025 5:29:17 PM,420,34.0,61.8,,34.0,3.0,99.2,31.2,34.0,34.0,59.2,,34.0,3.0,99.2,31.2,34.0,34.0,41.4,,34.0,3.0,99.2,31.2,34.0,34.0,49.5,,34.0,34.0,45.5,,34.0,34.0,66.5,,34.0,34.0,66.5,,34.0,34.0,55.9,,34.0,34.0,62.0,,34.0,34.0,65.2,,34.0,34.0,66.6,,34.0,34.0,41.4,,34.0,34.0,57.3,,34.0,34.0,17.2,,34.0,34.0,123.0,,34.0,34.0,96.3,,34.0,34.0,113.5,,34.0,34.0,78.4,,34.0,34.0,107.4,,34.0,34.0,70.5,,34.0,34.0,75.3,,34.0,34.0,43.6,,34.0,34.0,50.7,,34.0,34.0,39.6,,34.0,34.0,39.2,,34.0,0.5,
24/01/2025 5:30:16 PM,480,34.0,61.6,,34.0,3.0,99.2,31.2,34.0,34.0,60.4,,34.0,3.0,99.2,31.2,34.0,34.0,42.0,,34.0,3.0,99.2,31.2,34.0,34.0,48.4,,34.0,34.0,64.0,,34.0,34.0,66.7,,34.0,34.0,62.4,,34.0,34.0,55.9,,34.0,34.0,61.4,,34.0,34.0,65.5,,34.0,34.0,64.5,,34.0,34.0,42.0,,34.0,34.0,56.5,,34.0,34.0,17.3,,34.0,34.0,122.1,,34.0,34.0,92.2,,34.0,34.0,102.9,,34.0,34.0,76.3,,34.0,34.0,111.8,,34.0,34.0,69.0,,34.0,34.0,76.1,,34.0,34.0,44.3,,34.0,34.0,50.7,,34.0,34.0,37.7,,34.0,34.0,41.0,,34.0,0.5,
24/01/2025 5:31:17 PM,540,34.0,61.3,,34.0,3.0,99.2,31.2,34.0,34.0,58.7,,34.0,3.0,99.2,31.2,34.0,34.0,43.7,,34.0,3.0,99.2,31.2,34.0,34.0,47.9,,34.0,34.0,45.2,,34.0,34.0,67.0,,34.0,34.0,64.9,,34.0,34.0,55.9,,34.0,34.0,62.6,,34.0,34.0,65.9,,34.0,34.0,64.6,,34.0,34.0,43.7,,34.0,34.0,55.7,,34.0,34.0,17.2,,34.0,34.0,119.1,,34.0,34.0,92.8,,34.0,34.0,101.2,,34.0,34.0,77.8,,34.0,34.0,108.1,,34.0,34.0,70.2,,34.0,34.0,75.4,,34.0,34.0,43.7,,34.0,34.0,52.5,,34.0,34.0,40.4,,34.0,34.0,41.3,,34.0,0.4,
24/01/2025 5:32:17 PM,600,34.0,61.2,,34.0,3.0,99.2,31.2,34.0,34.0,57.7,,34.0,3.0,99.2,31.2,34.0,34.0,41.9,,34.0,3.0,99.2,31.2,34.0,34.0,47.4,,34.0,34.0,44.6,,34.0,34.0,64.6,,34.0,34.0,63.9,,34.0,34.0,55.9,,34.0,34.0,62.9,,34.0,34.0,64.4,,34.0,34.0,64.8,,34.0,34.0,41.9,,34.0,34.0,55.4,,34.0,34.0,17.3,,34.0,34.0,120.2,,34.0,34.0,93.9,,34.0,34.0,99.3,,34.0,34.0,80.9,,34.0,34.0,109.0,,34.0,34.0,71.1,,34.0,34.0,76.5,,34.0,34.0,43.9,,34.0,34.0,51.3,,34.0,34.0,41.0,,34.0,34.0,42.7,,34.0,0.4,
24/01/2025 5:33:16 PM,660,34.0,61.4,,34.0,3.0,99.2,31.2,34.0,34.0,58.4,,34.0,3.0,99.2,31.2,34.0,34.0,45.9,,34.0,3.0,99.2,31.2,34.0,34.0,47.9,,34.0,34.0,45.7,,34.0,34.0,66.3,,34.0,34.0,64.3,,34.0,34.0,55.9,,34.0,34.0,62.6,,34.0,34.0,64.7,,34.0,34.0,66.7,,34.0,34.0,45.9,,34.0,34.0,55.6,,34.0,34.0,16.8,,34.0,34.0,119.2,,34.0,34.0,94.1,,34.0,34.0,107.2,,34.0,34.0,79.5,,34.0,34.0,107.7,,34.0,34.0,69.4,,34.0,34.0,76.5,,34.0,34.0,43.7,,34.0,34.0,51.5,,34.0,34.0,38.6,,34.0,34.0,40.4,,34.0,0.1,
24/01/2025 5:34:17 PM,720,34.0,61.9,,34.0,3.0,99.2,31.2,34.0,34.0,59.5,,34.0,3.0,99.2,31.2,34.0,34.0,41.1,,34.0,3.0,99.2,31.2,34.0,34.0,48.7,,34.0,34.0,46.1,,34.0,34.0,67.5,,34.0,34.0,65.8,,34.0,34.0,56.8,,34.0,34.0,61.9,,34.0,34.0,67.2,,34.0,34.0,66.2,,34.0,34.0,41.1,,34.0,34.0,57.6,,34.0,34.0,17.5,,34.0,34.0,120.8,,34.0,34.0,87.9,,34.0,34.0,109.8,,34.0,34.0,80.8,,34.0,34.0,107.1,,34.0,34.0,69.5,,34.0,34.0,76.2,,34.0,34.0,44.4,,34.0,34.0,51.6,,34.0,34.0,39.8,,34.0,34.0,42.5,,34.0,0.2,
24/01/2025 5:35:17 PM,780,34.0,61.5,,34.0,3.0,99.2,31.2,34.0,34.0,59.2,,34.0,3.0,99.2,31.2,34.0,34.0,43.2,,34.0,3.0,99.2,31.2,34.0,34.0,48.7,,34.0,34.0,46.2,,34.0,34.0,65.8,,34.0,34.0,65.6,,34.0,34.0,57.5,,34.0,34.0,60.6,,34.0,34.0,65.1,,34.0,34.0,65.8,,34.0,34.0,43.2,,34.0,34.0,56.4,,34.0,34.0,16.9,,34.0,34.0,120.8,,34.0,34.0,89.0,,34.0,34.0,104.0,,34.0,34.0,77.8,,34.0,34.0,107.9,,34.0,34.0,73.8,,34.0,34.0,76.2,,34.0,34.0,44.1,,34.0,34.0,51.0,,34.0,34.0,40.4,,34.0,34.0,40.7,,34.0,0.2,
24/01/2025 5:36:17 PM,840,34.0,61.5,,34.0,3.0,99.2,31.2,34.0,34.0,59.6,,34.0,3.0,99.2,31.2,34.0,34.0,41.7,,34.0,3.0,99.2,31.2,34.0,34.0,48.8,,34.0,34.0,45.7,,34.0,34.0,67.6,,34.0,34.0,65.9,,34.0,34.0,57.5,,34.0,34.0,62.0,,34.0,34.0,65.2,,34.0,34.0,67.8,,34.0,34.0,41.7,,34.0,34.0,56.0,,34.0,34.0,13.2,,34.0,34.0,119.0,,34.0,34.0,94.7,,34.0,34.0,105.9,,34.0,34.0,80.2,,34.0,34.0,109.2,,34.0,34.0,69.2,,34.0,34.0,76.4,,34.0,34.0,44.2,,34.0,34.0,50.6,,34.0,34.0,38.9,,34.0,34.0,41.8,,34.0,0.6,
24/01/2025 5:37:17 PM,900,34.0,60.4,,34.0,3.0,99.2,31.2,34.0,34.0,57.4,,34.0,3.0,99.2,31.2,34.0,34.0,43.8,,34.0,3.0,99.2,31.2,34.0,34.0,42.3,,34.0,34.0,45.3,,34.0,34.0,64.5,,34.0,34.0,63.8,,34.0,34.0,57.3,,34.0,34.0,62.8,,34.0,34.0,62.0,,34.0,34.0,62.7,,34.0,34.0,43.8,,34.0,34.0,55.4,,34.0,34.0,16.6,,34.0,34.0,120.5,,34.0,34.0,91.0,,34.0,34.0,99.6,,34.0,34.0,78.3,,34.0,34.0,106.7,,34.0,34.0,68.6,,34.0,34.0,74.4,,34.0,34.0,44.4,,34.0,34.0,52.2,,34.0,34.0,39.8,,34.0,34.0,40.9,,34.0,0.6,
24/01/2025 5:38:17 PM,960,34.0,61.6,,34.0,3.0,99.2,31.2,34.0,34.0,59.5,,34.0,3.0,99.2,31.2,34.0,34.0,42.8,,34.0,3.0,99.2,31.2,34.0,34.0,48.0,,34.0,34.0,49.7,,34.0,34.0,65.1,,34.0,34.0,62.6,,34.0,34.0,61.6,,34.0,34.0,62.4,,34.0,34.0,61.6,,34.0,34.0,64.3,,34.0,34.0,42.8,,34.0,34.0,53.6,,34.0,34.0,16.6,,34.0,34.0,118.9,,34.0,34.0,97.8,,34.0,34.0,105.3,,34.0,34.0,80.0,,34.0,34.0,109.7,,34.0,34.0,69.9,,34.0,34.0,76.8,,34.0,34.0,43.8,,34.0,34.0,52.2,,34.0,34.0,40.4,,34.0,34.0,45.1,,34.0,1.1,
24/01/2025 5:39:17 PM,1020,34.0,60.1,,34.0,3.0,99.2,31.2,34.0,34.0,58.1,,34.0,3.0,99.2,31.2,34.0,34.0,42.2,,34.0,3.0,99.2,31.2,34.0,34.0,48.6,,34.0,34.0,44.0,,34.0,34.0,65.0,,34.0,34.0,64.1,,34.0,34.0,56.6,,34.0,34.0,61.8,,34.0,34.0,64.7,,34.0,34.0,62.1,,34.0,34.0,42.2,,34.0,34.0,55.5,,34.0,34.0,16.8,,34.0,34.0,120.2,,34.0,34.0,92.3,,34.0,34.0,101.1,,34.0,34.0,75.8,,34.0,34.0,108.5,,34.0,34.0,69.7,,34.0,34.0,74.6,,34.0,34.0,43.5,,34.0,34.0,40.5,,34.0,34.0,39.6,,34.0,34.0,41.1,,34.0,0.3,
24/01/2025 5:40:17 PM,1080,34.0,62.1,,34.0,3.0,99.2,31.2,34.0,34.0,61.9,,34.0,3.0,99.2,31.1,34.0,34.0,42.5,,34.0,3.0,99.2,31.2,34.0,34.0,49.0,,34.0,34.0,46.1,,34.0,34.0,66.6,,34.0,34.0,67.8,,34.0,34.0,65.8,,34.0,34.0,61.8,,34.0,34.0,66.1,,34.0,34.0,66.4,,34.0,34.0,42.5,,34.0,34.0,55.2,,34.0,34.0,16.4,,34.0,34.0,120.6,,34.0,34.0,88.6,,34.0,34.0,104.0,,34.0,34.0,79.0,,34.0,34.0,107.4,,34.0,34.0,72.3,,34.0,34.0,73.1,,34.0,34.0,43.8,,34.0,34.0,52.0,,34.0,34.0,40.3,,34.0,34.0,42.2,,34.0,0.3,
24/01/2025 5:41:17 PM,1140,34.0,61.7,,34.0,3.0,99.2,31.2,34.0,34.0,59.7,,34.0,3.0,99.2,31.2,34.0,34.0,41.8,,34.0,3.0,99.2,31.2,34.0,34.0,48.3,,34.0,34.0,46.1,,34.0,34.0,66.7,,34.0,34.0,66.3,,34.0,34.0,58.4,,34.0,34.0,61.9,,34.0,34.0,65.7,,34.0,34.0,66.1,,34.0,34.0,41.8,,34.0,34.0,57.2,,34.0,34.0,16.8,,34.0,34.0,121.1,,34.0,34.0,91.5,,34.0,34.0,105.1,,34.0,34.0,80.8,,34.0,34.0,108.5,,34.0,34.0,70.0,,34.0,34.0,75.2,,34.0,34.0,43.6,,34.0,34.0,51.5,,34.0,34.0,39.3,,34.0,34.0,40.9,,34.0,0.3,
24/01/2025 5:42:17 PM,1200,34.0,61.8,,34.0,3.0,99.2,31.2,34.0,34.0,59.1,,34.0,3.0,99.2,31.2,34.0,34.0,42.4,,34.0,3.0,99.2,31.2,34.0,34.0,47.6,,34.0,34.0,44.1,,34.0,34.0,67.3,,34.0,34.0,64.7,,34.0,34.0,58.4,,34.0,34.0,60.7,,34.0,34.0,68.0,,34.0,34.0,66.4,,34.0,34.0,42.4,,34.0,34.0,56.2,,34.0,34.0,17.3,,34.0,34.0,119.0,,34.0,34.0,94.2,,34.0,34.0,115.1,,34.0,34.0,77.8,,34.0,34.0,106.3,,34.0,34.0,69.3,,34.0,34.0,76.5,,34.0,34.0,43.6,,34.0,34.0,51.0,,34.0,34.0,40.0,,34.0,34.0,42.5,,34.0,0.5,
24/01/2025 5:43:17 PM,1260,34.0,61.1,,34.0,3.0,99.2,31.2,34.0,34.0,58.2,,34.0,3.0,99.2,31.2,34.0,34.0,42.6,,34.0,3.0,99.2,31.2,34.0,34.0,47.5,,34.0,34.0,46.0,,34.0,34.0,64.1,,34.0,34.0,63.5,,34.0,34.0,58.4,,34.0,34.0,60.5,,34.0,34.0,65.6,,34.0,34.0,63.2,,34.0,34.0,42.6,,34.0,34.0,57.0,,34.0,34.0,17.6,,34.0,34.0,120.7,,34.0,34.0,91.3,,34.0,34.0,103.8,,34.0,34.0,83.0,,34.0,34.0,106.6,,34.0,34.0,70.1,,34.0,34.0,74.4,,34.0,34.0,43.6,,34.0,34.0,51.2,,34.0,34.0,38.5,,34.0,34.0,41.8,,34.0,0.5,
24/01/2025 5:44:17 PM,1320,34.0,62.1,,34.0,3.0,99.2,31.2,34.0,34.0,62.0,,34.0,3.0,99.2,31.2,34.0,34.0,43.6,,34.0,3.0,99.2,31.2,34.0,34.0,47.6,,34.0,34.0,46.9,,34.0,34.0,66.9,,34.0,34.0,64.1,,34.0,34.0,70.2,,34.0,34.0,60.6,,34.0,34.0,66.2,,34.0,34.0,65.3,,34.0,34.0,43.6,,34.0,34.0,56.5,,34.0,34.0,17.5,,34.0,34.0,122.6,,34.0,34.0,87.8,,34.0,34.0,108.2,,34.0,34.0,76.7,,34.0,34.0,107.8,,34.0,34.0,70.3,,34.0,34.0,73.5,,34.0,34.0,44.1,,34.0,34.0,51.1,,34.0,34.0,40.4,,34.0,34.0,41.6,,34.0,0.5,
