Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
25/01/2025 5:10:03 PM,0,34.0,57.2,,34.0,3.0,99.2,31.2,34.0,34.0,59.7,,34.0,3.0,99.2,31.2,34.0,34.0,37.0,,34.0,3.0,99.2,31.2,34.0,34.0,50.1,,34.0,34.0,46.9,,34.0,34.0,69.6,,34.0,34.0,65.0,,34.0,34.0,55.3,,34.0,34.0,60.7,,34.0,34.0,69.1,,34.0,34.0,65.9,,34.0,34.0,37.0,,34.0,34.0,54.0,,34.0,34.0,20.4,,34.0,34.0,101.9,,34.0,34.0,94.4,,34.0,34.0,90.6,,34.0,34.0,70.3,,34.0,34.0,66.3,,34.0,34.0,59.5,,34.0,34.0,64.3,,34.0,34.0,38.5,,34.0,34.0,41.6,,34.0,34.0,38.6,,34.0,34.0,37.3,,34.0,0.1,
25/01/2025 5:11:03 PM,60,34.0,57.6,,34.0,3.0,99.2,31.2,34.0,34.0,59.6,,34.0,3.0,99.2,31.2,34.0,34.0,38.1,,34.0,3.0,99.2,31.2,34.0,34.0,48.1,,34.0,34.0,45.3,,34.0,34.0,69.2,,34.0,34.0,66.7,,34.0,34.0,55.3,,34.0,34.0,59.3,,34.0,34.0,69.9,,34.0,34.0,67.0,,34.0,34.0,38.1,,34.0,34.0,55.8,,34.0,34.0,20.4,,34.0,34.0,114.9,,34.0,34.0,92.2,,34.0,34.0,88.9,,34.0,34.0,68.2,,34.0,34.0,63.0,,34.0,34.0,60.5,,34.0,34.0,65.2,,34.0,34.0,38.5,,34.0,34.0,42.0,,34.0,34.0,37.8,,34.0,34.0,38.6,,34.0,0.6,
25/01/2025 5:12:03 PM,120,34.0,57.8,,34.0,3.0,99.2,31.2,34.0,34.0,60.2,,34.0,3.0,99.2,31.2,34.0,34.0,34.0,,34.0,3.0,99.2,31.2,34.0,34.0,48.7,,34.0,34.0,46.7,,34.0,34.0,69.4,,34.0,34.0,68.0,,34.0,34.0,55.3,,34.0,34.0,59.0,,34.0,34.0,71.0,,34.0,34.0,67.6,,34.0,34.0,34.0,,34.0,34.0,52.8,,34.0,34.0,22.2,,34.0,34.0,116.2,,34.0,34.0,86.1,,34.0,34.0,92.4,,34.0,34.0,73.2,,34.0,34.0,64.9,,34.0,34.0,60.3,,34.0,34.0,63.9,,34.0,34.0,38.1,,34.0,34.0,42.4,,34.0,34.0,39.3,,34.0,34.0,37.9,,34.0,0.6,
25/01/2025 5:13:03 PM,180,34.0,59.1,,34.0,3.0,99.2,31.2,34.0,34.0,60.0,,34.0,3.0,99.2,31.2,34.0,34.0,33.4,,34.0,3.0,99.2,31.2,34.0,34.0,49.0,,34.0,34.0,46.3,,34.0,34.0,70.1,,34.0,34.0,66.2,,34.0,34.0,55.3,,34.0,34.0,60.6,,34.0,34.0,70.9,,34.0,34.0,66.5,,34.0,34.0,33.4,,34.0,34.0,56.3,,34.0,34.0,22.9,,34.0,34.0,119.9,,34.0,34.0,88.9,,34.0,34.0,93.6,,34.0,34.0,77.5,,34.0,34.0,68.1,,34.0,34.0,62.5,,34.0,34.0,69.5,,34.0,34.0,40.3,,34.0,34.0,42.8,,34.0,34.0,41.6,,34.0,34.0,38.8,,34.0,0.0,
25/01/2025 5:14:03 PM,240,34.0,60.2,,34.0,3.0,99.2,31.2,34.0,34.0,60.2,,34.0,3.0,99.2,31.2,34.0,34.0,37.6,,34.0,3.0,99.2,31.2,34.0,34.0,49.5,,34.0,34.0,46.6,,34.0,34.0,69.3,,34.0,34.0,67.6,,34.0,34.0,55.3,,34.0,34.0,63.0,,34.0,34.0,70.7,,34.0,34.0,68.1,,34.0,34.0,37.6,,34.0,34.0,52.3,,34.0,34.0,23.5,,34.0,34.0,121.3,,34.0,34.0,96.6,,34.0,34.0,98.0,,34.0,34.0,79.6,,34.0,34.0,71.9,,34.0,34.0,65.0,,34.0,34.0,72.6,,34.0,34.0,40.9,,34.0,34.0,44.9,,34.0,34.0,40.8,,34.0,34.0,40.9,,34.0,0.8,
25/01/2025 5:15:03 PM,300,34.0,59.5,,34.0,3.0,99.2,31.2,34.0,34.0,60.0,,34.0,3.0,99.2,31.2,34.0,34.0,36.2,,34.0,3.0,99.2,31.2,34.0,34.0,49.4,,34.0,34.0,44.9,,34.0,34.0,68.3,,34.0,34.0,68.5,,34.0,34.0,55.3,,34.0,34.0,62.5,,34.0,34.0,71.0,,34.0,34.0,66.9,,34.0,34.0,36.2,,34.0,34.0,55.5,,34.0,34.0,22.1,,34.0,34.0,119.3,,34.0,34.0,91.1,,34.0,34.0,97.5,,34.0,34.0,80.0,,34.0,34.0,71.7,,34.0,34.0,62.3,,34.0,34.0,69.5,,34.0,34.0,41.6,,34.0,34.0,42.8,,34.0,34.0,39.0,,34.0,34.0,39.6,,34.0,0.7,
25/01/2025 5:16:03 PM,360,34.0,59.6,,34.0,3.0,99.2,31.2,34.0,34.0,59.8,,34.0,3.0,99.2,31.2,34.0,34.0,39.1,,34.0,3.0,99.2,31.2,34.0,34.0,48.9,,34.0,34.0,46.3,,34.0,34.0,68.6,,34.0,34.0,67.2,,34.0,34.0,55.3,,34.0,34.0,62.4,,34.0,34.0,70.4,,34.0,34.0,65.8,,34.0,34.0,39.1,,34.0,34.0,56.3,,34.0,34.0,22.7,,34.0,34.0,119.8,,34.0,34.0,98.9,,34.0,34.0,92.8,,34.0,34.0,74.7,,34.0,34.0,67.5,,34.0,34.0,63.9,,34.0,34.0,70.4,,34.0,34.0,40.4,,34.0,34.0,46.1,,34.0,34.0,40.8,,34.0,34.0,39.2,,34.0,0.3,
25/01/2025 5:17:03 PM,420,34.0,58.8,,34.0,3.0,99.2,31.2,34.0,34.0,59.5,,34.0,3.0,99.2,31.2,34.0,34.0,38.3,,34.0,3.0,99.2,31.2,34.0,34.0,49.4,,34.0,34.0,46.7,,34.0,34.0,68.1,,34.0,34.0,65.3,,34.0,34.0,56.0,,34.0,34.0,60.9,,34.0,34.0,67.3,,34.0,34.0,65.6,,34.0,34.0,38.3,,34.0,34.0,53.9,,34.0,34.0,22.2,,34.0,34.0,119.7,,34.0,34.0,97.7,,34.0,34.0,94.4,,34.0,34.0,74.1,,34.0,34.0,66.4,,34.0,34.0,62.2,,34.0,34.0,69.7,,34.0,34.0,40.4,,34.0,34.0,43.2,,34.0,34.0,40.8,,34.0,34.0,40.0,,34.0,0.4,
25/01/2025 5:18:03 PM,480,34.0,58.7,,34.0,3.0,99.2,31.2,34.0,34.0,59.4,,34.0,3.0,99.2,31.2,34.0,34.0,36.8,,34.0,3.0,99.2,31.2,34.0,34.0,49.2,,34.0,34.0,45.4,,34.0,34.0,67.4,,34.0,34.0,66.3,,34.0,34.0,56.0,,34.0,34.0,61.2,,34.0,34.0,69.7,,34.0,34.0,66.3,,34.0,34.0,36.8,,34.0,34.0,55.6,,34.0,34.0,21.6,,34.0,34.0,117.1,,34.0,34.0,97.5,,34.0,34.0,96.7,,34.0,34.0,77.0,,34.0,34.0,67.0,,34.0,34.0,61.1,,34.0,34.0,65.0,,34.0,34.0,40.4,,34.0,34.0,43.8,,34.0,34.0,40.5,,34.0,34.0,38.4,,34.0,0.1,
