Manikin #3.4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interval (sec),60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),
26/01/2025 16:00,74087,34,55.3,,34,3,99.2,31.2,34,34,58.9,,34,3,99.2,31.2,34,34,27.3,,34,3,99.2,31.2,34,34,48.2,,34,34,45.2,,34,34,66.9,,34,34,68.7,,34,34,52.7,,34,34,58.2,,34,34,70.2,,34,34,66.3,,34,34,27.3,,34,34,55.9,,34,34,18.3,,34,34,138.6,,34,34,93.4,,34,34,86.4,,34,34,58.7,,34,34,67.6,,34,34,47.1,,34,34,53,,34,34,32.1,,34,34,31.5,,34,34,36.5,,34,34,38.2,,34,0.4
26/01/2025 16:00,74102,34,55.2,,34,3,99.2,31.2,34,34,58.7,,34,3,99.2,31.2,34,34,29.6,,34,3,99.2,31.2,34,34,50.4,,34,34,46,,34,34,65.8,,34,34,67.4,,34,34,52.7,,34,34,59.5,,34,34,68.7,,34,34,67.5,,34,34,29.6,,34,34,53,,34,34,18.9,,34,34,139,,34,34,90.7,,34,34,89.9,,34,34,62.5,,34,34,66.8,,34,34,47,,34,34,51.9,,34,34,31.5,,34,34,32.5,,34,34,33.7,,34,34,37.5,,34,0.6
26/01/2025 16:01,74162,34,55.2,,34,3,99.2,31.2,34,34,59.8,,34,3,99.2,31.2,34,34,28.7,,34,3,99.2,31.2,34,34,47.7,,34,34,46.7,,34,34,69.2,,34,34,69.4,,34,34,52.8,,34,34,58.2,,34,34,70.8,,34,34,68,,34,34,28.7,,34,34,52.6,,34,34,18.3,,34,34,139,,34,34,86.3,,34,34,88.3,,34,34,56,,34,34,66.3,,34,34,45.2,,34,34,53.2,,34,34,31.2,,34,34,31.6,,34,34,37.9,,34,34,37.9,,34,0.1
26/01/2025 16:02,74222,34,55.8,,34,3,99.2,31.2,34,34,59.1,,34,3,99.2,31.2,34,34,28.4,,34,3,99.2,31.2,34,34,48.2,,34,34,44.6,,34,34,68,,34,34,68.7,,34,34,52.8,,34,34,61.4,,34,34,70,,34,34,67.1,,34,34,28.4,,34,34,54.1,,34,34,17.7,,34,34,143.5,,34,34,93.8,,34,34,91.7,,34,34,62.5,,34,34,66.5,,34,34,45.5,,34,34,52.8,,34,34,32.3,,34,34,33.2,,34,34,35.5,,34,34,37.5,,34,0.1
26/01/2025 16:03,74282,34,55.9,,34,3,99.2,31.2,34,34,59.8,,34,3,99.2,31.2,34,34,28.4,,34,3,99.2,31.2,34,34,48.2,,34,34,45.3,,34,34,68.9,,34,34,70.3,,34,34,52.8,,34,34,60.2,,34,34,69.8,,34,34,70.4,,34,34,28.4,,34,34,53.6,,34,34,19.3,,34,34,140.9,,34,34,92.4,,34,34,93.7,,34,34,62,,34,34,69,,34,34,45.2,,34,34,52.3,,34,34,31.4,,34,34,32.8,,34,34,33.6,,34,34,37,,34,0.1
26/01/2025 16:04,74342,34,55.9,,34,3,99.2,31.2,34,34,59.2,,34,3,99.2,31.2,34,34,31,,34,3,99.2,31.2,34,34,47.5,,34,34,46.1,,34,34,67.7,,34,34,68.9,,34,34,52.9,,34,34,58.5,,34,34,70,,34,34,68.7,,34,34,31,,34,34,53.2,,34,34,19.2,,34,34,140.9,,34,34,92.1,,34,34,89.5,,34,34,63.2,,34,34,67.8,,34,34,46.5,,34,34,53.1,,34,34,32.8,,34,34,33,,34,34,37.7,,34,34,37.7,,34,0.1
26/01/2025 16:05,74402,34,55.5,,34,3,99.2,31.2,34,34,58.8,,34,3,99.2,31.2,34,34,29.4,,34,3,99.2,31.2,34,34,48.1,,34,34,40.2,,34,34,68.5,,34,34,68.8,,34,34,53,,34,34,59.9,,34,34,68.8,,34,34,67.3,,34,34,29.4,,34,34,53.3,,34,34,17.8,,34,34,139.3,,34,34,97,,34,34,94.8,,34,34,62.8,,34,34,67,,34,34,45.3,,34,34,50.6,,34,34,32.2,,34,34,32.7,,34,34,36,,34,34,38.9,,34,0.2
26/01/2025 16:06,74462,34,55.2,,34,3,99.2,31.2,34,34,58.7,,34,3,99.2,31.2,34,34,29.7,,34,3,99.2,31.2,34,34,46.2,,34,34,44.9,,34,34,65.7,,34,34,69.6,,34,34,53.1,,34,34,58.4,,34,34,71.6,,34,34,68.1,,34,34,29.7,,34,34,54.9,,34,34,18.2,,34,34,140.6,,34,34,85,,34,34,86.3,,34,34,61.6,,34,34,66.5,,34,34,46.7,,34,34,53.1,,34,34,32.4,,34,34,27.7,,34,34,36.4,,34,34,37.4,,34,0.1
26/01/2025 16:07,74522,34,55.2,,34,3,99.2,31.2,34,34,58.5,,34,3,99.2,31.2,34,34,28.2,,34,3,99.2,31.2,34,34,47.3,,34,34,44.9,,34,34,67.6,,34,34,66.4,,34,34,53.4,,34,34,58.6,,34,34,70.7,,34,34,66.6,,34,34,28.2,,34,34,55.4,,34,34,18.1,,34,34,135.7,,34,34,92.7,,34,34,89.2,,34,34,60,,34,34,67,,34,34,45.9,,34,34,52.7,,34,34,30.6,,34,34,33.2,,34,34,34.9,,34,34,38.8,,34,0.5
