Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
26/01/2025 5:49:05 PM,80612,34.0,68.6,,34.0,3.0,99.2,31.2,34.0,34.0,77.9,,34.0,3.0,99.2,31.2,34.0,34.0,40.0,,34.0,3.0,99.2,31.2,34.0,34.0,51.8,,34.0,34.0,50.1,,34.0,34.0,95.7,,34.0,34.0,90.2,,34.0,34.0,73.9,,34.0,34.0,74.5,,34.0,34.0,88.5,,34.0,34.0,86.6,,34.0,34.0,40.0,,34.0,34.0,99.2,,34.0,34.0,16.3,,34.0,34.0,68.3,,34.0,34.0,92.3,,34.0,34.0,86.7,,34.0,34.0,66.9,,34.0,34.0,78.2,,34.0,34.0,57.4,,34.0,34.0,64.8,,34.0,34.0,34.0,,34.0,34.0,33.0,,34.0,34.0,67.9,,34.0,34.0,63.0,,34.0,0.2,
26/01/2025 5:49:35 PM,80642,34.0,68.9,,34.0,3.0,99.2,31.2,34.0,34.0,77.7,,34.0,3.0,99.2,31.2,34.0,34.0,39.5,,34.0,3.0,99.2,31.2,34.0,34.0,52.7,,34.0,34.0,50.6,,34.0,34.0,95.2,,34.0,34.0,89.3,,34.0,34.0,73.9,,34.0,34.0,75.4,,34.0,34.0,90.8,,34.0,34.0,88.3,,34.0,34.0,39.5,,34.0,34.0,100.6,,34.0,34.0,13.6,,34.0,34.0,69.0,,34.0,34.0,89.4,,34.0,34.0,89.8,,34.0,34.0,68.2,,34.0,34.0,76.8,,34.0,34.0,56.8,,34.0,34.0,66.6,,34.0,34.0,33.6,,34.0,34.0,34.7,,34.0,34.0,67.0,,34.0,34.0,62.7,,34.0,0.6,
26/01/2025 5:50:35 PM,80702,34.0,72.6,,34.0,3.0,99.2,31.2,34.0,34.0,83.1,,34.0,3.0,99.2,31.2,34.0,34.0,42.2,,34.0,3.0,99.2,31.2,34.0,34.0,54.0,,34.0,34.0,51.6,,34.0,34.0,102.9,,34.0,34.0,96.3,,34.0,34.0,79.6,,34.0,34.0,75.9,,34.0,34.0,91.4,,34.0,34.0,94.5,,34.0,34.0,42.2,,34.0,34.0,106.7,,34.0,34.0,16.4,,34.0,34.0,70.9,,34.0,34.0,92.4,,34.0,34.0,89.2,,34.0,34.0,69.6,,34.0,34.0,85.0,,34.0,34.0,61.5,,34.0,34.0,67.6,,34.0,34.0,36.9,,34.0,34.0,35.6,,34.0,34.0,73.7,,34.0,34.0,65.8,,34.0,2.0,
26/01/2025 5:51:35 PM,80762,34.0,74.5,,34.0,3.0,99.2,31.2,34.0,34.0,86.1,,34.0,3.0,99.2,31.2,34.0,34.0,42.8,,34.0,3.0,99.2,31.2,34.0,34.0,56.6,,34.0,34.0,52.3,,34.0,34.0,108.4,,34.0,34.0,100.2,,34.0,34.0,80.3,,34.0,34.0,82.1,,34.0,34.0,98.2,,34.0,34.0,97.2,,34.0,34.0,42.8,,34.0,34.0,109.8,,34.0,34.0,17.8,,34.0,34.0,70.0,,34.0,34.0,87.7,,34.0,34.0,91.5,,34.0,34.0,68.7,,34.0,34.0,85.9,,34.0,34.0,57.7,,34.0,34.0,67.9,,34.0,34.0,36.0,,34.0,34.0,36.4,,34.0,34.0,74.3,,34.0,34.0,69.7,,34.0,0.9,
26/01/2025 5:52:35 PM,80822,34.0,75.1,,34.0,3.0,99.2,31.2,34.0,34.0,85.8,,34.0,3.0,99.2,31.2,34.0,34.0,43.4,,34.0,3.0,99.2,31.2,34.0,34.0,56.1,,34.0,34.0,52.6,,34.0,34.0,106.8,,34.0,34.0,99.9,,34.0,34.0,81.2,,34.0,34.0,81.7,,34.0,34.0,100.2,,34.0,34.0,97.9,,34.0,34.0,43.4,,34.0,34.0,106.0,,34.0,34.0,18.0,,34.0,34.0,71.5,,34.0,34.0,96.9,,34.0,34.0,95.4,,34.0,34.0,72.4,,34.0,34.0,86.2,,34.0,34.0,59.8,,34.0,34.0,68.0,,34.0,34.0,37.1,,34.0,34.0,39.3,,34.0,34.0,73.4,,34.0,34.0,70.1,,34.0,0.4,
26/01/2025 5:53:35 PM,80882,34.0,75.2,,34.0,3.0,99.2,31.2,34.0,34.0,85.4,,34.0,3.0,99.2,31.2,34.0,34.0,44.5,,34.0,3.0,99.2,31.2,34.0,34.0,56.8,,34.0,34.0,52.4,,34.0,34.0,106.6,,34.0,34.0,97.9,,34.0,34.0,81.7,,34.0,34.0,82.2,,34.0,34.0,102.4,,34.0,34.0,98.1,,34.0,34.0,44.5,,34.0,34.0,110.6,,34.0,34.0,17.9,,34.0,34.0,73.1,,34.0,34.0,94.3,,34.0,34.0,92.8,,34.0,34.0,69.1,,34.0,34.0,84.6,,34.0,34.0,60.1,,34.0,34.0,68.7,,34.0,34.0,37.6,,34.0,34.0,37.2,,34.0,34.0,72.7,,34.0,34.0,69.5,,34.0,0.4,
26/01/2025 5:54:35 PM,80942,34.0,75.8,,34.0,3.0,99.2,31.2,34.0,34.0,85.8,,34.0,3.0,99.2,31.2,34.0,34.0,43.9,,34.0,3.0,99.2,31.2,34.0,34.0,56.3,,34.0,34.0,53.7,,34.0,34.0,106.4,,34.0,34.0,99.1,,34.0,34.0,81.8,,34.0,34.0,83.1,,34.0,34.0,102.1,,34.0,34.0,96.8,,34.0,34.0,43.9,,34.0,34.0,110.4,,34.0,34.0,17.5,,34.0,34.0,73.2,,34.0,34.0,94.8,,34.0,34.0,93.6,,34.0,34.0,71.9,,34.0,34.0,88.5,,34.0,34.0,58.6,,34.0,34.0,70.2,,34.0,34.0,37.9,,34.0,34.0,39.7,,34.0,34.0,74.4,,34.0,34.0,72.6,,34.0,0.2,
26/01/2025 5:55:35 PM,81002,34.0,75.2,,34.0,3.0,99.2,31.2,34.0,34.0,86.2,,34.0,3.0,99.2,31.2,34.0,34.0,43.8,,34.0,3.0,99.2,31.2,34.0,34.0,55.7,,34.0,34.0,53.7,,34.0,34.0,106.5,,34.0,34.0,100.5,,34.0,34.0,82.4,,34.0,34.0,82.1,,34.0,34.0,101.3,,34.0,34.0,97.9,,34.0,34.0,43.8,,34.0,34.0,111.6,,34.0,34.0,17.3,,34.0,34.0,72.4,,34.0,34.0,90.4,,34.0,34.0,87.8,,34.0,34.0,68.4,,34.0,34.0,84.6,,34.0,34.0,59.9,,34.0,34.0,68.2,,34.0,34.0,37.5,,34.0,34.0,36.9,,34.0,34.0,74.9,,34.0,34.0,69.7,,34.0,0.3,
26/01/2025 5:56:35 PM,81062,34.0,75.1,,34.0,3.0,99.2,31.2,34.0,34.0,86.1,,34.0,3.0,99.2,31.2,34.0,34.0,45.8,,34.0,3.0,99.2,31.2,34.0,34.0,55.9,,34.0,34.0,53.2,,34.0,34.0,106.3,,34.0,34.0,99.8,,34.0,34.0,82.8,,34.0,34.0,82.4,,34.0,34.0,102.2,,34.0,34.0,97.1,,34.0,34.0,45.8,,34.0,34.0,108.8,,34.0,34.0,17.9,,34.0,34.0,74.1,,34.0,34.0,90.6,,34.0,34.0,87.5,,34.0,34.0,69.2,,34.0,34.0,84.4,,34.0,34.0,60.3,,34.0,34.0,69.1,,34.0,34.0,35.4,,34.0,34.0,37.8,,34.0,34.0,75.1,,34.0,34.0,69.6,,34.0,0.2,
