Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
8/05/2025 5:33:24 PM,670792,33.3,132.3,,33.8,2.9,98.4,30.8,33.8,34.0,70.5,,34.0,3.0,99.2,31.2,34.0,34.0,17.5,,34.0,3.0,99.2,31.2,34.0,34.0,61.1,,34.0,34.0,58.9,,34.0,34.0,81.9,,34.0,34.0,83.6,,34.0,34.0,55.3,,34.0,34.0,58.5,,34.0,34.0,76.5,,34.0,34.0,84.7,,34.0,34.0,17.5,,34.0,34.0,37.3,,34.0,32.8,207.4,,33.6,31.7,194.7,,33.2,31.2,205.3,,33.0,30.6,215.9,,32.9,31.3,256.9,,33.1,31.3,256.7,,33.1,32.3,227.7,,33.4,32.3,210.3,,33.4,33.6,186.4,,33.9,33.5,184.2,,33.8,33.2,188.3,,33.7,33.2,186.3,,33.7,0.1,
8/05/2025 5:33:31 PM,670802,33.4,132.2,,33.5,2.8,97.3,30.6,33.5,34.0,70.5,,34.0,3.0,99.2,31.2,34.0,34.0,17.5,,34.0,3.0,99.2,31.2,34.0,34.0,61.1,,34.0,34.0,58.9,,34.0,34.0,81.9,,34.0,34.0,83.6,,34.0,34.0,55.3,,34.0,34.0,58.5,,34.0,34.0,76.5,,34.0,34.0,84.7,,34.0,34.0,17.5,,34.0,34.0,37.3,,34.0,33.0,207.2,,33.3,31.9,194.5,,32.5,31.4,205.0,,32.2,30.9,215.6,,31.8,31.6,256.5,,32.3,31.6,256.3,,32.3,32.5,227.4,,32.9,32.6,210.0,,33.0,33.7,186.2,,33.8,33.7,184.0,,33.7,33.4,188.1,,33.5,33.4,186.1,,33.5,0.1,
8/05/2025 5:34:34 PM,670862,34.0,110.6,,34.0,3.0,99.1,31.1,34.0,34.0,70.5,,34.0,3.0,99.2,31.2,34.0,34.0,17.5,,34.0,3.0,99.2,31.2,34.0,34.0,61.1,,34.0,34.0,58.9,,34.0,34.0,81.9,,34.0,34.0,83.6,,34.0,34.0,55.3,,34.0,34.0,58.5,,34.0,34.0,76.5,,34.0,34.0,84.7,,34.0,34.0,17.5,,34.0,34.0,37.3,,34.0,34.7,183.1,,34.5,33.5,193.3,,33.3,33.0,203.6,,32.8,32.3,214.5,,32.2,34.1,253.6,,33.8,33.8,253.8,,33.6,34.7,225.5,,34.4,34.1,208.7,,34.0,34.0,51.4,,34.0,34.0,59.6,,34.1,34.3,99.3,,34.3,34.3,92.8,,34.3,77.4,
8/05/2025 5:35:31 PM,670922,34.0,70.2,,34.0,3.0,99.3,31.2,34.0,34.0,70.5,,34.0,3.0,99.2,31.2,34.0,34.0,17.5,,34.0,3.0,99.2,31.2,34.0,34.0,61.1,,34.0,34.0,58.9,,34.0,34.0,81.9,,34.0,34.0,83.6,,34.0,34.0,55.3,,34.0,34.0,58.5,,34.0,34.0,76.5,,34.0,34.0,84.7,,34.0,34.0,17.5,,34.0,34.0,37.3,,34.0,34.1,27.8,,34.1,34.5,193.6,,34.4,33.5,203.9,,33.5,33.1,214.4,,33.0,34.2,64.5,,34.3,34.4,107.1,,34.5,34.1,49.8,,34.1,34.3,51.0,,34.4,34.0,40.0,,34.0,34.0,46.3,,34.0,34.0,56.0,,34.0,34.0,56.3,,34.0,32.8,
8/05/2025 5:36:35 PM,670982,34.0,67.7,,34.0,3.0,99.2,31.2,34.0,34.0,70.5,,34.0,3.0,99.2,31.2,34.0,34.0,17.5,,34.0,3.0,99.2,31.2,34.0,34.0,61.1,,34.0,34.0,58.9,,34.0,34.0,81.9,,34.0,34.0,83.6,,34.0,34.0,55.3,,34.0,34.0,58.5,,34.0,34.0,76.5,,34.0,34.0,84.7,,34.0,34.0,17.5,,34.0,34.0,37.3,,34.0,34.0,27.7,,34.0,34.1,63.5,,34.1,34.3,203.1,,34.2,33.9,213.5,,33.8,34.0,77.3,,34.0,34.0,105.0,,34.0,34.0,62.8,,34.0,34.0,70.6,,34.0,34.0,37.1,,34.0,34.0,43.0,,34.0,34.0,54.1,,34.0,34.0,56.3,,34.0,14.9,
8/05/2025 5:37:31 PM,671042,34.0,66.9,,34.0,3.0,99.2,31.2,34.0,34.0,70.5,,34.0,3.0,99.2,31.2,34.0,34.0,17.5,,34.0,3.0,99.2,31.2,34.0,34.0,61.1,,34.0,34.0,58.9,,34.0,34.0,81.9,,34.0,34.0,83.6,,34.0,34.0,55.3,,34.0,34.0,58.5,,34.0,34.0,76.5,,34.0,34.0,84.7,,34.0,34.0,17.5,,34.0,34.0,37.3,,34.0,34.0,28.3,,34.0,34.0,70.9,,34.0,34.2,144.4,,34.3,34.4,213.0,,34.3,34.0,87.7,,34.0,34.0,105.7,,34.0,34.0,63.8,,34.0,34.0,75.6,,34.0,34.0,34.4,,34.0,34.0,42.8,,34.0,34.0,53.0,,34.0,34.0,54.3,,34.0,0.1,
8/05/2025 5:38:35 PM,671102,34.0,63.8,,34.0,3.0,99.2,31.2,34.0,34.0,70.5,,34.0,3.0,99.2,31.2,34.0,34.0,17.5,,34.0,3.0,99.2,31.2,34.0,34.0,61.1,,34.0,34.0,58.9,,34.0,34.0,81.9,,34.0,34.0,83.6,,34.0,34.0,55.3,,34.0,34.0,58.5,,34.0,34.0,76.5,,34.0,34.0,84.7,,34.0,34.0,17.5,,34.0,34.0,37.3,,34.0,34.0,28.8,,34.0,34.0,71.7,,34.0,34.0,126.2,,34.0,34.1,124.8,,34.1,34.0,84.0,,34.0,34.0,99.0,,34.0,34.0,64.0,,34.0,34.0,74.8,,34.0,34.0,31.3,,34.0,34.0,42.1,,34.0,34.0,54.5,,34.0,34.0,53.7,,34.0,1.5,
8/05/2025 5:39:32 PM,671162,34.0,64.0,,34.0,3.0,99.2,31.2,34.0,34.0,70.5,,34.0,3.0,99.2,31.2,34.0,34.0,17.5,,34.0,3.0,99.2,31.2,34.0,34.0,61.1,,34.0,34.0,58.9,,34.0,34.0,81.9,,34.0,34.0,83.6,,34.0,34.0,55.3,,34.0,34.0,58.5,,34.0,34.0,76.5,,34.0,34.0,84.7,,34.0,34.0,17.5,,34.0,34.0,37.3,,34.0,34.0,28.0,,34.0,34.0,73.3,,34.0,34.0,135.4,,34.0,34.0,130.0,,34.0,34.0,83.1,,34.0,34.0,101.4,,34.0,34.0,62.2,,34.0,34.0,74.0,,34.0,34.0,32.7,,34.0,34.0,41.1,,34.0,34.0,51.9,,34.0,34.0,52.7,,34.0,2.0,
8/05/2025 5:40:36 PM,671222,34.0,63.6,,34.0,3.0,99.2,31.2,34.0,34.0,70.5,,34.0,3.0,99.2,31.2,34.0,34.0,17.5,,34.0,3.0,99.2,31.2,34.0,34.0,61.1,,34.0,34.0,58.9,,34.0,34.0,81.9,,34.0,34.0,83.6,,34.0,34.0,55.3,,34.0,34.0,58.5,,34.0,34.0,76.5,,34.0,34.0,84.7,,34.0,34.0,17.5,,34.0,34.0,37.3,,34.0,34.0,28.0,,34.0,34.0,72.3,,34.0,34.0,121.5,,34.0,34.0,125.3,,34.0,34.0,85.1,,34.0,34.0,101.4,,34.0,34.0,61.7,,34.0,34.0,72.6,,34.0,34.0,34.1,,34.0,34.0,41.1,,34.0,34.0,52.3,,34.0,34.0,54.2,,34.0,0.2,
