Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
8/05/2025 1:48:35 PM,657307,26.6,224.4,,26.5,-1.4,44.4,22.1,26.5,27.2,251.8,,27.1,-1.0,26.1,22.8,27.1,25.4,212.4,,25.4,-2.1,80.8,20.8,25.3,27.8,264.1,,27.6,28.0,267.4,,27.9,27.6,256.4,,27.4,27.2,255.8,,27.1,26.2,227.5,,26.1,25.9,223.1,,25.8,26.1,228.0,,26.0,25.8,223.9,,25.7,25.4,212.4,,25.4,25.9,219.8,,25.8,26.7,212.1,,26.7,26.8,198.0,,26.7,27.3,207.1,,27.2,27.3,218.0,,27.2,28.5,257.9,,28.3,28.3,257.5,,28.2,27.7,230.4,,27.5,26.5,214.5,,26.3,25.9,192.0,,25.8,25.8,189.7,,25.7,25.7,194.2,,25.6,25.6,192.2,,25.5,0.9,
8/05/2025 1:49:30 PM,657362,27.8,223.0,,27.7,-0.6,12.8,23.6,27.7,28.7,249.8,,28.6,-0.1,5.3,24.5,28.6,26.3,211.5,,26.2,-1.5,52.4,21.9,26.2,29.4,261.9,,29.3,29.7,265.2,,29.5,29.1,254.3,,29.0,28.7,253.8,,28.6,27.4,226.1,,27.3,27.1,221.7,,27.0,27.1,226.6,,27.0,26.9,222.6,,26.8,26.3,211.5,,26.2,26.9,218.5,,26.8,27.9,210.9,,27.8,27.9,196.9,,27.8,28.2,206.2,,28.1,28.2,216.9,,28.1,30.3,255.4,,30.2,30.1,255.1,,30.0,29.2,228.5,,29.1,27.8,213.0,,27.6,27.0,190.9,,26.9,26.8,188.9,,26.7,26.7,193.2,,26.6,26.5,191.3,,26.4,0.8,
8/05/2025 1:50:30 PM,657422,29.1,221.5,,29.0,0.1,5.2,25.0,29.0,30.2,248.0,,30.0,0.7,15.6,26.3,30.0,27.2,210.4,,27.1,-1.0,24.4,22.9,27.1,31.1,259.6,,30.9,31.3,263.0,,31.2,30.6,252.4,,30.5,30.1,251.9,,30.0,28.6,224.7,,28.5,28.2,220.3,,28.1,28.2,225.4,,28.1,28.0,221.3,,27.9,27.2,210.4,,27.1,28.0,217.3,,27.9,29.2,209.4,,29.1,29.1,195.7,,29.0,29.2,205.0,,29.1,29.1,215.9,,29.1,32.3,252.8,,32.1,32.0,252.6,,31.9,30.9,226.5,,30.7,29.1,211.5,,29.0,28.1,189.8,,28.0,27.9,187.6,,27.8,27.7,192.2,,27.6,27.4,190.3,,27.4,0.8,
8/05/2025 1:51:30 PM,657482,30.2,220.1,,30.1,0.8,17.4,26.4,30.1,31.5,246.2,,31.4,1.5,49.2,27.9,31.4,28.1,209.5,,28.0,-0.5,9.5,23.8,28.0,32.6,257.6,,32.5,32.9,260.7,,32.8,31.9,250.6,,31.8,31.4,250.2,,31.3,29.7,223.4,,29.6,29.2,219.2,,29.1,29.1,224.3,,29.1,28.9,220.3,,28.8,28.1,209.5,,28.0,28.9,216.2,,28.9,30.4,208.1,,30.3,30.2,194.6,,30.1,30.0,204.1,,29.9,29.9,215.0,,29.8,34.0,250.5,,33.9,33.7,250.4,,33.6,32.4,224.8,,32.3,30.3,210.1,,30.2,29.2,188.7,,29.1,28.9,186.6,,28.8,28.6,191.3,,28.6,28.4,189.4,,28.3,0.7,
8/05/2025 1:52:30 PM,657542,31.2,208.1,,31.1,1.3,42.5,27.6,31.1,32.6,245.2,,32.5,2.2,83.3,29.3,32.5,28.9,208.8,,28.8,0.0,5.0,24.8,28.8,34.0,256.4,,33.8,34.3,259.1,,34.2,33.1,249.2,,33.0,32.5,249.5,,32.4,30.7,222.7,,30.6,30.1,218.4,,30.1,30.0,223.9,,29.9,29.8,219.6,,29.7,28.9,208.8,,28.8,29.8,215.2,,29.8,31.6,207.0,,31.5,31.2,193.6,,31.1,30.6,203.8,,30.6,30.5,214.3,,30.5,34.2,68.6,,34.2,34.3,83.1,,34.4,33.8,223.8,,33.7,31.5,209.2,,31.4,30.2,187.8,,30.1,29.9,185.9,,29.8,29.6,190.6,,29.5,29.2,188.5,,29.2,1.7,
8/05/2025 1:53:30 PM,657602,32.0,189.7,,31.9,1.8,67.0,28.6,31.9,33.4,201.2,,33.3,2.6,95.8,30.3,33.3,29.6,208.5,,29.5,0.4,8.7,25.7,29.5,34.3,89.9,,34.3,34.1,77.6,,34.2,34.1,249.3,,34.1,33.5,249.8,,33.4,31.6,221.8,,31.5,31.0,217.9,,30.9,30.8,223.1,,30.7,30.5,219.2,,30.5,29.6,208.5,,29.5,30.7,214.8,,30.6,32.7,206.1,,32.6,32.2,192.9,,32.1,31.2,203.8,,31.2,31.1,213.9,,31.1,34.0,68.9,,34.0,34.0,80.1,,34.0,34.4,71.6,,34.5,32.6,208.3,,32.5,31.1,187.4,,31.1,30.8,185.3,,30.7,30.4,190.0,,30.3,30.1,188.2,,30.0,4.2,
8/05/2025 1:54:30 PM,657662,32.6,182.1,,32.5,2.2,83.4,29.4,32.5,33.8,169.2,,33.8,2.9,98.5,30.9,33.8,30.3,207.8,,30.3,0.8,20.0,26.6,30.3,34.0,95.1,,34.0,34.0,91.4,,34.0,34.2,116.5,,34.3,34.4,248.8,,34.4,32.4,221.3,,32.3,31.8,217.1,,31.7,31.5,222.6,,31.5,31.3,218.5,,31.2,30.3,207.8,,30.3,31.5,213.9,,31.4,33.9,204.9,,33.8,33.1,192.1,,33.0,31.8,203.2,,31.7,31.6,213.3,,31.6,34.0,76.8,,34.0,34.0,82.3,,34.0,34.0,77.6,,34.0,33.5,207.5,,33.5,32.1,186.5,,32.0,31.7,184.7,,31.6,31.2,189.2,,31.2,30.9,187.4,,30.8,5.1,
8/05/2025 1:55:30 PM,657722,33.1,168.2,,33.0,2.4,92.3,30.0,33.0,33.8,141.7,,33.8,2.9,98.7,30.9,33.8,31.0,207.3,,31.0,1.2,37.3,27.4,31.0,34.0,96.0,,34.0,34.0,88.2,,34.0,34.0,132.0,,34.0,34.1,127.2,,34.1,33.2,220.6,,33.1,32.5,216.4,,32.5,32.2,222.2,,32.1,31.9,218.0,,31.9,31.0,207.3,,31.0,32.2,213.4,,32.1,34.4,91.7,,34.5,34.0,191.6,,33.9,32.2,203.0,,32.2,32.1,213.3,,32.0,34.0,74.9,,34.0,34.0,75.4,,34.0,34.0,78.8,,34.0,34.5,206.5,,34.4,32.9,186.0,,32.9,32.5,183.8,,32.5,32.0,188.7,,31.9,31.6,186.9,,31.6,4.8,
8/05/2025 1:56:30 PM,657782,33.4,156.1,,33.4,2.7,96.1,30.4,33.4,34.0,143.7,,34.0,3.0,99.1,31.1,34.0,31.7,206.8,,31.6,1.6,57.6,28.2,31.6,34.0,92.6,,34.0,34.0,86.7,,34.0,34.0,131.9,,34.0,34.0,138.3,,34.0,33.9,220.0,,33.9,33.2,216.1,,33.1,32.8,221.6,,32.7,32.5,217.6,,32.5,31.7,206.8,,31.6,32.9,213.0,,32.8,34.0,44.9,,34.0,34.4,113.8,,34.5,32.6,202.8,,32.6,32.5,213.0,,32.5,34.0,69.3,,34.0,34.0,72.4,,34.0,34.0,75.4,,34.0,34.1,67.0,,34.1,33.8,185.4,,33.7,33.3,183.3,,33.3,32.8,188.1,,32.7,32.3,186.3,,32.3,9.3,
