Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
9/05/2025 5:57:02 PM,758612,32.1,218.5,,32.0,1.8,68.6,28.7,32.0,31.8,246.3,,31.6,1.6,58.2,28.2,31.6,33.2,204.3,,33.1,2.5,93.2,30.0,33.1,30.8,260.3,,30.6,31.0,263.8,,30.8,31.7,250.9,,31.6,31.9,250.2,,31.7,32.7,220.5,,32.6,32.6,215.7,,32.5,32.4,221.0,,32.3,32.2,216.9,,32.1,33.2,204.3,,33.1,32.7,212.3,,32.6,32.6,205.8,,32.4,32.0,192.8,,31.9,32.1,202.0,,32.0,31.8,212.8,,31.7,31.4,254.0,,31.2,31.2,254.1,,31.0,31.3,226.3,,31.2,31.3,209.1,,31.2,32.5,185.8,,32.4,32.4,183.4,,32.3,32.3,187.6,,32.3,32.4,185.4,,32.3,97.8,
9/05/2025 5:57:32 PM,758642,32.8,217.7,,32.6,2.2,85.8,29.5,32.6,32.6,245.4,,32.5,2.1,82.0,29.3,32.5,33.7,203.6,,33.6,2.8,97.7,30.7,33.6,31.7,259.2,,31.5,31.8,262.7,,31.7,32.6,249.8,,32.5,32.7,249.2,,32.6,33.4,219.8,,33.3,33.2,215.0,,33.1,33.0,220.5,,32.9,32.7,216.3,,32.7,33.7,203.6,,33.6,33.3,211.6,,33.2,33.3,205.1,,33.2,32.7,192.2,,32.6,32.6,201.5,,32.5,32.4,212.2,,32.3,32.3,252.9,,32.2,32.1,252.8,,32.0,32.1,225.3,,32.0,31.9,208.7,,31.8,33.0,185.3,,32.9,32.9,183.0,,32.8,32.8,187.1,,32.7,32.8,185.0,,32.8,0.9,
9/05/2025 5:58:32 PM,758702,33.8,216.5,,33.8,2.9,98.4,30.9,33.8,34.0,243.7,,33.9,2.9,98.9,31.0,33.9,34.4,203.1,,34.4,3.2,99.8,31.6,34.4,33.2,257.5,,33.1,33.4,260.6,,33.3,34.1,248.1,,34.0,34.1,247.4,,34.0,34.4,218.7,,34.3,34.1,214.1,,34.1,33.9,219.4,,33.8,33.7,215.4,,33.6,34.4,203.1,,34.4,34.1,210.7,,34.1,34.6,203.8,,34.5,33.8,191.0,,33.7,33.3,200.8,,33.3,33.3,211.2,,33.2,33.9,250.9,,33.7,33.7,250.8,,33.6,33.5,223.8,,33.4,32.9,207.6,,32.8,33.8,184.6,,33.7,33.7,182.3,,33.6,33.5,186.5,,33.4,33.5,184.4,,33.5,0.6,
9/05/2025 5:59:32 PM,758762,34.3,143.1,,34.3,3.2,99.7,31.5,34.3,34.3,124.0,,34.3,3.2,99.7,31.5,34.3,34.1,95.1,,34.1,3.1,99.4,31.3,34.1,34.6,259.5,,34.5,34.6,169.4,,34.6,34.2,93.7,,34.2,34.2,98.1,,34.3,34.1,88.4,,34.1,34.2,90.7,,34.3,34.5,149.6,,34.5,34.5,216.7,,34.4,34.1,95.1,,34.1,34.3,92.7,,34.3,34.1,26.4,,34.1,34.4,99.7,,34.5,33.8,201.9,,33.8,33.9,211.8,,33.9,34.3,115.6,,34.4,34.4,133.8,,34.5,34.6,224.4,,34.5,33.7,207.9,,33.7,34.6,184.9,,34.5,34.4,182.6,,34.3,34.1,187.1,,34.1,34.1,184.9,,34.1,40.1,
9/05/2025 6:00:32 PM,758822,34.1,105.5,,34.1,3.1,99.4,31.3,34.1,34.0,106.1,,34.0,3.0,99.3,31.2,34.0,34.0,91.0,,34.0,3.0,99.2,31.2,34.0,34.1,100.9,,34.1,34.0,111.1,,34.0,34.0,106.2,,34.0,34.0,115.7,,34.0,34.0,95.7,,34.0,34.0,94.9,,34.0,34.0,110.0,,34.0,34.1,106.7,,34.1,34.0,91.0,,34.0,34.0,102.9,,34.0,34.0,28.9,,34.0,34.0,67.8,,34.0,34.3,201.9,,34.3,34.5,211.7,,34.5,34.0,120.4,,34.0,34.0,122.4,,34.0,34.1,101.2,,34.1,34.4,208.0,,34.4,34.1,58.8,,34.1,34.1,66.4,,34.1,34.3,93.3,,34.4,34.4,106.6,,34.4,17.1,
9/05/2025 6:01:32 PM,758882,34.0,100.0,,34.0,3.0,99.2,31.2,34.0,34.0,110.7,,34.0,3.0,99.2,31.2,34.0,34.0,92.7,,34.0,3.0,99.2,31.2,34.0,34.0,122.5,,34.0,34.0,109.2,,34.0,34.0,113.4,,34.0,34.0,115.8,,34.0,34.0,96.9,,34.0,34.0,94.1,,34.0,34.0,111.9,,34.0,34.0,111.9,,34.0,34.0,92.7,,34.0,34.0,106.5,,34.0,34.0,31.7,,34.0,34.0,71.4,,34.0,34.1,137.3,,34.1,34.1,120.1,,34.1,34.0,122.9,,34.0,34.0,120.0,,34.0,34.0,117.0,,34.0,34.1,102.1,,34.1,34.0,79.3,,34.0,34.0,82.4,,34.0,34.0,86.5,,34.0,34.0,91.2,,34.0,3.3,
9/05/2025 6:02:32 PM,758942,34.0,101.7,,34.0,3.0,99.2,31.2,34.0,34.0,108.3,,34.0,3.0,99.2,31.2,34.0,34.0,92.8,,34.0,3.0,99.2,31.2,34.0,34.0,119.1,,34.0,34.0,117.8,,34.0,34.0,107.3,,34.0,34.0,113.4,,34.0,34.0,93.3,,34.0,34.0,96.1,,34.0,34.0,112.7,,34.0,34.0,112.4,,34.0,34.0,92.8,,34.0,34.0,106.9,,34.0,34.0,30.4,,34.0,34.0,71.8,,34.0,34.0,141.4,,34.0,34.0,123.2,,34.0,34.0,126.3,,34.0,34.0,121.8,,34.0,34.0,119.3,,34.0,34.0,117.9,,34.0,34.0,81.8,,34.0,34.0,84.7,,34.0,34.0,96.7,,34.0,34.0,96.6,,34.0,1.6,
9/05/2025 6:03:32 PM,759002,34.0,101.4,,34.0,3.0,99.2,31.2,34.0,34.0,109.6,,34.0,3.0,99.2,31.2,34.0,34.0,93.2,,34.0,3.0,99.2,31.2,34.0,34.0,122.6,,34.0,34.0,114.6,,34.0,34.0,110.9,,34.0,34.0,114.7,,34.0,34.0,93.2,,34.0,34.0,96.3,,34.0,34.0,107.6,,34.0,34.0,113.4,,34.0,34.0,93.2,,34.0,34.0,107.6,,34.0,34.0,27.7,,34.0,34.0,71.5,,34.0,34.0,128.1,,34.0,34.0,124.9,,34.0,34.0,124.0,,34.0,34.0,121.7,,34.0,34.0,119.9,,34.0,34.0,119.0,,34.0,34.0,82.6,,34.0,34.0,84.7,,34.0,34.0,96.3,,34.0,34.0,95.4,,34.0,0.8,
9/05/2025 6:04:32 PM,759062,34.0,100.6,,34.0,3.0,99.2,31.2,34.0,34.0,108.2,,34.0,3.0,99.2,31.2,34.0,34.0,88.9,,34.0,3.0,99.2,31.2,34.0,34.0,119.1,,34.0,34.0,116.7,,34.0,34.0,107.0,,34.0,34.0,113.8,,34.0,34.0,93.3,,34.0,34.0,95.5,,34.0,34.0,109.9,,34.0,34.0,113.2,,34.0,34.0,88.9,,34.0,34.0,103.9,,34.0,34.0,27.8,,34.0,34.0,71.3,,34.0,34.0,137.5,,34.0,34.0,116.7,,34.0,34.0,127.2,,34.0,34.0,117.9,,34.0,34.0,119.4,,34.0,34.0,118.0,,34.0,34.0,81.5,,34.0,34.0,83.3,,34.0,34.0,98.8,,34.0,34.0,95.3,,34.0,0.7,
9/05/2025 6:05:32 PM,759122,34.0,99.9,,34.0,3.0,99.2,31.2,34.0,34.0,108.5,,34.0,3.0,99.2,31.2,34.0,34.0,91.7,,34.0,3.0,99.2,31.2,34.0,34.0,117.7,,34.0,34.0,116.6,,34.0,34.0,106.6,,34.0,34.0,116.1,,34.0,34.0,93.2,,34.0,34.0,94.0,,34.0,34.0,107.4,,34.0,34.0,108.3,,34.0,34.0,91.7,,34.0,34.0,106.6,,34.0,34.0,28.6,,34.0,34.0,68.7,,34.0,34.0,124.1,,34.0,34.0,116.7,,34.0,34.0,123.7,,34.0,34.0,119.4,,34.0,34.0,113.8,,34.0,34.0,115.9,,34.0,34.0,80.9,,34.0,34.0,84.7,,34.0,34.0,99.1,,34.0,34.0,98.2,,34.0,0.3,
9/05/2025 6:06:32 PM,759182,34.0,99.2,,34.0,3.0,99.2,31.2,34.0,34.0,110.7,,34.0,3.0,99.2,31.2,34.0,34.0,90.7,,34.0,3.0,99.2,31.2,34.0,34.0,121.3,,34.0,34.0,116.9,,34.0,34.0,111.9,,34.0,34.0,116.8,,34.0,34.0,94.1,,34.0,34.0,93.3,,34.0,34.0,100.3,,34.0,34.0,107.4,,34.0,34.0,90.7,,34.0,34.0,104.5,,34.0,34.0,27.4,,34.0,34.0,68.5,,34.0,34.0,121.1,,34.0,34.0,119.5,,34.0,34.0,117.9,,34.0,34.0,118.3,,34.0,34.0,113.9,,34.0,34.0,116.3,,34.0,34.0,82.8,,34.0,34.0,82.4,,34.0,34.0,96.6,,34.0,34.0,96.5,,34.0,0.3,
9/05/2025 6:07:32 PM,759242,34.0,99.3,,34.0,3.0,99.2,31.2,34.0,34.0,109.8,,34.0,3.0,99.2,31.2,34.0,34.0,92.3,,34.0,3.0,99.2,31.2,34.0,34.0,120.0,,34.0,34.0,116.8,,34.0,34.0,111.1,,34.0,34.0,115.8,,34.0,34.0,92.9,,34.0,34.0,93.1,,34.0,34.0,100.5,,34.0,34.0,110.8,,34.0,34.0,92.3,,34.0,34.0,106.7,,34.0,34.0,26.4,,34.0,34.0,68.8,,34.0,34.0,124.7,,34.0,34.0,113.1,,34.0,34.0,119.7,,34.0,34.0,116.1,,34.0,34.0,112.7,,34.0,34.0,114.7,,34.0,34.0,81.5,,34.0,34.0,84.5,,34.0,34.0,99.1,,34.0,34.0,96.2,,34.0,0.9,
9/05/2025 6:08:32 PM,759302,34.0,97.5,,34.0,3.0,99.2,31.2,34.0,34.0,107.4,,34.0,3.0,99.2,31.2,34.0,34.0,89.5,,34.0,3.0,99.2,31.2,34.0,34.0,117.1,,34.0,34.0,114.3,,34.0,34.0,110.0,,34.0,34.0,113.7,,34.0,34.0,88.8,,34.0,34.0,92.4,,34.0,34.0,98.3,,34.0,34.0,112.9,,34.0,34.0,89.5,,34.0,34.0,102.8,,34.0,34.0,26.0,,34.0,34.0,66.7,,34.0,34.0,122.8,,34.0,34.0,113.4,,34.0,34.0,116.3,,34.0,34.0,114.1,,34.0,34.0,110.7,,34.0,34.0,115.2,,34.0,34.0,80.6,,34.0,34.0,80.0,,34.0,34.0,96.5,,34.0,34.0,96.2,,34.0,1.4,
9/05/2025 6:09:32 PM,759362,34.0,96.7,,34.0,3.0,99.2,31.2,34.0,34.0,105.0,,34.0,3.0,99.2,31.2,34.0,34.0,93.0,,34.0,3.0,99.2,31.2,34.0,34.0,125.5,,34.0,34.0,110.7,,34.0,34.0,102.6,,34.0,34.0,107.9,,34.0,34.0,90.4,,34.0,34.0,91.3,,34.0,34.0,97.9,,34.0,34.0,107.2,,34.0,34.0,93.0,,34.0,34.0,102.5,,34.0,34.0,26.1,,34.0,34.0,66.1,,34.0,34.0,123.8,,34.0,34.0,115.3,,34.0,34.0,119.5,,34.0,34.0,116.1,,34.0,34.0,110.2,,34.0,34.0,116.3,,34.0,34.0,78.8,,34.0,34.0,80.9,,34.0,34.0,94.5,,34.0,34.0,94.8,,34.0,1.1,
9/05/2025 6:10:32 PM,759422,34.0,96.3,0.161,34.0,3.0,99.2,31.2,34.0,34.0,104.1,0.094,34.0,3.0,99.2,31.2,34.0,34.0,87.0,0.241,34.0,3.0,99.2,31.2,34.0,34.0,117.0,0.008,34.0,34.0,110.7,0.049,34.0,34.0,103.6,0.101,34.0,34.0,108.1,0.060,34.0,34.0,90.0,0.217,34.0,34.0,92.3,0.203,34.0,34.0,99.9,0.131,34.0,34.0,109.6,0.054,34.0,34.0,87.0,0.241,34.0,34.0,101.0,0.117,34.0,34.0,26.5,2.592,34.0,34.0,65.3,0.574,34.0,34.0,125.7,-0.041,34.0,34.0,109.4,0.054,34.0,34.0,119.4,-0.012,34.0,34.0,115.3,0.019,34.0,34.0,109.5,0.056,34.0,34.0,118.7,0.008,34.0,34.0,77.2,0.375,34.0,34.0,81.4,0.325,34.0,34.0,92.9,0.189,34.0,34.0,94.8,0.181,34.0,0.1,
