Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
1/02/2025 4:49:20 PM,595417,34.0,52.9,,34.0,3.0,99.2,31.2,34.0,34.0,57.5,,34.0,3.0,99.2,31.2,34.0,34.0,33.0,,34.0,3.0,99.2,31.2,34.0,34.0,45.0,,34.0,34.0,46.3,,34.0,34.0,63.5,,34.0,34.0,64.5,,34.0,34.0,55.9,,34.0,34.0,62.5,,34.0,34.0,65.7,,34.0,34.0,68.7,,34.0,34.0,33.0,,34.0,34.0,53.8,,34.0,34.0,18.2,,34.0,34.0,54.6,,34.0,34.0,104.3,,34.0,34.0,91.0,,34.0,34.0,65.9,,34.0,34.0,73.1,,34.0,34.0,44.8,,34.0,34.0,50.9,,34.0,34.0,26.6,,34.0,34.0,30.1,,34.0,34.0,35.7,,34.0,34.0,40.5,,34.0,0.4,
1/02/2025 4:49:44 PM,595442,34.0,52.5,,34.0,3.0,99.2,31.2,34.0,34.0,57.8,,34.0,3.0,99.2,31.2,34.0,34.0,32.7,,34.0,3.0,99.2,31.2,34.0,34.0,45.7,,34.0,34.0,45.8,,34.0,34.0,64.7,,34.0,34.0,64.4,,34.0,34.0,55.9,,34.0,34.0,60.7,,34.0,34.0,67.1,,34.0,34.0,68.4,,34.0,34.0,32.7,,34.0,34.0,54.4,,34.0,34.0,18.4,,34.0,34.0,54.2,,34.0,34.0,98.0,,34.0,34.0,87.2,,34.0,34.0,60.5,,34.0,34.0,72.7,,34.0,34.0,42.9,,34.0,34.0,52.2,,34.0,34.0,27.3,,34.0,34.0,30.5,,34.0,34.0,35.3,,34.0,34.0,40.5,,34.0,0.2,
1/02/2025 4:50:45 PM,595502,34.0,52.8,,34.0,3.0,99.2,31.2,34.0,34.0,56.3,,34.0,3.0,99.2,31.2,34.0,34.0,33.6,,34.0,3.0,99.2,31.2,34.0,34.0,45.9,,34.0,34.0,44.9,,34.0,34.0,62.0,,34.0,34.0,61.5,,34.0,34.0,55.9,,34.0,34.0,61.3,,34.0,34.0,68.5,,34.0,34.0,69.3,,34.0,34.0,33.6,,34.0,34.0,57.4,,34.0,34.0,18.8,,34.0,34.0,53.2,,34.0,34.0,100.9,,34.0,34.0,84.2,,34.0,34.0,60.2,,34.0,34.0,76.2,,34.0,34.0,44.6,,34.0,34.0,53.1,,34.0,34.0,26.1,,34.0,34.0,30.3,,34.0,34.0,36.9,,34.0,34.0,42.3,,34.0,0.7,
1/02/2025 4:51:45 PM,595562,34.0,54.4,,34.0,3.0,99.2,31.2,34.0,34.0,55.9,,34.0,3.0,99.2,31.2,34.0,34.0,31.8,,34.0,3.0,99.2,31.2,34.0,34.0,45.0,,34.0,34.0,44.9,,34.0,34.0,61.6,,34.0,34.0,61.0,,34.0,34.0,55.9,,34.0,34.0,59.8,,34.0,34.0,69.0,,34.0,34.0,70.9,,34.0,34.0,31.8,,34.0,34.0,56.6,,34.0,34.0,18.5,,34.0,34.0,59.0,,34.0,34.0,122.0,,34.0,34.0,102.2,,34.0,34.0,69.7,,34.0,34.0,78.2,,34.0,34.0,42.8,,34.0,34.0,59.1,,34.0,34.0,26.2,,34.0,34.0,31.6,,34.0,34.0,36.8,,34.0,34.0,41.7,,34.0,1.2,
1/02/2025 4:52:44 PM,595622,34.0,53.9,,34.0,3.0,99.2,31.2,34.0,34.0,56.4,,34.0,3.0,99.2,31.2,34.0,34.0,32.2,,34.0,3.0,99.2,31.2,34.0,34.0,45.9,,34.0,34.0,43.5,,34.0,34.0,61.2,,34.0,34.0,63.5,,34.0,34.0,55.9,,34.0,34.0,59.6,,34.0,34.0,69.0,,34.0,34.0,71.3,,34.0,34.0,32.2,,34.0,34.0,60.1,,34.0,34.0,19.9,,34.0,34.0,56.5,,34.0,34.0,108.5,,34.0,34.0,92.7,,34.0,34.0,64.1,,34.0,34.0,78.1,,34.0,34.0,44.8,,34.0,34.0,53.5,,34.0,34.0,27.1,,34.0,34.0,31.2,,34.0,34.0,37.8,,34.0,34.0,41.5,,34.0,0.1,
1/02/2025 4:53:44 PM,595682,34.0,53.9,,34.0,3.0,99.2,31.2,34.0,34.0,56.4,,34.0,3.0,99.2,31.2,34.0,34.0,32.8,,34.0,3.0,99.2,31.2,34.0,34.0,44.3,,34.0,34.0,43.9,,34.0,34.0,61.6,,34.0,34.0,63.9,,34.0,34.0,55.9,,34.0,34.0,60.3,,34.0,34.0,66.4,,34.0,34.0,71.7,,34.0,34.0,32.8,,34.0,34.0,56.0,,34.0,34.0,19.7,,34.0,34.0,64.2,,34.0,34.0,115.9,,34.0,34.0,90.6,,34.0,34.0,67.0,,34.0,34.0,74.9,,34.0,34.0,45.0,,34.0,34.0,52.7,,34.0,34.0,27.1,,34.0,34.0,30.6,,34.0,34.0,38.1,,34.0,34.0,40.9,,34.0,0.5,
1/02/2025 4:54:44 PM,595742,34.0,52.6,,34.0,3.0,99.2,31.2,34.0,34.0,56.3,,34.0,3.0,99.2,31.2,34.0,34.0,24.5,,34.0,3.0,99.2,31.2,34.0,34.0,45.5,,34.0,34.0,44.0,,34.0,34.0,61.7,,34.0,34.0,62.8,,34.0,34.0,55.9,,34.0,34.0,59.7,,34.0,34.0,67.5,,34.0,34.0,71.5,,34.0,34.0,24.5,,34.0,34.0,55.3,,34.0,34.0,19.0,,34.0,34.0,60.0,,34.0,34.0,100.9,,34.0,34.0,86.5,,34.0,34.0,63.3,,34.0,34.0,74.2,,34.0,34.0,43.2,,34.0,34.0,50.7,,34.0,34.0,28.3,,34.0,34.0,30.8,,34.0,34.0,36.7,,34.0,34.0,40.8,,34.0,0.9,
1/02/2025 4:55:44 PM,595802,34.0,54.3,,34.0,3.0,99.2,31.2,34.0,34.0,56.7,,34.0,3.0,99.2,31.2,34.0,34.0,32.4,,34.0,3.0,99.2,31.2,34.0,34.0,45.1,,34.0,34.0,45.5,,34.0,34.0,62.2,,34.0,34.0,63.1,,34.0,34.0,55.9,,34.0,34.0,83.0,,34.0,34.0,68.0,,34.0,34.0,68.8,,34.0,34.0,32.4,,34.0,34.0,53.8,,34.0,34.0,18.8,,34.0,34.0,60.7,,34.0,34.0,106.6,,34.0,34.0,87.7,,34.0,34.0,64.6,,34.0,34.0,75.2,,34.0,34.0,44.6,,34.0,34.0,51.2,,34.0,34.0,27.2,,34.0,34.0,31.1,,34.0,34.0,35.8,,34.0,34.0,40.4,,34.0,0.7,
1/02/2025 4:56:45 PM,595862,34.0,53.0,,34.0,3.0,99.2,31.2,34.0,34.0,56.1,,34.0,3.0,99.2,31.2,34.0,34.0,32.0,,34.0,3.0,99.2,31.2,34.0,34.0,45.1,,34.0,34.0,44.0,,34.0,34.0,61.9,,34.0,34.0,61.9,,34.0,34.0,55.9,,34.0,34.0,60.5,,34.0,34.0,68.7,,34.0,34.0,72.2,,34.0,34.0,32.0,,34.0,34.0,55.9,,34.0,34.0,19.2,,34.0,34.0,63.8,,34.0,34.0,97.5,,34.0,34.0,85.1,,34.0,34.0,62.3,,34.0,34.0,72.0,,34.0,34.0,44.3,,34.0,34.0,54.6,,34.0,34.0,26.8,,34.0,34.0,29.1,,34.0,34.0,36.6,,34.0,34.0,41.7,,34.0,0.1,
