Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
3/02/2025 5:27:13 PM,770487,34.0,56.0,,34.0,3.0,99.2,31.2,34.0,34.0,62.2,,34.0,3.0,99.2,31.2,34.0,34.0,35.2,,34.0,3.0,99.2,31.2,34.0,34.0,47.0,,34.0,34.0,46.4,,34.0,34.0,70.1,,34.0,34.0,70.4,,34.0,34.0,61.5,,34.0,34.0,58.8,,34.0,34.0,66.5,,34.0,34.0,72.6,,34.0,34.0,35.2,,34.0,34.0,58.5,,34.0,34.0,20.0,,34.0,34.0,57.2,,34.0,34.0,112.4,,34.0,34.0,96.6,,34.0,34.0,71.1,,34.0,34.0,77.3,,34.0,34.0,49.3,,34.0,34.0,52.8,,34.0,34.0,31.8,,34.0,34.0,32.1,,34.0,34.0,37.2,,34.0,34.0,39.8,,34.0,0.0,
3/02/2025 5:27:48 PM,770522,34.0,55.5,,34.0,3.0,99.2,31.2,34.0,34.0,61.7,,34.0,3.0,99.2,31.2,34.0,34.0,35.4,,34.0,3.0,99.2,31.2,34.0,34.0,48.4,,34.0,34.0,45.3,,34.0,34.0,68.8,,34.0,34.0,69.5,,34.0,34.0,61.5,,34.0,34.0,62.8,,34.0,34.0,66.7,,34.0,34.0,71.0,,34.0,34.0,35.4,,34.0,34.0,57.4,,34.0,34.0,20.9,,34.0,34.0,52.8,,34.0,34.0,110.7,,34.0,34.0,96.0,,34.0,34.0,67.9,,34.0,34.0,79.7,,34.0,34.0,47.6,,34.0,34.0,49.8,,34.0,34.0,30.4,,34.0,34.0,31.9,,34.0,34.0,39.6,,34.0,34.0,38.7,,34.0,0.2,
3/02/2025 5:28:48 PM,770582,34.0,56.6,,34.0,3.0,99.2,31.2,34.0,34.0,62.4,,34.0,3.0,99.2,31.2,34.0,34.0,37.3,,34.0,3.0,99.2,31.2,34.0,34.0,49.0,,34.0,34.0,45.7,,34.0,34.0,70.6,,34.0,34.0,69.9,,34.0,34.0,61.5,,34.0,34.0,58.4,,34.0,34.0,71.3,,34.0,34.0,71.8,,34.0,34.0,37.3,,34.0,34.0,57.0,,34.0,34.0,20.6,,34.0,34.0,55.5,,34.0,34.0,108.5,,34.0,34.0,106.7,,34.0,34.0,69.4,,34.0,34.0,79.1,,34.0,34.0,55.5,,34.0,34.0,50.7,,34.0,34.0,31.1,,34.0,34.0,31.2,,34.0,34.0,40.5,,34.0,34.0,39.8,,34.0,0.0,
3/02/2025 5:29:48 PM,770642,34.0,56.7,,34.0,3.0,99.2,31.2,34.0,34.0,63.5,,34.0,3.0,99.2,31.2,34.0,34.0,35.6,,34.0,3.0,99.2,31.2,34.0,34.0,48.4,,34.0,34.0,46.7,,34.0,34.0,71.8,,34.0,34.0,72.9,,34.0,34.0,61.5,,34.0,34.0,62.6,,34.0,34.0,72.3,,34.0,34.0,75.0,,34.0,34.0,35.6,,34.0,34.0,57.7,,34.0,34.0,20.4,,34.0,34.0,57.0,,34.0,34.0,109.3,,34.0,34.0,95.2,,34.0,34.0,69.8,,34.0,34.0,77.8,,34.0,34.0,49.4,,34.0,34.0,50.5,,34.0,34.0,31.1,,34.0,34.0,31.8,,34.0,34.0,39.4,,34.0,34.0,38.9,,34.0,0.4,
3/02/2025 5:30:48 PM,770702,34.0,55.7,,34.0,3.0,99.2,31.2,34.0,34.0,62.0,,34.0,3.0,99.2,31.2,34.0,34.0,34.2,,34.0,3.0,99.2,31.2,34.0,34.0,47.9,,34.0,34.0,46.5,,34.0,34.0,70.0,,34.0,34.0,69.0,,34.0,34.0,61.5,,34.0,34.0,57.3,,34.0,34.0,69.1,,34.0,34.0,74.0,,34.0,34.0,34.2,,34.0,34.0,58.8,,34.0,34.0,21.0,,34.0,34.0,55.1,,34.0,34.0,108.2,,34.0,34.0,97.3,,34.0,34.0,67.4,,34.0,34.0,73.3,,34.0,34.0,51.3,,34.0,34.0,51.2,,34.0,34.0,31.0,,34.0,34.0,32.2,,34.0,34.0,38.9,,34.0,34.0,38.0,,34.0,0.1,
3/02/2025 5:31:48 PM,770762,34.0,56.2,,34.0,3.0,99.2,31.2,34.0,34.0,62.5,,34.0,3.0,99.2,31.2,34.0,34.0,34.8,,34.0,3.0,99.2,31.2,34.0,34.0,47.8,,34.0,34.0,47.6,,34.0,34.0,70.1,,34.0,34.0,70.4,,34.0,34.0,61.5,,34.0,34.0,60.4,,34.0,34.0,69.0,,34.0,34.0,71.1,,34.0,34.0,34.8,,34.0,34.0,57.9,,34.0,34.0,21.0,,34.0,34.0,54.8,,34.0,34.0,118.8,,34.0,34.0,98.8,,34.0,34.0,69.7,,34.0,34.0,75.8,,34.0,34.0,50.9,,34.0,34.0,49.6,,34.0,34.0,32.6,,34.0,34.0,31.9,,34.0,34.0,39.2,,34.0,34.0,37.5,,34.0,0.2,
3/02/2025 5:32:48 PM,770822,34.0,55.5,,34.0,3.0,99.2,31.2,34.0,34.0,62.0,,34.0,3.0,99.2,31.2,34.0,34.0,33.6,,34.0,3.0,99.2,31.2,34.0,34.0,48.2,,34.0,34.0,47.0,,34.0,34.0,69.7,,34.0,34.0,69.1,,34.0,34.0,61.5,,34.0,34.0,59.6,,34.0,34.0,67.3,,34.0,34.0,70.0,,34.0,34.0,33.6,,34.0,34.0,57.3,,34.0,34.0,20.2,,34.0,34.0,55.8,,34.0,34.0,105.7,,34.0,34.0,96.9,,34.0,34.0,70.7,,34.0,34.0,79.0,,34.0,34.0,49.8,,34.0,34.0,50.3,,34.0,34.0,31.1,,34.0,34.0,32.5,,34.0,34.0,39.6,,34.0,34.0,38.5,,34.0,0.1,
3/02/2025 5:33:48 PM,770882,34.0,57.4,,34.0,3.0,99.2,31.2,34.0,34.0,63.2,,34.0,3.0,99.2,31.2,34.0,34.0,34.9,,34.0,3.0,99.2,31.2,34.0,34.0,47.8,,34.0,34.0,47.3,,34.0,34.0,72.7,,34.0,34.0,70.6,,34.0,34.0,61.5,,34.0,34.0,61.3,,34.0,34.0,71.0,,34.0,34.0,72.7,,34.0,34.0,34.9,,34.0,34.0,57.1,,34.0,34.0,21.8,,34.0,34.0,56.1,,34.0,34.0,118.7,,34.0,34.0,104.4,,34.0,34.0,72.2,,34.0,34.0,80.0,,34.0,34.0,54.2,,34.0,34.0,51.4,,34.0,34.0,32.0,,34.0,34.0,33.2,,34.0,34.0,38.4,,34.0,34.0,41.0,,34.0,1.2,
3/02/2025 5:34:48 PM,770942,34.0,57.4,,34.0,3.0,99.2,31.2,34.0,34.0,64.5,,34.0,3.0,99.2,31.2,34.0,34.0,34.9,,34.0,3.0,99.2,31.2,34.0,34.0,47.9,,34.0,34.0,47.8,,34.0,34.0,72.3,,34.0,34.0,72.4,,34.0,34.0,65.0,,34.0,34.0,63.6,,34.0,34.0,71.3,,34.0,34.0,71.9,,34.0,34.0,34.9,,34.0,34.0,57.3,,34.0,34.0,20.4,,34.0,34.0,54.8,,34.0,34.0,112.5,,34.0,34.0,100.4,,34.0,34.0,73.4,,34.0,34.0,83.0,,34.0,34.0,53.0,,34.0,34.0,52.7,,34.0,34.0,31.8,,34.0,34.0,32.3,,34.0,34.0,38.3,,34.0,34.0,38.5,,34.0,0.4,
