Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
4/02/2025 10:13:44 AM,830877,34.0,55.9,,34.0,3.0,99.2,31.2,34.0,34.0,61.8,,34.0,3.0,99.2,31.2,34.0,34.0,43.1,,34.0,3.0,99.2,31.2,34.0,34.0,49.7,,34.0,34.0,48.3,,34.0,34.0,69.3,,34.0,34.0,68.0,,34.0,34.0,60.8,,34.0,34.0,68.4,,34.0,34.0,75.6,,34.0,34.0,73.9,,34.0,34.0,43.1,,34.0,34.0,58.8,,34.0,34.0,17.0,,34.0,34.0,51.9,,34.0,34.0,86.7,,34.0,34.0,86.7,,34.0,34.0,58.5,,34.0,34.0,72.6,,34.0,34.0,48.9,,34.0,34.0,53.8,,34.0,34.0,30.8,,34.0,34.0,33.3,,34.0,34.0,40.1,,34.0,34.0,43.1,,34.0,0.1,
4/02/2025 10:13:49 AM,830882,34.0,55.7,,34.0,3.0,99.2,31.2,34.0,34.0,61.9,,34.0,3.0,99.2,31.2,34.0,34.0,43.2,,34.0,3.0,99.2,31.2,34.0,34.0,50.3,,34.0,34.0,47.6,,34.0,34.0,68.7,,34.0,34.0,68.7,,34.0,34.0,60.8,,34.0,34.0,67.0,,34.0,34.0,74.4,,34.0,34.0,73.5,,34.0,34.0,43.2,,34.0,34.0,59.8,,34.0,34.0,18.1,,34.0,34.0,51.4,,34.0,34.0,87.3,,34.0,34.0,85.7,,34.0,34.0,60.6,,34.0,34.0,71.3,,34.0,34.0,50.6,,34.0,34.0,53.3,,34.0,34.0,29.6,,34.0,34.0,31.8,,34.0,34.0,39.7,,34.0,34.0,42.1,,34.0,0.1,
4/02/2025 10:14:49 AM,830942,34.0,55.0,,34.0,3.0,99.2,31.2,34.0,34.0,60.6,,34.0,3.0,99.2,31.2,34.0,34.0,41.9,,34.0,3.0,99.2,31.2,34.0,34.0,49.5,,34.0,34.0,47.3,,34.0,34.0,66.7,,34.0,34.0,66.6,,34.0,34.0,60.4,,34.0,34.0,67.7,,34.0,34.0,74.0,,34.0,34.0,71.2,,34.0,34.0,41.9,,34.0,34.0,59.3,,34.0,34.0,17.0,,34.0,34.0,52.6,,34.0,34.0,88.8,,34.0,34.0,82.0,,34.0,34.0,63.5,,34.0,34.0,68.4,,34.0,34.0,48.0,,34.0,34.0,53.4,,34.0,34.0,29.2,,34.0,34.0,33.9,,34.0,34.0,37.8,,34.0,34.0,42.6,,34.0,0.2,
4/02/2025 10:15:49 AM,831002,34.0,57.6,,34.0,3.0,99.2,31.2,34.0,34.0,60.6,,34.0,3.0,99.2,31.2,34.0,34.0,41.9,,34.0,3.0,99.2,31.2,34.0,34.0,48.3,,34.0,34.0,48.8,,34.0,34.0,66.7,,34.0,34.0,67.5,,34.0,34.0,59.5,,34.0,34.0,65.8,,34.0,34.0,71.6,,34.0,34.0,71.9,,34.0,34.0,41.9,,34.0,34.0,59.9,,34.0,34.0,22.4,,34.0,34.0,107.7,,34.0,34.0,92.9,,34.0,34.0,85.3,,34.0,34.0,61.4,,34.0,34.0,68.9,,34.0,34.0,49.8,,34.0,34.0,53.9,,34.0,34.0,34.9,,34.0,34.0,34.5,,34.0,34.0,39.3,,34.0,34.0,43.5,,34.0,1.7,
4/02/2025 10:16:49 AM,831062,34.0,58.2,,34.0,3.0,99.2,31.2,34.0,34.0,61.2,,34.0,3.0,99.2,31.2,34.0,34.0,41.3,,34.0,3.0,99.2,31.2,34.0,34.0,48.6,,34.0,34.0,48.6,,34.0,34.0,66.5,,34.0,34.0,69.7,,34.0,34.0,59.6,,34.0,34.0,62.9,,34.0,34.0,71.0,,34.0,34.0,74.5,,34.0,34.0,41.3,,34.0,34.0,59.7,,34.0,34.0,24.4,,34.0,34.0,115.0,,34.0,34.0,92.8,,34.0,34.0,85.5,,34.0,34.0,63.6,,34.0,34.0,68.6,,34.0,34.0,50.9,,34.0,34.0,53.1,,34.0,34.0,35.5,,34.0,34.0,35.3,,34.0,34.0,40.7,,34.0,34.0,43.5,,34.0,0.0,
4/02/2025 10:17:49 AM,831122,34.0,58.1,,34.0,3.0,99.2,31.2,34.0,34.0,60.7,,34.0,3.0,99.2,31.2,34.0,34.0,40.4,,34.0,3.0,99.2,31.2,34.0,34.0,47.4,,34.0,34.0,47.8,,34.0,34.0,67.1,,34.0,34.0,68.3,,34.0,34.0,59.6,,34.0,34.0,63.0,,34.0,34.0,73.0,,34.0,34.0,74.4,,34.0,34.0,40.4,,34.0,34.0,60.3,,34.0,34.0,24.1,,34.0,34.0,112.5,,34.0,34.0,93.0,,34.0,34.0,87.7,,34.0,34.0,59.9,,34.0,34.0,69.8,,34.0,34.0,51.2,,34.0,34.0,53.5,,34.0,34.0,35.4,,34.0,34.0,34.5,,34.0,34.0,41.5,,34.0,34.0,43.7,,34.0,0.5,
4/02/2025 10:18:49 AM,831182,34.0,58.5,,34.0,3.0,99.2,31.2,34.0,34.0,61.6,,34.0,3.0,99.2,31.2,34.0,34.0,41.7,,34.0,3.0,99.2,31.2,34.0,34.0,50.5,,34.0,34.0,48.5,,34.0,34.0,67.1,,34.0,34.0,70.0,,34.0,34.0,59.6,,34.0,34.0,63.8,,34.0,34.0,75.4,,34.0,34.0,73.5,,34.0,34.0,41.7,,34.0,34.0,59.5,,34.0,34.0,23.5,,34.0,34.0,114.6,,34.0,34.0,95.4,,34.0,34.0,81.9,,34.0,34.0,65.3,,34.0,34.0,69.3,,34.0,34.0,51.5,,34.0,34.0,54.9,,34.0,34.0,34.6,,34.0,34.0,34.1,,34.0,34.0,40.2,,34.0,34.0,43.3,,34.0,0.3,
4/02/2025 10:19:49 AM,831242,34.0,57.8,,34.0,3.0,99.2,31.2,34.0,34.0,60.9,,34.0,3.0,99.2,31.2,34.0,34.0,41.1,,34.0,3.0,99.2,31.2,34.0,34.0,49.7,,34.0,34.0,48.2,,34.0,34.0,66.5,,34.0,34.0,68.2,,34.0,34.0,59.6,,34.0,34.0,63.5,,34.0,34.0,73.0,,34.0,34.0,71.0,,34.0,34.0,41.1,,34.0,34.0,57.7,,34.0,34.0,23.6,,34.0,34.0,113.7,,34.0,34.0,92.7,,34.0,34.0,85.3,,34.0,34.0,62.1,,34.0,34.0,71.0,,34.0,34.0,50.3,,34.0,34.0,55.0,,34.0,34.0,35.4,,34.0,34.0,33.9,,34.0,34.0,39.8,,34.0,34.0,43.4,,34.0,0.5,
4/02/2025 10:20:49 AM,831302,34.0,57.9,,34.0,3.0,99.2,31.2,34.0,34.0,60.9,,34.0,3.0,99.2,31.2,34.0,34.0,39.3,,34.0,3.0,99.2,31.2,34.0,34.0,49.1,,34.0,34.0,48.0,,34.0,34.0,66.1,,34.0,34.0,68.9,,34.0,34.0,59.6,,34.0,34.0,62.0,,34.0,34.0,71.9,,34.0,34.0,73.1,,34.0,34.0,39.3,,34.0,34.0,59.7,,34.0,34.0,23.3,,34.0,34.0,116.5,,34.0,34.0,96.8,,34.0,34.0,82.6,,34.0,34.0,62.7,,34.0,34.0,69.0,,34.0,34.0,51.2,,34.0,34.0,53.2,,34.0,34.0,34.8,,34.0,34.0,35.9,,34.0,34.0,39.7,,34.0,34.0,43.9,,34.0,0.0,
