Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
4/02/2025 10:59:34 AM,833627,34.0,57.2,,34.0,3.0,99.2,31.2,34.0,34.0,60.5,,34.0,3.0,99.2,31.2,34.0,34.0,35.6,,34.0,3.0,99.2,31.2,34.0,34.0,47.5,,34.0,34.0,49.0,,34.0,34.0,66.7,,34.0,34.0,68.7,,34.0,34.0,57.7,,34.0,34.0,61.2,,34.0,34.0,71.8,,34.0,34.0,70.9,,34.0,34.0,35.6,,34.0,34.0,55.6,,34.0,34.0,25.0,,34.0,34.0,127.3,,34.0,34.0,95.9,,34.0,34.0,88.2,,34.0,34.0,64.3,,34.0,34.0,69.2,,34.0,34.0,50.4,,34.0,34.0,50.9,,34.0,34.0,34.0,,34.0,34.0,32.0,,34.0,34.0,39.3,,34.0,34.0,38.2,,34.0,0.4,
4/02/2025 10:59:49 AM,833642,34.0,56.3,,34.0,3.0,99.2,31.2,34.0,34.0,60.3,,34.0,3.0,99.2,31.2,34.0,34.0,35.5,,34.0,3.0,99.2,31.2,34.0,34.0,48.4,,34.0,34.0,47.8,,34.0,34.0,66.0,,34.0,34.0,69.1,,34.0,34.0,57.7,,34.0,34.0,61.1,,34.0,34.0,70.8,,34.0,34.0,67.7,,34.0,34.0,35.5,,34.0,34.0,53.0,,34.0,34.0,23.4,,34.0,34.0,124.2,,34.0,34.0,90.9,,34.0,34.0,85.3,,34.0,34.0,62.3,,34.0,34.0,68.2,,34.0,34.0,49.7,,34.0,34.0,50.5,,34.0,34.0,33.7,,34.0,34.0,32.4,,34.0,34.0,38.9,,34.0,34.0,40.3,,34.0,0.1,
4/02/2025 11:00:49 AM,833702,34.0,54.9,,34.0,3.0,99.2,31.2,34.0,34.0,60.5,,34.0,3.0,99.2,31.2,34.0,34.0,34.6,,34.0,3.0,99.2,31.2,34.0,34.0,49.1,,34.0,34.0,47.6,,34.0,34.0,66.2,,34.0,34.0,69.3,,34.0,34.0,57.9,,34.0,34.0,62.1,,34.0,34.0,70.0,,34.0,34.0,70.7,,34.0,34.0,34.6,,34.0,34.0,57.1,,34.0,34.0,18.1,,34.0,34.0,92.7,,34.0,34.0,86.7,,34.0,34.0,82.7,,34.0,34.0,57.8,,34.0,34.0,69.7,,34.0,34.0,45.9,,34.0,34.0,52.0,,34.0,34.0,31.3,,34.0,34.0,31.8,,34.0,34.0,36.8,,34.0,34.0,41.8,,34.0,1.2,
4/02/2025 11:01:49 AM,833762,34.0,57.0,,34.0,3.0,99.2,31.2,34.0,34.0,59.7,,34.0,3.0,99.2,31.2,34.0,34.0,36.2,,34.0,3.0,99.2,31.2,34.0,34.0,48.7,,34.0,34.0,48.2,,34.0,34.0,66.2,,34.0,34.0,66.1,,34.0,34.0,57.9,,34.0,34.0,62.0,,34.0,34.0,68.9,,34.0,34.0,69.5,,34.0,34.0,36.2,,34.0,34.0,55.1,,34.0,34.0,23.8,,34.0,34.0,117.8,,34.0,34.0,92.9,,34.0,34.0,91.4,,34.0,34.0,64.7,,34.0,34.0,71.5,,34.0,34.0,50.1,,34.0,34.0,55.7,,34.0,34.0,35.4,,34.0,34.0,32.3,,34.0,34.0,37.9,,34.0,34.0,43.0,,34.0,0.8,
4/02/2025 11:02:49 AM,833822,34.0,56.5,,34.0,3.0,99.2,31.2,34.0,34.0,60.0,,34.0,3.0,99.2,31.2,34.0,34.0,35.5,,34.0,3.0,99.2,31.2,34.0,34.0,49.7,,34.0,34.0,49.0,,34.0,34.0,63.9,,34.0,34.0,68.5,,34.0,34.0,57.9,,34.0,34.0,62.0,,34.0,34.0,71.7,,34.0,34.0,70.8,,34.0,34.0,35.5,,34.0,34.0,59.0,,34.0,34.0,20.4,,34.0,34.0,95.0,,34.0,34.0,96.7,,34.0,34.0,85.8,,34.0,34.0,65.3,,34.0,34.0,71.4,,34.0,34.0,50.7,,34.0,34.0,54.2,,34.0,34.0,33.3,,34.0,34.0,34.3,,34.0,34.0,39.3,,34.0,34.0,41.6,,34.0,0.9,
4/02/2025 11:03:49 AM,833882,34.0,55.7,,34.0,3.0,99.2,31.2,34.0,34.0,59.6,,34.0,3.0,99.2,31.2,34.0,34.0,34.9,,34.0,3.0,99.2,31.2,34.0,34.0,48.4,,34.0,34.0,47.5,,34.0,34.0,66.3,,34.0,34.0,66.0,,34.0,34.0,57.9,,34.0,34.0,60.5,,34.0,34.0,67.4,,34.0,34.0,71.6,,34.0,34.0,34.9,,34.0,34.0,57.9,,34.0,34.0,19.6,,34.0,34.0,93.9,,34.0,34.0,93.9,,34.0,34.0,84.1,,34.0,34.0,64.4,,34.0,34.0,68.6,,34.0,34.0,51.1,,34.0,34.0,53.9,,34.0,34.0,34.5,,34.0,34.0,35.9,,34.0,34.0,36.3,,34.0,34.0,41.3,,34.0,0.1,
4/02/2025 11:04:49 AM,833942,34.0,56.8,,34.0,3.0,99.2,31.2,34.0,34.0,59.7,,34.0,3.0,99.2,31.2,34.0,34.0,36.0,,34.0,3.0,99.2,31.2,34.0,34.0,47.7,,34.0,34.0,45.8,,34.0,34.0,66.2,,34.0,34.0,67.7,,34.0,34.0,57.9,,34.0,34.0,65.9,,34.0,34.0,70.5,,34.0,34.0,73.2,,34.0,34.0,36.0,,34.0,34.0,57.7,,34.0,34.0,19.2,,34.0,34.0,95.8,,34.0,34.0,98.3,,34.0,34.0,82.6,,34.0,34.0,70.2,,34.0,34.0,69.3,,34.0,34.0,50.7,,34.0,34.0,53.2,,34.0,34.0,34.0,,34.0,34.0,36.9,,34.0,34.0,39.3,,34.0,34.0,41.5,,34.0,0.7,
4/02/2025 11:05:49 AM,834002,34.0,55.9,,34.0,3.0,99.2,31.2,34.0,34.0,59.7,,34.0,3.0,99.2,31.2,34.0,34.0,35.7,,34.0,3.0,99.2,31.2,34.0,34.0,47.9,,34.0,34.0,47.2,,34.0,34.0,65.5,,34.0,34.0,67.6,,34.0,34.0,57.9,,34.0,34.0,62.2,,34.0,34.0,70.7,,34.0,34.0,72.1,,34.0,34.0,35.7,,34.0,34.0,59.4,,34.0,34.0,19.5,,34.0,34.0,92.9,,34.0,34.0,93.7,,34.0,34.0,83.0,,34.0,34.0,60.8,,34.0,34.0,66.7,,34.0,34.0,48.4,,34.0,34.0,53.5,,34.0,34.0,33.6,,34.0,34.0,35.8,,34.0,34.0,38.2,,34.0,34.0,42.3,,34.0,0.1,
4/02/2025 11:06:49 AM,834062,34.0,55.9,,34.0,3.0,99.2,31.2,34.0,34.0,58.7,,34.0,3.0,99.2,31.2,34.0,34.0,35.3,,34.0,3.0,99.2,31.2,34.0,34.0,48.0,,34.0,34.0,45.6,,34.0,34.0,65.3,,34.0,34.0,64.6,,34.0,34.0,57.9,,34.0,34.0,63.0,,34.0,34.0,69.7,,34.0,34.0,73.4,,34.0,34.0,35.3,,34.0,34.0,57.1,,34.0,34.0,19.2,,34.0,34.0,92.0,,34.0,34.0,95.9,,34.0,34.0,86.9,,34.0,34.0,59.1,,34.0,34.0,71.9,,34.0,34.0,51.8,,34.0,34.0,53.3,,34.0,34.0,34.1,,34.0,34.0,36.8,,34.0,34.0,37.7,,34.0,34.0,40.9,,34.0,0.2,
