Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
4/02/2025 2:17:19 PM,845492,34.0,57.7,,34.0,3.0,99.2,31.2,34.0,34.0,60.8,,34.0,3.0,99.2,31.2,34.0,34.0,38.3,,34.0,3.0,99.2,31.2,34.0,34.0,47.6,,34.0,34.0,45.9,,34.0,34.0,66.5,,34.0,34.0,69.8,,34.0,34.0,59.9,,34.0,34.0,61.4,,34.0,34.0,74.0,,34.0,34.0,71.3,,34.0,34.0,38.3,,34.0,34.0,64.5,,34.0,34.0,19.0,,34.0,34.0,116.9,,34.0,34.0,92.2,,34.0,34.0,86.4,,34.0,34.0,62.0,,34.0,34.0,72.3,,34.0,34.0,47.7,,34.0,34.0,53.2,,34.0,34.0,30.4,,34.0,34.0,33.5,,34.0,34.0,42.0,,34.0,34.0,45.5,,34.0,0.5,
4/02/2025 2:17:49 PM,845522,34.0,57.3,,34.0,3.0,99.2,31.2,34.0,34.0,61.2,,34.0,3.0,99.2,31.2,34.0,34.0,38.6,,34.0,3.0,99.2,31.2,34.0,34.0,48.3,,34.0,34.0,46.9,,34.0,34.0,69.4,,34.0,34.0,68.1,,34.0,34.0,59.3,,34.0,34.0,64.1,,34.0,34.0,70.5,,34.0,34.0,69.9,,34.0,34.0,38.6,,34.0,34.0,61.4,,34.0,34.0,17.4,,34.0,34.0,118.0,,34.0,34.0,90.2,,34.0,34.0,92.1,,34.0,34.0,61.0,,34.0,34.0,76.2,,34.0,34.0,46.4,,34.0,34.0,52.9,,34.0,34.0,29.0,,34.0,34.0,32.8,,34.0,34.0,40.2,,34.0,34.0,43.9,,34.0,0.6,
4/02/2025 2:18:49 PM,845582,34.0,57.6,,34.0,3.0,99.2,31.2,34.0,34.0,61.1,,34.0,3.0,99.2,31.2,34.0,34.0,38.1,,34.0,3.0,99.2,31.2,34.0,34.0,46.9,,34.0,34.0,47.9,,34.0,34.0,67.4,,34.0,34.0,70.2,,34.0,34.0,59.0,,34.0,34.0,63.8,,34.0,34.0,69.2,,34.0,34.0,74.6,,34.0,34.0,38.1,,34.0,34.0,61.4,,34.0,34.0,17.4,,34.0,34.0,117.4,,34.0,34.0,98.2,,34.0,34.0,89.6,,34.0,34.0,60.9,,34.0,34.0,75.2,,34.0,34.0,47.2,,34.0,34.0,54.1,,34.0,34.0,31.2,,34.0,34.0,32.4,,34.0,34.0,40.7,,34.0,34.0,43.0,,34.0,0.1,
4/02/2025 2:19:49 PM,845642,34.0,57.0,,34.0,3.0,99.2,31.2,34.0,34.0,60.2,,34.0,3.0,99.2,31.2,34.0,34.0,37.5,,34.0,3.0,99.2,31.2,34.0,34.0,46.5,,34.0,34.0,46.8,,34.0,34.0,66.9,,34.0,34.0,68.8,,34.0,34.0,58.0,,34.0,34.0,64.2,,34.0,34.0,68.6,,34.0,34.0,69.8,,34.0,34.0,37.5,,34.0,34.0,60.8,,34.0,34.0,17.2,,34.0,34.0,115.8,,34.0,34.0,97.1,,34.0,34.0,91.0,,34.0,34.0,62.4,,34.0,34.0,73.8,,34.0,34.0,46.4,,34.0,34.0,53.6,,34.0,34.0,32.1,,34.0,34.0,33.8,,34.0,34.0,39.6,,34.0,34.0,42.5,,34.0,0.2,
4/02/2025 2:20:49 PM,845702,34.0,55.6,,34.0,3.0,99.2,31.2,34.0,34.0,59.4,,34.0,3.0,99.2,31.2,34.0,34.0,37.8,,34.0,3.0,99.2,31.2,34.0,34.0,46.5,,34.0,34.0,45.8,,34.0,34.0,66.4,,34.0,34.0,67.2,,34.0,34.0,57.7,,34.0,34.0,62.9,,34.0,34.0,67.9,,34.0,34.0,67.0,,34.0,34.0,37.8,,34.0,34.0,59.8,,34.0,34.0,16.3,,34.0,34.0,115.4,,34.0,34.0,88.5,,34.0,34.0,83.9,,34.0,34.0,59.8,,34.0,34.0,68.8,,34.0,34.0,46.1,,34.0,34.0,53.3,,34.0,34.0,30.9,,34.0,34.0,33.5,,34.0,34.0,37.3,,34.0,34.0,42.8,,34.0,0.5,
4/02/2025 2:21:49 PM,845762,34.0,55.8,,34.0,3.0,99.2,31.2,34.0,34.0,59.4,,34.0,3.0,99.2,31.2,34.0,34.0,36.3,,34.0,3.0,99.2,31.2,34.0,34.0,46.3,,34.0,34.0,46.2,,34.0,34.0,66.2,,34.0,34.0,67.5,,34.0,34.0,57.5,,34.0,34.0,62.4,,34.0,34.0,69.1,,34.0,34.0,67.2,,34.0,34.0,36.3,,34.0,34.0,59.4,,34.0,34.0,16.4,,34.0,34.0,113.3,,34.0,34.0,95.2,,34.0,34.0,82.0,,34.0,34.0,62.8,,34.0,34.0,69.8,,34.0,34.0,47.0,,34.0,34.0,52.6,,34.0,34.0,30.8,,34.0,34.0,33.0,,34.0,34.0,38.7,,34.0,34.0,42.7,,34.0,0.1,
4/02/2025 2:22:49 PM,845822,34.0,56.9,,34.0,3.0,99.2,31.2,34.0,34.0,60.0,,34.0,3.0,99.2,31.2,34.0,34.0,37.6,,34.0,3.0,99.2,31.2,34.0,34.0,50.4,,34.0,34.0,46.9,,34.0,34.0,66.0,,34.0,34.0,67.6,,34.0,34.0,57.5,,34.0,34.0,63.1,,34.0,34.0,69.3,,34.0,34.0,68.9,,34.0,34.0,37.6,,34.0,34.0,60.0,,34.0,34.0,17.6,,34.0,34.0,115.1,,34.0,34.0,98.6,,34.0,34.0,93.8,,34.0,34.0,62.9,,34.0,34.0,74.0,,34.0,34.0,46.4,,34.0,34.0,53.5,,34.0,34.0,31.7,,34.0,34.0,33.5,,34.0,34.0,38.5,,34.0,34.0,42.5,,34.0,0.5,
4/02/2025 2:23:49 PM,845882,34.0,56.5,,34.0,3.0,99.2,31.2,34.0,34.0,59.4,,34.0,3.0,99.2,31.2,34.0,34.0,37.5,,34.0,3.0,99.2,31.2,34.0,34.0,45.7,,34.0,34.0,47.0,,34.0,34.0,65.9,,34.0,34.0,67.5,,34.0,34.0,57.5,,34.0,34.0,63.7,,34.0,34.0,70.3,,34.0,34.0,67.9,,34.0,34.0,37.5,,34.0,34.0,59.7,,34.0,34.0,18.2,,34.0,34.0,115.1,,34.0,34.0,101.8,,34.0,34.0,89.6,,34.0,34.0,64.5,,34.0,34.0,70.4,,34.0,34.0,46.3,,34.0,34.0,51.7,,34.0,34.0,31.2,,34.0,34.0,33.6,,34.0,34.0,37.6,,34.0,34.0,41.7,,34.0,0.1,
4/02/2025 2:24:49 PM,845942,34.0,56.6,,34.0,3.0,99.2,31.2,34.0,34.0,59.6,,34.0,3.0,99.2,31.2,34.0,34.0,35.3,,34.0,3.0,99.2,31.2,34.0,34.0,47.7,,34.0,34.0,46.7,,34.0,34.0,66.8,,34.0,34.0,66.6,,34.0,34.0,57.5,,34.0,34.0,65.2,,34.0,34.0,72.1,,34.0,34.0,69.2,,34.0,34.0,35.3,,34.0,34.0,58.9,,34.0,34.0,17.0,,34.0,34.0,113.2,,34.0,34.0,95.5,,34.0,34.0,93.1,,34.0,34.0,61.5,,34.0,34.0,74.8,,34.0,34.0,47.6,,34.0,34.0,52.4,,34.0,34.0,31.1,,34.0,34.0,34.0,,34.0,34.0,37.4,,34.0,34.0,41.8,,34.0,0.1,
