Manikin #3.4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interval (sec),60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),
04/02/2025 14:01,844522,34,83,,34,3,99.2,31.2,34,34,90.7,,34,3,99.2,31.2,34,34,49.2,,34,3,99.2,31.2,34,34,57.8,,34,34,53.1,,34,34,110.6,,34,34,106.3,,34,34,90,,34,34,88.7,,34,34,110.6,,34,34,106.7,,34,34,49.2,,34,34,117,,34,34,26.5,,34,34,90.6,,34,34,116.6,,34,34,112.9,,34,34,80.2,,34,34,94.7,,34,34,70.6,,34,34,72.2,,34,34,42,,34,34,41.6,,34,34,79.5,,34,34,79,,34,0
04/02/2025 14:01,844562,34,81.5,,34,3,99.2,31.2,34,34,89.7,,34,3,99.2,31.2,34,34,49.5,,34,3,99.2,31.2,34,34,56.5,,34,34,55.1,,34,34,108.7,,34,34,104,,34,34,90,,34,34,88.7,,34,34,107.8,,34,34,105.5,,34,34,49.5,,34,34,115.7,,34,34,27,,34,34,84.3,,34,34,110.6,,34,34,104.1,,34,34,80.7,,34,34,93.5,,34,34,67.8,,34,34,69.3,,34,34,41.1,,34,34,40.7,,34,34,80.1,,34,34,76.8,,34,0.6
04/02/2025 14:02,844622,34,82.9,,34,3,99.2,31.2,34,34,89.8,,34,3,99.2,31.2,34,34,47.7,,34,3,99.2,31.2,34,34,55.7,,34,34,54.1,,34,34,108.8,,34,34,105,,34,34,90,,34,34,89.7,,34,34,109,,34,34,106.5,,34,34,47.7,,34,34,113.7,,34,34,28.4,,34,34,88.8,,34,34,117.5,,34,34,108.6,,34,34,86.6,,34,34,96.2,,34,34,69.2,,34,34,71.5,,34,34,44.7,,34,34,43.4,,34,34,78.9,,34,34,80.9,,34,1
04/02/2025 14:03,844682,34,83.4,,34,3,99.2,31.2,34,34,90.1,,34,3,99.2,31.2,34,34,49.1,,34,3,99.2,31.2,34,34,56.6,,34,34,55.5,,34,34,108.3,,34,34,105.7,,34,34,90,,34,34,89.9,,34,34,110.7,,34,34,108.7,,34,34,49.1,,34,34,115.9,,34,34,26.8,,34,34,92.9,,34,34,121.2,,34,34,110.7,,34,34,78.7,,34,34,93.1,,34,34,70.2,,34,34,73.1,,34,34,43.8,,34,34,44,,34,34,79.7,,34,34,82,,34,0.4
04/02/2025 14:04,844742,34,85.7,,34,3,99.2,31.2,34,34,90.5,,34,3,99.2,31.2,34,34,49.2,,34,3,99.2,31.2,34,34,55,,34,34,54.9,,34,34,109.3,,34,34,107,,34,34,90,,34,34,92.8,,34,34,112.3,,34,34,109.9,,34,34,49.2,,34,34,115.8,,34,34,26.3,,34,34,90.8,,34,34,116.3,,34,34,115.8,,34,34,82.2,,34,34,100.7,,34,34,69.7,,34,34,72.9,,34,34,43.3,,34,34,43.5,,34,34,80.3,,34,34,118.1,,34,0.3
04/02/2025 14:05,844802,34,83.6,,34,3,99.2,31.2,34,34,89.6,,34,3,99.2,31.2,34,34,49.4,,34,3,99.2,31.2,34,34,55.4,,34,34,53.8,,34,34,109,,34,34,104.3,,34,34,90,,34,34,89.9,,34,34,112.6,,34,34,109.4,,34,34,49.4,,34,34,118.6,,34,34,27.3,,34,34,93.4,,34,34,117.2,,34,34,110,,34,34,77.5,,34,34,95.5,,34,34,70.5,,34,34,73.8,,34,34,44.4,,34,34,43.4,,34,34,80.7,,34,34,81,,34,0.3
04/02/2025 14:06,844862,34,83.6,,34,3,99.2,31.2,34,34,90.4,,34,3,99.2,31.2,34,34,48.3,,34,3,99.2,31.2,34,34,56.6,,34,34,54.7,,34,34,108.8,,34,34,106.4,,34,34,90,,34,34,89.8,,34,34,112.1,,34,34,108.5,,34,34,48.3,,34,34,116.5,,34,34,28.2,,34,34,90.5,,34,34,116,,34,34,112,,34,34,77.6,,34,34,96.4,,34,34,72.2,,34,34,74.6,,34,34,42.9,,34,34,42.2,,34,34,82,,34,34,80.5,,34,0.1
04/02/2025 14:07,844922,34,83.9,,34,3,99.2,31.2,34,34,90.5,,34,3,99.2,31.2,34,34,49.8,,34,3,99.2,31.2,34,34,56.1,,34,34,54.4,,34,34,110,,34,34,106.2,,34,34,90,,34,34,92.7,,34,34,110.9,,34,34,109.3,,34,34,49.8,,34,34,118.4,,34,34,27,,34,34,89.5,,34,34,117,,34,34,112.8,,34,34,80,,34,34,100,,34,34,68,,34,34,73.3,,34,34,43.7,,34,34,44.7,,34,34,80.6,,34,34,80.6,,34,0.3
04/02/2025 14:08,844982,34,83.4,,34,3,99.2,31.2,34,34,89.8,,34,3,99.2,31.2,34,34,49.2,,34,3,99.2,31.2,34,34,55.8,,34,34,55.1,,34,34,107.2,,34,34,106.2,,34,34,90,,34,34,89.3,,34,34,112.1,,34,34,110.5,,34,34,49.2,,34,34,115.9,,34,34,27.6,,34,34,91.5,,34,34,113.1,,34,34,113.3,,34,34,78,,34,34,94.2,,34,34,71.2,,34,34,74.2,,34,34,43.6,,34,34,43.9,,34,34,80.4,,34,34,80.1,,34,0.2
