Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
4/02/2025 4:03:04 PM,851837,34.0,82.6,,34.0,3.0,99.2,31.2,34.0,34.0,83.9,,34.0,3.0,99.2,31.2,34.0,34.0,50.8,,34.0,3.0,99.2,31.2,34.0,34.0,49.8,,34.0,34.0,46.9,,34.0,34.0,89.2,,34.0,34.0,88.9,,34.0,34.0,110.7,,34.0,34.0,92.7,,34.0,34.0,116.8,,34.0,34.0,105.6,,34.0,34.0,50.8,,34.0,34.0,91.7,,34.0,34.0,18.3,,34.0,34.0,79.8,,34.0,34.0,185.8,,34.0,34.0,166.4,,34.0,34.0,116.1,,34.0,34.0,115.4,,34.0,34.0,82.5,,34.0,34.0,64.7,,34.0,34.0,43.2,,34.0,34.0,38.0,,34.0,34.0,69.1,,34.0,34.0,52.7,,34.0,0.5,
4/02/2025 4:03:49 PM,851882,34.0,85.3,,34.0,3.0,99.2,31.2,34.0,34.0,85.5,,34.0,3.0,99.2,31.2,34.0,34.0,49.9,,34.0,3.0,99.2,31.2,34.0,34.0,47.8,,34.0,34.0,46.4,,34.0,34.0,92.6,,34.0,34.0,89.4,,34.0,34.0,114.7,,34.0,34.0,95.8,,34.0,34.0,119.7,,34.0,34.0,108.1,,34.0,34.0,49.9,,34.0,34.0,91.5,,34.0,34.0,18.4,,34.0,34.0,86.5,,34.0,34.0,199.8,,34.0,34.0,180.7,,34.0,34.0,123.2,,34.0,34.0,119.7,,34.0,34.0,86.7,,34.0,34.0,66.0,,34.0,34.0,43.7,,34.0,34.0,40.6,,34.0,34.0,69.8,,34.0,34.0,55.8,,34.0,0.8,
4/02/2025 4:04:49 PM,851942,34.0,88.3,,34.0,3.0,99.2,31.2,34.0,34.0,88.7,,34.0,3.0,99.2,31.2,34.0,34.0,50.7,,34.0,3.0,99.2,31.2,34.0,34.0,49.1,,34.0,34.0,46.5,,34.0,34.0,95.5,,34.0,34.0,93.5,,34.0,34.0,119.8,,34.0,34.0,100.0,,34.0,34.0,122.0,,34.0,34.0,112.2,,34.0,34.0,50.7,,34.0,34.0,95.2,,34.0,34.0,18.1,,34.0,34.0,90.0,,34.0,33.9,202.8,,33.9,34.0,188.7,,34.0,34.0,123.4,,34.0,34.0,121.8,,34.0,34.0,87.1,,34.0,34.0,68.5,,34.0,34.0,44.9,,34.0,34.0,51.7,,34.0,34.0,72.0,,34.0,34.0,58.2,,34.0,1.5,
4/02/2025 4:05:49 PM,852002,34.0,88.1,,34.0,3.0,99.2,31.2,34.0,34.0,89.3,,34.0,3.0,99.2,31.2,34.0,34.0,52.6,,34.0,3.0,99.2,31.2,34.0,34.0,49.2,,34.0,34.0,49.2,,34.0,34.0,96.6,,34.0,34.0,94.3,,34.0,34.0,118.9,,34.0,34.0,100.5,,34.0,34.0,124.2,,34.0,34.0,112.0,,34.0,34.0,52.6,,34.0,34.0,95.3,,34.0,34.0,18.3,,34.0,34.0,86.7,,34.0,33.9,202.9,,33.9,34.0,190.3,,34.0,34.0,123.6,,34.0,34.0,121.7,,34.0,34.0,87.0,,34.0,34.0,66.7,,34.0,34.0,45.0,,34.0,34.0,41.8,,34.0,34.0,72.2,,34.0,34.0,57.7,,34.0,0.4,
4/02/2025 4:06:49 PM,852062,34.0,87.7,,34.0,3.0,99.2,31.2,34.0,34.0,88.6,,34.0,3.0,99.2,31.2,34.0,34.0,52.5,,34.0,3.0,99.2,31.2,34.0,34.0,48.4,,34.0,34.0,48.7,,34.0,34.0,96.2,,34.0,34.0,92.3,,34.0,34.0,119.1,,34.0,34.0,99.6,,34.0,34.0,125.3,,34.0,34.0,108.7,,34.0,34.0,52.5,,34.0,34.0,93.3,,34.0,34.0,18.6,,34.0,34.0,89.0,,34.0,33.9,202.8,,33.9,34.0,189.6,,34.0,34.0,122.9,,34.0,34.0,123.5,,34.0,34.0,85.6,,34.0,34.0,66.7,,34.0,34.0,44.4,,34.0,34.0,41.7,,34.0,34.0,74.2,,34.0,34.0,58.9,,34.0,0.3,
4/02/2025 4:07:49 PM,852122,34.0,88.1,,34.0,3.0,99.2,31.2,34.0,34.0,88.2,,34.0,3.0,99.2,31.2,34.0,34.0,51.5,,34.0,3.0,99.2,31.2,34.0,34.0,47.9,,34.0,34.0,47.9,,34.0,34.0,94.2,,34.0,34.0,93.3,,34.0,34.0,119.1,,34.0,34.0,100.1,,34.0,34.0,125.3,,34.0,34.0,112.4,,34.0,34.0,51.5,,34.0,34.0,94.7,,34.0,34.0,19.0,,34.0,34.0,87.8,,34.0,34.0,202.8,,33.9,34.0,191.1,,34.0,34.0,119.6,,34.0,34.0,126.0,,34.0,34.0,86.3,,34.0,34.0,67.2,,34.0,34.0,46.0,,34.0,34.0,42.5,,34.0,34.0,73.7,,34.0,34.0,59.5,,34.0,0.2,
4/02/2025 4:08:49 PM,852182,34.0,87.6,,34.0,3.0,99.2,31.2,34.0,34.0,88.4,,34.0,3.0,99.2,31.2,34.0,34.0,53.4,,34.0,3.0,99.2,31.2,34.0,34.0,48.5,,34.0,34.0,47.7,,34.0,34.0,95.3,,34.0,34.0,92.9,,34.0,34.0,119.1,,34.0,34.0,100.6,,34.0,34.0,124.6,,34.0,34.0,109.2,,34.0,34.0,53.4,,34.0,34.0,97.3,,34.0,34.0,18.3,,34.0,34.0,88.4,,34.0,34.0,202.8,,34.0,34.0,187.7,,34.0,34.0,119.7,,34.0,34.0,122.0,,34.0,34.0,85.2,,34.0,34.0,67.9,,34.0,34.0,44.8,,34.0,34.0,39.9,,34.0,34.0,72.9,,34.0,34.0,55.7,,34.0,0.5,
4/02/2025 4:09:49 PM,852242,34.0,88.4,,34.0,3.0,99.2,31.2,34.0,34.0,88.6,,34.0,3.0,99.2,31.2,34.0,34.0,53.5,,34.0,3.0,99.2,31.2,34.0,34.0,48.3,,34.0,34.0,47.1,,34.0,34.0,94.8,,34.0,34.0,94.4,,34.0,34.0,119.5,,34.0,34.0,100.5,,34.0,34.0,125.0,,34.0,34.0,111.2,,34.0,34.0,53.5,,34.0,34.0,95.2,,34.0,34.0,19.3,,34.0,34.0,90.5,,34.0,33.9,202.8,,33.9,34.0,190.3,,34.0,34.0,125.4,,34.0,34.0,122.0,,34.0,34.0,88.1,,34.0,34.0,68.3,,34.0,34.0,46.5,,34.0,34.0,42.3,,34.0,34.0,74.5,,34.0,34.0,55.8,,34.0,1.0,
4/02/2025 4:10:49 PM,852302,34.0,88.5,,34.0,3.0,99.2,31.2,34.0,34.0,89.0,,34.0,3.0,99.2,31.2,34.0,34.0,52.7,,34.0,3.0,99.2,31.2,34.0,34.0,49.0,,34.0,34.0,47.3,,34.0,34.0,95.4,,34.0,34.0,92.4,,34.0,34.0,122.0,,34.0,34.0,99.5,,34.0,34.0,125.3,,34.0,34.0,112.5,,34.0,34.0,52.7,,34.0,34.0,96.7,,34.0,34.0,18.8,,34.0,34.0,86.2,,34.0,33.9,202.8,,33.9,34.0,190.7,,34.0,34.0,123.0,,34.0,34.0,124.3,,34.0,34.0,89.1,,34.0,34.0,66.6,,34.0,34.0,46.0,,34.0,34.0,42.5,,34.0,34.0,73.5,,34.0,34.0,58.0,,34.0,1.7,
