Manikin #3.4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interval (sec),60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),
05/02/2025 16:51,941122,34,67.3,,34,3,99.2,31.2,34,34,63.9,,34,3,99.2,31.2,34,34,37.5,,34,3,99.2,31.2,34,34,46.8,,34,34,48,,34,34,67.6,,34,34,70.8,,34,34,70.1,,34,34,68.8,,34,34,76.8,,34,34,74.3,,34,34,37.5,,34,34,78.8,,34,34,36.2,,34,34,95.8,,34,34,120.2,,34,34,101.6,,34,34,80.6,,34,34,84.2,,34,34,71.3,,34,34,65.7,,34,34,34.6,,34,34,35.4,,34,34,79.3,,34,34,70,,34,0.4
05/02/2025 16:51,941162,34,65.5,,34,3,99.2,31.2,34,34,64.5,,34,3,99.2,31.2,34,34,38,,34,3,99.2,31.2,34,34,46.5,,34,34,46.3,,34,34,68.5,,34,34,73,,34,34,70.1,,34,34,70.7,,34,34,75.4,,34,34,74.2,,34,34,38,,34,34,76.1,,34,34,35.5,,34,34,91.8,,34,34,103.9,,34,34,100,,34,34,69.6,,34,34,82.2,,34,34,64.8,,34,34,65.8,,34,34,33.6,,34,34,36.1,,34,34,73.1,,34,34,65,,34,0.3
05/02/2025 16:52,941222,34,64.1,,34,3,99.2,31.2,34,34,62.5,,34,3,99.2,31.2,34,34,37,,34,3,99.2,31.2,34,34,47.3,,34,34,46.5,,34,34,66.1,,34,34,71.1,,34,34,65.7,,34,34,69,,34,34,75.6,,34,34,75.3,,34,34,37,,34,34,75.1,,34,34,34.1,,34,34,84.7,,34,34,103.3,,34,34,95.2,,34,34,78.6,,34,34,82.4,,34,34,61.2,,34,34,63.6,,34,34,31.3,,34,34,34.8,,34,34,69.1,,34,34,65.4,,34,1.1
05/02/2025 16:53,941282,34,64.6,,34,3,99.2,31.2,34,34,63.5,,34,3,99.2,31.2,34,34,37.1,,34,3,99.2,31.2,34,34,47.9,,34,34,46.6,,34,34,67.9,,34,34,73.6,,34,34,65.3,,34,34,70,,34,34,75,,34,34,74.1,,34,34,37.1,,34,34,75.7,,34,34,31.9,,34,34,85.9,,34,34,109,,34,34,107.2,,34,34,68.1,,34,34,85.3,,34,34,62.6,,34,34,62.5,,34,34,32.3,,34,34,34.2,,34,34,70.6,,34,34,66.3,,34,0.2
05/02/2025 16:54,941342,34,63,,34,3,99.2,31.2,34,34,63,,34,3,99.2,31.2,34,34,36.4,,34,3,99.2,31.2,34,34,46.1,,34,34,46.8,,34,34,68.6,,34,34,72.1,,34,34,64.8,,34,34,67.8,,34,34,73,,34,34,69.8,,34,34,36.4,,34,34,71.1,,34,34,30.8,,34,34,83.3,,34,34,104.1,,34,34,101.4,,34,34,69.7,,34,34,82.3,,34,34,62.2,,34,34,62.3,,34,34,34.7,,34,34,35.3,,34,34,68.6,,34,34,61.8,,34,1.2
05/02/2025 16:55,941402,34,63.4,,34,3,99.2,31.2,34,34,62.4,,34,3,99.2,31.2,34,34,37.1,,34,3,99.2,31.2,34,34,46.4,,34,34,47.7,,34,34,66.8,,34,34,70.8,,34,34,64.8,,34,34,67.5,,34,34,73.5,,34,34,69.9,,34,34,37.1,,34,34,72.7,,34,34,30.9,,34,34,83.7,,34,34,106.8,,34,34,99.5,,34,34,72.7,,34,34,83,,34,34,62.6,,34,34,63.7,,34,34,34.1,,34,34,33.7,,34,34,72.2,,34,34,64.2,,34,0.3
05/02/2025 16:56,941462,34,63,,34,3,99.2,31.2,34,34,62.8,,34,3,99.2,31.2,34,34,37.2,,34,3,99.2,31.2,34,34,45.9,,34,34,46.4,,34,34,67.5,,34,34,72.4,,34,34,64.8,,34,34,66.4,,34,34,73.9,,34,34,72,,34,34,37.2,,34,34,71.9,,34,34,29.8,,34,34,83.5,,34,34,107.8,,34,34,98.1,,34,34,70,,34,34,81.2,,34,34,62.5,,34,34,63.5,,34,34,31.7,,34,34,33.7,,34,34,68.6,,34,34,63.3,,34,0.1
05/02/2025 16:57,941522,34,63.2,,34,3,99.2,31.2,34,34,63.6,,34,3,99.2,31.2,34,34,36.2,,34,3,99.2,31.2,34,34,47,,34,34,46.8,,34,34,70.1,,34,34,72.6,,34,34,64.8,,34,34,67.3,,34,34,72.3,,34,34,72.5,,34,34,36.2,,34,34,72,,34,34,29.4,,34,34,83.7,,34,34,108.5,,34,34,96.2,,34,34,71.5,,34,34,85,,34,34,63,,34,34,60.3,,34,34,30.8,,34,34,33.8,,34,34,69.8,,34,34,62.5,,34,0.5
05/02/2025 16:58,941582,34,64.4,,34,3,99.2,31.2,34,34,63.7,,34,3,99.2,31.2,34,34,36.6,,34,3,99.2,31.2,34,34,46.7,,34,34,46.2,,34,34,70.4,,34,34,73,,34,34,64.8,,34,34,71.2,,34,34,72.6,,34,34,73.7,,34,34,36.6,,34,34,73,,34,34,30.3,,34,34,85.9,,34,34,103.6,,34,34,110.9,,34,34,72.7,,34,34,84.4,,34,34,62.6,,34,34,62.9,,34,34,32.7,,34,34,35.1,,34,34,71,,34,34,65.5,,34,0.6
