Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
5/02/2025 1:03:16 PM,927447,34.0,90.5,,34.0,3.0,99.2,31.1,34.0,34.0,80.6,,34.0,3.0,99.2,31.2,34.0,34.0,47.5,,34.0,3.0,99.2,31.2,34.0,34.0,53.3,,34.0,34.0,50.9,,34.0,34.0,89.5,,34.0,34.0,86.9,,34.0,34.0,94.4,,34.0,34.0,75.2,,34.0,34.0,101.3,,34.0,34.0,98.7,,34.0,34.0,47.5,,34.0,34.0,84.2,,34.0,34.0,86.0,,34.0,34.0,148.6,,34.0,33.4,203.3,,33.4,34.0,156.9,,34.0,34.0,111.7,,34.0,34.0,110.1,,34.0,34.0,87.8,,34.0,34.0,78.7,,34.0,34.0,47.9,,34.0,34.0,48.8,,34.0,34.0,115.2,,34.0,34.0,97.8,,34.0,0.2,
5/02/2025 1:03:51 PM,927482,34.0,91.4,,34.0,3.0,99.2,31.1,34.0,34.0,81.5,,34.0,3.0,99.2,31.2,34.0,34.0,48.1,,34.0,3.0,99.2,31.2,34.0,34.0,50.5,,34.0,34.0,51.1,,34.0,34.0,90.8,,34.0,34.0,88.6,,34.0,34.0,96.4,,34.0,34.0,78.1,,34.0,34.0,102.4,,34.0,34.0,96.7,,34.0,34.0,48.1,,34.0,34.0,91.7,,34.0,34.0,86.4,,34.0,34.0,152.1,,34.0,33.4,203.3,,33.4,34.0,150.9,,34.0,34.0,112.2,,34.0,34.0,110.9,,34.0,34.0,88.5,,34.0,34.0,79.2,,34.0,34.0,47.4,,34.0,34.0,47.6,,34.0,34.0,115.3,,34.0,34.0,97.8,,34.0,0.3,
5/02/2025 1:04:51 PM,927542,34.0,71.3,,34.0,3.0,99.2,31.2,34.0,34.0,66.3,,34.0,3.0,99.2,31.2,34.0,34.0,43.4,,34.0,3.0,99.2,31.2,34.0,34.0,50.6,,34.0,34.0,48.2,,34.0,34.0,72.7,,34.0,34.0,72.0,,34.0,34.0,71.3,,34.0,34.0,69.7,,34.0,34.0,79.3,,34.0,34.0,81.5,,34.0,34.0,43.4,,34.0,34.0,73.5,,34.0,34.0,52.9,,34.0,34.0,102.4,,34.0,34.2,202.8,,34.2,34.0,108.3,,34.0,34.0,80.6,,34.0,34.0,81.3,,34.0,34.0,65.6,,34.0,34.0,61.5,,34.0,34.0,39.1,,34.0,34.0,39.2,,34.0,34.0,77.8,,34.0,34.0,67.5,,34.0,13.5,
5/02/2025 1:05:51 PM,927602,34.0,65.2,,34.0,3.0,99.2,31.2,34.0,34.0,63.9,,34.0,3.0,99.2,31.2,34.0,34.0,39.0,,34.0,3.0,99.2,31.2,34.0,34.0,47.4,,34.0,34.0,47.7,,34.0,34.0,68.4,,34.0,34.0,71.1,,34.0,34.0,68.9,,34.0,34.0,68.2,,34.0,34.0,71.4,,34.0,34.0,76.6,,34.0,34.0,39.0,,34.0,34.0,68.4,,34.0,34.0,33.4,,34.0,34.0,94.1,,34.0,34.2,112.8,,34.2,34.0,128.9,,34.0,34.0,82.7,,34.0,34.0,89.1,,34.0,34.0,68.2,,34.0,34.0,57.6,,34.0,34.0,34.0,,34.0,34.0,35.0,,34.0,34.0,67.6,,34.0,34.0,56.1,,34.0,5.5,
5/02/2025 1:06:51 PM,927662,34.0,69.4,,34.0,3.0,99.2,31.2,34.0,34.0,68.7,,34.0,3.0,99.2,31.2,34.0,34.0,42.9,,34.0,3.0,99.2,31.2,34.0,34.0,33.4,,34.0,34.0,46.8,,34.0,34.0,71.5,,34.0,34.0,71.8,,34.0,34.0,92.9,,34.0,34.0,81.8,,34.0,34.0,74.6,,34.0,34.0,72.6,,34.0,34.0,42.9,,34.0,34.0,66.1,,34.0,34.0,33.2,,34.0,34.0,97.3,,34.0,34.0,152.9,,34.0,34.0,141.0,,34.0,34.0,93.3,,34.0,34.0,99.2,,34.0,34.0,73.7,,34.0,34.0,57.3,,34.0,34.0,36.6,,34.0,34.0,34.3,,34.0,34.0,67.8,,34.0,34.0,55.0,,34.0,0.9,
5/02/2025 1:07:51 PM,927722,34.0,70.3,,34.0,3.0,99.2,31.2,34.0,34.0,69.3,,34.0,3.0,99.2,31.2,34.0,34.0,43.6,,34.0,3.0,99.2,31.2,34.0,34.0,48.2,,34.0,34.0,44.9,,34.0,34.0,71.5,,34.0,34.0,68.2,,34.0,34.0,92.3,,34.0,34.0,83.4,,34.0,34.0,78.3,,34.0,34.0,69.8,,34.0,34.0,43.6,,34.0,34.0,68.3,,34.0,34.0,30.1,,34.0,34.0,94.1,,34.0,34.0,150.9,,34.0,34.0,154.8,,34.0,34.0,93.0,,34.0,34.0,103.0,,34.0,34.0,75.2,,34.0,34.0,61.0,,34.0,34.0,37.8,,34.0,34.0,35.2,,34.0,34.0,67.2,,34.0,34.0,54.7,,34.0,0.0,
5/02/2025 1:08:51 PM,927782,34.0,70.4,,34.0,3.0,99.2,31.2,34.0,34.0,69.2,,34.0,3.0,99.2,31.2,34.0,34.0,43.6,,34.0,3.0,99.2,31.2,34.0,34.0,48.3,,34.0,34.0,46.3,,34.0,34.0,69.3,,34.0,34.0,68.8,,34.0,34.0,92.9,,34.0,34.0,83.3,,34.0,34.0,80.5,,34.0,34.0,71.5,,34.0,34.0,43.6,,34.0,34.0,66.1,,34.0,34.0,31.4,,34.0,34.0,98.0,,34.0,34.0,155.8,,34.0,34.0,145.4,,34.0,34.0,97.8,,34.0,34.0,97.5,,34.0,34.0,76.3,,34.0,34.0,59.8,,34.0,34.0,40.3,,34.0,34.0,36.5,,34.0,34.0,64.1,,34.0,34.0,54.9,,34.0,0.6,
5/02/2025 1:09:51 PM,927842,34.0,71.1,,34.0,3.0,99.2,31.2,34.0,34.0,70.4,,34.0,3.0,99.2,31.2,34.0,34.0,42.1,,34.0,3.0,99.2,31.2,34.0,34.0,46.9,,34.0,34.0,47.2,,34.0,34.0,73.3,,34.0,34.0,69.1,,34.0,34.0,93.6,,34.0,34.0,83.9,,34.0,34.0,82.6,,34.0,34.0,71.7,,34.0,34.0,42.1,,34.0,34.0,66.1,,34.0,34.0,30.1,,34.0,34.0,96.7,,34.0,34.0,157.4,,34.0,34.0,149.8,,34.0,34.0,96.9,,34.0,34.0,100.1,,34.0,34.0,76.9,,34.0,34.0,61.1,,34.0,34.0,40.3,,34.0,34.0,36.6,,34.0,34.0,66.9,,34.0,34.0,54.8,,34.0,0.6,
5/02/2025 1:10:51 PM,927902,34.0,69.3,,34.0,3.0,99.2,31.2,34.0,34.0,68.1,,34.0,3.0,99.2,31.2,34.0,34.0,45.9,,34.0,3.0,99.2,31.2,34.0,34.0,46.2,,34.0,34.0,47.5,,34.0,34.0,69.3,,34.0,34.0,71.5,,34.0,34.0,85.8,,34.0,34.0,82.3,,34.0,34.0,72.7,,34.0,34.0,72.2,,34.0,34.0,45.9,,34.0,34.0,66.4,,34.0,34.0,29.6,,34.0,34.0,97.2,,34.0,34.0,135.8,,34.0,34.0,145.9,,34.0,34.0,90.4,,34.0,34.0,97.0,,34.0,34.0,76.3,,34.0,34.0,60.0,,34.0,34.0,41.4,,34.0,34.0,36.4,,34.0,34.0,71.6,,34.0,34.0,54.2,,34.0,0.8,
