Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
10/02/2025 5:41:59 PM,1376162,34.0,55.7,,34.0,3.0,99.2,31.2,34.0,34.0,64.8,,34.0,3.0,99.2,31.2,34.0,34.0,28.4,,34.0,3.0,99.2,31.2,34.0,34.0,49.7,,34.0,34.0,48.3,,34.0,34.0,75.0,,34.0,34.0,71.8,,34.0,34.0,63.0,,34.0,34.0,63.4,,34.0,34.0,78.2,,34.0,34.0,71.1,,34.0,34.0,28.4,,34.0,34.0,49.8,,34.0,34.0,19.0,,34.0,34.0,68.0,,34.0,34.0,106.7,,34.0,34.0,79.9,,34.0,34.0,72.3,,34.0,34.0,71.9,,34.0,34.0,52.2,,34.0,34.0,50.5,,34.0,34.0,27.9,,34.0,34.0,28.1,,34.0,34.0,37.9,,34.0,34.0,35.1,,34.0,0.3,
10/02/2025 5:43:00 PM,1376222,34.0,55.5,,34.0,3.0,99.2,31.2,34.0,34.0,63.5,,34.0,3.0,99.2,31.2,34.0,34.0,29.7,,34.0,3.0,99.2,31.2,34.0,34.0,49.2,,34.0,34.0,46.8,,34.0,34.0,71.4,,34.0,34.0,70.9,,34.0,34.0,63.5,,34.0,34.0,62.1,,34.0,34.0,73.5,,34.0,34.0,69.8,,34.0,34.0,29.7,,34.0,34.0,52.2,,34.0,34.0,18.0,,34.0,34.0,67.2,,34.0,34.0,110.4,,34.0,34.0,89.1,,34.0,34.0,70.7,,34.0,34.0,72.7,,34.0,34.0,51.8,,34.0,34.0,51.2,,34.0,34.0,28.2,,34.0,34.0,28.4,,34.0,34.0,39.1,,34.0,34.0,36.1,,34.0,0.4,
10/02/2025 5:44:00 PM,1376282,34.0,56.0,,34.0,3.0,99.2,31.2,34.0,34.0,64.9,,34.0,3.0,99.2,31.2,34.0,34.0,28.3,,34.0,3.0,99.2,31.2,34.0,34.0,49.7,,34.0,34.0,48.1,,34.0,34.0,74.9,,34.0,34.0,71.9,,34.0,34.0,63.5,,34.0,34.0,63.2,,34.0,34.0,76.1,,34.0,34.0,73.8,,34.0,34.0,28.3,,34.0,34.0,52.3,,34.0,34.0,19.5,,34.0,34.0,71.0,,34.0,34.0,106.6,,34.0,34.0,79.0,,34.0,34.0,72.3,,34.0,34.0,71.2,,34.0,34.0,51.1,,34.0,34.0,50.2,,34.0,34.0,27.9,,34.0,34.0,28.9,,34.0,34.0,37.7,,34.0,34.0,36.9,,34.0,0.7,
10/02/2025 5:44:59 PM,1376342,34.0,56.1,,34.0,3.0,99.2,31.2,34.0,34.0,64.2,,34.0,3.0,99.2,31.2,34.0,34.0,29.0,,34.0,3.0,99.2,31.2,34.0,34.0,48.4,,34.0,34.0,48.3,,34.0,34.0,74.1,,34.0,34.0,70.7,,34.0,34.0,63.5,,34.0,34.0,61.9,,34.0,34.0,78.1,,34.0,34.0,72.2,,34.0,34.0,29.0,,34.0,34.0,53.1,,34.0,34.0,19.8,,34.0,34.0,70.4,,34.0,34.0,109.5,,34.0,34.0,82.7,,34.0,34.0,72.4,,34.0,34.0,71.3,,34.0,34.0,52.1,,34.0,34.0,50.1,,34.0,34.0,27.9,,34.0,34.0,28.0,,34.0,34.0,39.0,,34.0,34.0,37.2,,34.0,0.1,
10/02/2025 5:45:59 PM,1376402,34.0,54.8,,34.0,3.0,99.2,31.2,34.0,34.0,63.0,,34.0,3.0,99.2,31.2,34.0,34.0,29.1,,34.0,3.0,99.2,31.2,34.0,34.0,49.0,,34.0,34.0,47.6,,34.0,34.0,71.9,,34.0,34.0,68.1,,34.0,34.0,63.5,,34.0,34.0,61.2,,34.0,34.0,71.9,,34.0,34.0,71.5,,34.0,34.0,29.1,,34.0,34.0,52.1,,34.0,34.0,19.6,,34.0,34.0,69.8,,34.0,34.0,100.1,,34.0,34.0,84.9,,34.0,34.0,71.9,,34.0,34.0,72.2,,34.0,34.0,50.0,,34.0,34.0,48.4,,34.0,34.0,28.7,,34.0,34.0,26.4,,34.0,34.0,37.8,,34.0,34.0,36.8,,34.0,0.2,
10/02/2025 5:46:59 PM,1376462,34.0,56.0,,34.0,3.0,99.2,31.2,34.0,34.0,64.8,,34.0,3.0,99.2,31.2,34.0,34.0,28.8,,34.0,3.0,99.2,31.2,34.0,34.0,48.0,,34.0,34.0,47.2,,34.0,34.0,75.4,,34.0,34.0,72.3,,34.0,34.0,63.5,,34.0,34.0,62.6,,34.0,34.0,75.9,,34.0,34.0,73.8,,34.0,34.0,28.8,,34.0,34.0,52.6,,34.0,34.0,21.1,,34.0,34.0,68.6,,34.0,34.0,102.8,,34.0,34.0,85.1,,34.0,34.0,71.7,,34.0,34.0,71.3,,34.0,34.0,50.5,,34.0,34.0,50.3,,34.0,34.0,28.3,,34.0,34.0,27.5,,34.0,34.0,37.6,,34.0,34.0,37.0,,34.0,0.1,
10/02/2025 5:47:59 PM,1376522,34.0,55.5,,34.0,3.0,99.2,31.2,34.0,34.0,63.0,,34.0,3.0,99.2,31.2,34.0,34.0,27.5,,34.0,3.0,99.2,31.2,34.0,34.0,48.0,,34.0,34.0,47.1,,34.0,34.0,71.9,,34.0,34.0,68.9,,34.0,34.0,63.5,,34.0,34.0,64.8,,34.0,34.0,75.5,,34.0,34.0,70.1,,34.0,34.0,27.5,,34.0,34.0,52.5,,34.0,34.0,20.3,,34.0,34.0,73.9,,34.0,34.0,112.3,,34.0,34.0,80.9,,34.0,34.0,72.3,,34.0,34.0,68.6,,34.0,34.0,49.7,,34.0,34.0,49.3,,34.0,34.0,28.3,,34.0,34.0,28.9,,34.0,34.0,37.4,,34.0,34.0,35.4,,34.0,0.4,
10/02/2025 5:49:00 PM,1376582,34.0,55.7,,34.0,3.0,99.2,31.2,34.0,34.0,63.1,,34.0,3.0,99.2,31.2,34.0,34.0,27.6,,34.0,3.0,99.2,31.2,34.0,34.0,50.0,,34.0,34.0,48.4,,34.0,34.0,70.8,,34.0,34.0,68.9,,34.0,34.0,63.5,,34.0,34.0,64.9,,34.0,34.0,73.8,,34.0,34.0,70.7,,34.0,34.0,27.6,,34.0,34.0,51.1,,34.0,34.0,19.0,,34.0,34.0,76.8,,34.0,34.0,113.3,,34.0,34.0,87.2,,34.0,34.0,72.5,,34.0,34.0,72.6,,34.0,34.0,49.5,,34.0,34.0,49.6,,34.0,34.0,27.9,,34.0,34.0,28.2,,34.0,34.0,36.9,,34.0,34.0,36.7,,34.0,0.1,
10/02/2025 5:49:59 PM,1376642,34.0,55.3,,34.0,3.0,99.2,31.2,34.0,34.0,63.7,,34.0,3.0,99.2,31.2,34.0,34.0,27.4,,34.0,3.0,99.2,31.2,34.0,34.0,48.8,,34.0,34.0,47.2,,34.0,34.0,71.6,,34.0,34.0,71.2,,34.0,34.0,63.5,,34.0,34.0,61.8,,34.0,34.0,72.5,,34.0,34.0,71.0,,34.0,34.0,27.4,,34.0,34.0,52.2,,34.0,34.0,20.4,,34.0,34.0,74.2,,34.0,34.0,101.2,,34.0,34.0,83.4,,34.0,34.0,72.7,,34.0,34.0,73.8,,34.0,34.0,51.5,,34.0,34.0,49.7,,34.0,34.0,28.5,,34.0,34.0,27.4,,34.0,34.0,35.2,,34.0,34.0,36.4,,34.0,0.1,
