Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
12/02/2025 10:13:57 AM,1522077,30.7,105.3,,30.7,1.1,29.6,27.1,30.7,30.8,104.0,,30.8,1.1,31.6,27.2,30.8,29.9,120.2,,29.9,0.6,13.0,26.1,29.9,31.2,96.6,,31.2,31.3,93.6,,31.3,30.8,103.1,,30.8,30.7,105.3,,30.7,30.3,112.9,,30.3,30.2,113.9,,30.2,30.0,118.5,,30.0,30.0,118.1,,30.0,29.9,120.2,,29.9,30.1,116.9,,30.1,31.4,91.8,,31.4,31.2,96.7,,31.1,29.9,120.8,,29.9,30.2,114.0,,30.2,31.5,90.3,,31.5,31.5,91.0,,31.5,31.6,88.8,,31.6,31.2,95.6,,31.2,31.0,99.1,,31.0,31.0,100.5,,30.9,30.7,105.9,,30.7,30.6,106.8,,30.6,3.5,
12/02/2025 10:14:02 AM,1522082,30.7,104.7,,30.7,1.1,30.3,27.1,30.7,30.8,103.3,,30.8,1.1,32.3,27.2,30.8,30.0,119.3,,29.9,0.6,13.4,26.1,29.9,31.3,95.3,,31.2,31.4,93.1,,31.3,30.8,103.1,,30.8,30.8,104.3,,30.7,30.4,111.9,,30.3,30.3,113.0,,30.3,30.0,117.8,,30.0,30.0,118.1,,30.0,30.0,119.3,,29.9,30.1,116.1,,30.1,31.4,91.7,,31.4,31.2,96.4,,31.2,29.9,120.2,,29.9,30.2,114.0,,30.2,31.6,89.8,,31.5,31.5,90.8,,31.5,31.6,88.6,,31.6,31.3,94.9,,31.2,31.1,98.7,,31.0,31.0,100.1,,31.0,30.7,104.9,,30.7,30.7,106.3,,30.6,3.5,
12/02/2025 10:15:02 AM,1522142,31.0,99.1,,31.0,1.3,38.9,27.5,31.0,31.1,98.0,,31.1,1.3,40.8,27.6,31.1,30.2,113.9,,30.2,0.8,18.6,26.5,30.2,31.5,89.8,,31.5,31.7,86.9,,31.7,31.1,97.7,,31.1,31.0,99.5,,31.0,30.6,106.9,,30.6,30.6,107.9,,30.6,30.3,112.4,,30.3,30.3,113.2,,30.3,30.2,113.9,,30.2,30.4,110.8,,30.4,31.8,84.3,,31.8,31.5,90.5,,31.5,30.1,115.9,,30.1,30.5,109.1,,30.5,31.8,84.8,,31.8,31.8,85.3,,31.8,31.9,83.2,,31.9,31.6,88.8,,31.6,31.4,92.1,,31.4,31.4,93.4,,31.3,31.1,98.7,,31.0,31.0,100.1,,31.0,3.0,
12/02/2025 10:16:02 AM,1522202,31.3,94.4,,31.3,1.4,46.9,27.8,31.3,31.4,93.2,,31.3,1.5,48.4,27.9,31.3,30.5,109.6,,30.5,1.0,24.1,26.8,30.5,31.8,84.6,,31.8,32.0,81.0,,32.0,31.3,93.6,,31.3,31.3,94.8,,31.2,30.9,102.1,,30.8,30.8,103.5,,30.9,30.5,108.6,,30.5,30.5,108.9,,30.5,30.5,109.6,,30.5,30.6,106.7,,30.6,32.2,77.9,,32.2,31.8,85.1,,31.8,30.3,113.0,,30.3,30.7,105.3,,30.7,32.0,80.8,,32.0,32.0,81.3,,32.0,32.1,78.8,,32.1,31.9,83.9,,31.8,31.7,86.5,,31.7,31.6,87.9,,31.6,31.3,93.8,,31.3,31.2,95.3,,31.2,2.4,
12/02/2025 10:17:02 AM,1522262,31.5,90.4,,31.5,1.5,53.6,28.1,31.5,31.5,89.8,,31.5,1.6,54.9,28.1,31.5,30.7,105.8,,30.7,1.1,29.3,27.1,30.7,32.0,80.5,,32.0,32.2,77.6,,32.2,31.5,90.7,,31.5,31.5,91.4,,31.4,31.1,98.4,,31.1,31.0,99.4,,31.0,30.8,104.3,,30.7,30.7,104.8,,30.7,30.7,105.8,,30.7,30.9,102.6,,30.8,32.5,72.2,,32.5,32.0,81.1,,32.0,30.5,109.8,,30.4,30.9,101.4,,30.9,32.2,78.0,,32.2,32.1,78.6,,32.1,32.3,75.4,,32.3,32.1,79.9,,32.1,32.0,81.6,,32.0,31.9,83.5,,31.9,31.6,88.8,,31.6,31.5,90.0,,31.5,1.9,
12/02/2025 10:18:02 AM,1522322,31.7,86.9,,31.7,1.7,59.7,28.3,31.7,31.7,86.3,,31.7,1.7,60.5,28.3,31.7,30.9,101.9,,30.9,1.2,35.2,27.3,30.9,32.3,76.6,,32.2,32.4,74.3,,32.4,31.7,87.5,,31.7,31.6,88.1,,31.6,31.3,94.8,,31.3,31.2,95.7,,31.2,30.9,101.2,,30.9,30.9,101.5,,30.9,30.9,101.9,,30.9,31.0,99.9,,31.0,32.7,67.8,,32.7,32.2,77.6,,32.2,30.6,107.1,,30.6,31.1,98.1,,31.1,32.4,74.6,,32.3,32.3,75.9,,32.3,32.5,72.1,,32.5,32.3,76.6,,32.2,32.2,77.7,,32.2,32.1,79.0,,32.1,31.8,85.0,,31.8,31.7,86.6,,31.7,1.8,
12/02/2025 10:19:02 AM,1522382,31.9,83.9,,31.9,1.8,64.8,28.5,31.9,31.9,83.8,,31.9,1.8,65.1,28.5,31.9,31.1,98.0,,31.1,1.3,40.5,27.5,31.1,32.4,73.9,,32.4,32.6,70.9,,32.5,31.8,85.5,,31.8,31.8,85.9,,31.8,31.4,91.7,,31.4,31.4,93.3,,31.4,31.1,98.8,,31.1,31.1,98.4,,31.1,31.1,98.0,,31.1,31.2,96.6,,31.2,33.0,62.8,,33.0,32.4,74.3,,32.4,30.7,105.2,,30.7,31.2,95.7,,31.2,32.5,72.6,,32.5,32.4,73.3,,32.4,32.6,69.8,,32.6,32.4,73.7,,32.4,32.4,74.3,,32.4,32.3,75.7,,32.3,32.0,81.3,,32.0,31.9,82.4,,31.9,1.6,
12/02/2025 10:20:02 AM,1522442,32.0,81.4,,32.0,1.8,69.0,28.7,32.0,32.0,81.5,,32.0,1.8,69.0,28.7,32.0,31.3,95.3,,31.2,1.4,45.8,27.8,31.2,32.5,71.2,,32.5,32.7,68.7,,32.7,31.9,82.8,,31.9,31.9,84.0,,31.9,31.6,89.7,,31.5,31.5,90.8,,31.5,31.2,95.7,,31.2,31.2,96.0,,31.2,31.3,95.3,,31.2,31.3,94.5,,31.3,33.2,59.2,,33.2,32.5,71.6,,32.5,30.8,103.3,,30.8,31.4,93.3,,31.4,32.5,71.3,,32.5,32.4,74.0,,32.4,32.8,67.6,,32.7,32.6,71.0,,32.5,32.6,71.0,,32.6,32.5,72.4,,32.5,32.2,77.8,,32.2,32.1,79.3,,32.1,1.3,
12/02/2025 10:21:02 AM,1522502,32.1,78.9,,32.1,1.9,72.8,28.8,32.1,32.1,79.2,,32.1,1.9,72.5,28.8,32.1,31.4,92.6,,31.4,1.5,50.2,27.9,31.4,32.7,68.5,,32.7,32.8,67.0,,32.8,32.0,81.4,,32.0,32.0,81.3,,32.0,31.7,86.8,,31.7,31.6,88.4,,31.6,31.3,93.8,,31.3,31.3,93.5,,31.3,31.4,92.6,,31.4,31.5,91.4,,31.4,33.3,56.5,,33.3,32.6,69.6,,32.6,31.0,100.8,,30.9,31.5,90.8,,31.5,32.7,69.3,,32.6,32.6,70.5,,32.6,32.8,65.9,,32.8,32.7,68.7,,32.7,32.7,68.2,,32.7,32.6,70.2,,32.6,32.3,75.0,,32.3,32.3,75.3,,32.3,1.2,
