Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
19/02/2025 2:28:08 PM,0,34.0,73.8,,34.0,3.0,99.2,31.2,34.0,34.0,82.3,,34.0,3.0,99.2,31.2,34.0,34.0,43.8,,34.0,3.0,99.2,31.2,34.0,34.0,64.5,,34.0,34.0,64.4,,34.0,34.0,90.9,,34.0,34.0,94.7,,34.0,34.0,78.4,,34.0,34.0,82.1,,34.0,34.0,98.2,,34.0,34.0,97.0,,34.0,34.0,43.8,,34.0,34.0,71.5,,34.0,34.0,23.7,,34.0,34.0,102.0,,34.0,34.0,141.5,,34.0,34.0,116.6,,34.0,34.0,87.8,,34.0,34.0,96.3,,34.0,34.0,64.1,,34.0,34.0,69.1,,34.0,34.0,38.0,,34.0,34.0,41.7,,34.0,34.0,48.1,,34.0,34.0,50.0,,34.0,0.3,
19/02/2025 2:29:08 PM,60,34.0,73.0,,34.0,3.0,99.2,31.2,34.0,34.0,81.6,,34.0,3.0,99.2,31.2,34.0,34.0,46.1,,34.0,3.0,99.2,31.2,34.0,34.0,63.3,,34.0,34.0,62.5,,34.0,34.0,90.4,,34.0,34.0,93.9,,34.0,34.0,78.6,,34.0,34.0,87.3,,34.0,34.0,98.8,,34.0,34.0,96.2,,34.0,34.0,46.1,,34.0,34.0,72.7,,34.0,34.0,20.8,,34.0,34.0,105.9,,34.0,34.0,138.7,,34.0,34.0,120.4,,34.0,34.0,89.1,,34.0,34.0,59.9,,34.0,34.0,63.2,,34.0,34.0,71.2,,34.0,34.0,38.4,,34.0,34.0,43.3,,34.0,34.0,45.9,,34.0,34.0,51.6,,34.0,0.1,
19/02/2025 2:30:08 PM,120,34.0,73.7,,34.0,3.0,99.2,31.2,34.0,34.0,79.8,,34.0,3.0,99.2,31.2,34.0,34.0,46.8,,34.0,3.0,99.2,31.2,34.0,34.0,63.3,,34.0,34.0,63.4,,34.0,34.0,86.1,,34.0,34.0,90.7,,34.0,34.0,78.6,,34.0,34.0,83.1,,34.0,34.0,95.3,,34.0,34.0,96.1,,34.0,34.0,46.8,,34.0,34.0,72.8,,34.0,34.0,25.0,,34.0,34.0,110.4,,34.0,34.0,136.8,,34.0,34.0,126.2,,34.0,34.0,86.4,,34.0,34.0,102.9,,34.0,34.0,63.1,,34.0,34.0,67.6,,34.0,34.0,38.2,,34.0,34.0,43.3,,34.0,34.0,47.2,,34.0,34.0,50.0,,34.0,0.0,
19/02/2025 2:31:08 PM,180,34.0,73.9,,34.0,3.0,99.2,31.2,34.0,34.0,80.1,,34.0,3.0,99.2,31.2,34.0,34.0,45.3,,34.0,3.0,99.2,31.2,34.0,34.0,54.2,,34.0,34.0,64.8,,34.0,34.0,88.7,,34.0,34.0,93.3,,34.0,34.0,78.6,,34.0,34.0,81.0,,34.0,34.0,97.9,,34.0,34.0,93.8,,34.0,34.0,45.3,,34.0,34.0,71.9,,34.0,34.0,23.9,,34.0,34.0,116.2,,34.0,34.0,142.7,,34.0,34.0,123.9,,34.0,34.0,91.1,,34.0,34.0,98.2,,34.0,34.0,66.7,,34.0,34.0,67.6,,34.0,34.0,39.0,,34.0,34.0,42.2,,34.0,34.0,45.7,,34.0,34.0,49.4,,34.0,0.1,
19/02/2025 2:32:08 PM,240,34.0,74.3,,34.0,3.0,99.2,31.2,34.0,34.0,80.4,,34.0,3.0,99.2,31.2,34.0,34.0,46.4,,34.0,3.0,99.2,31.2,34.0,34.0,66.1,,34.0,34.0,64.2,,34.0,34.0,86.8,,34.0,34.0,90.8,,34.0,34.0,78.6,,34.0,34.0,83.6,,34.0,34.0,95.6,,34.0,34.0,93.7,,34.0,34.0,46.4,,34.0,34.0,72.4,,34.0,34.0,23.5,,34.0,34.0,116.7,,34.0,34.0,143.3,,34.0,34.0,128.5,,34.0,34.0,87.7,,34.0,34.0,100.8,,34.0,34.0,64.3,,34.0,34.0,71.3,,34.0,34.0,39.0,,34.0,34.0,42.7,,34.0,34.0,47.3,,34.0,34.0,50.4,,34.0,0.1,
19/02/2025 2:33:08 PM,300,34.0,74.5,,34.0,3.0,99.2,31.2,34.0,34.0,80.4,,34.0,3.0,99.2,31.2,34.0,34.0,46.4,,34.0,3.0,99.2,31.2,34.0,34.0,62.7,,34.0,34.0,63.2,,34.0,34.0,86.9,,34.0,34.0,93.0,,34.0,34.0,78.6,,34.0,34.0,83.6,,34.0,34.0,95.3,,34.0,34.0,93.7,,34.0,34.0,46.4,,34.0,34.0,71.3,,34.0,34.0,25.4,,34.0,34.0,114.4,,34.0,34.0,142.2,,34.0,34.0,130.8,,34.0,34.0,89.8,,34.0,34.0,101.8,,34.0,34.0,65.2,,34.0,34.0,70.6,,34.0,34.0,38.5,,34.0,34.0,43.9,,34.0,34.0,46.1,,34.0,34.0,52.2,,34.0,0.4,
19/02/2025 2:34:08 PM,360,34.0,74.3,,34.0,3.0,99.2,31.2,34.0,34.0,80.4,,34.0,3.0,99.2,31.2,34.0,34.0,45.1,,34.0,3.0,99.2,31.2,34.0,34.0,65.5,,34.0,34.0,63.7,,34.0,34.0,88.1,,34.0,34.0,93.9,,34.0,34.0,74.1,,34.0,34.0,83.0,,34.0,34.0,97.0,,34.0,34.0,93.7,,34.0,34.0,45.1,,34.0,34.0,71.2,,34.0,34.0,26.9,,34.0,34.0,116.6,,34.0,34.0,142.7,,34.0,34.0,122.7,,34.0,34.0,88.6,,34.0,34.0,99.5,,34.0,34.0,63.4,,34.0,34.0,70.6,,34.0,34.0,39.1,,34.0,34.0,42.0,,34.0,34.0,48.9,,34.0,34.0,52.1,,34.0,0.7,
19/02/2025 2:35:08 PM,420,34.0,74.4,,34.0,3.0,99.2,31.2,34.0,34.0,81.1,,34.0,3.0,99.2,31.2,34.0,34.0,46.1,,34.0,3.0,99.2,31.2,34.0,34.0,63.6,,34.0,34.0,63.9,,34.0,34.0,88.8,,34.0,34.0,95.1,,34.0,34.0,76.0,,34.0,34.0,85.1,,34.0,34.0,96.5,,34.0,34.0,94.0,,34.0,34.0,46.1,,34.0,34.0,72.0,,34.0,34.0,24.3,,34.0,34.0,115.0,,34.0,34.0,139.7,,34.0,34.0,120.4,,34.0,34.0,89.5,,34.0,34.0,100.8,,34.0,34.0,64.7,,34.0,34.0,69.3,,34.0,34.0,38.8,,34.0,34.0,43.3,,34.0,34.0,49.3,,34.0,34.0,50.4,,34.0,0.3,
19/02/2025 2:36:08 PM,480,34.0,74.0,,34.0,3.0,99.2,31.2,34.0,34.0,80.2,,34.0,3.0,99.2,31.2,34.0,34.0,44.1,,34.0,3.0,99.2,31.2,34.0,34.0,63.0,,34.0,34.0,63.5,,34.0,34.0,87.1,,34.0,34.0,92.9,,34.0,34.0,76.9,,34.0,34.0,83.2,,34.0,34.0,95.8,,34.0,34.0,94.4,,34.0,34.0,44.1,,34.0,34.0,72.1,,34.0,34.0,25.2,,34.0,34.0,115.2,,34.0,34.0,139.1,,34.0,34.0,124.8,,34.0,34.0,88.3,,34.0,34.0,99.4,,34.0,34.0,64.6,,34.0,34.0,69.9,,34.0,34.0,38.1,,34.0,34.0,43.2,,34.0,34.0,48.0,,34.0,34.0,50.9,,34.0,0.3,
