Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
19/02/2025 1:39:18 PM,0,34.0,73.2,,34.0,3.0,99.2,31.2,34.0,34.0,82.9,,34.0,3.0,99.2,31.2,34.0,34.0,47.8,,34.0,3.0,99.2,31.2,34.0,34.0,64.1,,34.0,34.0,64.2,,34.0,34.0,91.1,,34.0,34.0,96.0,,34.0,34.0,79.8,,34.0,34.0,89.8,,34.0,34.0,101.4,,34.0,34.0,97.2,,34.0,34.0,47.8,,34.0,34.0,72.6,,34.0,34.0,20.4,,34.0,34.0,73.6,,34.0,34.0,121.8,,34.0,34.0,108.3,,34.0,34.0,82.5,,34.0,34.0,94.0,,34.0,34.0,64.8,,34.0,34.0,72.1,,34.0,34.0,38.9,,34.0,34.0,45.4,,34.0,34.0,48.9,,34.0,34.0,50.4,,34.0,0.0,
19/02/2025 1:40:18 PM,60,34.0,74.1,,34.0,3.0,99.2,31.2,34.0,34.0,82.5,,34.0,3.0,99.2,31.2,34.0,34.0,47.5,,34.0,3.0,99.2,31.2,34.0,34.0,64.0,,34.0,34.0,65.0,,34.0,34.0,89.8,,34.0,34.0,95.2,,34.0,34.0,79.8,,34.0,34.0,93.3,,34.0,34.0,96.2,,34.0,34.0,95.8,,34.0,34.0,47.5,,34.0,34.0,71.7,,34.0,34.0,22.7,,34.0,34.0,89.7,,34.0,34.0,138.0,,34.0,34.0,119.3,,34.0,34.0,84.7,,34.0,34.0,98.3,,34.0,34.0,65.1,,34.0,34.0,69.3,,34.0,34.0,38.0,,34.0,34.0,43.5,,34.0,34.0,47.1,,34.0,34.0,52.6,,34.0,0.2,
19/02/2025 1:41:18 PM,120,34.0,74.9,,34.0,3.0,99.2,31.2,34.0,34.0,82.0,,34.0,3.0,99.2,31.2,34.0,34.0,46.6,,34.0,3.0,99.2,31.2,34.0,34.0,62.5,,34.0,34.0,63.5,,34.0,34.0,89.3,,34.0,34.0,95.5,,34.0,34.0,79.8,,34.0,34.0,90.9,,34.0,34.0,100.6,,34.0,34.0,100.4,,34.0,34.0,46.6,,34.0,34.0,71.6,,34.0,34.0,23.9,,34.0,34.0,102.5,,34.0,34.0,139.3,,34.0,34.0,110.8,,34.0,34.0,87.5,,34.0,34.0,98.3,,34.0,34.0,64.1,,34.0,34.0,72.1,,34.0,34.0,40.4,,34.0,34.0,43.6,,34.0,34.0,46.6,,34.0,34.0,51.7,,34.0,0.3,
19/02/2025 1:42:18 PM,180,34.0,74.7,,34.0,3.0,99.2,31.2,34.0,34.0,81.6,,34.0,3.0,99.2,31.2,34.0,34.0,45.8,,34.0,3.0,99.2,31.2,34.0,34.0,63.0,,34.0,34.0,63.5,,34.0,34.0,87.8,,34.0,34.0,95.4,,34.0,34.0,79.8,,34.0,34.0,88.9,,34.0,34.0,101.7,,34.0,34.0,99.6,,34.0,34.0,45.8,,34.0,34.0,71.7,,34.0,34.0,24.9,,34.0,34.0,101.3,,34.0,34.0,137.6,,34.0,34.0,112.3,,34.0,34.0,88.6,,34.0,34.0,95.9,,34.0,34.0,63.3,,34.0,34.0,72.7,,34.0,34.0,39.8,,34.0,34.0,44.2,,34.0,34.0,48.2,,34.0,34.0,51.8,,34.0,0.2,
19/02/2025 1:43:18 PM,240,34.0,74.6,,34.0,3.0,99.2,31.2,34.0,34.0,82.3,,34.0,3.0,99.2,31.2,34.0,34.0,46.6,,34.0,3.0,99.2,31.2,34.0,34.0,63.8,,34.0,34.0,63.6,,34.0,34.0,89.9,,34.0,34.0,95.4,,34.0,34.0,79.8,,34.0,34.0,87.1,,34.0,34.0,100.6,,34.0,34.0,97.4,,34.0,34.0,46.6,,34.0,34.0,73.9,,34.0,34.0,23.0,,34.0,34.0,95.9,,34.0,34.0,133.3,,34.0,34.0,124.7,,34.0,34.0,87.7,,34.0,34.0,97.8,,34.0,34.0,63.7,,34.0,34.0,71.6,,34.0,34.0,39.5,,34.0,34.0,43.5,,34.0,34.0,47.2,,34.0,34.0,51.1,,34.0,0.2,
19/02/2025 1:44:18 PM,300,34.0,75.3,,34.0,3.0,99.2,31.2,34.0,34.0,81.6,,34.0,3.0,99.2,31.2,34.0,34.0,47.6,,34.0,3.0,99.2,31.2,34.0,34.0,62.7,,34.0,34.0,63.1,,34.0,34.0,90.1,,34.0,34.0,93.4,,34.0,34.0,79.8,,34.0,34.0,90.0,,34.0,34.0,100.1,,34.0,34.0,100.0,,34.0,34.0,47.6,,34.0,34.0,72.4,,34.0,34.0,24.2,,34.0,34.0,110.5,,34.0,34.0,145.1,,34.0,34.0,117.4,,34.0,34.0,90.2,,34.0,34.0,96.4,,34.0,34.0,63.4,,34.0,34.0,71.3,,34.0,34.0,39.3,,34.0,34.0,42.8,,34.0,34.0,47.4,,34.0,34.0,52.7,,34.0,0.0,
19/02/2025 1:45:18 PM,360,34.0,74.9,,34.0,3.0,99.2,31.2,34.0,34.0,83.1,,34.0,3.0,99.2,31.2,34.0,34.0,46.3,,34.0,3.0,99.2,31.2,34.0,34.0,61.7,,34.0,34.0,65.0,,34.0,34.0,91.8,,34.0,34.0,97.2,,34.0,34.0,79.5,,34.0,34.0,90.1,,34.0,34.0,98.6,,34.0,34.0,98.6,,34.0,34.0,46.3,,34.0,34.0,72.4,,34.0,34.0,24.5,,34.0,34.0,104.9,,34.0,34.0,129.0,,34.0,34.0,112.1,,34.0,34.0,87.3,,34.0,34.0,96.5,,34.0,34.0,63.2,,34.0,34.0,72.0,,34.0,34.0,40.4,,34.0,34.0,44.4,,34.0,34.0,48.1,,34.0,34.0,52.8,,34.0,0.2,
19/02/2025 1:46:18 PM,420,34.0,74.9,,34.0,3.0,99.2,31.2,34.0,34.0,82.0,,34.0,3.0,99.2,31.2,34.0,34.0,46.8,,34.0,3.0,99.2,31.2,34.0,34.0,62.9,,34.0,34.0,64.3,,34.0,34.0,90.4,,34.0,34.0,93.8,,34.0,34.0,79.5,,34.0,34.0,89.1,,34.0,34.0,97.9,,34.0,34.0,98.9,,34.0,34.0,46.8,,34.0,34.0,74.6,,34.0,34.0,23.2,,34.0,34.0,102.8,,34.0,34.0,135.2,,34.0,34.0,121.8,,34.0,34.0,90.1,,34.0,34.0,98.2,,34.0,34.0,63.6,,34.0,34.0,72.0,,34.0,34.0,38.7,,34.0,34.0,45.1,,34.0,34.0,46.6,,34.0,34.0,51.4,,34.0,0.4,
19/02/2025 1:47:18 PM,480,34.0,75.3,,34.0,3.0,99.2,31.2,34.0,34.0,82.8,,34.0,3.0,99.2,31.2,34.0,34.0,48.2,,34.0,3.0,99.2,31.2,34.0,34.0,64.1,,34.0,34.0,63.3,,34.0,34.0,90.6,,34.0,34.0,96.9,,34.0,34.0,79.3,,34.0,34.0,90.2,,34.0,34.0,101.0,,34.0,34.0,99.4,,34.0,34.0,48.2,,34.0,34.0,73.4,,34.0,34.0,22.8,,34.0,34.0,102.5,,34.0,34.0,145.1,,34.0,34.0,111.4,,34.0,34.0,89.7,,34.0,34.0,95.8,,34.0,34.0,63.7,,34.0,34.0,71.2,,34.0,34.0,42.2,,34.0,34.0,43.9,,34.0,34.0,45.7,,34.0,34.0,52.1,,34.0,0.1,
