Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
20/02/2025 11:37:44 AM,0,34.0,77.3,,34.0,3.0,99.2,31.2,34.0,34.0,81.3,,34.0,3.0,99.2,31.2,34.0,34.0,48.1,,34.0,3.0,99.2,31.2,34.0,34.0,63.9,,34.0,34.0,65.5,,34.0,34.0,87.4,,34.0,34.0,94.3,,34.0,34.0,78.2,,34.0,34.0,83.2,,34.0,34.0,95.1,,34.0,34.0,89.2,,34.0,34.0,48.1,,34.0,34.0,72.7,,34.0,34.0,24.6,,34.0,34.0,177.2,,34.0,34.0,137.7,,34.0,34.0,118.8,,34.0,34.0,92.9,,34.0,34.0,99.9,,34.0,34.0,69.6,,34.0,34.0,69.2,,34.0,34.0,49.1,,34.0,34.0,48.7,,34.0,34.0,55.4,,34.0,34.0,50.8,,34.0,1.4,
20/02/2025 11:38:44 AM,60,34.0,77.5,,34.0,3.0,99.2,31.2,34.0,34.0,82.2,,34.0,3.0,99.2,31.2,34.0,34.0,47.7,,34.0,3.0,99.2,31.2,34.0,34.0,64.0,,34.0,34.0,64.4,,34.0,34.0,89.9,,34.0,34.0,96.1,,34.0,34.0,78.1,,34.0,34.0,84.4,,34.0,34.0,95.1,,34.0,34.0,89.3,,34.0,34.0,47.7,,34.0,34.0,71.5,,34.0,34.0,24.1,,34.0,34.0,178.2,,34.0,34.0,141.9,,34.0,34.0,119.7,,34.0,34.0,90.4,,34.0,34.0,99.6,,34.0,34.0,70.6,,34.0,34.0,69.2,,34.0,34.0,48.2,,34.0,34.0,48.2,,34.0,34.0,53.8,,34.0,34.0,51.2,,34.0,0.4,
20/02/2025 11:39:44 AM,120,34.0,77.2,,34.0,3.0,99.2,31.2,34.0,34.0,82.1,,34.0,3.0,99.2,31.2,34.0,34.0,46.4,,34.0,3.0,99.2,31.2,34.0,34.0,63.3,,34.0,34.0,66.1,,34.0,34.0,89.3,,34.0,34.0,95.5,,34.0,34.0,78.1,,34.0,34.0,84.7,,34.0,34.0,90.8,,34.0,34.0,88.7,,34.0,34.0,46.4,,34.0,34.0,71.6,,34.0,34.0,25.5,,34.0,34.0,177.5,,34.0,34.0,141.5,,34.0,34.0,120.6,,34.0,34.0,98.2,,34.0,34.0,96.2,,34.0,34.0,69.0,,34.0,34.0,68.0,,34.0,34.0,48.5,,34.0,34.0,47.5,,34.0,34.0,53.7,,34.0,34.0,52.8,,34.0,0.3,
20/02/2025 11:40:44 AM,180,34.0,77.2,,34.0,3.0,99.2,31.2,34.0,34.0,81.3,,34.0,3.0,99.2,31.2,34.0,34.0,46.6,,34.0,3.0,99.2,31.2,34.0,34.0,64.8,,34.0,34.0,65.6,,34.0,34.0,87.8,,34.0,34.0,93.7,,34.0,34.0,78.1,,34.0,34.0,85.0,,34.0,34.0,95.4,,34.0,34.0,88.4,,34.0,34.0,46.6,,34.0,34.0,72.1,,34.0,34.0,24.9,,34.0,34.0,174.0,,34.0,34.0,145.4,,34.0,34.0,122.7,,34.0,34.0,92.7,,34.0,34.0,99.9,,34.0,34.0,68.3,,34.0,34.0,67.8,,34.0,34.0,48.4,,34.0,34.0,46.2,,34.0,34.0,54.9,,34.0,34.0,51.9,,34.0,0.3,
20/02/2025 11:41:44 AM,240,34.0,77.6,,34.0,3.0,99.2,31.2,34.0,34.0,82.4,,34.0,3.0,99.2,31.2,34.0,34.0,45.9,,34.0,3.0,99.2,31.2,34.0,34.0,64.8,,34.0,34.0,64.7,,34.0,34.0,88.9,,34.0,34.0,97.0,,34.0,34.0,78.1,,34.0,34.0,86.0,,34.0,34.0,96.5,,34.0,34.0,90.4,,34.0,34.0,45.9,,34.0,34.0,72.2,,34.0,34.0,24.6,,34.0,34.0,176.0,,34.0,34.0,138.3,,34.0,34.0,120.7,,34.0,34.0,92.5,,34.0,34.0,98.9,,34.0,34.0,70.3,,34.0,34.0,67.0,,34.0,34.0,49.1,,34.0,34.0,47.3,,34.0,34.0,53.2,,34.0,34.0,52.5,,34.0,0.1,
20/02/2025 11:42:44 AM,300,34.0,77.0,,34.0,3.0,99.2,31.2,34.0,34.0,81.6,,34.0,3.0,99.2,31.2,34.0,34.0,46.7,,34.0,3.0,99.2,31.2,34.0,34.0,64.1,,34.0,34.0,65.5,,34.0,34.0,87.7,,34.0,34.0,95.4,,34.0,34.0,78.1,,34.0,34.0,84.5,,34.0,34.0,92.4,,34.0,34.0,88.1,,34.0,34.0,46.7,,34.0,34.0,70.8,,34.0,34.0,25.6,,34.0,34.0,176.2,,34.0,34.0,141.8,,34.0,34.0,125.1,,34.0,34.0,89.4,,34.0,34.0,101.8,,34.0,34.0,68.0,,34.0,34.0,68.4,,34.0,34.0,48.1,,34.0,34.0,47.0,,34.0,34.0,55.1,,34.0,34.0,50.9,,34.0,0.3,
20/02/2025 11:43:44 AM,360,34.0,77.6,,34.0,3.0,99.2,31.2,34.0,34.0,82.6,,34.0,3.0,99.2,31.2,34.0,34.0,46.3,,34.0,3.0,99.2,31.2,34.0,34.0,65.8,,34.0,34.0,66.5,,34.0,34.0,88.8,,34.0,34.0,96.9,,34.0,34.0,78.1,,34.0,34.0,84.5,,34.0,34.0,94.2,,34.0,34.0,91.3,,34.0,34.0,46.3,,34.0,34.0,72.9,,34.0,34.0,24.7,,34.0,34.0,178.0,,34.0,34.0,144.8,,34.0,34.0,121.9,,34.0,34.0,90.8,,34.0,34.0,100.5,,34.0,34.0,68.8,,34.0,34.0,68.7,,34.0,34.0,48.7,,34.0,34.0,43.8,,34.0,34.0,53.9,,34.0,34.0,51.5,,34.0,0.0,
20/02/2025 11:44:44 AM,420,34.0,76.1,,34.0,3.0,99.2,31.2,34.0,34.0,82.3,,34.0,3.0,99.2,31.2,34.0,34.0,45.0,,34.0,3.0,99.2,31.2,34.0,34.0,65.3,,34.0,34.0,64.2,,34.0,34.0,90.0,,34.0,34.0,95.6,,34.0,34.0,78.1,,34.0,34.0,84.2,,34.0,34.0,95.4,,34.0,34.0,68.5,,34.0,34.0,45.0,,34.0,34.0,72.1,,34.0,34.0,25.0,,34.0,34.0,173.8,,34.0,34.0,139.1,,34.0,34.0,122.4,,34.0,34.0,88.9,,34.0,34.0,100.9,,34.0,34.0,69.6,,34.0,34.0,68.5,,34.0,34.0,48.0,,34.0,34.0,46.6,,34.0,34.0,55.1,,34.0,34.0,52.3,,34.0,0.2,
20/02/2025 11:45:44 AM,480,34.0,78.2,,34.0,3.0,99.2,31.2,34.0,34.0,82.6,,34.0,3.0,99.2,31.2,34.0,34.0,46.8,,34.0,3.0,99.2,31.2,34.0,34.0,65.9,,34.0,34.0,65.2,,34.0,34.0,89.0,,34.0,34.0,96.5,,34.0,34.0,78.7,,34.0,34.0,87.3,,34.0,34.0,94.5,,34.0,34.0,89.9,,34.0,34.0,46.8,,34.0,34.0,71.8,,34.0,34.0,24.9,,34.0,34.0,179.9,,34.0,34.0,146.8,,34.0,34.0,122.4,,34.0,34.0,94.4,,34.0,34.0,102.0,,34.0,34.0,69.3,,34.0,34.0,69.1,,34.0,34.0,48.8,,34.0,34.0,47.6,,34.0,34.0,54.3,,34.0,34.0,51.7,,34.0,0.6,
