Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
20/02/2025 6:30:35 PM,0,34.0,75.7,,34.0,3.0,99.2,31.2,34.0,34.0,80.9,,34.0,3.0,99.2,31.2,34.0,34.0,44.3,,34.0,3.0,99.2,31.2,34.0,34.0,63.4,,34.0,34.0,64.2,,34.0,34.0,89.0,,34.0,34.0,92.7,,34.0,34.0,77.4,,34.0,34.0,84.5,,34.0,34.0,98.4,,34.0,34.0,90.3,,34.0,34.0,44.3,,34.0,34.0,70.1,,34.0,34.0,28.3,,34.0,34.0,179.8,,34.0,34.0,122.6,,34.0,34.0,118.0,,34.0,34.0,82.5,,34.0,34.0,105.7,,34.0,34.0,64.9,,34.0,34.0,73.2,,34.0,34.0,38.1,,34.0,34.0,40.7,,34.0,34.0,47.9,,34.0,34.0,50.8,,34.0,0.6,
20/02/2025 6:31:35 PM,60,34.0,76.1,,34.0,3.0,99.2,31.2,34.0,34.0,80.1,,34.0,3.0,99.2,31.2,34.0,34.0,44.0,,34.0,3.0,99.2,31.2,34.0,34.0,63.3,,34.0,34.0,63.9,,34.0,34.0,90.6,,34.0,34.0,89.9,,34.0,34.0,75.6,,34.0,34.0,86.2,,34.0,34.0,100.6,,34.0,34.0,92.2,,34.0,34.0,44.0,,34.0,34.0,69.1,,34.0,34.0,29.7,,34.0,34.0,193.7,,34.0,34.0,124.7,,34.0,34.0,114.3,,34.0,34.0,82.8,,34.0,34.0,101.4,,34.0,34.0,64.0,,34.0,34.0,72.2,,34.0,34.0,38.6,,34.0,34.0,40.3,,34.0,34.0,49.3,,34.0,34.0,50.1,,34.0,0.1,
20/02/2025 6:32:35 PM,120,34.0,75.7,,34.0,3.0,99.2,31.1,34.0,34.0,79.9,,34.0,3.0,99.2,31.2,34.0,34.0,43.6,,34.0,3.0,99.2,31.2,34.0,34.0,63.3,,34.0,34.0,63.0,,34.0,34.0,87.3,,34.0,34.0,91.8,,34.0,34.0,77.0,,34.0,34.0,83.6,,34.0,34.0,96.6,,34.0,34.0,91.2,,34.0,34.0,43.6,,34.0,34.0,70.5,,34.0,34.0,33.1,,34.0,33.8,193.7,,33.8,34.0,120.2,,34.0,34.0,113.8,,34.0,34.0,79.9,,34.0,34.0,101.0,,34.0,34.0,63.1,,34.0,34.0,71.6,,34.0,34.0,40.3,,34.0,34.0,40.0,,34.0,34.0,50.2,,34.0,34.0,50.7,,34.0,0.2,
20/02/2025 6:33:35 PM,180,34.0,76.3,,34.0,3.0,99.2,31.1,34.0,34.0,79.8,,34.0,3.0,99.2,31.2,34.0,34.0,43.0,,34.0,3.0,99.2,31.2,34.0,34.0,62.2,,34.0,34.0,62.7,,34.0,34.0,87.7,,34.0,34.0,91.2,,34.0,34.0,77.7,,34.0,34.0,85.0,,34.0,34.0,97.4,,34.0,34.0,95.5,,34.0,34.0,43.0,,34.0,34.0,69.7,,34.0,34.0,33.8,,34.0,33.7,193.9,,33.7,34.0,121.7,,34.0,34.0,113.6,,34.0,34.0,82.2,,34.0,34.0,103.0,,34.0,34.0,63.4,,34.0,34.0,71.2,,34.0,34.0,39.9,,34.0,34.0,39.8,,34.0,34.0,51.9,,34.0,34.0,50.9,,34.0,0.6,
20/02/2025 6:34:35 PM,240,34.0,76.9,,34.0,3.0,99.2,31.1,34.0,34.0,81.0,,34.0,3.0,99.2,31.2,34.0,34.0,45.1,,34.0,3.0,99.2,31.2,34.0,34.0,65.3,,34.0,34.0,63.3,,34.0,34.0,89.0,,34.0,34.0,92.2,,34.0,34.0,78.0,,34.0,34.0,83.6,,34.0,34.0,99.7,,34.0,34.0,94.6,,34.0,34.0,45.1,,34.0,34.0,70.1,,34.0,34.0,35.2,,34.0,33.6,193.9,,33.6,34.0,118.3,,34.0,34.0,117.8,,34.0,34.0,81.1,,34.0,34.0,102.1,,34.0,34.0,63.6,,34.0,34.0,71.9,,34.0,34.0,39.7,,34.0,34.0,41.1,,34.0,34.0,51.7,,34.0,34.0,52.6,,34.0,0.1,
20/02/2025 6:35:35 PM,300,34.0,77.1,,34.0,3.0,99.2,31.1,34.0,34.0,81.4,,34.0,3.0,99.2,31.2,34.0,34.0,43.8,,34.0,3.0,99.2,31.2,34.0,34.0,63.6,,34.0,34.0,63.9,,34.0,34.0,89.8,,34.0,34.0,93.5,,34.0,34.0,78.0,,34.0,34.0,85.2,,34.0,34.0,102.0,,34.0,34.0,94.6,,34.0,34.0,43.8,,34.0,34.0,70.6,,34.0,34.0,36.6,,34.0,33.5,194.0,,33.6,34.0,118.7,,34.0,34.0,115.4,,34.0,34.0,80.3,,34.0,34.0,103.5,,34.0,34.0,62.3,,34.0,34.0,72.7,,34.0,34.0,39.9,,34.0,34.0,40.6,,34.0,34.0,50.0,,34.0,34.0,52.2,,34.0,0.0,
20/02/2025 6:36:35 PM,360,34.0,77.9,,34.0,3.0,99.2,31.1,34.0,34.0,80.7,,34.0,3.0,99.2,31.2,34.0,34.0,45.2,,34.0,3.0,99.2,31.2,34.0,34.0,65.0,,34.0,34.0,63.3,,34.0,34.0,87.0,,34.0,34.0,93.2,,34.0,34.0,78.0,,34.0,34.0,86.8,,34.0,34.0,99.4,,34.0,34.0,93.4,,34.0,34.0,45.2,,34.0,34.0,70.4,,34.0,34.0,36.1,,34.0,33.5,194.1,,33.5,34.0,128.3,,34.0,34.0,127.5,,34.0,34.0,83.2,,34.0,34.0,112.9,,34.0,34.0,62.5,,34.0,34.0,72.6,,34.0,34.0,39.8,,34.0,34.0,41.7,,34.0,34.0,52.1,,34.0,34.0,51.7,,34.0,0.0,
20/02/2025 6:37:35 PM,420,34.0,77.3,,34.0,3.0,99.2,31.1,34.0,34.0,81.4,,34.0,3.0,99.2,31.2,34.0,34.0,43.8,,34.0,3.0,99.2,31.2,34.0,34.0,63.8,,34.0,34.0,63.4,,34.0,34.0,90.4,,34.0,34.0,93.1,,34.0,34.0,78.0,,34.0,34.0,83.3,,34.0,34.0,100.8,,34.0,34.0,96.5,,34.0,34.0,43.8,,34.0,34.0,70.6,,34.0,34.0,37.7,,34.0,33.4,194.2,,33.4,34.0,118.9,,34.0,34.0,119.5,,34.0,34.0,80.5,,34.0,34.0,102.8,,34.0,34.0,64.8,,34.0,34.0,72.0,,34.0,34.0,39.5,,34.0,34.0,41.1,,34.0,34.0,51.0,,34.0,34.0,51.9,,34.0,0.7,
20/02/2025 6:38:35 PM,480,34.0,77.3,,34.0,3.0,99.2,31.1,34.0,34.0,81.5,,34.0,3.0,99.2,31.2,34.0,34.0,44.5,,34.0,3.0,99.2,31.2,34.0,34.0,63.3,,34.0,34.0,63.4,,34.0,34.0,90.0,,34.0,34.0,93.7,,34.0,34.0,78.6,,34.0,34.0,82.1,,34.0,34.0,101.8,,34.0,34.0,96.2,,34.0,34.0,44.5,,34.0,34.0,68.5,,34.0,34.0,39.2,,34.0,33.4,194.2,,33.4,34.0,122.1,,34.0,34.0,118.9,,34.0,34.0,79.7,,34.0,34.0,103.8,,34.0,34.0,64.2,,34.0,34.0,71.6,,34.0,34.0,39.1,,34.0,34.0,40.3,,34.0,34.0,50.7,,34.0,34.0,52.6,,34.0,0.3,
