Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
20/02/2025 6:17:00 PM,0,34.0,76.1,,34.0,3.0,99.2,31.2,34.0,34.0,81.8,,34.0,3.0,99.2,31.2,34.0,34.0,42.5,,34.0,3.0,99.2,31.2,34.0,34.0,63.8,,34.0,34.0,63.8,,34.0,34.0,89.2,,34.0,34.0,95.1,,34.0,34.0,78.6,,34.0,34.0,83.3,,34.0,34.0,100.5,,34.0,34.0,92.0,,34.0,34.0,42.5,,34.0,34.0,71.2,,34.0,34.0,21.7,,34.0,34.0,165.2,,34.0,34.0,132.0,,34.0,34.0,125.2,,34.0,34.0,81.7,,34.0,34.0,108.3,,34.0,34.0,64.7,,34.0,34.0,75.1,,34.0,34.0,39.1,,34.0,34.0,42.3,,34.0,34.0,49.9,,34.0,34.0,52.5,,34.0,0.2,
20/02/2025 6:18:00 PM,60,34.0,75.9,,34.0,3.0,99.2,31.2,34.0,34.0,82.5,,34.0,3.0,99.2,31.2,34.0,34.0,45.2,,34.0,3.0,99.2,31.2,34.0,34.0,63.3,,34.0,34.0,64.6,,34.0,34.0,92.2,,34.0,34.0,94.6,,34.0,34.0,78.6,,34.0,34.0,84.8,,34.0,34.0,98.3,,34.0,34.0,91.6,,34.0,34.0,45.2,,34.0,34.0,69.5,,34.0,34.0,24.0,,34.0,34.0,176.2,,34.0,34.0,125.9,,34.0,34.0,116.8,,34.0,34.0,81.6,,34.0,34.0,105.6,,34.0,34.0,63.4,,34.0,34.0,72.5,,34.0,34.0,39.2,,34.0,34.0,41.4,,34.0,34.0,47.7,,34.0,34.0,52.5,,34.0,0.6,
20/02/2025 6:19:00 PM,120,34.0,76.3,,34.0,3.0,99.2,31.2,34.0,34.0,81.9,,34.0,3.0,99.2,31.2,34.0,34.0,44.8,,34.0,3.0,99.2,31.2,34.0,34.0,63.1,,34.0,34.0,64.1,,34.0,34.0,90.4,,34.0,34.0,94.5,,34.0,34.0,78.6,,34.0,34.0,84.2,,34.0,34.0,100.4,,34.0,34.0,95.8,,34.0,34.0,44.8,,34.0,34.0,69.8,,34.0,34.0,25.0,,34.0,34.0,181.7,,34.0,34.0,129.8,,34.0,34.0,116.5,,34.0,34.0,82.3,,34.0,34.0,102.5,,34.0,34.0,63.4,,34.0,34.0,71.9,,34.0,34.0,39.8,,34.0,34.0,40.3,,34.0,34.0,48.5,,34.0,34.0,50.9,,34.0,0.7,
20/02/2025 6:20:00 PM,180,34.0,76.0,,34.0,3.0,99.2,31.2,34.0,34.0,81.8,,34.0,3.0,99.2,31.2,34.0,34.0,44.7,,34.0,3.0,99.2,31.2,34.0,34.0,64.0,,34.0,34.0,63.6,,34.0,34.0,90.5,,34.0,34.0,93.6,,34.0,34.0,78.6,,34.0,34.0,82.3,,34.0,34.0,101.0,,34.0,34.0,93.2,,34.0,34.0,44.7,,34.0,34.0,71.3,,34.0,34.0,26.8,,34.0,34.0,185.4,,34.0,34.0,125.4,,34.0,34.0,112.1,,34.0,34.0,82.0,,34.0,34.0,101.4,,34.0,34.0,64.0,,34.0,34.0,71.4,,34.0,34.0,38.7,,34.0,34.0,40.2,,34.0,34.0,47.2,,34.0,34.0,50.5,,34.0,0.0,
20/02/2025 6:21:00 PM,240,34.0,75.9,,34.0,3.0,99.2,31.2,34.0,34.0,82.1,,34.0,3.0,99.2,31.2,34.0,34.0,44.2,,34.0,3.0,99.2,31.2,34.0,34.0,61.5,,34.0,34.0,64.4,,34.0,34.0,90.6,,34.0,34.0,95.8,,34.0,34.0,78.6,,34.0,34.0,88.0,,34.0,34.0,98.5,,34.0,34.0,91.4,,34.0,34.0,44.2,,34.0,34.0,69.7,,34.0,34.0,25.0,,34.0,34.0,184.8,,34.0,34.0,126.8,,34.0,34.0,109.9,,34.0,34.0,82.0,,34.0,34.0,101.3,,34.0,34.0,63.1,,34.0,34.0,72.7,,34.0,34.0,38.9,,34.0,34.0,39.6,,34.0,34.0,48.0,,34.0,34.0,50.1,,34.0,0.2,
20/02/2025 6:22:00 PM,300,34.0,75.6,,34.0,3.0,99.2,31.2,34.0,34.0,81.5,,34.0,3.0,99.2,31.2,34.0,34.0,43.7,,34.0,3.0,99.2,31.2,34.0,34.0,63.2,,34.0,34.0,63.8,,34.0,34.0,89.6,,34.0,34.0,93.6,,34.0,34.0,78.6,,34.0,34.0,86.4,,34.0,34.0,99.3,,34.0,34.0,92.6,,34.0,34.0,43.7,,34.0,34.0,69.3,,34.0,34.0,27.4,,34.0,34.0,180.1,,34.0,34.0,117.7,,34.0,34.0,110.8,,34.0,34.0,80.1,,34.0,34.0,101.5,,34.0,34.0,65.0,,34.0,34.0,72.5,,34.0,34.0,38.2,,34.0,34.0,41.6,,34.0,34.0,48.9,,34.0,34.0,50.9,,34.0,0.5,
20/02/2025 6:23:00 PM,360,34.0,75.6,,34.0,3.0,99.2,31.2,34.0,34.0,81.3,,34.0,3.0,99.2,31.2,34.0,34.0,43.6,,34.0,3.0,99.2,31.2,34.0,34.0,63.2,,34.0,34.0,63.0,,34.0,34.0,90.6,,34.0,34.0,92.1,,34.0,34.0,78.6,,34.0,34.0,84.6,,34.0,34.0,98.8,,34.0,34.0,92.3,,34.0,34.0,43.6,,34.0,34.0,69.9,,34.0,34.0,26.2,,34.0,34.0,179.2,,34.0,34.0,122.9,,34.0,34.0,116.9,,34.0,34.0,81.0,,34.0,34.0,104.5,,34.0,34.0,63.6,,34.0,34.0,71.8,,34.0,34.0,37.8,,34.0,34.0,41.0,,34.0,34.0,47.9,,34.0,34.0,52.1,,34.0,0.3,
20/02/2025 6:24:00 PM,420,34.0,76.0,,34.0,3.0,99.2,31.2,34.0,34.0,81.0,,34.0,3.0,99.2,31.2,34.0,34.0,44.4,,34.0,3.0,99.2,31.2,34.0,34.0,63.8,,34.0,34.0,59.5,,34.0,34.0,89.5,,34.0,34.0,93.7,,34.0,34.0,78.6,,34.0,34.0,83.8,,34.0,34.0,100.4,,34.0,34.0,93.1,,34.0,34.0,44.4,,34.0,34.0,69.6,,34.0,34.0,26.4,,34.0,34.0,179.6,,34.0,34.0,127.9,,34.0,34.0,113.3,,34.0,34.0,84.5,,34.0,34.0,104.4,,34.0,34.0,64.0,,34.0,34.0,73.7,,34.0,34.0,37.7,,34.0,34.0,42.0,,34.0,34.0,48.4,,34.0,34.0,51.7,,34.0,0.2,
20/02/2025 6:25:00 PM,480,34.0,75.9,,34.0,3.0,99.2,31.2,34.0,34.0,81.3,,34.0,3.0,99.2,31.2,34.0,34.0,44.0,,34.0,3.0,99.2,31.2,34.0,34.0,63.7,,34.0,34.0,63.7,,34.0,34.0,90.1,,34.0,34.0,92.2,,34.0,34.0,78.6,,34.0,34.0,85.5,,34.0,34.0,100.4,,34.0,34.0,93.7,,34.0,34.0,44.0,,34.0,34.0,70.8,,34.0,34.0,26.4,,34.0,34.0,181.4,,34.0,34.0,126.9,,34.0,34.0,107.7,,34.0,34.0,82.3,,34.0,34.0,102.9,,34.0,34.0,63.3,,34.0,34.0,73.0,,34.0,34.0,38.3,,34.0,34.0,41.6,,34.0,34.0,46.1,,34.0,34.0,51.4,,34.0,0.2,
