Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
21/02/2025 1:26:13 PM,0,33.9,113.6,,33.9,2.9,98.9,31.0,33.9,34.0,115.6,,34.0,3.0,99.2,31.2,34.0,34.0,72.0,,34.0,3.0,99.2,31.2,34.0,34.0,65.1,,34.0,34.0,62.5,,34.0,34.0,121.7,,34.0,34.0,119.0,,34.0,34.0,160.6,,34.0,34.0,131.2,,34.0,34.0,162.6,,34.0,34.0,145.1,,34.0,34.0,72.0,,34.0,34.0,128.2,,34.0,34.0,22.9,,34.0,34.0,120.4,,34.0,31.5,204.8,,31.5,31.6,215.0,,31.6,34.0,150.6,,34.0,34.0,178.8,,34.0,34.0,107.0,,34.0,34.0,92.2,,34.0,34.0,58.7,,34.0,34.0,52.8,,34.0,34.0,103.2,,34.0,34.0,76.0,,34.0,0.0,
21/02/2025 1:27:13 PM,60,33.9,100.8,,33.9,3.0,99.0,31.1,33.9,34.0,103.9,,34.0,3.0,99.2,31.2,34.0,34.0,63.3,,34.0,3.0,99.2,31.2,34.0,34.0,63.4,,34.0,34.0,63.0,,34.0,34.0,113.9,,34.0,34.0,111.9,,34.0,34.0,127.8,,34.0,34.0,115.5,,34.0,34.0,132.4,,34.0,34.0,123.2,,34.0,34.0,63.3,,34.0,34.0,102.7,,34.0,34.0,21.5,,34.0,34.0,104.2,,34.0,32.1,204.3,,32.1,32.4,214.4,,32.4,34.0,143.1,,34.0,34.0,159.7,,34.0,34.0,93.1,,34.0,34.0,86.3,,34.0,34.0,56.4,,34.0,34.0,55.2,,34.0,34.0,77.5,,34.0,34.0,69.2,,34.0,11.3,
21/02/2025 1:28:13 PM,120,33.9,99.7,,33.9,3.0,99.0,31.1,33.9,34.0,101.3,,34.0,3.0,99.2,31.2,34.0,34.0,69.1,,34.0,3.0,99.2,31.2,34.0,34.0,63.4,,34.0,34.0,61.5,,34.0,34.0,100.0,,34.0,34.0,99.7,,34.0,34.0,145.9,,34.0,34.0,126.8,,34.0,34.0,150.6,,34.0,34.0,127.1,,34.0,34.0,69.1,,34.0,34.0,104.1,,34.0,34.0,20.4,,34.0,34.0,92.2,,34.0,32.6,203.8,,32.5,33.0,213.6,,32.9,34.0,110.5,,34.0,34.0,132.0,,34.0,34.0,82.6,,34.0,34.0,79.8,,34.0,34.0,58.6,,34.0,34.0,60.0,,34.0,34.0,79.8,,34.0,34.0,70.7,,34.0,11.4,
21/02/2025 1:29:13 PM,180,34.0,89.0,,34.0,3.0,99.2,31.1,34.0,34.0,92.4,,34.0,3.0,99.2,31.2,34.0,34.0,62.2,,34.0,3.0,99.2,31.2,34.0,34.0,64.1,,34.0,34.0,60.3,,34.0,34.0,92.8,,34.0,34.0,95.6,,34.0,34.0,121.0,,34.0,34.0,101.6,,34.0,34.0,126.3,,34.0,34.0,116.3,,34.0,34.0,62.2,,34.0,34.0,93.3,,34.0,34.0,19.0,,34.0,34.0,87.9,,34.0,33.3,203.3,,33.3,33.9,212.9,,33.9,34.0,98.7,,34.0,34.0,117.3,,34.0,34.0,79.1,,34.0,34.0,70.7,,34.0,34.0,50.4,,34.0,34.0,36.5,,34.0,34.0,70.6,,34.0,34.0,58.8,,34.0,8.5,
21/02/2025 1:30:13 PM,240,34.0,87.0,,34.0,3.0,99.2,31.2,34.0,34.0,87.3,,34.0,3.0,99.2,31.2,34.0,34.0,61.4,,34.0,3.0,99.2,31.2,34.0,34.0,62.0,,34.0,34.0,59.9,,34.0,34.0,86.6,,34.0,34.0,91.2,,34.0,34.0,111.7,,34.0,34.0,97.7,,34.0,34.0,109.9,,34.0,34.0,102.6,,34.0,34.0,61.4,,34.0,34.0,88.9,,34.0,34.0,18.9,,34.0,34.0,96.7,,34.0,33.7,202.9,,33.7,34.5,212.2,,34.5,34.0,113.3,,34.0,34.0,119.4,,34.0,34.0,82.5,,34.0,34.0,70.6,,34.0,34.0,49.4,,34.0,34.0,46.4,,34.0,34.0,75.2,,34.0,34.0,59.6,,34.0,0.2,
21/02/2025 1:31:13 PM,300,34.0,85.1,,34.0,3.0,99.2,31.2,34.0,34.0,88.6,,34.0,3.0,99.2,31.2,34.0,34.0,60.3,,34.0,3.0,99.2,31.2,34.0,34.0,64.1,,34.0,34.0,60.2,,34.0,34.0,91.4,,34.0,34.0,90.6,,34.0,34.0,111.7,,34.0,34.0,94.0,,34.0,34.0,110.1,,34.0,34.0,101.2,,34.0,34.0,60.3,,34.0,34.0,82.7,,34.0,34.0,19.0,,34.0,34.0,97.1,,34.0,34.1,202.5,,34.0,34.0,132.3,,34.1,34.0,118.8,,34.0,34.0,123.1,,34.0,34.0,84.6,,34.0,34.0,72.7,,34.0,34.0,50.6,,34.0,34.0,46.6,,34.0,34.0,74.0,,34.0,34.0,59.5,,34.0,1.1,
21/02/2025 1:32:13 PM,360,34.0,85.4,,34.0,3.0,99.2,31.2,34.0,34.0,87.5,,34.0,3.0,99.2,31.2,34.0,34.0,59.0,,34.0,3.0,99.2,31.2,34.0,34.0,62.8,,34.0,34.0,60.0,,34.0,34.0,88.6,,34.0,34.0,91.4,,34.0,34.0,109.7,,34.0,34.0,94.6,,34.0,34.0,105.7,,34.0,34.0,99.5,,34.0,34.0,59.0,,34.0,34.0,87.9,,34.0,34.0,19.5,,34.0,34.0,97.5,,34.0,34.4,202.1,,34.4,34.0,134.6,,34.0,34.0,118.6,,34.0,34.0,125.9,,34.0,34.0,84.2,,34.0,34.0,73.5,,34.0,34.0,52.1,,34.0,34.0,50.9,,34.0,34.0,73.3,,34.0,34.0,61.9,,34.0,0.1,
21/02/2025 1:33:13 PM,420,34.0,84.3,,34.0,3.0,99.2,31.2,34.0,34.0,87.9,,34.0,3.0,99.2,31.2,34.0,34.0,58.6,,34.0,3.0,99.2,31.2,34.0,34.0,62.1,,34.0,34.0,61.7,,34.0,34.0,88.6,,34.0,34.0,92.5,,34.0,34.0,109.9,,34.0,34.0,94.7,,34.0,34.0,102.7,,34.0,34.0,114.7,,34.0,34.0,58.6,,34.0,34.0,85.1,,34.0,34.0,19.0,,34.0,34.0,99.7,,34.0,34.0,147.5,,34.1,34.0,132.3,,34.0,34.0,115.9,,34.0,34.0,123.7,,34.0,34.0,84.6,,34.0,34.0,73.1,,34.0,34.0,54.4,,34.0,34.0,48.4,,34.0,34.0,72.1,,34.0,34.0,60.1,,34.0,1.1,
21/02/2025 1:34:13 PM,480,34.0,83.3,,34.0,3.0,99.2,31.2,34.0,34.0,87.0,,34.0,3.0,99.2,31.2,34.0,34.0,58.9,,34.0,3.0,99.2,31.2,34.0,34.0,61.1,,34.0,34.0,61.5,,34.0,34.0,86.3,,34.0,34.0,91.7,,34.0,34.0,109.9,,34.0,34.0,96.9,,34.0,34.0,105.6,,34.0,34.0,101.1,,34.0,34.0,58.9,,34.0,34.0,85.7,,34.0,34.0,16.8,,34.0,34.0,97.3,,34.0,34.0,147.6,,34.0,34.0,124.4,,34.0,34.0,117.4,,34.0,34.0,125.8,,34.0,34.0,85.3,,34.0,34.0,72.9,,34.0,34.0,52.1,,34.0,34.0,49.1,,34.0,34.0,70.7,,34.0,34.0,60.0,,34.0,0.7,
21/02/2025 1:35:13 PM,540,34.0,84.4,,34.0,3.0,99.2,31.2,34.0,34.0,91.6,,34.0,3.0,99.2,31.2,34.0,34.0,57.9,,34.0,3.0,99.2,31.2,34.0,34.0,60.9,,34.0,34.0,61.2,,34.0,34.0,104.2,,34.0,34.0,92.3,,34.0,34.0,109.9,,34.0,34.0,91.1,,34.0,34.0,101.9,,34.0,34.0,99.6,,34.0,34.0,57.9,,34.0,34.0,85.3,,34.0,34.0,19.2,,34.0,34.0,98.1,,34.0,34.0,152.2,,34.0,34.0,132.6,,34.0,34.0,117.0,,34.0,34.0,126.0,,34.0,34.0,84.3,,34.0,34.0,75.7,,34.0,34.0,52.3,,34.0,34.0,50.4,,34.0,34.0,73.2,,34.0,34.0,60.1,,34.0,0.3,
21/02/2025 1:36:13 PM,600,34.0,83.3,,34.0,3.0,99.2,31.2,34.0,34.0,87.3,,34.0,3.0,99.2,31.2,34.0,34.0,58.2,,34.0,3.0,99.2,31.2,34.0,34.0,62.9,,34.0,34.0,61.8,,34.0,34.0,88.6,,34.0,34.0,92.5,,34.0,34.0,106.8,,34.0,34.0,92.9,,34.0,34.0,102.1,,34.0,34.0,98.7,,34.0,34.0,58.2,,34.0,34.0,84.8,,34.0,34.0,19.0,,34.0,34.0,100.7,,34.0,34.0,149.1,,34.0,34.0,126.6,,34.0,34.0,115.3,,34.0,34.0,127.0,,34.0,34.0,84.8,,34.0,34.0,75.5,,34.0,34.0,51.8,,34.0,34.0,49.0,,34.0,34.0,72.2,,34.0,34.0,62.5,,34.0,0.4,
21/02/2025 1:37:13 PM,660,34.0,82.5,,34.0,3.0,99.2,31.2,34.0,34.0,85.4,,34.0,3.0,99.2,31.2,34.0,34.0,56.6,,34.0,3.0,99.2,31.2,34.0,34.0,62.2,,34.0,34.0,61.7,,34.0,34.0,87.8,,34.0,34.0,89.6,,34.0,34.0,103.0,,34.0,34.0,94.0,,34.0,34.0,98.4,,34.0,34.0,96.5,,34.0,34.0,56.6,,34.0,34.0,84.0,,34.0,34.0,18.7,,34.0,34.0,102.9,,34.0,34.0,154.0,,34.0,34.0,129.1,,34.0,34.0,117.6,,34.0,34.0,125.0,,34.0,34.0,84.3,,34.0,34.0,75.4,,34.0,34.0,51.4,,34.0,34.0,48.3,,34.0,34.0,73.3,,34.0,34.0,60.8,,34.0,0.8,
21/02/2025 1:38:13 PM,720,34.0,82.6,,34.0,3.0,99.2,31.2,34.0,34.0,86.1,,34.0,3.0,99.2,31.2,34.0,34.0,59.1,,34.0,3.0,99.2,31.2,34.0,34.0,63.9,,34.0,34.0,60.2,,34.0,34.0,88.6,,34.0,34.0,91.1,,34.0,34.0,103.5,,34.0,34.0,95.9,,34.0,34.0,94.6,,34.0,34.0,96.8,,34.0,34.0,59.1,,34.0,34.0,81.7,,34.0,34.0,18.7,,34.0,34.0,99.8,,34.0,34.0,153.9,,34.0,34.0,134.8,,34.0,34.0,118.7,,34.0,34.0,122.9,,34.0,34.0,84.5,,34.0,34.0,77.0,,34.0,34.0,52.7,,34.0,34.0,49.0,,34.0,34.0,71.8,,34.0,34.0,60.3,,34.0,0.2,
21/02/2025 1:39:13 PM,780,34.0,83.0,,34.0,3.0,99.2,31.2,34.0,34.0,86.4,,34.0,3.0,99.2,31.2,34.0,34.0,59.3,,34.0,3.0,99.2,31.2,34.0,34.0,62.3,,34.0,34.0,62.5,,34.0,34.0,88.1,,34.0,34.0,91.4,,34.0,34.0,104.7,,34.0,34.0,92.7,,34.0,34.0,100.6,,34.0,34.0,98.8,,34.0,34.0,59.3,,34.0,34.0,82.6,,34.0,34.0,18.7,,34.0,34.0,101.3,,34.0,34.0,150.0,,34.0,34.0,130.1,,34.0,34.0,117.9,,34.0,34.0,123.1,,34.0,34.0,85.6,,34.0,34.0,77.6,,34.0,34.0,53.1,,34.0,34.0,50.0,,34.0,34.0,69.9,,34.0,34.0,61.0,,34.0,0.4,
21/02/2025 1:40:13 PM,840,34.0,83.1,,34.0,3.0,99.2,31.2,34.0,34.0,86.5,,34.0,3.0,99.2,31.2,34.0,34.0,57.7,,34.0,3.0,99.2,31.2,34.0,34.0,63.4,,34.0,34.0,60.8,,34.0,34.0,87.5,,34.0,34.0,89.7,,34.0,34.0,107.9,,34.0,34.0,96.7,,34.0,34.0,99.4,,34.0,34.0,98.1,,34.0,34.0,57.7,,34.0,34.0,83.4,,34.0,34.0,18.2,,34.0,34.0,98.5,,34.0,34.0,155.7,,34.0,34.0,131.0,,34.0,34.0,117.6,,34.0,34.0,127.0,,34.0,34.0,84.9,,34.0,34.0,75.6,,34.0,34.0,52.3,,34.0,34.0,49.6,,34.0,34.0,70.9,,34.0,34.0,60.0,,34.0,0.2,
21/02/2025 1:41:13 PM,900,34.0,84.0,,34.0,3.0,99.2,31.2,34.0,34.0,86.5,,34.0,3.0,99.2,31.2,34.0,34.0,59.3,,34.0,3.0,99.2,31.2,34.0,34.0,59.7,,34.0,34.0,60.9,,34.0,34.0,88.7,,34.0,34.0,91.1,,34.0,34.0,107.0,,34.0,34.0,95.7,,34.0,34.0,98.9,,34.0,34.0,97.1,,34.0,34.0,59.3,,34.0,34.0,82.5,,34.0,34.0,19.2,,34.0,34.0,98.9,,34.0,34.0,152.7,,34.0,34.0,127.3,,34.0,34.0,119.4,,34.0,34.0,128.9,,34.0,34.0,84.9,,34.0,34.0,76.0,,34.0,34.0,71.8,,34.0,34.0,51.1,,34.0,34.0,71.3,,34.0,34.0,61.1,,34.0,0.7,
21/02/2025 1:42:13 PM,960,34.0,82.9,,34.0,3.0,99.2,31.2,34.0,34.0,87.2,,34.0,3.0,99.2,31.2,34.0,34.0,58.6,,34.0,3.0,99.2,31.2,34.0,34.0,63.2,,34.0,34.0,62.4,,34.0,34.0,88.0,,34.0,34.0,93.7,,34.0,34.0,105.4,,34.0,34.0,93.6,,34.0,34.0,98.7,,34.0,34.0,96.5,,34.0,34.0,58.6,,34.0,34.0,82.0,,34.0,34.0,19.9,,34.0,34.0,99.4,,34.0,34.0,148.8,,34.0,34.0,127.1,,34.0,34.0,119.9,,34.0,34.0,125.7,,34.0,34.0,83.9,,34.0,34.0,76.7,,34.0,34.0,54.0,,34.0,34.0,49.2,,34.0,34.0,70.1,,34.0,34.0,61.4,,34.0,0.7,
