Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
22/02/2025 7:40:44 PM,0,34.0,87.8,,34.0,3.0,99.2,31.2,34.0,34.0,88.3,,34.0,3.0,99.2,31.2,34.0,34.0,61.0,,34.0,3.0,99.2,31.2,34.0,34.0,65.2,,34.0,34.0,62.8,,34.0,34.0,88.7,,34.0,34.0,90.2,,34.0,34.0,111.7,,34.0,34.0,96.8,,34.0,34.0,97.1,,34.0,34.0,89.1,,34.0,34.0,61.0,,34.0,34.0,80.1,,34.0,34.0,28.3,,34.0,34.0,127.8,,34.0,34.0,173.5,,34.0,34.0,148.6,,34.0,34.0,134.0,,34.0,34.0,130.1,,34.0,34.0,97.6,,34.0,34.0,76.6,,34.0,34.0,60.1,,34.0,34.0,55.8,,34.0,34.0,82.4,,34.0,34.0,65.9,,34.0,0.1,
22/02/2025 7:41:44 PM,60,34.0,91.6,,34.0,3.0,99.2,31.2,34.0,34.0,90.3,,34.0,3.0,99.2,31.2,34.0,34.0,65.6,,34.0,3.0,99.2,31.2,34.0,34.0,66.4,,34.0,34.0,61.8,,34.0,34.0,90.3,,34.0,34.0,89.6,,34.0,34.0,119.2,,34.0,34.0,106.6,,34.0,34.0,101.8,,34.0,34.0,90.4,,34.0,34.0,65.6,,34.0,34.0,83.9,,34.0,34.0,28.7,,34.0,34.0,135.3,,34.0,34.1,183.9,,34.0,34.0,155.1,,34.0,34.0,127.7,,34.0,34.0,140.5,,34.0,34.0,104.4,,34.0,34.0,81.5,,34.0,34.0,63.9,,34.0,34.0,59.0,,34.0,34.0,86.4,,34.0,34.0,68.6,,34.0,2.3,
22/02/2025 7:42:44 PM,120,34.0,92.5,,34.0,3.0,99.2,31.2,34.0,34.0,91.6,,34.0,3.0,99.2,31.2,34.0,34.0,64.2,,34.0,3.0,99.2,31.2,34.0,34.0,65.5,,34.0,34.0,61.7,,34.0,34.0,93.4,,34.0,34.0,90.8,,34.0,34.0,120.4,,34.0,34.0,108.3,,34.0,34.0,105.7,,34.0,34.0,94.1,,34.0,34.0,64.2,,34.0,34.0,84.1,,34.0,34.0,29.2,,34.0,34.0,142.9,,34.0,34.1,167.4,,34.0,34.0,151.6,,34.0,34.0,129.1,,34.0,34.0,136.5,,34.0,34.0,106.0,,34.0,34.0,83.7,,34.0,34.0,63.7,,34.0,34.0,59.5,,34.0,34.0,88.5,,34.0,34.0,70.1,,34.0,0.2,
22/02/2025 7:43:44 PM,180,34.0,93.1,,34.0,3.0,99.2,31.2,34.0,34.0,91.2,,34.0,3.0,99.2,31.2,34.0,34.0,64.8,,34.0,3.0,99.2,31.2,34.0,34.0,64.6,,34.0,34.0,62.0,,34.0,34.0,89.9,,34.0,34.0,89.7,,34.0,34.0,124.2,,34.0,34.0,110.4,,34.0,34.0,106.3,,34.0,34.0,91.1,,34.0,34.0,64.8,,34.0,34.0,84.6,,34.0,34.0,30.2,,34.0,34.0,138.3,,34.0,34.0,201.7,,33.9,34.0,162.5,,34.0,34.0,129.0,,34.0,34.0,139.8,,34.0,34.0,101.7,,34.0,34.0,80.7,,34.0,34.0,63.3,,34.0,34.0,59.7,,34.0,34.0,86.9,,34.0,34.0,70.1,,34.0,0.6,
22/02/2025 7:44:44 PM,240,34.0,94.6,,34.0,3.0,99.2,31.2,34.0,34.0,91.9,,34.0,3.0,99.2,31.1,34.0,34.0,65.5,,34.0,3.0,99.2,31.2,34.0,34.0,64.6,,34.0,34.0,61.4,,34.0,34.0,90.7,,34.0,34.0,90.8,,34.0,34.0,125.4,,34.0,34.0,112.2,,34.0,34.0,106.4,,34.0,34.0,93.9,,34.0,34.0,65.5,,34.0,34.0,86.7,,34.0,34.0,30.9,,34.0,34.0,138.3,,34.0,34.0,202.3,,34.0,34.0,166.0,,34.0,34.0,133.8,,34.0,34.0,144.6,,34.0,34.0,104.9,,34.0,34.0,83.8,,34.0,34.0,64.3,,34.0,34.0,61.1,,34.0,34.0,88.1,,34.0,34.0,69.8,,34.0,0.4,
22/02/2025 7:45:44 PM,300,34.0,94.7,,34.0,3.0,99.2,31.2,34.0,34.0,91.0,,34.0,3.0,99.2,31.2,34.0,34.0,66.5,,34.0,3.0,99.2,31.2,34.0,34.0,65.1,,34.0,34.0,60.9,,34.0,34.0,92.0,,34.0,34.0,88.5,,34.0,34.0,122.5,,34.0,34.0,111.4,,34.0,34.0,107.4,,34.0,34.0,93.6,,34.0,34.0,66.5,,34.0,34.0,87.0,,34.0,34.0,30.6,,34.0,34.0,136.5,,34.0,34.0,202.5,,34.0,34.0,172.8,,34.0,34.0,139.0,,34.0,34.0,148.7,,34.0,34.0,103.0,,34.0,34.0,82.2,,34.0,34.0,64.4,,34.0,34.0,61.6,,34.0,34.0,89.9,,34.0,34.0,67.4,,34.0,1.0,
22/02/2025 7:46:44 PM,360,34.0,95.2,,34.0,3.0,99.2,31.2,34.0,34.0,92.5,,34.0,3.0,99.2,31.2,34.0,34.0,66.8,,34.0,3.0,99.2,31.2,34.0,34.0,64.9,,34.0,34.0,62.8,,34.0,34.0,91.1,,34.0,34.0,92.3,,34.0,34.0,124.8,,34.0,34.0,114.9,,34.0,34.0,107.9,,34.0,34.0,94.4,,34.0,34.0,66.8,,34.0,34.0,86.6,,34.0,34.0,30.6,,34.0,34.0,139.5,,34.0,34.0,196.0,,34.0,34.0,169.6,,34.0,34.0,136.7,,34.0,34.0,146.9,,34.0,34.0,106.7,,34.0,34.0,83.4,,34.0,34.0,64.6,,34.0,34.0,63.8,,34.0,34.0,86.6,,34.0,34.0,66.4,,34.0,0.1,
22/02/2025 7:47:44 PM,420,34.0,94.7,,34.0,3.0,99.2,31.2,34.0,34.0,91.5,,34.0,3.0,99.2,31.2,34.0,34.0,66.2,,34.0,3.0,99.2,31.2,34.0,34.0,65.8,,34.0,34.0,61.6,,34.0,34.0,90.7,,34.0,34.0,90.7,,34.0,34.0,122.9,,34.0,34.0,110.3,,34.0,34.0,106.2,,34.0,34.0,93.0,,34.0,34.0,66.2,,34.0,34.0,84.5,,34.0,34.0,30.8,,34.0,34.0,134.7,,34.0,34.0,202.0,,34.0,34.0,172.4,,34.0,34.0,143.5,,34.0,34.0,150.8,,34.0,34.0,104.7,,34.0,34.0,82.1,,34.0,34.0,65.2,,34.0,34.0,62.7,,34.0,34.0,85.3,,34.0,34.0,70.0,,34.0,0.3,
22/02/2025 7:48:44 PM,480,34.0,95.2,,34.0,3.0,99.2,31.2,34.0,34.0,90.3,,34.0,3.0,99.2,31.2,34.0,34.0,65.9,,34.0,3.0,99.2,31.2,34.0,34.0,65.1,,34.0,34.0,59.4,,34.0,34.0,89.9,,34.0,34.0,88.2,,34.0,34.0,123.1,,34.0,34.0,112.6,,34.0,34.0,106.1,,34.0,34.0,92.9,,34.0,34.0,65.9,,34.0,34.0,86.2,,34.0,34.0,29.5,,34.0,34.0,134.6,,34.0,33.9,202.6,,34.0,34.0,175.9,,34.0,34.0,152.6,,34.0,34.0,157.3,,34.0,34.0,104.5,,34.0,34.0,82.2,,34.0,34.0,64.6,,34.0,34.0,61.9,,34.0,34.0,86.7,,34.0,34.0,70.8,,34.0,0.6,
