Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
24/02/2025 12:22:11 PM,0,34.0,77.7,,34.0,3.0,99.2,31.2,34.0,34.0,82.5,,34.0,3.0,99.2,31.2,34.0,34.0,46.0,,34.0,3.0,99.2,31.2,34.0,34.0,65.0,,34.0,34.0,64.7,,34.0,34.0,91.7,,34.0,34.0,94.3,,34.0,34.0,78.4,,34.0,34.0,80.9,,34.0,34.0,99.4,,34.0,34.0,92.7,,34.0,34.0,46.0,,34.0,34.0,72.2,,34.0,34.0,23.7,,34.0,34.0,176.4,,34.0,34.0,135.2,,34.0,34.0,119.6,,34.0,34.0,90.4,,34.0,34.0,104.5,,34.0,34.0,70.6,,34.0,34.0,70.6,,34.0,34.0,46.4,,34.0,34.0,43.8,,34.0,34.0,57.4,,34.0,34.0,53.4,,34.0,0.3,
24/02/2025 12:23:11 PM,60,34.0,80.8,,34.0,3.0,99.2,31.2,34.0,34.0,81.8,,34.0,3.0,99.2,31.2,34.0,34.0,46.3,,34.0,3.0,99.2,31.2,34.0,34.0,64.3,,34.0,34.0,63.7,,34.0,34.0,89.0,,34.0,34.0,95.2,,34.0,34.0,78.4,,34.0,34.0,86.6,,34.0,34.0,132.6,,34.0,34.0,92.1,,34.0,34.0,46.3,,34.0,34.0,72.3,,34.0,34.0,24.0,,34.0,33.9,193.7,,33.9,34.0,134.3,,34.0,34.0,128.0,,34.0,34.0,85.8,,34.0,34.0,106.4,,34.0,34.0,66.8,,34.0,34.0,71.3,,34.0,34.0,48.1,,34.0,34.0,47.1,,34.0,34.0,59.3,,34.0,34.0,57.6,,34.0,1.1,
24/02/2025 12:24:11 PM,120,34.0,79.0,,34.0,3.0,99.2,31.1,34.0,34.0,81.8,,34.0,3.0,99.2,31.2,34.0,34.0,46.9,,34.0,3.0,99.2,31.2,34.0,34.0,63.7,,34.0,34.0,66.1,,34.0,34.0,89.1,,34.0,34.0,94.1,,34.0,34.0,78.4,,34.0,34.0,86.3,,34.0,34.0,97.0,,34.0,34.0,89.9,,34.0,34.0,46.9,,34.0,34.0,75.0,,34.0,34.0,25.6,,34.0,33.8,193.7,,33.8,34.0,139.1,,34.0,34.0,119.6,,34.0,34.0,90.2,,34.0,34.0,104.0,,34.0,34.0,67.2,,34.0,34.0,73.1,,34.0,34.0,48.6,,34.0,34.0,47.6,,34.0,34.0,59.3,,34.0,34.0,57.3,,34.0,0.1,
24/02/2025 12:25:11 PM,180,34.0,79.0,,34.0,3.0,99.2,31.1,34.0,34.0,81.5,,34.0,3.0,99.2,31.2,34.0,34.0,46.4,,34.0,3.0,99.2,31.2,34.0,34.0,64.4,,34.0,34.0,64.8,,34.0,34.0,89.9,,34.0,34.0,92.6,,34.0,34.0,78.4,,34.0,34.0,84.4,,34.0,34.0,98.7,,34.0,34.0,90.1,,34.0,34.0,46.4,,34.0,34.0,70.5,,34.0,34.0,26.4,,34.0,33.8,193.9,,33.8,34.0,142.2,,34.0,34.0,123.4,,34.0,34.0,90.7,,34.0,34.0,105.6,,34.0,34.0,68.4,,34.0,34.0,72.5,,34.0,34.0,53.6,,34.0,34.0,49.2,,34.0,34.0,57.0,,34.0,34.0,55.4,,34.0,0.0,
24/02/2025 12:26:11 PM,240,34.0,79.1,,34.0,3.0,99.2,31.1,34.0,34.0,82.0,,34.0,3.0,99.2,31.2,34.0,34.0,47.2,,34.0,3.0,99.2,31.2,34.0,34.0,65.4,,34.0,34.0,63.1,,34.0,34.0,91.2,,34.0,34.0,93.5,,34.0,34.0,78.4,,34.0,34.0,84.5,,34.0,34.0,98.7,,34.0,34.0,92.9,,34.0,34.0,47.2,,34.0,34.0,72.8,,34.0,34.0,26.4,,34.0,33.7,193.9,,33.7,34.0,140.6,,34.0,34.0,117.0,,34.0,34.0,90.1,,34.0,34.0,103.9,,34.0,34.0,68.9,,34.0,34.0,72.1,,34.0,34.0,49.2,,34.0,34.0,47.3,,34.0,34.0,58.3,,34.0,34.0,58.1,,34.0,0.1,
24/02/2025 12:27:11 PM,300,34.0,79.5,,34.0,3.0,99.2,31.1,34.0,34.0,82.2,,34.0,3.0,99.2,31.2,34.0,34.0,46.0,,34.0,3.0,99.2,31.2,34.0,34.0,65.1,,34.0,34.0,65.9,,34.0,34.0,90.0,,34.0,34.0,94.2,,34.0,34.0,78.4,,34.0,34.0,85.1,,34.0,34.0,96.0,,34.0,34.0,91.5,,34.0,34.0,46.0,,34.0,34.0,73.4,,34.0,34.0,26.3,,34.0,33.7,193.9,,33.7,34.0,140.5,,34.0,34.0,127.3,,34.0,34.0,91.2,,34.0,34.0,106.8,,34.0,34.0,70.1,,34.0,34.0,72.7,,34.0,34.0,50.6,,34.0,34.0,46.7,,34.0,34.0,60.0,,34.0,34.0,57.1,,34.0,0.6,
24/02/2025 12:28:11 PM,360,34.0,79.6,,34.0,3.0,99.2,31.1,34.0,34.0,82.9,,34.0,3.0,99.2,31.2,34.0,34.0,44.8,,34.0,3.0,99.2,31.2,34.0,34.0,64.4,,34.0,34.0,65.3,,34.0,34.0,92.1,,34.0,34.0,95.5,,34.0,34.0,78.4,,34.0,34.0,88.4,,34.0,34.0,97.4,,34.0,34.0,89.3,,34.0,34.0,44.8,,34.0,34.0,72.0,,34.0,34.0,26.7,,34.0,33.6,193.9,,33.6,34.0,137.6,,34.0,34.0,119.8,,34.0,34.0,91.5,,34.0,34.0,110.5,,34.0,34.0,68.6,,34.0,34.0,74.7,,34.0,34.0,50.6,,34.0,34.0,47.8,,34.0,34.0,58.1,,34.0,34.0,58.4,,34.0,0.0,
24/02/2025 12:29:11 PM,420,34.0,80.2,,34.0,3.0,99.2,31.1,34.0,34.0,83.0,,34.0,3.0,99.2,31.2,34.0,34.0,45.6,,34.0,3.0,99.2,31.2,34.0,34.0,64.8,,34.0,34.0,65.4,,34.0,34.0,91.7,,34.0,34.0,94.9,,34.0,34.0,79.7,,34.0,34.0,84.0,,34.0,34.0,98.8,,34.0,34.0,95.7,,34.0,34.0,45.6,,34.0,34.0,72.7,,34.0,34.0,28.8,,34.0,33.5,194.0,,33.5,34.0,140.9,,34.0,34.0,125.6,,34.0,34.0,86.5,,34.0,34.0,107.9,,34.0,34.0,71.5,,34.0,34.0,73.5,,34.0,34.0,52.4,,34.0,34.0,48.4,,34.0,34.0,58.4,,34.0,34.0,56.7,,34.0,0.5,
24/02/2025 12:30:11 PM,480,34.0,80.0,,34.0,3.0,99.2,31.1,34.0,34.0,82.8,,34.0,3.0,99.2,31.2,34.0,34.0,46.3,,34.0,3.0,99.2,31.2,34.0,34.0,64.4,,34.0,34.0,65.6,,34.0,34.0,90.5,,34.0,34.0,95.7,,34.0,34.0,79.6,,34.0,34.0,87.4,,34.0,34.0,96.8,,34.0,34.0,93.2,,34.0,34.0,46.3,,34.0,34.0,74.0,,34.0,34.0,27.2,,34.0,33.5,194.0,,33.5,34.0,141.7,,34.0,34.0,124.4,,34.0,34.0,89.0,,34.0,34.0,108.9,,34.0,34.0,68.5,,34.0,34.0,73.8,,34.0,34.0,50.1,,34.0,34.0,48.5,,34.0,34.0,58.1,,34.0,34.0,59.0,,34.0,0.2,
