Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
24/02/2025 2:30:22 PM,0,34.0,93.8,,34.0,3.0,99.2,31.2,34.0,34.0,89.0,,34.0,3.0,99.2,31.2,34.0,34.0,56.5,,34.0,3.0,99.2,31.2,34.0,34.0,65.5,,34.0,34.0,65.0,,34.0,34.0,95.7,,34.0,34.0,99.8,,34.0,34.0,95.6,,34.0,34.0,94.7,,34.0,34.0,107.3,,34.0,34.0,108.2,,34.0,34.0,56.5,,34.0,34.0,102.6,,34.0,34.0,44.2,,34.0,34.0,148.2,,34.0,34.0,163.6,,34.0,34.0,145.7,,34.0,34.0,111.1,,34.0,34.0,126.4,,34.0,34.0,94.7,,34.0,34.0,95.5,,34.0,34.0,47.7,,34.0,34.0,48.2,,34.0,34.0,112.3,,34.0,34.0,92.9,,34.0,0.7,
24/02/2025 2:31:21 PM,60,34.0,95.4,,34.0,3.0,99.2,31.2,34.0,34.0,89.1,,34.0,3.0,99.2,31.2,34.0,34.0,57.1,,34.0,3.0,99.2,31.2,34.0,34.0,65.6,,34.0,34.0,61.1,,34.0,34.0,93.1,,34.0,34.0,98.9,,34.0,34.0,101.8,,34.0,34.0,98.5,,34.0,34.0,109.6,,34.0,34.0,107.8,,34.0,34.0,57.1,,34.0,34.0,106.0,,34.0,34.0,44.6,,34.0,34.0,147.3,,34.0,34.0,185.0,,34.0,34.0,146.1,,34.0,34.0,116.2,,34.0,34.0,132.5,,34.0,34.0,95.0,,34.0,34.0,97.6,,34.0,34.0,48.0,,34.0,34.0,48.1,,34.0,34.0,111.6,,34.0,34.0,92.7,,34.0,0.2,
24/02/2025 2:32:21 PM,120,34.0,95.2,,34.0,3.0,99.2,31.2,34.0,34.0,89.4,,34.0,3.0,99.2,31.2,34.0,34.0,57.3,,34.0,3.0,99.2,31.2,34.0,34.0,64.5,,34.0,34.0,64.4,,34.0,34.0,95.2,,34.0,34.0,98.8,,34.0,34.0,99.6,,34.0,34.0,99.0,,34.0,34.0,109.7,,34.0,34.0,108.8,,34.0,34.0,57.3,,34.0,34.0,105.3,,34.0,34.0,42.4,,34.0,34.0,147.6,,34.0,34.0,177.3,,34.0,34.0,147.5,,34.0,34.0,117.5,,34.0,34.0,127.7,,34.0,34.0,96.3,,34.0,34.0,97.9,,34.0,34.0,48.0,,34.0,34.0,48.5,,34.0,34.0,110.4,,34.0,34.0,93.1,,34.0,0.4,
24/02/2025 2:33:21 PM,180,34.0,93.7,,34.0,3.0,99.2,31.2,34.0,34.0,89.7,,34.0,3.0,99.2,31.2,34.0,34.0,53.7,,34.0,3.0,99.2,31.2,34.0,34.0,65.8,,34.0,34.0,64.4,,34.0,34.0,93.8,,34.0,34.0,98.6,,34.0,34.0,101.9,,34.0,34.0,96.8,,34.0,34.0,107.0,,34.0,34.0,106.5,,34.0,34.0,53.7,,34.0,34.0,103.4,,34.0,34.0,42.4,,34.0,34.0,144.2,,34.0,34.0,177.5,,34.0,34.0,143.9,,34.0,34.0,114.7,,34.0,34.0,120.8,,34.0,34.0,95.8,,34.0,34.0,94.8,,34.0,34.0,47.4,,34.0,34.0,48.1,,34.0,34.0,107.7,,34.0,34.0,92.6,,34.0,0.6,
24/02/2025 2:34:21 PM,240,34.0,98.9,,34.0,3.0,99.2,31.2,34.0,34.0,108.6,,34.0,3.0,99.2,31.1,34.0,34.0,56.9,,34.0,3.0,99.2,31.2,34.0,34.0,64.6,,34.0,34.0,64.8,,34.0,34.0,95.7,,34.0,34.0,98.7,,34.0,33.9,180.0,,34.0,34.0,96.4,,34.0,34.0,107.3,,34.0,34.0,106.0,,34.0,34.0,56.9,,34.0,34.0,103.2,,34.0,34.0,42.9,,34.0,34.0,146.5,,34.0,34.0,178.0,,34.0,34.0,144.1,,34.0,34.0,118.6,,34.0,34.0,130.0,,34.0,34.0,95.9,,34.0,34.0,97.9,,34.0,34.0,47.5,,34.0,34.0,39.8,,34.0,34.0,110.0,,34.0,34.0,93.4,,34.0,0.5,
24/02/2025 2:35:21 PM,300,34.0,94.8,,34.0,3.0,99.2,31.2,34.0,34.0,88.5,,34.0,3.0,99.2,31.2,34.0,34.0,58.8,,34.0,3.0,99.2,31.2,34.0,34.0,64.8,,34.0,34.0,64.8,,34.0,34.0,93.9,,34.0,34.0,97.7,,34.0,34.0,98.0,,34.0,34.0,99.3,,34.0,34.0,105.5,,34.0,34.0,105.2,,34.0,34.0,58.8,,34.0,34.0,104.8,,34.0,34.0,42.1,,34.0,34.0,146.7,,34.0,34.0,178.5,,34.0,34.0,143.5,,34.0,34.0,119.6,,34.0,34.0,127.5,,34.0,34.0,96.9,,34.0,34.0,95.8,,34.0,34.0,48.3,,34.0,34.0,54.7,,34.0,34.0,111.8,,34.0,34.0,93.0,,34.0,0.4,
24/02/2025 2:36:21 PM,360,34.0,94.2,,34.0,3.0,99.2,31.2,34.0,34.0,90.3,,34.0,3.0,99.2,31.2,34.0,34.0,57.6,,34.0,3.0,99.2,31.2,34.0,34.0,65.3,,34.0,34.0,65.9,,34.0,34.0,96.3,,34.0,34.0,100.0,,34.0,34.0,99.8,,34.0,34.0,97.8,,34.0,34.0,106.8,,34.0,34.0,107.3,,34.0,34.0,57.6,,34.0,34.0,105.0,,34.0,34.0,41.0,,34.0,34.0,145.9,,34.0,34.0,177.6,,34.0,34.0,142.9,,34.0,34.0,114.9,,34.0,34.0,116.5,,34.0,34.0,95.0,,34.0,34.0,95.7,,34.0,34.0,47.4,,34.0,34.0,48.3,,34.0,34.0,111.9,,34.0,34.0,91.3,,34.0,0.4,
24/02/2025 2:37:21 PM,420,34.0,95.2,,34.0,3.0,99.2,31.2,34.0,34.0,90.1,,34.0,3.0,99.2,31.2,34.0,34.0,57.6,,34.0,3.0,99.2,31.2,34.0,34.0,66.6,,34.0,34.0,65.4,,34.0,34.0,96.5,,34.0,34.0,98.1,,34.0,34.0,100.2,,34.0,34.0,98.3,,34.0,34.0,108.5,,34.0,34.0,106.6,,34.0,34.0,57.6,,34.0,34.0,103.4,,34.0,34.0,43.0,,34.0,34.0,148.6,,34.0,34.0,181.1,,34.0,34.0,143.2,,34.0,34.0,117.0,,34.0,34.0,122.1,,34.0,34.0,95.1,,34.0,34.0,98.8,,34.0,34.0,48.7,,34.0,34.0,50.0,,34.0,34.0,113.8,,34.0,34.0,94.6,,34.0,0.4,
24/02/2025 2:38:21 PM,480,34.0,95.4,,34.0,3.0,99.2,31.2,34.0,34.0,90.4,,34.0,3.0,99.2,31.2,34.0,34.0,58.3,,34.0,3.0,99.2,31.2,34.0,34.0,64.6,,34.0,34.0,65.1,,34.0,34.0,96.4,,34.0,34.0,100.1,,34.0,34.0,100.5,,34.0,34.0,99.5,,34.0,34.0,110.6,,34.0,34.0,107.2,,34.0,34.0,58.3,,34.0,34.0,104.6,,34.0,34.0,44.2,,34.0,34.0,150.0,,34.0,34.0,181.2,,34.0,34.0,144.9,,34.0,34.0,117.5,,34.0,34.0,121.2,,34.0,34.0,93.2,,34.0,34.0,100.2,,34.0,34.0,48.5,,34.0,34.0,47.9,,34.0,34.0,112.7,,34.0,34.0,92.7,,34.0,0.1,
