Manikin #3.4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interval (sec),60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),
24/02/2025 15:34,0,33.9,101.3,,33.9,3,99,31.1,33.9,34,99.4,,34,3,99.2,31.2,34,34,64.1,,34,3,99.2,31.2,34,34,64.6,,34,34,62.4,,34,34,98.5,,34,34,96.3,,34,34,142,,34,34,119,,34,34,113.7,,34,34,81.6,,34,34,64.1,,34,34,96.8,,34,34,31.4,,34,34,125.5,,34,31.4,205.1,,31.4,34,207.2,,34,34,167.1,,34,34,164.4,,34,34,117.7,,34,34,83.3,,34,34,62.2,,34,34,50.2,,34,34,101.3,,34,34,94.9,,34,0.2
24/02/2025 15:35,60,34,94.5,,34,3,99.1,31.1,34,34,93,,34,3,99.2,31.2,34,34,62.3,,34,3,99.2,31.2,34,34,64.3,,34,34,63.2,,34,34,92.7,,34,34,92.1,,34,34,125.6,,34,34,109.9,,34,34,110.7,,34,34,101.1,,34,34,62.3,,34,34,89.4,,34,34,26.5,,34,34,124.6,,34,32,204.4,,32,34,169.9,,34,34,139.1,,34,34,149.4,,34,34,100.2,,34,34,81,,34,34,59.4,,34,34,55.6,,34,34,88,,34,34,70,,34,4.3
24/02/2025 15:36,120,34,92.5,,34,3,99.1,31.1,34,34,89.8,,34,3,99.2,31.2,34,34,62.4,,34,3,99.2,31.2,34,34,64.5,,34,34,61.9,,34,34,91,,34,34,89.5,,34,34,117.3,,34,34,103.7,,34,34,104.2,,34,34,96,,34,34,62.4,,34,34,88.3,,34,34,28.1,,34,34,129,,34,32.6,203.8,,32.5,34,154.7,,34,34,139.4,,34,34,146.6,,34,34,102.1,,34,34,78.8,,34,34,63.2,,34,34,58.8,,34,34,84.2,,34,34,70.6,,34,0.2
24/02/2025 15:37,180,34,92.4,,34,3,99.1,31.1,34,34,89.5,,34,3,99.2,31.2,34,34,62.1,,34,3,99.2,31.2,34,34,64.4,,34,34,62.7,,34,34,89.5,,34,34,92.6,,34,34,113.7,,34,34,98.4,,34,34,102.5,,34,34,96.9,,34,34,62.1,,34,34,86,,34,34,27.2,,34,34,129,,34,32.9,203.7,,33,34,164.6,,34,34,147.2,,34,34,149.1,,34,34,102.1,,34,34,79.3,,34,34,62.5,,34,34,57.5,,34,34,88.9,,34,34,66.7,,34,0.6
24/02/2025 15:38,240,34,91.4,,34,3,99.2,31.1,34,34,89.2,,34,3,99.2,31.2,34,34,63.1,,34,3,99.2,31.2,34,34,65,,34,34,64,,34,34,89.1,,34,34,92.5,,34,34,112,,34,34,99.8,,34,34,101.7,,34,34,96.7,,34,34,63.1,,34,34,86.7,,34,34,26.6,,34,34,108.6,,34,33.2,203.4,,33.2,34,148.1,,34,34,142.9,,34,34,146.1,,34,34,102.3,,34,34,78.5,,34,34,63.3,,34,34,59.2,,34,34,89.6,,34,34,70.7,,34,0.4
24/02/2025 15:39,300,34,91.7,,34,3,99.2,31.1,34,34,89.6,,34,3,99.2,31.2,34,34,63.2,,34,3,99.2,31.2,34,34,63.3,,34,34,62.3,,34,34,90.6,,34,34,93.3,,34,34,113,,34,34,95.6,,34,34,102.1,,34,34,98.1,,34,34,63.2,,34,34,82.5,,34,34,27.4,,34,34,133.8,,34,33.5,203.1,,33.5,34,146.6,,34,34,141.2,,34,34,146.4,,34,34,101.7,,34,34,79.5,,34,34,63.6,,34,34,56.8,,34,34,90.6,,34,34,68.8,,34,0
24/02/2025 15:40,360,34,91.4,,34,3,99.2,31.1,34,34,88.7,,34,3,99.2,31.2,34,34,62.5,,34,3,99.2,31.2,34,34,64.8,,34,34,62.1,,34,34,89.2,,34,34,90.7,,34,34,113,,34,34,99,,34,34,97,,34,34,95.5,,34,34,62.5,,34,34,90.3,,34,34,26.2,,34,34,134.1,,34,33.7,202.8,,33.8,34,137.3,,34,34,142.2,,34,34,140.7,,34,34,100.5,,34,34,79.7,,34,34,63.6,,34,34,57.8,,34,34,91.3,,34,34,70.1,,34,0.1
24/02/2025 15:41,420,34,91.2,,34,3,99.2,31.2,34,34,88.9,,34,3,99.2,31.2,34,34,64,,34,3,99.2,31.2,34,34,65.1,,34,34,61.7,,34,34,89.3,,34,34,91.7,,34,34,112.7,,34,34,98.9,,34,34,98.5,,34,34,95.1,,34,34,64,,34,34,84.7,,34,34,26.9,,34,34,132.9,,34,33.9,202.6,,33.9,34,141.7,,34,34,136.9,,34,34,141.9,,34,34,102.1,,34,34,80.9,,34,34,62.9,,34,34,58.2,,34,34,90.2,,34,34,69.9,,34,0.1
24/02/2025 15:42,480,34,89.9,,34,3,99.2,31.2,34,34,85.8,,34,3,99.2,31.2,34,34,63.7,,34,3,99.2,31.2,34,34,64.5,,34,34,62,,34,34,90.6,,34,34,82.6,,34,34,108.2,,34,34,99.7,,34,34,102.4,,34,34,97.2,,34,34,63.7,,34,34,84.7,,34,34,29.4,,34,34,135.8,,34,34.2,202.4,,34.2,34,132.8,,34,34,128,,34,34,129.2,,34,34,99.8,,34,34,79.5,,34,34,62.9,,34,34,58.4,,34,34,88.8,,34,34,69.3,,34,0.6
