Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
24/02/2025 2:55:36 PM,0,34.0,94.6,,34.0,3.0,99.2,31.2,34.0,34.0,90.1,,34.0,3.0,99.2,31.2,34.0,34.0,57.6,,34.0,3.0,99.2,31.2,34.0,34.0,65.7,,34.0,34.0,64.7,,34.0,34.0,95.4,,34.0,34.0,101.1,,34.0,34.0,98.8,,34.0,34.0,99.7,,34.0,34.0,104.8,,34.0,34.0,107.5,,34.0,34.0,57.6,,34.0,34.0,104.6,,34.0,34.0,42.0,,34.0,34.0,147.0,,34.0,34.0,184.2,,34.0,34.0,143.5,,34.0,34.0,109.4,,34.0,34.0,127.8,,34.0,34.0,94.7,,34.0,34.0,97.2,,34.0,34.0,46.8,,34.0,34.0,47.9,,34.0,34.0,111.2,,34.0,34.0,93.1,,34.0,0.6,
24/02/2025 2:56:36 PM,60,34.0,94.0,,34.0,3.0,99.2,31.2,34.0,34.0,88.9,,34.0,3.0,99.2,31.2,34.0,34.0,58.3,,34.0,3.0,99.2,31.2,34.0,34.0,64.9,,34.0,34.0,63.0,,34.0,34.0,93.1,,34.0,34.0,95.2,,34.0,34.0,104.3,,34.0,34.0,99.7,,34.0,34.0,105.3,,34.0,34.0,104.9,,34.0,34.0,58.3,,34.0,34.0,95.5,,34.0,34.0,33.9,,34.0,34.0,133.1,,34.0,33.9,202.7,,33.9,34.0,170.0,,34.0,34.0,141.8,,34.0,34.0,137.9,,34.0,34.0,100.5,,34.0,34.0,86.5,,34.0,34.0,54.3,,34.0,34.0,46.9,,34.0,34.0,98.7,,34.0,34.0,79.6,,34.0,1.2,
24/02/2025 2:57:37 PM,120,34.0,91.6,,34.0,3.0,99.2,31.2,34.0,34.0,89.1,,34.0,3.0,99.2,31.2,34.0,34.0,58.0,,34.0,3.0,99.2,31.2,34.0,34.0,64.5,,34.0,34.0,63.1,,34.0,34.0,92.6,,34.0,34.0,93.4,,34.0,34.0,107.7,,34.0,34.0,99.5,,34.0,34.0,102.0,,34.0,34.0,101.4,,34.0,34.0,58.0,,34.0,34.0,90.6,,34.0,34.0,28.6,,34.0,34.0,120.3,,34.0,33.9,202.6,,33.9,34.0,166.2,,34.0,34.0,138.1,,34.0,34.0,134.0,,34.0,34.0,101.8,,34.0,34.0,81.6,,34.0,34.0,55.0,,34.0,34.0,47.5,,34.0,34.0,93.4,,34.0,34.0,73.0,,34.0,0.4,
24/02/2025 2:58:36 PM,180,34.0,90.1,,34.0,3.0,99.2,31.2,34.0,34.0,84.5,,34.0,3.0,99.2,31.2,34.0,34.0,58.4,,34.0,3.0,99.2,31.2,34.0,34.0,64.8,,34.0,34.0,64.7,,34.0,34.0,92.3,,34.0,34.0,94.1,,34.0,34.0,86.5,,34.0,34.0,98.5,,34.0,34.0,102.5,,34.0,34.0,99.1,,34.0,34.0,58.4,,34.0,34.0,90.5,,34.0,34.0,29.1,,34.0,34.0,119.5,,34.0,34.0,202.5,,34.0,34.0,163.9,,34.0,34.0,137.7,,34.0,34.0,133.6,,34.0,34.0,101.5,,34.0,34.0,82.0,,34.0,34.0,55.5,,34.0,34.0,47.4,,34.0,34.0,90.6,,34.0,34.0,71.4,,34.0,0.5,
24/02/2025 2:59:36 PM,240,34.0,91.8,,34.0,3.0,99.2,31.2,34.0,34.0,89.7,,34.0,3.0,99.2,31.2,34.0,34.0,57.1,,34.0,3.0,99.2,31.2,34.0,34.0,64.3,,34.0,34.0,65.0,,34.0,34.0,92.1,,34.0,34.0,92.4,,34.0,34.0,110.8,,34.0,34.0,99.5,,34.0,34.0,102.8,,34.0,34.0,99.3,,34.0,34.0,57.1,,34.0,34.0,91.2,,34.0,34.0,29.3,,34.0,34.0,119.9,,34.0,34.0,202.6,,33.9,34.0,173.1,,34.0,34.0,137.3,,34.0,34.0,139.9,,34.0,34.0,101.2,,34.0,34.0,81.7,,34.0,34.0,57.7,,34.0,34.0,45.5,,34.0,34.0,91.5,,34.0,34.0,69.4,,34.0,0.5,
24/02/2025 3:00:36 PM,300,34.0,91.7,,34.0,3.0,99.2,31.2,34.0,34.0,90.0,,34.0,3.0,99.2,31.2,34.0,34.0,57.5,,34.0,3.0,99.2,31.2,34.0,34.0,64.6,,34.0,34.0,63.1,,34.0,34.0,92.9,,34.0,34.0,92.8,,34.0,34.0,111.8,,34.0,34.0,100.9,,34.0,34.0,102.3,,34.0,34.0,100.7,,34.0,34.0,57.5,,34.0,34.0,89.4,,34.0,34.0,28.4,,34.0,34.0,119.7,,34.0,34.0,202.6,,33.9,34.0,169.4,,34.0,34.0,133.6,,34.0,34.0,134.0,,34.0,34.0,103.7,,34.0,34.0,82.9,,34.0,34.0,56.4,,34.0,34.0,46.5,,34.0,34.0,91.6,,34.0,34.0,70.2,,34.0,0.6,
24/02/2025 3:01:36 PM,360,34.0,92.3,,34.0,3.0,99.2,31.1,34.0,34.0,90.2,,34.0,3.0,99.2,31.2,34.0,34.0,60.0,,34.0,3.0,99.2,31.2,34.0,34.0,65.4,,34.0,34.0,65.1,,34.0,34.0,91.9,,34.0,34.0,92.8,,34.0,34.0,112.2,,34.0,34.0,99.0,,34.0,34.0,104.1,,34.0,34.0,100.9,,34.0,34.0,60.0,,34.0,34.0,89.7,,34.0,34.0,27.8,,34.0,34.0,121.5,,34.0,33.9,202.8,,33.8,34.0,175.8,,34.0,34.0,130.0,,34.0,34.0,141.4,,34.0,34.0,103.1,,34.0,34.0,83.2,,34.0,34.0,59.3,,34.0,34.0,46.4,,34.0,34.0,91.4,,34.0,34.0,70.8,,34.0,0.0,
24/02/2025 3:02:36 PM,420,34.0,91.5,,34.0,3.0,99.2,31.1,34.0,34.0,90.8,,34.0,3.0,99.2,31.2,34.0,34.0,58.6,,34.0,3.0,99.2,31.2,34.0,34.0,66.0,,34.0,34.0,63.9,,34.0,34.0,93.6,,34.0,34.0,92.8,,34.0,34.0,113.1,,34.0,34.0,100.3,,34.0,34.0,102.6,,34.0,34.0,101.3,,34.0,34.0,58.6,,34.0,34.0,89.4,,34.0,34.0,26.8,,34.0,34.0,120.5,,34.0,33.9,202.8,,33.8,34.0,168.0,,34.0,34.0,128.4,,34.0,34.0,132.0,,34.0,34.0,103.9,,34.0,34.0,81.2,,34.0,34.0,57.4,,34.0,34.0,46.0,,34.0,34.0,92.4,,34.0,34.0,68.7,,34.0,0.3,
24/02/2025 3:03:36 PM,480,34.0,90.8,,34.0,3.0,99.2,31.1,34.0,34.0,89.4,,34.0,3.0,99.2,31.2,34.0,34.0,58.6,,34.0,3.0,99.2,31.2,34.0,34.0,64.5,,34.0,34.0,62.9,,34.0,34.0,89.8,,34.0,34.0,93.5,,34.0,34.0,112.1,,34.0,34.0,100.0,,34.0,34.0,100.3,,34.0,34.0,99.3,,34.0,34.0,58.6,,34.0,34.0,89.2,,34.0,34.0,27.4,,34.0,34.0,124.0,,34.0,33.8,202.7,,33.8,34.0,167.5,,34.0,34.0,124.1,,34.0,34.0,134.3,,34.0,34.0,103.6,,34.0,34.0,80.5,,34.0,34.0,57.1,,34.0,34.0,45.5,,34.0,34.0,91.1,,34.0,34.0,69.5,,34.0,0.1,
24/02/2025 3:04:36 PM,540,34.0,91.4,,34.0,3.0,99.2,31.1,34.0,34.0,90.4,,34.0,3.0,99.2,31.2,34.0,34.0,60.2,,34.0,3.0,99.2,31.2,34.0,34.0,64.0,,34.0,34.0,63.6,,34.0,34.0,92.8,,34.0,34.0,93.7,,34.0,34.0,112.4,,34.0,34.0,98.8,,34.0,34.0,103.7,,34.0,34.0,100.2,,34.0,34.0,60.2,,34.0,34.0,88.2,,34.0,34.0,27.3,,34.0,34.0,122.0,,34.0,33.9,202.6,,33.8,34.0,166.8,,34.0,34.0,126.2,,34.0,34.0,137.2,,34.0,34.0,103.9,,34.0,34.0,82.6,,34.0,34.0,56.0,,34.0,34.0,46.0,,34.0,34.0,90.6,,34.0,34.0,70.1,,34.0,0.1,
24/02/2025 3:05:36 PM,600,34.0,90.6,,34.0,3.0,99.2,31.1,34.0,34.0,89.3,,34.0,3.0,99.2,31.2,34.0,34.0,58.0,,34.0,3.0,99.2,31.2,34.0,34.0,65.2,,34.0,34.0,63.1,,34.0,34.0,88.5,,34.0,34.0,93.0,,34.0,34.0,113.2,,34.0,34.0,101.2,,34.0,34.0,99.4,,34.0,34.0,99.2,,34.0,34.0,58.0,,34.0,34.0,87.9,,34.0,34.0,27.5,,34.0,34.0,122.0,,34.0,33.8,202.6,,33.8,34.0,166.4,,34.0,34.0,123.5,,34.0,34.0,132.5,,34.0,34.0,101.9,,34.0,34.0,82.5,,34.0,34.0,58.0,,34.0,34.0,46.9,,34.0,34.0,91.3,,34.0,34.0,68.5,,34.0,0.6,
