Manikin #3.4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interval (sec),60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),
25/02/2025 12:22,0,34.4,44.9,,34.4,3.2,99.8,31.6,34.4,34,74.9,,34,3,99.2,31.2,34,34,1.3,,34,3,99.2,31.2,34,34,63.6,,34,34,63.3,,34,34,91.2,,34,34,91.3,,34,34,51.6,,34,34,61.7,,34,34,43.4,,34,34,46.1,,34,34,1.3,,34,38.8,0,,38.8,34,24.1,,34,34,72.3,,34,34,109.9,,34,34,119.9,,34,34,47.6,,34,34,47.5,,34,34,38.5,,34,34,39.4,,34,34,18.9,,34,34,21,,34,34.8,0,,34.8,34.1,0,,34.1,0.4
25/02/2025 12:23,60,34.4,44.4,,34.4,3.2,99.8,31.6,34.4,34,75.4,,34,3,99.2,31.2,34,34,1.4,,34,3,99.2,31.2,34,34,63.6,,34,34,62.1,,34,34,92.9,,34,34,91.8,,34,34,52.3,,34,34,62.8,,34,34,39.6,,34,34,44.1,,34,34,1.4,,34,38.8,0,,38.8,34,23.9,,34,34,74.2,,34,34,107,,34,34,117.3,,34,34,47.1,,34,34,42.7,,34,34,37.6,,34,34,39.4,,34,34,18.7,,34,34,21,,34,34.8,0,,34.8,34.1,0,,34.1,0.1
25/02/2025 12:24,120,34.4,43.5,,34.4,3.3,99.8,31.6,34.4,34,73.9,,34,3,99.2,31.2,34,34,0.5,,34,3,99.2,31.2,34,34,63.3,,34,34,61.9,,34,34,89.3,,34,34,91.4,,34,34,50.2,,34,34,61.1,,34,34,38.7,,34,34,42.3,,34,34,0.5,,34,38.9,0,,38.9,34,23.4,,34,34,73.6,,34,34,104.7,,34,34,111.1,,34,34,47.1,,34,34,43.7,,34,34,37.5,,34,34,38.4,,34,34,19.3,,34,34,21.8,,34,34.8,0,,34.8,34.1,0,,34.1,0.5
25/02/2025 12:25,180,34.4,43.8,,34.4,3.3,99.8,31.6,34.4,34,75.3,,34,3,99.2,31.2,34,34,0,,34,3,99.2,31.1,34,34,64.3,,34,34,62.8,,34,34,93.3,,34,34,91.7,,34,34,50.5,,34,34,61.4,,34,34,35.9,,34,34,39.5,,34,34,0,,34,39,0,,39,34,22.4,,34,34,72.9,,34,34,106.7,,34,34,118.2,,34,34,48.3,,34,34,44,,34,34,38.3,,34,34,38.5,,34,34,18.5,,34,34,22.1,,34,34.9,0,,34.9,34.1,0,,34.1,0.2
25/02/2025 12:26,240,34.4,42.2,,34.4,3.3,99.8,31.7,34.4,34,75.1,,34,3,99.2,31.2,34,34,0,,34,3,99.2,31.2,34,34,64.9,,34,34,62.8,,34,34,91.3,,34,34,91.4,,34,34,51.7,,34,34,61.6,,34,34,35.2,,34,34,37,,34,34,0,,34,39.1,0,,39.1,34,24.2,,34,34,71.2,,34,34,104.5,,34,34,120.6,,34,34,45.9,,34,34,43.2,,34,34,38.3,,34,34,13.6,,34,34,18.5,,34,34,20.7,,34,34.9,0,,34.9,34.1,0,,34.1,0.1
25/02/2025 12:27,300,34.4,44.1,,34.4,3.3,99.8,31.7,34.4,34,74.5,,34,3,99.2,31.2,34,34,0,,34,3,99.3,31.2,34,34,63,,34,34,63.4,,34,34,90.8,,34,34,90.6,,34,34,51.4,,34,34,63.5,,34,34,36.2,,34,34,37.9,,34,34,0,,34,39.2,0,,39.2,34,23.5,,34,34,71,,34,34,109,,34,34,128.3,,34,34,47.1,,34,34,45.9,,34,34,37.6,,34,34,42.9,,34,34,19.3,,34,34,20.6,,34,34.9,0,,34.9,34.2,0,,34.1,0.5
25/02/2025 12:28,360,34.4,43.3,,34.4,3.3,99.8,31.7,34.4,34,75,,34,3,99.2,31.2,34,34,0,,34,3,99.3,31.2,34,34,63.7,,34,34,62.2,,34,34,91.7,,34,34,91.9,,34,34,51.4,,34,34,61.2,,34,34,35.4,,34,34,36.6,,34,34,0,,34,39.3,0,,39.3,34,23.2,,34,34,70.9,,34,34,100.9,,34,34,118.7,,34,34,46.9,,34,34,44.5,,34,34,38.2,,34,34,40.2,,34,34,18.7,,34,34,20.1,,34,35,0,,35,34.2,0,,34.2,0.4
25/02/2025 12:29,420,34.4,44.1,,34.4,3.3,99.8,31.7,34.4,34,76.6,,34,3,99.2,31.2,34,34,0,,34,3,99.3,31.2,34,34,64.5,,34,34,64.3,,34,34,95.2,,34,34,93.3,,34,34,51.4,,34,34,62.2,,34,34,37.2,,34,34,38.1,,34,34,0,,34,39.4,0,,39.4,34,22.7,,34,34,72.7,,34,34,114,,34,34,125.1,,34,34,46.5,,34,34,36.4,,34,34,37.1,,34,34,39.5,,34,34,18.1,,34,34,19.9,,34,35,0,,35,34.2,0,,34.2,0.4
25/02/2025 12:30,480,34.4,44,,34.4,3.3,99.8,31.7,34.4,34,74.7,,34,3,99.2,31.2,34,34,0,,34,3,99.3,31.2,34,34,63.3,,34,34,63.7,,34,34,90.6,,34,34,91.5,,34,34,51.4,,34,34,64.1,,34,34,37,,34,34,38.6,,34,34,0,,34,39.5,0,,39.5,34,23.6,,34,34,71.3,,34,34,110.4,,34,34,121.4,,34,34,47.5,,34,34,44,,34,34,38.4,,34,34,39.4,,34,34,18.6,,34,34,21.8,,34,35.1,0,,35.1,34.3,0,,34.3,0.2
25/02/2025 12:31,540,34.5,44.1,,34.5,3.3,99.8,31.7,34.5,34,75.2,,34,3,99.2,31.2,34,34.1,0,,34.1,3.1,99.3,31.2,34.1,34,63.1,,34,34,64.1,,34,34,92,,34,34,92,,34,34,51.4,,34,34,62.8,,34,34,36.5,,34,34,38.2,,34,34.1,0,,34.1,39.6,0,,39.6,34,23.5,,34,34,72.1,,34,34,107,,34,34,125.9,,34,34,48,,34,34,47.9,,34,34,38.1,,34,34,38.4,,34,34,18.5,,34,34,21.6,,34,35.1,0,,35.1,34.3,0,,34.3,0
25/02/2025 12:32,600,34.5,46.6,,34.5,3.3,99.8,31.7,34.5,34,75.5,,34,3,99.2,31.2,34,34.1,0,,34.1,3.1,99.3,31.2,34.1,34,64.3,,34,34,64.7,,34,34,90.8,,34,34,93.1,,34,34,51.4,,34,34,62.9,,34,34,79.7,,34,34,38.2,,34,34.1,0,,34.1,39.6,0,,39.6,34,23.1,,34,34,71.5,,34,34,112.1,,34,34,122.8,,34,34,47.8,,34,34,45.6,,34,34,37.9,,34,34,39.3,,34,34,19.8,,34,34,20.6,,34,35.2,0,,35.1,34.3,0,,34.3,0.4
25/02/2025 12:33,660,34.5,43.7,,34.5,3.3,99.8,31.7,34.5,34,74.9,,34,3,99.2,31.2,34,34.1,0,,34.1,3.1,99.3,31.2,34.1,34,63.6,,34,34,63.5,,34,34,90.9,,34,34,91.4,,34,34,51.8,,34,34,62.5,,34,34,35.1,,34,34,37.5,,34,34.1,0,,34.1,39.7,0,,39.7,34,23.7,,34,34,73.6,,34,34,105,,34,34,119.8,,34,34,46.6,,34,34,46.7,,34,34,37.4,,34,34,39.9,,34,34,18.5,,34,34,20.9,,34,35.2,0,,35.2,34.3,0,,34.3,0.2
25/02/2025 12:34,720,34.5,43.7,,34.5,3.3,99.8,31.8,34.5,34,75,,34,3,99.2,31.2,34,34.1,0,,34.1,3.1,99.4,31.2,34.1,34,63.5,,34,34,61.7,,34,34,91.6,,34,34,92.1,,34,34,51.8,,34,34,61.6,,34,34,35.8,,34,34,36.3,,34,34.1,0,,34.1,39.8,0,,39.8,34,23.7,,34,34,71.7,,34,34,110.2,,34,34,121.1,,34,34,47,,34,34,45.6,,34,34,37.3,,34,34,39.2,,34,34,19,,34,34,19.9,,34,35.2,0,,35.2,34.3,0,,34.3,0.1
25/02/2025 12:35,780,34.5,43.7,,34.5,3.3,99.8,31.8,34.5,34,75.4,,34,3,99.2,31.2,34,34.1,0,,34.1,3.1,99.5,31.3,34.1,34,62.4,,34,34,63.2,,34,34,92.8,,34,34,92.2,,34,34,51.8,,34,34,60.7,,34,34,32.8,,34,34,40.3,,34,34.1,0,,34.1,39.9,0,,39.9,34,23.7,,34,34,72.9,,34,34,107.4,,34,34,119,,34,34,48.4,,34,34,45,,34,34,37.6,,34,34,39.4,,34,34,17.9,,34,34,20.7,,34,35.3,0,,35.3,34.4,0,,34.4,0
25/02/2025 12:36,840,34.5,42.3,,34.5,3.3,99.9,31.8,34.5,34,69.9,,34,3,99.2,31.1,34,34.1,0,,34.1,3.1,99.5,31.3,34.1,34,63.8,,34,34,61.9,,34,34,92.6,,34,34,90.6,,34,34,30.6,,34,34,60.2,,34,34,35.7,,34,34,38.5,,34,34.1,0,,34.1,39.9,0,,39.9,34,23.5,,34,34,73.1,,34,34,103.6,,34,34,113.8,,34,34,50,,34,34,46.2,,34,34,37.9,,34,34,40.3,,34,34,17.8,,34,34,20.6,,34,35.3,0,,35.3,34.4,0,,34.4,0.8
25/02/2025 12:37,900,34.5,43.7,,34.5,3.3,99.9,31.8,34.5,34,75.3,,34,3,99.2,31.2,34,34.2,0,,34.2,3.1,99.5,31.4,34.2,34,64.3,,34,34,63.6,,34,34,92.4,,34,34,93.1,,34,34,49.4,,34,34,60.1,,34,34,35.6,,34,34,39,,34,34.2,0,,34.2,40,0,,40,34,22,,34,34,69.8,,34,34,110.7,,34,34,124.8,,34,34,46.9,,34,34,44.3,,34,34,37.6,,34,34,39.8,,34,34,17.6,,34,34,20,,34,35.3,0,,35.3,34.4,0,,34.4,0.2
25/02/2025 12:38,960,34.5,43.7,,34.5,3.3,99.9,31.8,34.5,34,75.2,,34,3,99.2,31.2,34,34.2,0,,34.2,3.1,99.5,31.4,34.2,34,63.8,,34,34,65.4,,34,34,91.1,,34,34,93.5,,34,34,49.4,,34,34,61.2,,34,34,36.1,,34,34,37.3,,34,34.2,0,,34.2,40.1,0,,40.1,34,23,,34,34,71.5,,34,34,108.4,,34,34,123.2,,34,34,48.1,,34,34,45.2,,34,34,37.4,,34,34,39.8,,34,34,17.1,,34,34,19.9,,34,35.3,0,,35.3,34.4,0,,34.4,0
25/02/2025 12:39,1020,34.5,43.6,,34.5,3.3,99.9,31.8,34.5,34,74.1,,34,3,99.2,31.2,34,34.2,0,,34.2,3.1,99.6,31.4,34.2,34,63.4,,34,34,62.6,,34,34,90.8,,34,34,91,,34,34,49.4,,34,34,60.8,,34,34,35.3,,34,34,38.7,,34,34.2,0,,34.2,40.2,0,,40.2,34,23.2,,34,34,71.9,,34,34,109.8,,34,34,122.7,,34,34,46.7,,34,34,46,,34,34,38.3,,34,34,40.2,,34,34,17.5,,34,34,20.6,,34,35.4,0,,35.4,34.4,0,,34.4,0.1
25/02/2025 12:40,1080,34.5,43.6,,34.5,3.3,99.9,31.8,34.5,34,75.1,,34,3,99.2,31.2,34,34.2,0,,34.2,3.1,99.6,31.4,34.2,34,64,,34,34,64.5,,34,34,93.4,,34,34,91.3,,34,34,49.4,,34,34,60.2,,34,34,34.8,,34,34,36.7,,34,34.2,0,,34.2,40.2,0,,40.2,34,20.6,,34,34,71.5,,34,34,112.6,,34,34,124.5,,34,34,47,,34,34,47.2,,34,34,37.1,,34,34,39.1,,34,34,21.2,,34,34,18.8,,34,35.4,0,,35.4,34.5,0,,34.5,0.1
25/02/2025 12:41,1140,34.5,44.1,,34.5,3.3,99.9,31.8,34.5,34,74.8,,34,3,99.2,31.2,34,34.2,0,,34.2,3.2,99.6,31.4,34.2,34,62.8,,34,34,63,,34,34,91.9,,34,34,92.4,,34,34,49.8,,34,34,60.6,,34,34,35.7,,34,34,37.8,,34,34.2,0,,34.2,40.3,0,,40.3,34,24.5,,34,34,72.4,,34,34,115.5,,34,34,127.6,,34,34,47.1,,34,34,46.9,,34,34,37.9,,34,34,39.5,,34,34,17.8,,34,34,21,,34,35.5,0,,35.5,34.5,0,,34.5,0.2
25/02/2025 12:42,1200,34.5,43.8,,34.5,3.3,99.9,31.8,34.5,34,75,,34,3,99.2,31.2,34,34.3,0,,34.3,3.2,99.7,31.5,34.3,34,63.7,,34,34,63.7,,34,34,92.2,,34,34,92.1,,34,34,50,,34,34,60.9,,34,34,35.8,,34,34,37.5,,34,34.3,0,,34.3,40.3,0,,40.3,34,23.2,,34,34,73.4,,34,34,116.2,,34,34,122.2,,34,34,48,,34,34,46,,34,34,38,,34,34,39.3,,34,34,15,,34,34,19.4,,34,35.5,0,,35.5,34.5,0,,34.5,0.1
25/02/2025 12:43,1260,34.6,43.6,,34.6,3.3,99.9,31.8,34.6,34,75.4,,34,3,99.2,31.2,34,34.3,0,,34.3,3.2,99.7,31.5,34.3,34,62.5,,34,34,63.6,,34,34,92.7,,34,34,93.3,,34,34,50.5,,34,34,60.1,,34,34,36.7,,34,34,39.2,,34,34.3,0,,34.3,40.4,0,,40.4,34,23.2,,34,34,71.9,,34,34,100.1,,34,34,120.2,,34,34,48,,34,34,46.7,,34,34,38.7,,34,34,39.8,,34,34,16.4,,34,34,19.5,,34,35.5,0,,35.5,34.6,0,,34.6,0.3
25/02/2025 12:44,1320,34.6,43.4,,34.6,3.4,99.9,31.9,34.6,34,75.2,,34,3,99.2,31.2,34,34.3,0,,34.3,3.2,99.7,31.5,34.3,34,63.8,,34,34,61.3,,34,34,92.6,,34,34,92.8,,34,34,50.7,,34,34,60.2,,34,34,35.5,,34,34,37,,34,34.3,0,,34.3,40.4,0,,40.4,34,23.8,,34,34,72.4,,34,34,103.7,,34,34,118.1,,34,34,48.1,,34,34,46.6,,34,34,37.1,,34,34,40,,34,34,16,,34,34,20.5,,34,35.6,0,,35.6,34.6,0,,34.6,0.3
25/02/2025 12:45,1380,34.6,43.1,,34.6,3.4,99.9,31.9,34.6,34,74.3,,34,3,99.2,31.2,34,34.3,0,,34.3,3.2,99.7,31.6,34.3,34,63.7,,34,34,63.5,,34,34,90.2,,34,34,91.1,,34,34,50.3,,34,34,60.4,,34,34,35.1,,34,34,38.2,,34,34.3,0,,34.3,40.5,0,,40.5,34,23.1,,34,34,71.7,,34,34,105.9,,34,34,119,,34,34,48.4,,34,34,45.3,,34,34,37,,34,34,38.3,,34,34,16.2,,34,34,19.9,,34,35.6,0,,35.6,34.6,0,,34.6,0.2
25/02/2025 12:46,1440,34.6,43,,34.6,3.4,99.9,31.9,34.6,34,74.8,,34,3,99.2,31.2,34,34.3,0,,34.3,3.2,99.7,31.6,34.3,34,63.9,,34,34,62.3,,34,34,92.1,,34,34,91.4,,34,34,50.5,,34,34,60.2,,34,34,34,,34,34,39,,34,34.3,0,,34.3,40.5,0,,40.5,34,23.2,,34,34,71.2,,34,34,106.4,,34,34,112.6,,34,34,47.5,,34,34,45.4,,34,34,37.5,,34,34,38.4,,34,34,16.4,,34,34,18.7,,34,35.6,0,,35.6,34.6,0,,34.6,0.1
25/02/2025 12:47,1500,34.6,44.5,,34.6,3.4,99.9,31.9,34.6,34,75.6,,34,3,99.2,31.2,34,34.4,0,,34.4,3.2,99.7,31.6,34.4,34,64,,34,34,63.1,,34,34,93.8,,34,34,92.4,,34,34,50.5,,34,34,60.1,,34,34,34.8,,34,34,37.4,,34,34.4,0,,34.4,40.6,0,,40.6,34,23.5,,34,34,71.5,,34,34,111.3,,34,34,126.1,,34,34,48.3,,34,34,45.9,,34,34,37.6,,34,34,55.4,,34,34,15.7,,34,34,18.7,,34,35.6,0,,35.6,34.6,0,,34.6,0.3
25/02/2025 12:48,1560,34.6,44.2,,34.6,3.4,99.9,31.9,34.6,34,75.2,,34,3,99.2,31.2,34,34.4,0,,34.4,3.3,99.8,31.7,34.4,34,63.2,,34,34,63,,34,34,92.7,,34,34,92.2,,34,34,50.5,,34,34,59.6,,34,34,34.5,,34,34,34.7,,34,34.4,0,,34.4,40.6,0,,40.6,34,23,,34,34,73.2,,34,34,114.8,,34,34,125.6,,34,34,49.2,,34,34,45.7,,34,34,37.7,,34,34,51.9,,34,34,16.9,,34,34,18.4,,34,35.7,0,,35.7,34.6,0,,34.6,0.3
25/02/2025 12:49,1620,34.6,43.4,,34.6,3.4,99.9,31.9,34.6,34,75.7,,34,3,99.2,31.2,34,34.4,0,,34.4,3.3,99.8,31.7,34.4,34,63.9,,34,34,64.5,,34,34,93.9,,34,34,92.1,,34,34,50.5,,34,34,61.1,,34,34,34.9,,34,34,36.5,,34,34.4,0,,34.4,40.7,0,,40.7,34,22.9,,34,34,73.2,,34,34,103.7,,34,34,118,,34,34,48.4,,34,34,46.2,,34,34,36.3,,34,34,38.8,,34,34,17.1,,34,34,18.3,,34,35.7,0,,35.7,34.7,0,,34.7,0.1
25/02/2025 12:50,1680,34.6,43.6,,34.6,3.4,99.9,31.9,34.6,34,74.9,,34,3,99.2,31.2,34,34.4,0,,34.4,3.3,99.8,31.7,34.4,34,64.8,,34,34,63.1,,34,34,91.4,,34,34,91.8,,34,34,50.5,,34,34,60.1,,34,34,32.2,,34,34,36.7,,34,34.4,0,,34.4,40.7,0,,40.7,34,23.2,,34,34,71.2,,34,34,113,,34,34,119.9,,34,34,47.7,,34,34,45.2,,34,34,45.4,,34,34,40.2,,34,34,16.4,,34,34,18.9,,34,35.7,0,,35.7,34.7,0,,34.7,0.1
25/02/2025 12:51,1740,34.6,43.9,,34.6,3.4,99.9,31.9,34.6,34,75.6,,34,3,99.2,31.2,34,34.5,0,,34.5,3.3,99.8,31.8,34.5,34,64.8,,34,34,63.7,,34,34,94,,34,34,91.4,,34,34,50.5,,34,34,60.2,,34,34,32.9,,34,34,35.5,,34,34.5,0,,34.5,40.8,0,,40.8,34,24.7,,34,34,71.2,,34,34,107,,34,34,123.5,,34,34,48.2,,34,34,45.1,,34,34,37,,34,34,50.2,,34,34,16.9,,34,34,17.7,,34,35.8,0,,35.8,34.7,0,,34.7,0.5
25/02/2025 12:52,1800,34.6,43.1,,34.6,3.4,99.9,31.9,34.6,34,75.1,,34,3,99.2,31.2,34,34.5,0,,34.5,3.3,99.8,31.8,34.5,34,64.3,,34,34,63.8,,34,34,91.1,,34,34,92.7,,34,34,50.5,,34,34,59.6,,34,34,35.5,,34,34,36,,34,34.5,0,,34.5,40.8,0,,40.8,34,23,,34,34,70.9,,34,34,103.7,,34,34,123.2,,34,34,48,,34,34,44.8,,34,34,36.5,,34,34,39.3,,34,34,16.1,,34,34,18.2,,34,35.8,0,,35.8,34.7,0,,34.7,0.2
25/02/2025 12:53,1860,34.6,43.3,,34.6,3.4,99.9,31.9,34.6,34,74.8,,34,3,99.2,31.2,34,34.5,0,,34.5,3.3,99.8,31.8,34.5,34,63.1,,34,34,62.9,,34,34,92.3,,34,34,91.3,,34,34,50.5,,34,34,58.8,,34,34,33.3,,34,34,37.8,,34,34.5,0,,34.5,40.9,0,,40.9,34,23.3,,34,34,71.3,,34,34,111.7,,34,34,127.4,,34,34,48.1,,34,34,45.2,,34,34,37.5,,34,34,38.3,,34,34,16,,34,34,18.7,,34,35.8,0,,35.8,34.7,0,,34.7,0
