Manikin #3.4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interval (sec),60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),
27/02/2025 11:37,0,34,59,,34,3,99.2,31.2,34,34,71.5,,34,3,99.2,31.2,34,34,32,,34,3,99.2,31.2,34,34,40.5,,34,34,35.5,,34,34,93.2,,34,34,95.6,,34,34,57.6,,34,34,66.5,,34,34,96.5,,34,34,102.4,,34,34,32,,34,34,45.5,,34,34,26.1,,34,34,69.3,,34,34,104.1,,34,34,128.1,,34,34,50,,34,34,49.5,,34,34,40.2,,34,34,41.7,,34,34,24.7,,34,34,25.6,,34,34,37.2,,34,34,34.9,,34,0
27/02/2025 11:38,60,34,58.6,,34,3,99.2,31.2,34,34,70,,34,3,99.2,31.2,34,34,31.6,,34,3,99.2,31.2,34,34,40.1,,34,34,34.1,,34,34,92.5,,34,34,91.7,,34,34,57.1,,34,34,67.7,,34,34,96,,34,34,103.7,,34,34,31.6,,34,34,45.3,,34,34,26.5,,34,34,69.1,,34,34,105.5,,34,34,114.6,,34,34,50.6,,34,34,48.4,,34,34,42.5,,34,34,41.9,,34,34,25.6,,34,34,24.7,,34,34,36.3,,34,34,35.5,,34,0.8
27/02/2025 11:39,120,34,58.1,,34,3,99.2,31.2,34,34,70.5,,34,3,99.2,31.2,34,34,32.1,,34,3,99.2,31.2,34,34,39.2,,34,34,33.9,,34,34,92.6,,34,34,94,,34,34,57.1,,34,34,65.2,,34,34,97.5,,34,34,101.3,,34,34,32.1,,34,34,45.2,,34,34,25,,34,34,68.1,,34,34,95.6,,34,34,119.9,,34,34,51.9,,34,34,49.4,,34,34,39.7,,34,34,42.2,,34,34,24.5,,34,34,25.9,,34,34,36.2,,34,34,32.5,,34,0.2
27/02/2025 11:40,180,34,57.9,,34,3,99.2,31.2,34,34,70.8,,34,3,99.2,31.2,34,34,31.9,,34,3,99.2,31.2,34,34,40.5,,34,34,36,,34,34,91.9,,34,34,94.2,,34,34,57.1,,34,34,67.2,,34,34,96,,34,34,100.3,,34,34,31.9,,34,34,44.4,,34,34,25.4,,34,34,62.8,,34,34,98,,34,34,118,,34,34,50.8,,34,34,48.5,,34,34,40.9,,34,34,41.9,,34,34,24.5,,34,34,25.4,,34,34,34.5,,34,34,35.2,,34,0.1
27/02/2025 11:41,240,34,58.3,,34,3,99.2,31.2,34,34,70.3,,34,3,99.2,31.2,34,34,30.4,,34,3,99.2,31.2,34,34,40,,34,34,34.7,,34,34,92.1,,34,34,93.3,,34,34,57,,34,34,67.7,,34,34,94.5,,34,34,100.3,,34,34,30.4,,34,34,44.9,,34,34,26,,34,34,69.9,,34,34,95.6,,34,34,117.8,,34,34,51.7,,34,34,50.4,,34,34,36.1,,34,34,40.5,,34,34,23.3,,34,34,38.5,,34,34,36.9,,34,34,34.6,,34,0
27/02/2025 11:42,300,34,57.5,,34,3,99.2,31.2,34,34,66.5,,34,3,99.2,31.2,34,34,32.6,,34,3,99.2,31.2,34,34,38.8,,34,34,33.8,,34,34,95,,34,34,95.6,,34,34,36.2,,34,34,66,,34,34,97.5,,34,34,100.1,,34,34,32.6,,34,34,43.5,,34,34,26.4,,34,34,69.1,,34,34,104.9,,34,34,122.9,,34,34,50.4,,34,34,49.3,,34,34,41,,34,34,43.7,,34,34,25,,34,34,24.1,,34,34,35.9,,34,34,34.9,,34,1
27/02/2025 11:43,360,34,57.6,,34,3,99.2,31.2,34,34,68.2,,34,3,99.2,31.2,34,34,30.9,,34,3,99.2,31.2,34,34,39.8,,34,34,35.5,,34,34,91.3,,34,34,84.7,,34,34,57.8,,34,34,66.2,,34,34,95.5,,34,34,100.5,,34,34,30.9,,34,34,43.9,,34,34,26.1,,34,34,69.4,,34,34,104.9,,34,34,115.5,,34,34,50.1,,34,34,50.6,,34,34,39.6,,34,34,44.8,,34,34,24.6,,34,34,25.1,,34,34,33.4,,34,34,35.1,,34,1.1
27/02/2025 11:44,420,34,57.2,,34,3,99.2,31.2,34,34,70.2,,34,3,99.2,31.2,34,34,30.4,,34,3,99.2,31.2,34,34,39,,34,34,34.9,,34,34,90.7,,34,34,95,,34,34,56.8,,34,34,66.6,,34,34,91.3,,34,34,100,,34,34,30.4,,34,34,44.8,,34,34,25.7,,34,34,66.6,,34,34,102.5,,34,34,131.6,,34,34,50.1,,34,34,49.2,,34,34,40,,34,34,28.1,,34,34,24,,34,34,25,,34,34,34.8,,34,34,32.9,,34,0.6
27/02/2025 11:45,480,34,57.9,,34,3,99.2,31.2,34,34,70.6,,34,3,99.2,31.2,34,34,31.3,,34,3,99.2,31.2,34,34,40.3,,34,34,34.5,,34,34,93.9,,34,34,92.8,,34,34,56.8,,34,34,66.4,,34,34,94,,34,34,97.8,,34,34,31.3,,34,34,44.1,,34,34,26.2,,34,34,68.9,,34,34,101.5,,34,34,122.8,,34,34,50,,34,34,50.2,,34,34,40.3,,34,34,40.9,,34,34,23.9,,34,34,25.4,,34,34,34.4,,34,34,34.6,,34,0.1
