Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
28/02/2025 4:07:14 PM,0,34.0,51.1,,34.0,3.0,99.2,31.2,34.0,34.0,67.1,,34.0,3.0,99.2,31.2,34.0,34.0,20.6,,34.0,3.0,99.2,31.2,34.0,34.0,59.0,,34.0,34.0,55.2,,34.0,34.0,81.0,,34.0,34.0,82.3,,34.0,34.0,46.2,,34.0,34.0,58.4,,34.0,34.0,77.3,,34.0,34.0,83.0,,34.0,34.0,20.6,,34.0,34.0,36.3,,34.0,34.0,22.5,,34.0,34.0,59.1,,34.0,34.0,88.9,,34.0,34.0,122.6,,34.0,34.0,45.6,,34.0,34.0,44.6,,34.0,34.0,33.0,,34.0,34.0,38.2,,34.0,34.0,17.8,,34.0,34.0,19.4,,34.0,34.0,28.3,,34.0,34.0,28.9,,34.0,0.0,
28/02/2025 4:08:14 PM,60,34.0,50.9,,34.0,3.0,99.2,31.2,34.0,34.0,67.1,,34.0,3.0,99.2,31.2,34.0,34.0,19.5,,34.0,3.0,99.2,31.2,34.0,34.0,59.4,,34.0,34.0,55.0,,34.0,34.0,80.3,,34.0,34.0,82.8,,34.0,34.0,46.2,,34.0,34.0,59.1,,34.0,34.0,77.5,,34.0,34.0,83.4,,34.0,34.0,19.5,,34.0,34.0,37.0,,34.0,34.0,22.6,,34.0,34.0,60.2,,34.0,34.0,88.3,,34.0,34.0,117.2,,34.0,34.0,46.4,,34.0,34.0,45.3,,34.0,34.0,30.0,,34.0,34.0,35.9,,34.0,34.0,20.1,,34.0,34.0,18.8,,34.0,34.0,26.2,,34.0,34.0,28.9,,34.0,0.7,
28/02/2025 4:09:14 PM,120,34.0,50.1,,34.0,3.0,99.2,31.2,34.0,34.0,66.9,,34.0,3.0,99.2,31.2,34.0,34.0,19.4,,34.0,3.0,99.2,31.2,34.0,34.0,58.5,,34.0,34.0,56.0,,34.0,34.0,79.2,,34.0,34.0,83.3,,34.0,34.0,46.2,,34.0,34.0,59.2,,34.0,34.0,74.6,,34.0,34.0,80.5,,34.0,34.0,19.4,,34.0,34.0,28.8,,34.0,34.0,23.7,,34.0,34.0,56.3,,34.0,34.0,90.8,,34.0,34.0,116.6,,34.0,34.0,46.3,,34.0,34.0,44.5,,34.0,34.0,33.1,,34.0,34.0,36.0,,34.0,34.0,18.2,,34.0,34.0,20.2,,34.0,34.0,28.7,,34.0,34.0,29.1,,34.0,0.0,
28/02/2025 4:10:14 PM,180,34.0,50.3,,34.0,3.0,99.2,31.2,34.0,34.0,67.6,,34.0,3.0,99.2,31.2,34.0,34.0,18.9,,34.0,3.0,99.2,31.2,34.0,34.0,58.9,,34.0,34.0,55.8,,34.0,34.0,81.5,,34.0,34.0,83.6,,34.0,34.0,46.2,,34.0,34.0,59.3,,34.0,34.0,74.6,,34.0,34.0,81.7,,34.0,34.0,18.9,,34.0,34.0,35.8,,34.0,34.0,20.2,,34.0,34.0,55.4,,34.0,34.0,84.9,,34.0,34.0,118.2,,34.0,34.0,46.1,,34.0,34.0,45.5,,34.0,34.0,32.5,,34.0,34.0,36.8,,34.0,34.0,17.9,,34.0,34.0,18.1,,34.0,34.0,25.9,,34.0,34.0,28.6,,34.0,0.0,
28/02/2025 4:11:14 PM,240,34.0,50.5,,34.0,3.0,99.2,31.2,34.0,34.0,66.9,,34.0,3.0,99.2,31.2,34.0,34.0,19.4,,34.0,3.0,99.2,31.2,34.0,34.0,57.4,,34.0,34.0,55.1,,34.0,34.0,79.5,,34.0,34.0,84.0,,34.0,34.0,46.3,,34.0,34.0,58.3,,34.0,34.0,76.3,,34.0,34.0,81.9,,34.0,34.0,19.4,,34.0,34.0,36.5,,34.0,34.0,22.6,,34.0,34.0,60.2,,34.0,34.0,83.1,,34.0,34.0,114.6,,34.0,34.0,46.7,,34.0,34.0,43.7,,34.0,34.0,33.7,,34.0,34.0,36.0,,34.0,34.0,17.3,,34.0,34.0,18.7,,34.0,34.0,28.4,,34.0,34.0,28.7,,34.0,0.1,
28/02/2025 4:12:14 PM,300,34.0,50.8,,34.0,3.0,99.2,31.2,34.0,34.0,66.3,,34.0,3.0,99.2,31.2,34.0,34.0,20.0,,34.0,3.0,99.2,31.2,34.0,34.0,57.9,,34.0,34.0,54.3,,34.0,34.0,79.9,,34.0,34.0,80.7,,34.0,34.0,46.6,,34.0,34.0,59.1,,34.0,34.0,76.7,,34.0,34.0,84.6,,34.0,34.0,20.0,,34.0,34.0,35.8,,34.0,34.0,22.6,,34.0,34.0,61.3,,34.0,34.0,86.8,,34.0,34.0,116.8,,34.0,34.0,44.2,,34.0,34.0,45.4,,34.0,34.0,36.5,,34.0,34.0,37.0,,34.0,34.0,17.6,,34.0,34.0,20.0,,34.0,34.0,25.9,,34.0,34.0,27.1,,34.0,0.1,
28/02/2025 4:13:14 PM,360,34.0,51.4,,34.0,3.0,99.2,31.2,34.0,34.0,67.0,,34.0,3.0,99.2,31.2,34.0,34.0,19.9,,34.0,3.0,99.2,31.2,34.0,34.0,57.8,,34.0,34.0,54.9,,34.0,34.0,79.2,,34.0,34.0,83.8,,34.0,34.0,46.8,,34.0,34.0,59.7,,34.0,34.0,75.7,,34.0,34.0,83.9,,34.0,34.0,19.9,,34.0,34.0,38.3,,34.0,34.0,21.5,,34.0,34.0,62.6,,34.0,34.0,85.0,,34.0,34.0,113.6,,34.0,34.0,44.7,,34.0,34.0,45.0,,34.0,34.0,33.8,,34.0,34.0,37.1,,34.0,34.0,31.1,,34.0,34.0,16.5,,34.0,34.0,28.1,,34.0,34.0,29.0,,34.0,0.6,
28/02/2025 4:14:14 PM,420,34.0,50.2,,34.0,3.0,99.2,31.2,34.0,34.0,66.3,,34.0,3.0,99.2,31.2,34.0,34.0,19.1,,34.0,3.0,99.2,31.2,34.0,34.0,58.4,,34.0,34.0,53.9,,34.0,34.0,78.3,,34.0,34.0,82.0,,34.0,34.0,46.9,,34.0,34.0,59.5,,34.0,34.0,77.9,,34.0,34.0,82.8,,34.0,34.0,19.1,,34.0,34.0,37.7,,34.0,34.0,24.2,,34.0,34.0,60.9,,34.0,34.0,81.9,,34.0,34.0,115.5,,34.0,34.0,46.3,,34.0,34.0,44.4,,34.0,34.0,20.3,,34.0,34.0,36.0,,34.0,34.0,19.0,,34.0,34.0,19.1,,34.0,34.0,28.6,,34.0,34.0,28.6,,34.0,0.1,
28/02/2025 4:15:14 PM,480,34.0,50.9,,34.0,3.0,99.2,31.2,34.0,34.0,66.3,,34.0,3.0,99.2,31.2,34.0,34.0,19.5,,34.0,3.0,99.2,31.2,34.0,34.0,57.6,,34.0,34.0,54.8,,34.0,34.0,79.2,,34.0,34.0,81.6,,34.0,34.0,46.4,,34.0,34.0,61.6,,34.0,34.0,76.8,,34.0,34.0,82.9,,34.0,34.0,19.5,,34.0,34.0,37.3,,34.0,34.0,23.4,,34.0,34.0,60.9,,34.0,34.0,87.4,,34.0,34.0,114.6,,34.0,34.0,46.1,,34.0,34.0,45.5,,34.0,34.0,33.4,,34.0,34.0,36.5,,34.0,34.0,17.7,,34.0,34.0,19.5,,34.0,34.0,27.1,,34.0,34.0,29.4,,34.0,0.2,
