Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
4/03/2025 10:41:31 AM,0,34.0,49.4,,34.0,3.0,99.2,31.2,34.0,34.0,65.2,,34.0,3.0,99.2,31.2,34.0,34.0,34.9,,34.0,3.0,99.2,31.2,34.0,34.0,73.2,,34.0,34.0,69.1,,34.0,34.0,71.8,,34.0,34.0,70.2,,34.0,34.0,46.1,,34.0,34.0,62.8,,34.0,34.0,70.6,,34.0,34.0,76.1,,34.0,34.0,34.9,,34.0,34.0,39.9,,34.0,34.0,19.9,,34.0,34.0,52.8,,34.0,34.0,70.3,,34.0,34.0,81.9,,34.0,34.0,39.2,,34.0,34.0,39.0,,34.0,34.0,32.7,,34.0,34.0,40.7,,34.0,34.0,21.9,,34.0,34.0,24.0,,34.0,34.0,30.2,,34.0,34.0,31.5,,34.0,0.3,
4/03/2025 10:42:31 AM,60,34.0,49.1,,34.0,3.0,99.2,31.2,34.0,34.0,66.1,,34.0,3.0,99.2,31.2,34.0,34.0,33.7,,34.0,3.0,99.2,31.2,34.0,34.0,77.4,,34.0,34.0,78.5,,34.0,34.0,68.1,,34.0,34.0,65.6,,34.0,34.0,51.9,,34.0,34.0,62.0,,34.0,34.0,66.6,,34.0,34.0,73.3,,34.0,34.0,33.7,,34.0,34.0,39.4,,34.0,34.0,19.6,,34.0,34.0,52.0,,34.0,34.0,73.0,,34.0,34.0,92.4,,34.0,34.0,37.9,,34.0,34.0,39.4,,34.0,34.0,33.1,,34.0,34.0,36.3,,34.0,34.0,22.4,,34.0,34.0,22.3,,34.0,34.0,29.1,,34.0,34.0,31.3,,34.0,0.5,
4/03/2025 10:43:31 AM,120,34.0,47.4,,34.0,3.0,99.2,31.2,34.0,34.0,58.5,,34.0,3.0,99.2,31.2,34.0,34.0,33.5,,34.0,3.0,99.2,31.2,34.0,34.0,45.0,,34.0,34.0,45.9,,34.0,34.0,70.8,,34.0,34.0,68.8,,34.0,34.0,48.2,,34.0,34.0,62.1,,34.0,34.0,71.3,,34.0,34.0,75.8,,34.0,34.0,33.5,,34.0,34.0,39.9,,34.0,34.0,19.2,,34.0,34.0,54.4,,34.0,34.0,74.4,,34.0,34.0,83.2,,34.0,34.0,39.8,,34.0,34.0,42.3,,34.0,34.0,32.5,,34.0,34.0,35.0,,34.0,34.0,21.7,,34.0,34.0,22.2,,34.0,34.0,28.8,,34.0,34.0,29.1,,34.0,0.7,
4/03/2025 10:44:31 AM,180,34.0,45.3,,34.0,3.0,99.2,31.2,34.0,34.0,50.1,,34.0,3.0,99.2,31.2,34.0,34.0,31.9,,34.0,3.0,99.2,31.2,34.0,34.0,15.8,,34.0,34.0,16.2,,34.0,34.0,68.5,,34.0,34.0,68.4,,34.0,34.0,46.6,,34.0,34.0,61.0,,34.0,34.0,68.6,,34.0,34.0,78.5,,34.0,34.0,31.9,,34.0,34.0,40.4,,34.0,34.0,20.1,,34.0,34.0,53.8,,34.0,34.0,71.6,,34.0,34.0,82.3,,34.0,34.0,38.0,,34.0,34.0,38.6,,34.0,34.0,32.1,,34.0,34.0,35.5,,34.0,34.0,21.0,,34.0,34.0,24.5,,34.0,34.0,31.7,,34.0,34.0,30.5,,34.0,1.5,
4/03/2025 10:45:31 AM,240,34.0,44.4,,34.0,3.0,99.2,31.2,34.0,34.0,47.3,,34.0,3.0,99.2,31.2,34.0,34.0,32.8,,34.0,3.0,99.2,31.2,34.0,34.0,1.3,,34.0,34.0,1.6,,34.0,34.0,70.5,,34.0,34.0,70.2,,34.0,34.0,46.3,,34.0,34.0,61.5,,34.0,34.0,72.3,,34.0,34.0,79.6,,34.0,34.0,32.8,,34.0,34.0,38.6,,34.0,34.0,19.0,,34.0,34.0,53.2,,34.0,34.0,71.5,,34.0,34.0,77.9,,34.0,34.0,39.7,,34.0,34.0,38.0,,34.0,34.0,31.8,,34.0,34.0,34.7,,34.0,34.0,21.8,,34.0,34.0,22.4,,34.0,34.0,28.2,,34.0,34.0,30.3,,34.0,0.2,
4/03/2025 10:46:31 AM,300,34.0,44.1,,34.0,3.0,99.2,31.2,34.0,34.0,46.8,,34.0,3.0,99.2,31.2,34.0,34.0,32.9,,34.0,3.0,99.2,31.2,34.0,34.1,0.0,,34.1,34.0,0.0,,34.0,34.0,70.6,,34.0,34.0,70.3,,34.0,34.0,45.3,,34.0,34.0,61.9,,34.0,34.0,70.5,,34.0,34.0,78.6,,34.0,34.0,32.9,,34.0,34.0,38.9,,34.0,34.0,20.0,,34.0,34.0,53.3,,34.0,34.0,72.1,,34.0,34.0,78.4,,34.0,34.0,37.6,,34.0,34.0,37.5,,34.0,34.0,31.6,,34.0,34.0,33.8,,34.0,34.0,20.6,,34.0,34.0,22.5,,34.0,34.0,29.5,,34.0,34.0,29.6,,34.0,0.2,
4/03/2025 10:47:31 AM,360,34.0,43.3,,34.0,3.0,99.2,31.2,34.0,34.0,45.4,,34.0,3.0,99.3,31.2,34.0,34.0,32.1,,34.0,3.0,99.2,31.2,34.0,34.2,0.0,,34.2,34.1,0.0,,34.1,34.0,67.4,,34.0,34.0,67.8,,34.0,34.0,45.8,,34.0,34.0,58.8,,34.0,34.0,70.0,,34.0,34.0,78.5,,34.0,34.0,32.1,,34.0,34.0,37.7,,34.0,34.0,19.3,,34.0,34.0,51.0,,34.0,34.0,72.0,,34.0,34.0,76.6,,34.0,34.0,39.0,,34.0,34.0,37.4,,34.0,34.0,32.3,,34.0,34.0,33.7,,34.0,34.0,20.9,,34.0,34.0,22.9,,34.0,34.0,28.9,,34.0,34.0,29.5,,34.0,0.1,
4/03/2025 10:48:31 AM,420,34.0,44.3,,34.0,3.0,99.2,31.2,34.0,34.1,47.3,,34.1,3.1,99.4,31.2,34.1,34.0,32.4,,34.0,3.0,99.2,31.2,34.0,34.4,0.0,,34.3,34.2,0.0,,34.2,34.0,71.0,,34.0,34.0,71.1,,34.0,34.0,46.3,,34.0,34.0,61.1,,34.0,34.0,72.2,,34.0,34.0,79.5,,34.0,34.0,32.4,,34.0,34.0,39.3,,34.0,34.0,18.7,,34.0,34.0,51.3,,34.0,34.0,73.5,,34.0,34.0,77.4,,34.0,34.0,37.3,,34.0,34.0,38.8,,34.0,34.0,32.8,,34.0,34.0,33.3,,34.0,34.0,20.3,,34.0,34.0,22.3,,34.0,34.0,29.3,,34.0,34.0,29.5,,34.0,0.2,
4/03/2025 10:49:31 AM,480,34.0,44.0,,34.0,3.0,99.3,31.2,34.0,34.1,46.8,,34.1,3.1,99.4,31.3,34.1,34.0,31.4,,34.0,3.0,99.2,31.2,34.0,34.5,0.0,,34.5,34.4,0.0,,34.4,34.0,70.5,,34.0,34.0,69.4,,34.0,34.0,46.3,,34.0,34.0,59.9,,34.0,34.0,72.2,,34.0,34.0,81.1,,34.0,34.0,31.4,,34.0,34.0,38.1,,34.0,34.0,17.8,,34.0,34.0,51.5,,34.0,34.0,71.2,,34.0,34.0,76.1,,34.0,34.0,39.2,,34.0,34.0,38.0,,34.0,34.0,32.9,,34.0,34.0,34.0,,34.0,34.0,23.1,,34.0,34.0,21.7,,34.0,34.0,28.3,,34.0,34.0,29.5,,34.0,0.2,
