Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
5/03/2025 4:41:13 PM,103972,34.1,42.2,,34.1,3.1,99.4,31.3,34.1,33.4,54.6,,33.5,2.7,96.7,30.5,33.5,35.0,25.9,,35.0,3.6,100.0,32.4,35.0,33.3,56.5,,33.3,33.3,58.2,,33.3,33.2,58.3,,33.2,33.2,58.6,,33.2,34.1,43.2,,34.1,33.5,52.9,,33.5,33.5,54.3,,33.5,33.2,59.8,,33.2,35.0,25.9,,35.0,34.6,33.3,,34.6,34.9,26.8,,34.9,33.8,47.3,,33.8,33.2,59.5,,33.2,32.7,67.6,,32.7,34.3,38.8,,34.3,34.2,39.9,,34.3,34.7,31.2,,34.7,34.6,33.1,,34.6,35.3,21.1,,35.3,35.2,21.4,,35.2,35.0,26.3,,35.0,35.0,26.7,,35.0,0.0,
5/03/2025 4:41:23 PM,103982,34.1,42.2,,34.1,3.1,99.4,31.3,34.1,33.5,54.5,,33.5,2.7,96.7,30.5,33.5,35.0,25.9,,35.0,3.6,100.0,32.4,35.0,33.3,56.5,,33.3,33.3,57.6,,33.3,33.2,58.3,,33.2,33.2,58.6,,33.2,34.1,43.2,,34.1,33.5,52.9,,33.5,33.5,54.3,,33.5,33.2,59.8,,33.2,35.0,25.9,,35.0,34.6,33.3,,34.6,34.9,26.8,,34.9,33.8,47.3,,33.8,33.2,59.5,,33.2,32.7,67.6,,32.7,34.3,38.8,,34.3,34.3,38.8,,34.3,34.7,31.2,,34.7,34.6,33.0,,34.6,35.3,21.1,,35.3,35.2,21.4,,35.2,35.0,26.3,,35.0,35.0,26.6,,35.0,0.0,
5/03/2025 4:42:23 PM,104042,34.1,42.2,,34.1,3.1,99.4,31.3,34.1,33.5,54.5,,33.4,2.7,96.7,30.5,33.4,35.0,25.9,,35.0,3.6,100.0,32.4,35.0,33.3,56.6,,33.3,33.3,57.6,,33.3,33.2,58.3,,33.2,33.2,58.5,,33.2,34.1,43.2,,34.1,33.5,52.9,,33.5,33.5,54.3,,33.5,33.2,59.8,,33.2,35.0,25.9,,35.0,34.6,33.3,,34.6,34.9,26.8,,34.9,33.8,47.3,,33.8,33.1,60.4,,33.1,32.7,68.1,,32.7,34.3,39.0,,34.3,34.3,38.9,,34.3,34.7,31.2,,34.7,34.6,33.1,,34.6,35.3,21.1,,35.3,35.2,21.2,,35.2,35.0,26.3,,35.0,35.0,26.4,,35.0,0.0,
5/03/2025 4:43:23 PM,104102,34.1,42.1,,34.1,3.1,99.5,31.3,34.1,33.5,54.4,,33.5,2.7,96.7,30.5,33.5,35.0,25.9,,35.0,3.6,100.0,32.4,35.0,33.3,56.5,,33.3,33.3,57.6,,33.3,33.2,58.4,,33.2,33.3,58.3,,33.2,34.1,43.1,,34.1,33.5,52.9,,33.5,33.5,54.3,,33.5,33.2,59.8,,33.2,35.0,25.9,,35.0,34.6,33.3,,34.6,35.0,26.8,,34.9,33.8,47.3,,33.8,33.1,60.1,,33.1,32.8,67.0,,32.8,34.3,39.1,,34.3,34.3,38.9,,34.3,34.7,31.2,,34.7,34.6,33.0,,34.6,35.3,21.1,,35.3,35.2,21.4,,35.2,35.0,26.3,,35.0,35.0,26.3,,35.0,0.0,
5/03/2025 4:44:23 PM,104162,34.1,42.2,,34.1,3.1,99.5,31.3,34.1,33.4,54.6,,33.4,2.7,96.7,30.5,33.4,35.0,25.9,,35.0,3.6,100.0,32.4,35.0,33.3,56.6,,33.3,33.3,57.6,,33.3,33.2,58.3,,33.2,33.2,59.0,,33.2,34.1,43.2,,34.1,33.5,52.9,,33.5,33.5,54.3,,33.5,33.2,59.8,,33.2,35.0,25.9,,35.0,34.6,33.4,,34.6,35.0,26.8,,34.9,33.8,47.3,,33.8,33.2,59.8,,33.2,32.8,66.4,,32.8,34.3,38.9,,34.3,34.3,38.9,,34.3,34.7,31.2,,34.7,34.6,33.1,,34.6,35.3,20.8,,35.3,35.2,21.4,,35.2,35.0,26.3,,35.0,35.0,26.2,,35.0,0.0,
5/03/2025 4:45:23 PM,104222,34.1,42.2,,34.1,3.1,99.4,31.3,34.1,33.4,54.7,,33.4,2.7,96.6,30.5,33.4,35.0,25.9,,35.0,3.6,100.0,32.4,35.0,33.3,57.2,,33.3,33.3,57.6,,33.3,33.2,58.3,,33.2,33.2,58.9,,33.2,34.1,43.2,,34.1,33.5,52.9,,33.5,33.5,54.3,,33.5,33.2,59.8,,33.2,35.0,25.9,,35.0,34.6,33.3,,34.6,35.0,26.7,,35.0,33.8,47.3,,33.8,33.1,60.2,,33.1,32.8,67.0,,32.8,34.3,39.0,,34.3,34.3,39.0,,34.3,34.7,31.2,,34.7,34.6,33.1,,34.6,35.3,20.6,,35.3,35.2,21.4,,35.2,35.0,26.3,,35.0,35.0,26.2,,35.0,0.0,
5/03/2025 4:46:23 PM,104282,34.1,42.1,,34.1,3.1,99.5,31.3,34.1,33.4,54.6,,33.4,2.7,96.6,30.5,33.4,35.0,25.9,,35.0,3.6,100.0,32.4,35.0,33.3,57.2,,33.3,33.3,57.6,,33.3,33.2,58.3,,33.2,33.2,58.8,,33.2,34.1,43.2,,34.1,33.5,52.9,,33.5,33.5,53.9,,33.5,33.2,59.8,,33.2,35.0,25.9,,35.0,34.6,33.2,,34.6,34.9,26.8,,34.9,33.8,47.3,,33.8,33.2,59.5,,33.2,32.8,67.3,,32.8,34.3,39.0,,34.3,34.3,38.9,,34.3,34.7,31.2,,34.7,34.6,33.1,,34.6,35.3,20.6,,35.3,35.2,21.4,,35.2,35.0,26.3,,35.0,35.0,26.2,,35.0,0.0,
5/03/2025 4:47:23 PM,104342,34.1,42.2,,34.1,3.1,99.5,31.3,34.1,33.4,54.7,,33.4,2.7,96.6,30.5,33.4,35.0,25.9,,35.0,3.6,100.0,32.4,35.0,33.3,57.2,,33.3,33.3,57.6,,33.3,33.2,58.4,,33.2,33.2,58.9,,33.2,34.1,43.2,,34.1,33.5,52.9,,33.5,33.5,54.4,,33.5,33.2,60.0,,33.2,35.0,25.9,,35.0,34.6,33.2,,34.6,34.9,26.8,,35.0,33.8,47.3,,33.8,33.2,59.5,,33.2,32.8,67.0,,32.8,34.3,39.0,,34.3,34.3,39.1,,34.3,34.7,31.2,,34.7,34.6,33.1,,34.6,35.3,20.6,,35.3,35.2,21.4,,35.2,35.0,26.3,,35.0,35.0,26.8,,35.0,0.0,
5/03/2025 4:48:23 PM,104402,34.1,42.2,,34.1,3.1,99.4,31.3,34.1,33.4,54.8,,33.4,2.7,96.6,30.5,33.4,35.0,25.9,,35.0,3.6,100.0,32.4,35.0,33.3,57.2,,33.3,33.3,57.6,,33.3,33.2,58.8,,33.2,33.2,58.8,,33.2,34.1,43.2,,34.1,33.5,52.9,,33.5,33.5,54.4,,33.5,33.2,59.8,,33.2,35.0,25.9,,35.0,34.6,33.3,,34.6,34.9,26.9,,34.9,33.8,47.3,,33.8,33.1,60.1,,33.1,32.8,67.0,,32.8,34.3,39.3,,34.3,34.3,39.0,,34.3,34.7,31.2,,34.7,34.6,33.0,,34.6,35.3,20.6,,35.3,35.2,21.4,,35.2,35.0,26.3,,35.0,35.0,26.2,,35.0,0.0,
