Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
5/03/2025 12:22:18 PM,88437,34.0,45.1,,34.0,3.0,99.2,31.2,34.0,34.0,61.9,,34.0,3.0,99.2,31.2,34.0,34.0,21.2,,34.0,3.0,99.2,31.2,34.0,34.0,66.5,,34.0,34.0,67.6,,34.0,34.0,67.3,,34.0,34.0,69.9,,34.0,34.0,41.9,,34.0,34.0,58.9,,34.0,34.0,62.5,,34.0,34.0,72.6,,34.0,34.0,21.2,,34.0,34.0,31.3,,34.0,34.0,19.5,,34.0,34.0,51.7,,34.0,34.0,77.2,,34.0,34.0,83.3,,34.0,34.0,37.7,,34.0,34.0,38.2,,34.0,34.0,29.7,,34.0,34.0,32.1,,34.0,34.0,17.6,,34.0,34.0,18.8,,34.0,34.0,24.1,,34.0,34.0,24.1,,34.0,0.4,
5/03/2025 12:22:23 PM,88442,34.0,45.0,,34.0,3.0,99.2,31.2,34.0,34.0,61.4,,34.0,3.0,99.2,31.2,34.0,34.0,20.4,,34.0,3.0,99.2,31.2,34.0,34.0,66.6,,34.0,34.0,67.3,,34.0,34.0,67.2,,34.0,34.0,68.2,,34.0,34.0,41.9,,34.0,34.0,59.0,,34.0,34.0,63.7,,34.0,34.0,72.5,,34.0,34.0,20.4,,34.0,34.0,31.9,,34.0,34.0,19.5,,34.0,34.0,50.4,,34.0,34.0,77.4,,34.0,34.0,85.0,,34.0,34.0,37.8,,34.0,34.0,37.7,,34.0,34.0,28.8,,34.0,34.0,31.7,,34.0,34.0,16.3,,34.0,34.0,18.7,,34.0,34.0,25.7,,34.0,34.0,24.7,,34.0,0.4,
5/03/2025 12:23:23 PM,88502,34.0,44.3,,34.0,3.0,99.2,31.2,34.0,34.0,59.9,,34.0,3.0,99.2,31.2,34.0,34.0,21.5,,34.0,3.0,99.2,31.2,34.0,34.0,60.0,,34.0,34.0,58.4,,34.0,34.0,68.7,,34.0,34.0,68.4,,34.0,34.0,41.9,,34.0,34.0,58.0,,34.0,34.0,64.4,,34.0,34.0,72.8,,34.0,34.0,21.5,,34.0,34.0,32.0,,34.0,34.0,19.3,,34.0,34.0,51.2,,34.0,34.0,66.5,,34.0,34.0,79.8,,34.0,34.0,37.9,,34.0,34.0,36.6,,34.0,34.0,29.2,,34.0,34.0,32.2,,34.0,34.0,16.0,,34.0,34.0,18.0,,34.0,34.0,25.0,,34.0,34.0,24.6,,34.0,0.0,
5/03/2025 12:24:23 PM,88562,34.0,43.1,,34.0,3.0,99.2,31.2,34.0,34.0,53.5,,34.0,3.0,99.2,31.2,34.0,34.0,21.4,,34.0,3.0,99.2,31.2,34.0,34.0,40.0,,34.0,34.0,39.6,,34.0,34.0,65.4,,34.0,34.0,66.0,,34.0,34.0,41.9,,34.0,34.0,56.3,,34.0,34.0,63.6,,34.0,34.0,71.2,,34.0,34.0,21.4,,34.0,34.0,31.3,,34.0,34.0,18.7,,34.0,34.0,52.4,,34.0,34.0,71.6,,34.0,34.0,94.5,,34.0,34.0,38.5,,34.0,34.0,38.6,,34.0,34.0,30.0,,34.0,34.0,31.4,,34.0,34.0,16.5,,34.0,34.0,20.1,,34.0,34.0,23.7,,34.0,34.0,25.2,,34.0,0.7,
5/03/2025 12:25:23 PM,88622,34.0,41.4,,34.0,3.0,99.2,31.2,34.0,34.0,50.3,,34.0,3.0,99.2,31.2,34.0,34.0,20.4,,34.0,3.0,99.2,31.2,34.0,34.0,25.4,,34.0,34.0,25.4,,34.0,34.0,66.0,,34.0,34.0,66.8,,34.0,34.0,41.9,,34.0,34.0,59.2,,34.0,34.0,63.9,,34.0,34.0,71.1,,34.0,34.0,20.4,,34.0,34.0,31.6,,34.0,34.0,19.7,,34.0,34.0,51.1,,34.0,34.0,68.4,,34.0,34.0,81.9,,34.0,34.0,38.2,,34.0,34.0,24.1,,34.0,34.0,28.3,,34.0,34.0,31.2,,34.0,34.0,17.5,,34.0,34.0,18.8,,34.0,34.0,23.2,,34.0,34.0,23.7,,34.0,0.5,
5/03/2025 12:26:23 PM,88682,34.0,40.6,,34.0,3.0,99.2,31.2,34.0,34.0,46.4,,34.0,3.0,99.2,31.2,34.0,34.0,18.6,,34.0,3.0,99.2,31.2,34.0,34.0,14.7,,34.0,34.0,14.7,,34.0,34.0,64.5,,34.0,34.0,63.8,,34.0,34.0,41.9,,34.0,34.0,56.1,,34.0,34.0,63.2,,34.0,34.0,70.1,,34.0,34.0,18.6,,34.0,34.0,29.6,,34.0,34.0,18.6,,34.0,34.0,52.5,,34.0,34.0,71.1,,34.0,34.0,81.6,,34.0,34.0,36.9,,34.0,34.0,40.5,,34.0,34.0,29.2,,34.0,34.0,31.7,,34.0,34.0,16.4,,34.0,34.0,18.2,,34.0,34.0,23.6,,34.0,34.0,24.9,,34.0,0.7,
5/03/2025 12:27:23 PM,88742,34.0,40.6,,34.0,3.0,99.2,31.2,34.0,34.0,45.1,,34.0,3.0,99.2,31.2,34.0,34.0,20.8,,34.0,3.0,99.2,31.2,34.0,34.0,9.6,,34.0,34.0,7.3,,34.0,34.0,64.7,,34.0,34.0,64.4,,34.0,34.0,41.9,,34.0,34.0,57.6,,34.0,34.0,62.7,,34.0,34.0,71.8,,34.0,34.0,20.8,,34.0,34.0,29.9,,34.0,34.0,19.3,,34.0,34.0,50.0,,34.0,34.0,74.8,,34.0,34.0,86.6,,34.0,34.0,38.9,,34.0,34.0,38.0,,34.0,34.0,29.7,,34.0,34.0,31.2,,34.0,34.0,16.0,,34.0,34.0,18.1,,34.0,34.0,24.5,,34.0,34.0,24.0,,34.0,0.0,
5/03/2025 12:28:23 PM,88802,34.0,39.9,,34.0,3.0,99.2,31.2,34.0,34.0,44.5,,34.0,3.0,99.2,31.2,34.0,34.0,20.7,,34.0,3.0,99.2,31.2,34.0,34.0,8.6,,34.0,34.0,7.9,,34.0,34.0,63.4,,34.0,34.0,63.8,,34.0,34.0,41.9,,34.0,34.0,56.1,,34.0,34.0,64.0,,34.0,34.0,70.1,,34.0,34.0,20.7,,34.0,34.0,30.7,,34.0,34.0,15.5,,34.0,34.0,49.7,,34.0,34.0,73.3,,34.0,34.0,86.2,,34.0,34.0,38.3,,34.0,34.0,30.9,,34.0,34.0,29.2,,34.0,34.0,31.5,,34.0,34.0,15.8,,34.0,34.0,18.0,,34.0,34.0,24.1,,34.0,34.0,25.4,,34.0,0.2,
5/03/2025 12:29:23 PM,88862,34.0,40.4,,34.0,3.0,99.2,31.2,34.0,34.0,46.9,,34.0,3.0,99.2,31.2,34.0,34.0,19.0,,34.0,3.0,99.2,31.2,34.0,34.0,11.7,,34.0,34.0,13.0,,34.0,34.0,66.2,,34.0,34.0,66.1,,34.0,34.0,41.9,,34.0,34.0,58.0,,34.0,34.0,62.3,,34.0,34.0,70.4,,34.0,34.0,19.0,,34.0,34.0,24.4,,34.0,34.0,18.4,,34.0,34.0,51.6,,34.0,34.0,72.4,,34.0,34.0,79.7,,34.0,34.0,37.6,,34.0,34.0,39.3,,34.0,34.0,28.7,,34.0,34.0,36.5,,34.0,34.0,16.4,,34.0,34.0,17.1,,34.0,34.0,23.9,,34.0,34.0,23.7,,34.0,0.3,
