Manikin #3.4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interval (sec),60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),
5/03/2025 14:09,94877,34.1,38.4,,34.1,3.1,99.4,31.3,34.1,34.3,42,,34.3,3.2,99.7,31.6,34.3,34,17,,34,3,99.2,31.2,34,35.7,0,,35.7,35.1,0,,35.1,34,63.1,,34,34,63.6,,34,34,40.7,,34,34,55.3,,34,34,60.5,,34,34,68.7,,34,34,17,,34,34,29,,34,34,16.4,,34,34,51.1,,34,34,69.9,,34,34,74.7,,34,34,39.1,,34,34,36.8,,34,34,29.5,,34,34,29.7,,34,34,14.5,,34,34,16.5,,34,34,24.6,,34,34,22.4,,34,0.1
5/03/2025 14:10,94922,34.1,39,,34.1,3.1,99.4,31.3,34.1,34.3,42.6,,34.3,3.2,99.7,31.6,34.3,34,16.9,,34,3,99.2,31.2,34,35.7,0,,35.7,35.1,0,,35.1,34,64.7,,34,34,64.1,,34,34,40.7,,34,34,55.6,,34,34,61.3,,34,34,71.5,,34,34,16.9,,34,34,28.3,,34,34,17.8,,34,34,52.4,,34,34,73.4,,34,34,80.5,,34,34,37.6,,34,34,37.2,,34,34,29,,34,34,29.7,,34,34,14.7,,34,34,17.2,,34,34,22.3,,34,34,23.5,,34,0.3
5/03/2025 14:11,94982,34.1,38.5,,34.1,3.1,99.4,31.3,34.1,34.4,42,,34.4,3.2,99.8,31.6,34.4,34,16.7,,34,3,99.2,31.2,34,35.7,0,,35.7,35.2,0,,35.1,34,63.3,,34,34,63.3,,34,34,40.7,,34,34,56.2,,34,34,59.6,,34,34,69.7,,34,34,16.7,,34,34,29.8,,34,34,18.6,,34,34,49.9,,34,34,65.9,,34,34,83,,34,34,36.9,,34,34,36.9,,34,34,27.9,,34,34,30.4,,34,34,14.5,,34,34,16.6,,34,34,23.9,,34,34,22.4,,34,0.1
5/03/2025 14:12,95042,34.1,38.5,,34.1,3.1,99.4,31.3,34.1,34.4,41.5,,34.4,3.2,99.8,31.6,34.4,34,16.9,,34,3,99.2,31.2,34,35.8,0,,35.8,35.2,0,,35.2,34,62.8,,34,34,61.7,,34,34,40.7,,34,34,56,,34,34,60.4,,34,34,66.7,,34,34,16.9,,34,34,29.5,,34,34,18.7,,34,34,50.3,,34,34,70.6,,34,34,85.5,,34,34,38.1,,34,34,38,,34,34,28.3,,34,34,28.8,,34,34,14.6,,34,34,15.9,,34,34,23.7,,34,34,23.4,,34,0.2
5/03/2025 14:13,95102,34.1,38.2,,34.1,3.1,99.4,31.3,34.1,34.4,41.8,,34.4,3.3,99.8,31.7,34.4,34,17.4,,34,3,99.2,31.2,34,35.9,0,,35.9,35.3,0,,35.3,34,63.4,,34,34,62.6,,34,34,40.7,,34,34,56.2,,34,34,59,,34,34,67.6,,34,34,17.4,,34,34,28,,34,34,19.5,,34,34,50.2,,34,34,71.2,,34,34,78.7,,34,34,37.4,,34,34,36.8,,34,34,28.4,,34,34,29.3,,34,34,15.1,,34,34,15.3,,34,34,22.2,,34,34,22.1,,34,0.1
5/03/2025 14:14,95162,34.1,38,,34.1,3.1,99.4,31.3,34.1,34.4,41.3,,34.4,3.3,99.8,31.7,34.4,34,16.3,,34,3,99.2,31.2,34,36,0,,36,35.4,0,,35.4,34,61.3,,34,34,62.4,,34,34,40.7,,34,34,55.1,,34,34,60.6,,34,34,67.7,,34,34,16.3,,34,34,27.9,,34,34,18.2,,34,34,50.9,,34,34,67.1,,34,34,75.8,,34,34,38,,34,34,37.3,,34,34,28.6,,34,34,30.4,,34,34,15.3,,34,34,15.5,,34,34,21.7,,34,34,23.4,,34,0.2
5/03/2025 14:15,95222,34.1,38.1,,34.1,3.1,99.4,31.3,34.1,34.5,40.6,,34.5,3.3,99.8,31.7,34.5,34,16.3,,34,3,99.2,31.2,34,36.2,0,,36.1,35.6,0,,35.6,34,59.4,,34,34,60.1,,34,34,42.3,,34,34,54.5,,34,34,60.2,,34,34,69.3,,34,34,16.3,,34,34,28.1,,34,34,19,,34,34,52.4,,34,34,63.7,,34,34,86.8,,34,34,36.9,,34,34,37.8,,34,34,28.6,,34,34,30.5,,34,34,14.2,,34,34,15.9,,34,34,21.5,,34,34,23.9,,34,0.4
5/03/2025 14:16,95282,34.1,37.6,,34.1,3.1,99.4,31.3,34.1,34.5,38.8,,34.5,3.3,99.9,31.8,34.5,34,17.3,,34,3,99.2,31.2,34,36.3,0,,36.3,35.7,0,,35.7,34,62.6,,34,34,62.6,,34,34,28.6,,34,34,55.7,,34,34,59.7,,34,34,68.5,,34,34,17.3,,34,34,29.4,,34,34,18.6,,34,34,49.3,,34,34,71.2,,34,34,78,,34,34,37.7,,34,34,35.9,,34,34,28.1,,34,34,29.6,,34,34,15.4,,34,34,16.4,,34,34,21.5,,34,34,23.6,,34,0.4
5/03/2025 14:17,95342,34.1,38.1,,34.1,3.1,99.5,31.3,34.1,34.5,40.6,,34.5,3.3,99.9,31.8,34.5,34,16.7,,34,3,99.2,31.2,34,36.4,0,,36.4,35.8,0,,35.8,34,59.2,,34,34,61.8,,34,34,40.6,,34,34,55.6,,34,34,60.5,,34,34,65.8,,34,34,16.7,,34,34,30.1,,34,34,19.2,,34,34,53.2,,34,34,67.7,,34,34,76.5,,34,34,36.8,,34,34,37.7,,34,34,28.9,,34,34,30.2,,34,34,14.5,,34,34,16.4,,34,34,23.8,,34,34,23.1,,34,1
