Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
9/05/2025 6:27:27 PM,760437,29.9,221.1,,29.7,0.5,10.9,25.9,29.7,29.1,250.0,,28.9,0.0,5.0,24.9,28.9,31.7,205.7,,31.6,1.6,56.2,28.2,31.6,27.5,264.9,,27.3,27.8,268.2,,27.6,29.1,254.6,,28.9,29.3,253.7,,29.1,30.3,223.2,,30.1,30.0,218.6,,29.9,30.5,223.1,,30.3,30.0,219.6,,29.8,31.7,205.7,,31.6,30.7,214.5,,30.5,30.3,208.2,,30.2,29.6,195.2,,29.5,30.4,203.8,,30.2,29.7,215.2,,29.5,28.1,258.5,,27.9,28.1,258.3,,27.8,29.3,228.7,,29.2,29.0,211.8,,28.9,31.1,186.9,,31.0,31.1,184.7,,31.0,30.9,188.9,,30.8,30.8,186.9,,30.7,117.7,
9/05/2025 6:27:32 PM,760442,30.0,220.9,,29.9,0.6,13.1,26.1,29.9,29.3,249.7,,29.1,0.2,5.5,25.1,29.1,31.8,205.6,,31.7,1.7,60.0,28.3,31.7,27.7,264.9,,27.5,28.0,267.9,,27.8,29.3,254.3,,29.1,29.5,253.3,,29.3,30.4,223.0,,30.3,30.1,218.6,,30.0,30.6,222.9,,30.4,30.1,219.5,,29.9,31.8,205.6,,31.7,30.8,214.4,,30.7,30.5,208.0,,30.3,29.7,195.1,,29.6,30.5,203.7,,30.4,29.8,215.1,,29.7,28.3,258.2,,28.1,28.3,258.0,,28.1,29.5,228.4,,29.3,29.2,211.4,,29.0,31.2,186.8,,31.1,31.3,184.6,,31.1,31.0,188.8,,30.9,30.9,186.8,,30.8,117.7,
9/05/2025 6:28:32 PM,760502,31.5,219.1,,31.4,1.5,51.7,28.0,31.4,31.2,247.2,,31.0,1.3,39.5,27.5,31.0,32.9,204.6,,32.8,2.3,89.0,29.7,32.8,29.8,262.0,,29.6,30.1,265.1,,29.9,31.5,251.3,,31.3,31.5,250.8,,31.3,31.9,221.5,,31.8,31.5,217.2,,31.4,32.0,221.5,,31.9,31.5,217.9,,31.4,32.9,204.6,,32.8,32.1,212.9,,32.0,31.8,206.6,,31.7,31.0,193.7,,30.9,31.6,202.5,,31.5,31.0,213.8,,30.9,30.4,255.4,,30.3,30.4,255.1,,30.3,31.5,226.2,,31.3,30.6,210.1,,30.5,32.4,185.8,,32.3,32.4,183.5,,32.3,32.1,187.8,,32.0,31.9,185.8,,31.9,0.9,
9/05/2025 6:29:32 PM,760562,32.8,217.7,,32.7,2.3,87.2,29.6,32.7,32.8,245.2,,32.7,2.3,86.9,29.6,32.7,33.8,203.8,,33.7,2.8,98.2,30.8,33.7,31.5,259.8,,31.3,31.8,262.8,,31.7,33.4,249.0,,33.2,33.2,248.6,,33.1,33.1,220.1,,33.0,32.6,215.9,,32.5,33.2,220.3,,33.1,32.7,216.6,,32.6,33.8,203.8,,33.7,33.2,211.8,,33.1,33.1,205.4,,33.0,32.3,192.6,,32.2,32.4,201.8,,32.3,31.8,212.8,,31.8,32.2,253.1,,32.1,32.1,252.9,,32.0,33.0,224.4,,32.9,31.8,208.8,,31.7,33.4,184.9,,33.3,33.3,182.6,,33.2,33.0,186.9,,32.9,32.8,185.1,,32.7,0.7,
9/05/2025 6:30:32 PM,760622,33.9,208.3,,33.9,2.9,98.8,31.0,33.9,34.2,209.3,,34.1,3.1,99.4,31.3,34.1,34.6,203.0,,34.5,3.3,99.9,31.8,34.5,33.0,260.1,,32.9,33.4,260.7,,33.3,34.6,112.3,,34.6,34.7,246.8,,34.6,34.2,219.2,,34.1,33.6,215.1,,33.5,34.3,219.3,,34.2,33.7,215.6,,33.7,34.6,203.0,,34.5,34.1,211.0,,34.1,34.4,204.1,,34.3,33.4,191.4,,33.3,33.0,201.5,,32.9,32.5,212.1,,32.5,33.8,251.4,,33.7,33.7,251.2,,33.6,34.3,223.3,,34.2,32.8,207.9,,32.8,34.4,184.1,,34.3,34.2,181.9,,34.1,33.9,186.4,,33.8,33.5,184.7,,33.5,0.7,
9/05/2025 6:31:32 PM,760682,34.2,119.9,,34.2,3.1,99.6,31.4,34.2,34.2,114.0,,34.2,3.1,99.6,31.4,34.2,34.1,55.3,,34.1,3.1,99.4,31.2,34.1,34.4,260.6,,34.3,34.6,185.7,,34.6,34.0,73.9,,34.0,34.0,79.1,,34.1,34.2,78.9,,34.2,34.5,216.1,,34.5,34.1,83.3,,34.2,34.6,156.4,,34.6,34.1,55.3,,34.1,34.2,75.4,,34.3,34.1,40.7,,34.2,34.5,192.2,,34.4,33.5,202.6,,33.4,33.1,213.0,,33.1,34.3,114.3,,34.4,34.4,133.8,,34.5,34.1,66.4,,34.1,33.8,208.1,,33.7,34.1,34.4,,34.2,34.2,38.6,,34.2,34.6,160.8,,34.6,34.3,185.0,,34.2,46.8,
9/05/2025 6:32:32 PM,760742,34.0,88.7,,34.0,3.1,99.3,31.2,34.0,34.0,83.5,,34.0,3.0,99.3,31.2,34.0,34.0,63.4,,34.0,3.0,99.2,31.2,34.0,34.1,92.8,,34.1,34.0,93.7,,34.1,34.0,75.9,,34.0,34.0,84.4,,34.0,34.0,80.3,,34.0,34.1,79.2,,34.1,34.0,130.4,,34.0,34.0,75.3,,34.1,34.0,63.4,,34.0,34.0,78.8,,34.0,34.0,35.2,,34.0,34.1,68.8,,34.1,33.9,202.7,,33.8,33.7,213.1,,33.7,34.0,115.5,,34.0,34.0,120.4,,34.0,34.0,82.9,,34.0,34.6,174.4,,34.6,34.0,50.9,,34.0,34.0,49.3,,34.0,34.0,58.4,,34.0,34.2,59.9,,34.2,21.9,
9/05/2025 6:33:32 PM,760802,34.0,82.4,,34.0,3.0,99.2,31.2,34.0,34.0,82.2,,34.0,3.0,99.2,31.2,34.0,34.0,59.2,,34.0,3.0,99.2,31.2,34.0,34.0,102.1,,34.0,34.0,90.1,,34.0,34.0,74.8,,34.0,34.0,78.8,,34.0,34.0,79.2,,34.0,34.0,86.6,,34.0,34.0,73.4,,34.0,34.0,81.2,,34.0,34.0,59.2,,34.0,34.0,78.7,,34.0,34.0,36.7,,34.0,34.0,76.3,,34.0,34.2,202.5,,34.2,34.3,212.6,,34.2,34.0,123.1,,34.0,34.0,122.3,,34.0,34.0,83.2,,34.0,34.0,83.6,,34.0,34.0,49.4,,34.0,34.0,50.8,,34.0,34.0,62.6,,34.0,34.0,67.2,,34.0,1.7,
9/05/2025 6:34:32 PM,760862,34.0,79.6,,34.0,3.0,99.2,31.2,34.0,34.0,82.9,,34.0,3.0,99.2,31.2,34.0,34.0,57.1,,34.0,3.0,99.2,31.2,34.0,34.0,104.3,,34.0,34.0,97.6,,34.0,34.0,75.0,,34.0,34.0,78.1,,34.0,34.0,77.5,,34.0,34.0,82.3,,34.0,34.0,73.0,,34.0,34.0,79.6,,34.0,34.0,57.1,,34.0,34.0,77.5,,34.0,34.0,35.0,,34.0,34.0,74.9,,34.0,34.2,151.5,,34.3,34.1,133.1,,34.2,34.0,121.5,,34.0,34.0,127.5,,34.0,34.0,80.6,,34.0,34.0,98.8,,34.0,34.0,48.6,,34.0,34.0,50.7,,34.0,34.0,63.1,,34.0,34.0,70.2,,34.0,1.0,
