Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
13/05/2025 11:06:37 AM,1079577,22.5,47.5,,30.2,0.8,17.5,26.4,30.2,22.4,107.4,,30.1,0.8,17.0,26.4,30.1,22.2,54.5,,30.1,0.7,16.2,26.3,30.1,22.5,138.6,,30.2,22.7,125.9,,30.2,22.3,106.8,,30.1,22.3,106.7,,30.1,22.3,82.5,,30.1,22.4,80.8,,30.1,22.3,70.7,,30.1,22.2,57.7,,30.1,22.2,54.5,,30.1,22.2,45.2,,30.1,23.0,32.8,,30.3,22.8,30.7,,30.3,23.5,21.4,,30.5,23.3,11.3,,30.4,22.4,13.5,,30.1,22.4,0.0,,30.1,22.5,0.0,,30.2,22.5,0.0,,30.2,22.4,0.0,,30.1,22.4,0.0,,30.1,22.4,0.0,,30.1,22.4,0.0,,30.1,4.0,
13/05/2025 11:06:39 AM,1079582,22.9,224.1,,26.5,-1.4,45.3,22.1,26.4,22.8,258.3,,26.4,-1.4,46.7,22.0,26.4,22.6,216.1,,26.3,-1.5,50.8,21.9,26.3,23.0,271.7,,26.5,23.1,275.0,,26.6,22.8,263.4,,26.4,22.8,262.6,,26.4,22.8,232.3,,26.4,22.8,227.4,,26.4,22.8,232.7,,26.4,22.6,228.4,,26.3,22.6,216.1,,26.3,22.6,223.9,,26.3,23.6,216.0,,26.9,23.5,201.9,,26.7,24.0,211.3,,27.2,23.9,222.2,,27.1,22.9,266.1,,26.4,22.9,265.9,,26.4,22.8,237.1,,26.4,22.7,208.3,,26.4,22.8,175.9,,26.4,22.8,173.7,,26.4,22.7,167.8,,26.4,22.6,156.2,,26.3,4.0,
13/05/2025 11:07:39 AM,1079642,25.3,226.4,,25.1,-2.2,86.1,20.5,25.1,25.6,254.5,,25.5,-2.0,77.8,20.9,25.5,24.5,213.7,,24.4,-2.7,97.1,19.6,24.3,25.8,267.7,,25.6,26.0,270.8,,25.8,25.8,259.0,,25.6,25.7,258.6,,25.5,25.1,229.3,,25.0,25.0,224.5,,24.8,25.1,229.7,,25.0,24.9,225.6,,24.7,24.5,213.7,,24.4,24.7,221.2,,24.5,25.6,213.6,,25.4,25.5,199.5,,25.4,26.5,208.3,,26.4,26.5,219.0,,26.3,26.3,261.2,,26.1,26.3,260.8,,26.1,25.7,233.1,,25.5,25.1,216.3,,25.0,24.7,193.4,,24.6,24.6,191.1,,24.5,24.6,195.5,,24.5,24.5,193.4,,24.4,0.5,
13/05/2025 11:08:39 AM,1079702,26.9,224.4,,26.8,-1.2,34.8,22.5,26.8,27.6,251.7,,27.5,-0.7,16.8,23.3,27.5,25.6,212.4,,25.5,-2.0,76.7,21.0,25.5,27.9,264.8,,27.7,28.1,267.8,,28.0,28.0,255.9,,27.9,27.8,255.7,,27.6,26.7,227.4,,26.5,26.4,222.8,,26.3,26.6,227.7,,26.5,26.4,223.6,,26.3,25.6,212.4,,25.5,26.0,219.6,,25.9,26.9,212.0,,26.8,27.0,198.0,,26.8,27.8,206.8,,27.7,27.8,217.4,,27.7,28.7,257.9,,28.5,28.6,257.6,,28.4,27.7,230.7,,27.6,26.7,214.5,,26.6,26.0,192.0,,25.9,25.9,189.7,,25.8,25.8,194.3,,25.7,25.7,192.3,,25.6,1.0,
13/05/2025 11:09:39 AM,1079762,28.3,222.8,,28.2,-0.4,7.6,24.0,28.2,29.4,249.5,,29.2,0.2,6.1,25.3,29.2,26.6,211.4,,26.5,-1.4,43.2,22.2,26.5,29.7,262.3,,29.5,29.9,265.3,,29.8,30.0,253.3,,29.9,29.5,253.4,,29.4,28.0,225.9,,27.9,27.7,221.4,,27.6,27.9,226.4,,27.8,27.7,222.3,,27.6,26.6,211.4,,26.5,27.2,218.4,,27.1,28.3,210.6,,28.2,28.2,196.7,,28.1,28.9,205.8,,28.8,28.9,216.2,,28.8,30.7,255.1,,30.5,30.5,255.3,,30.3,29.4,228.6,,29.3,28.1,212.9,,28.0,27.2,190.8,,27.2,27.1,188.7,,27.0,26.9,193.0,,26.8,26.7,191.1,,26.6,0.9,
13/05/2025 11:10:39 AM,1079822,29.6,221.3,,29.5,0.4,7.9,25.6,29.5,30.9,247.5,,30.8,1.1,32.3,27.2,30.8,27.5,210.5,,27.4,-0.8,17.7,23.2,27.4,31.3,260.1,,31.1,31.6,263.2,,31.4,31.7,251.0,,31.6,31.1,251.4,,31.0,29.2,224.5,,29.1,28.7,220.2,,28.7,29.1,225.1,,29.0,28.9,221.0,,28.8,27.5,210.5,,27.4,28.3,217.2,,28.2,29.5,209.3,,29.4,29.4,195.5,,29.3,29.7,204.8,,29.7,29.7,215.2,,29.7,32.4,252.9,,32.3,32.1,253.2,,32.0,30.9,227.1,,30.8,29.3,211.6,,29.2,28.4,189.8,,28.3,28.1,187.6,,28.1,27.9,192.0,,27.8,27.6,190.3,,27.5,0.7,
13/05/2025 11:11:39 AM,1079882,30.7,220.0,,30.6,1.0,27.7,27.0,30.6,32.3,245.8,,32.2,2.0,74.6,28.9,32.2,28.4,209.6,,28.3,-0.3,6.6,24.2,28.3,32.7,258.2,,32.6,33.0,261.2,,32.9,33.3,249.0,,33.2,32.6,249.6,,32.5,30.3,223.3,,30.2,29.8,219.2,,29.7,30.2,223.8,,30.1,29.9,219.8,,29.8,28.4,209.6,,28.3,29.2,216.2,,29.2,30.8,207.9,,30.7,30.5,194.4,,30.4,30.5,204.2,,30.4,30.5,214.4,,30.4,33.9,251.3,,33.8,33.5,251.3,,33.4,32.3,225.5,,32.1,30.4,210.5,,30.3,29.4,188.9,,29.3,29.1,186.6,,29.1,28.8,191.2,,28.7,28.5,189.3,,28.4,0.6,
13/05/2025 11:12:39 AM,1079942,31.7,212.5,,31.6,1.6,58.1,28.2,31.6,33.6,244.5,,33.5,2.7,96.7,30.5,33.5,29.2,208.7,,29.1,0.2,5.7,25.2,29.1,34.0,256.8,,33.9,34.3,259.4,,34.2,34.7,247.6,,34.6,33.9,248.4,,33.8,31.3,222.3,,31.3,30.8,218.3,,30.7,31.2,222.8,,31.1,30.9,218.8,,30.8,29.2,208.7,,29.1,30.1,215.4,,30.1,32.0,206.9,,31.9,31.6,193.5,,31.5,31.1,203.8,,31.1,31.1,213.6,,31.1,34.3,115.8,,34.4,34.6,178.6,,34.6,33.4,224.5,,33.3,31.4,209.5,,31.3,30.3,187.9,,30.3,30.0,186.0,,30.0,29.6,190.7,,29.6,29.2,188.9,,29.2,2.6,
13/05/2025 11:13:39 AM,1080002,32.3,183.5,,32.3,2.0,77.1,29.0,32.3,33.7,133.1,,33.8,2.9,98.4,30.9,33.8,29.9,208.6,,29.9,0.6,12.7,26.1,29.9,34.3,109.9,,34.3,34.1,101.0,,34.2,34.0,101.7,,34.1,34.3,110.0,,34.4,32.3,221.8,,32.2,31.6,217.9,,31.5,32.1,222.2,,32.0,31.7,218.5,,31.7,29.9,208.6,,29.9,30.9,214.9,,30.9,33.2,206.2,,33.1,32.5,192.9,,32.5,31.7,203.6,,31.6,31.7,213.6,,31.6,34.0,124.1,,34.0,34.0,122.5,,34.0,34.4,223.9,,34.3,32.2,209.2,,32.2,31.2,187.6,,31.1,30.9,185.6,,30.8,30.4,190.2,,30.4,30.0,188.5,,29.9,12.5,
