Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
21/05/2025 1:46:51 PM,0,34.0,33.1,,34.0,3.0,99.2,31.2,34.0,34.0,36.5,,34.0,3.0,99.2,31.2,34.0,34.0,16.8,,34.0,3.0,99.2,31.2,34.0,34.0,31.2,,34.0,34.0,28.1,,34.0,34.0,41.1,,34.0,34.0,40.5,,34.0,34.0,34.6,,34.0,34.0,35.0,,34.0,34.0,42.8,,34.0,34.0,42.7,,34.0,34.0,16.8,,34.0,34.0,33.1,,34.0,34.0,11.0,,34.0,34.0,57.1,,34.0,34.0,42.0,,34.0,34.0,40.7,,34.0,34.0,46.4,,34.0,34.0,38.3,,34.0,34.0,32.1,,34.0,34.0,29.9,,34.0,34.0,24.0,,34.0,34.0,21.5,,34.0,34.0,24.3,,34.0,34.0,24.0,,34.0,0.2,
21/05/2025 1:47:51 PM,60,34.0,32.0,,34.0,3.0,99.2,31.2,34.0,34.0,36.6,,34.0,3.0,99.2,31.2,34.0,34.0,17.6,,34.0,3.0,99.2,31.2,34.0,34.0,31.6,,34.0,34.0,28.0,,34.0,34.0,41.5,,34.0,34.0,40.1,,34.0,34.0,34.6,,34.0,34.0,36.5,,34.0,34.0,42.3,,34.0,34.0,42.8,,34.0,34.0,17.6,,34.0,34.0,34.1,,34.0,34.0,10.2,,34.0,34.0,35.4,,34.0,34.0,45.1,,34.0,34.0,42.3,,34.0,34.0,38.8,,34.0,34.0,39.5,,34.0,34.0,28.4,,34.0,34.0,29.0,,34.0,34.0,21.8,,34.0,34.0,17.3,,34.0,34.0,23.3,,34.0,34.0,24.7,,34.0,1.4,
21/05/2025 1:48:51 PM,120,34.0,31.3,,34.0,3.0,99.2,31.2,34.0,34.0,38.3,,34.0,3.0,99.2,31.2,34.0,34.0,14.3,,34.0,3.0,99.2,31.2,34.0,34.0,31.1,,34.0,34.0,29.9,,34.0,34.0,45.5,,34.0,34.0,42.0,,34.0,34.0,34.6,,34.0,34.0,36.0,,34.0,34.0,42.2,,34.0,34.0,43.2,,34.0,34.0,14.3,,34.0,34.0,31.8,,34.0,34.0,11.0,,34.0,34.0,30.0,,34.0,34.0,39.6,,34.0,34.0,40.5,,34.0,34.0,35.3,,34.0,34.0,37.8,,34.0,34.0,25.4,,34.0,34.0,28.8,,34.0,34.0,18.9,,34.0,34.0,17.6,,34.0,34.0,22.9,,34.0,34.0,24.7,,34.0,0.2,
21/05/2025 1:49:51 PM,180,34.0,31.7,,34.0,3.0,99.2,31.2,34.0,34.0,38.8,,34.0,3.0,99.2,31.2,34.0,34.0,16.2,,34.0,3.0,99.2,31.2,34.0,34.0,31.7,,34.0,34.0,28.1,,34.0,34.0,46.1,,34.0,34.0,44.1,,34.0,34.0,34.6,,34.0,34.0,36.6,,34.0,34.0,43.3,,34.0,34.0,43.6,,34.0,34.0,16.2,,34.0,34.0,33.0,,34.0,34.0,11.0,,34.0,34.0,29.0,,34.0,34.0,39.9,,34.0,34.0,41.6,,34.0,34.0,36.1,,34.0,34.0,37.5,,34.0,34.0,26.2,,34.0,34.0,28.8,,34.0,34.0,16.1,,34.0,34.0,16.4,,34.0,34.0,24.6,,34.0,34.0,24.8,,34.0,0.3,
21/05/2025 1:50:51 PM,240,34.0,33.5,,34.0,3.0,99.2,31.2,34.0,34.0,38.0,,34.0,3.0,99.2,31.2,34.0,34.0,17.3,,34.0,3.0,99.2,31.2,34.0,34.0,32.1,,34.0,34.0,28.2,,34.0,34.0,44.5,,34.0,34.0,42.4,,34.0,34.0,34.6,,34.0,34.0,38.0,,34.0,34.0,43.3,,34.0,34.0,44.7,,34.0,34.0,17.3,,34.0,34.0,33.2,,34.0,34.0,11.0,,34.0,34.0,28.4,,34.0,34.0,79.7,,34.0,34.0,54.3,,34.0,34.0,53.2,,34.0,34.0,47.1,,34.0,34.0,26.7,,34.0,34.0,29.2,,34.0,34.0,13.3,,34.0,34.0,15.8,,34.0,34.0,22.0,,34.0,34.0,23.7,,34.0,0.4,
21/05/2025 1:51:51 PM,300,34.0,35.4,,34.0,3.0,99.2,31.2,34.0,34.0,38.4,,34.0,3.0,99.2,31.2,34.0,34.0,21.3,,34.0,3.0,99.2,31.2,34.0,34.0,33.2,,34.0,34.0,28.8,,34.0,34.0,44.6,,34.0,34.0,43.0,,34.0,34.0,34.6,,34.0,34.0,39.5,,34.0,34.0,41.6,,34.0,34.0,43.8,,34.0,34.0,21.3,,34.0,34.0,33.9,,34.0,34.0,10.5,,34.0,34.0,40.0,,34.0,34.0,70.7,,34.0,34.0,43.0,,34.0,34.0,70.3,,34.0,34.0,45.0,,34.0,34.0,31.6,,34.0,34.0,37.2,,34.0,34.0,20.3,,34.0,34.0,23.3,,34.0,34.0,23.3,,34.0,34.0,23.8,,34.0,0.2,
21/05/2025 1:52:51 PM,360,34.0,33.2,,34.0,3.0,99.2,31.2,34.0,34.0,38.1,,34.0,3.0,99.2,31.2,34.0,34.0,19.0,,34.0,3.0,99.2,31.2,34.0,34.0,31.4,,34.0,34.0,28.8,,34.0,34.0,44.4,,34.0,34.0,42.9,,34.0,34.0,34.6,,34.0,34.0,36.2,,34.0,34.0,41.6,,34.0,34.0,43.8,,34.0,34.0,19.0,,34.0,34.0,32.8,,34.0,34.0,13.5,,34.0,34.0,51.3,,34.0,34.0,43.5,,34.0,34.0,42.1,,34.0,34.0,43.3,,34.0,34.0,36.9,,34.0,34.0,30.4,,34.0,34.0,31.9,,34.0,34.0,19.5,,34.0,34.0,21.5,,34.0,34.0,22.8,,34.0,34.0,22.8,,34.0,0.7,
21/05/2025 1:53:51 PM,420,34.0,33.1,,34.0,3.0,99.2,31.2,34.0,34.0,37.4,,34.0,3.0,99.2,31.2,34.0,34.0,18.2,,34.0,3.0,99.2,31.2,34.0,34.0,33.2,,34.0,34.0,29.4,,34.0,34.0,42.6,,34.0,34.0,40.9,,34.0,34.0,34.6,,34.0,34.0,35.7,,34.0,34.0,41.3,,34.0,34.0,43.8,,34.0,34.0,18.2,,34.0,34.0,33.0,,34.0,34.0,14.6,,34.0,34.0,52.5,,34.0,34.0,46.2,,34.0,34.0,41.2,,34.0,34.0,41.1,,34.0,34.0,38.4,,34.0,34.0,29.4,,34.0,34.0,29.3,,34.0,34.0,19.2,,34.0,34.0,20.1,,34.0,34.0,25.9,,34.0,34.0,23.9,,34.0,0.4,
21/05/2025 1:54:51 PM,480,34.0,32.8,,34.0,3.0,99.2,31.2,34.0,34.0,37.3,,34.0,3.0,99.2,31.2,34.0,34.0,18.2,,34.0,3.0,99.2,31.2,34.0,34.0,32.8,,34.0,34.0,28.7,,34.0,34.0,41.9,,34.0,34.0,41.7,,34.0,34.0,34.6,,34.0,34.0,36.4,,34.0,34.0,41.6,,34.0,34.0,44.8,,34.0,34.0,18.2,,34.0,34.0,33.2,,34.0,34.0,14.6,,34.0,34.0,52.3,,34.0,34.0,44.7,,34.0,34.0,41.7,,34.0,34.0,40.7,,34.0,34.0,38.3,,34.0,34.0,28.9,,34.0,34.0,29.2,,34.0,34.0,17.5,,34.0,34.0,19.2,,34.0,34.0,23.0,,34.0,34.0,22.7,,34.0,0.2,
