Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
21/05/2025 5:23:21 PM,0,34.0,32.8,,34.0,3.0,99.2,31.2,34.0,34.0,35.7,,34.0,3.0,99.2,31.2,34.0,34.0,23.7,,34.0,3.0,99.2,31.2,34.0,34.0,29.9,,34.0,34.0,28.3,,34.0,34.0,39.7,,34.0,34.0,38.5,,34.0,34.0,35.5,,34.0,34.0,36.0,,34.0,34.0,41.9,,34.0,34.0,42.2,,34.0,34.0,23.7,,34.0,34.0,33.6,,34.0,34.0,11.3,,34.0,34.0,33.4,,34.0,34.0,58.2,,34.0,34.0,40.4,,34.0,34.0,57.1,,34.0,34.0,38.5,,34.0,34.0,29.1,,34.0,34.0,32.3,,34.0,34.0,19.4,,34.0,34.0,20.0,,34.0,34.0,23.6,,34.0,34.0,23.8,,34.0,0.1,
21/05/2025 5:24:21 PM,60,34.0,35.0,,34.0,3.0,99.2,31.2,34.0,34.0,36.8,,34.0,3.0,99.2,31.2,34.0,34.0,23.8,,34.0,3.0,99.2,31.2,34.0,34.0,31.0,,34.0,34.0,27.8,,34.0,34.0,42.6,,34.0,34.0,39.5,,34.0,34.0,35.5,,34.0,34.0,38.3,,34.0,34.0,40.9,,34.0,34.0,41.5,,34.0,34.0,23.8,,34.0,34.0,33.4,,34.0,34.0,11.4,,34.0,34.0,39.8,,34.0,34.0,66.6,,34.0,34.0,43.4,,34.0,34.0,73.5,,34.0,34.0,43.5,,34.0,34.0,34.4,,34.0,34.0,36.2,,34.0,34.0,21.7,,34.0,34.0,24.2,,34.0,34.0,23.0,,34.0,34.0,23.8,,34.0,1.3,
21/05/2025 5:25:21 PM,120,34.0,35.4,1.685,34.0,3.0,99.2,31.2,34.0,34.0,36.2,1.592,34.0,3.0,99.2,31.2,34.0,34.0,24.8,2.717,34.0,3.0,99.2,31.2,34.0,34.0,30.8,1.989,34.0,34.0,28.3,2.277,34.0,34.0,40.4,1.343,34.0,34.0,39.2,1.408,34.0,34.0,35.5,1.650,34.0,34.0,39.8,1.445,34.0,34.0,40.8,1.382,34.0,34.0,42.8,1.301,34.0,34.0,24.8,2.717,34.0,34.0,33.5,1.856,34.0,34.0,11.2,6.817,34.0,34.0,41.2,1.316,34.0,34.0,69.1,0.536,34.0,34.0,41.3,1.361,34.0,34.0,73.6,0.433,34.0,34.0,45.6,1.236,34.0,34.0,34.1,1.770,34.0,34.0,35.7,1.610,34.0,34.0,23.2,2.932,34.0,34.0,24.5,2.702,34.0,34.0,25.2,2.612,34.0,34.0,24.8,2.785,34.0,0.0,
21/05/2025 5:26:21 PM,180,34.0,35.3,1.666,34.0,3.0,99.2,31.2,34.0,34.0,36.4,1.581,34.0,3.0,99.2,31.2,34.0,34.0,26.9,2.491,34.0,3.0,99.2,31.2,34.0,34.0,31.4,1.993,34.0,34.0,27.7,2.271,34.0,34.0,40.4,1.378,34.0,34.0,39.1,1.376,34.0,34.0,36.5,1.595,34.0,34.0,39.6,1.423,34.0,34.0,42.3,1.305,34.0,34.0,41.9,1.281,34.0,34.0,26.9,2.491,34.0,34.0,35.3,1.762,34.0,34.0,10.5,6.907,34.0,34.0,39.5,1.436,34.0,34.0,67.7,0.519,34.0,34.0,40.3,1.341,34.0,34.0,72.6,0.430,34.0,34.0,46.9,1.113,34.0,34.0,33.1,1.815,34.0,34.0,37.6,1.572,34.0,34.0,22.2,3.039,34.0,34.0,24.7,2.752,34.0,34.0,22.5,2.752,34.0,34.0,23.0,2.805,34.0,0.0,
21/05/2025 5:27:21 PM,240,34.0,35.3,1.658,34.0,3.0,99.2,31.2,34.0,34.0,37.2,1.536,34.0,3.0,99.2,31.2,34.0,34.0,25.5,2.598,34.0,3.0,99.2,31.2,34.0,34.0,30.7,1.999,34.0,34.0,27.5,2.334,34.0,34.0,40.7,1.321,34.0,34.0,41.2,1.332,34.0,34.0,37.5,1.519,34.0,34.0,39.5,1.420,34.0,34.0,41.6,1.319,34.0,34.0,42.0,1.259,34.0,34.0,25.5,2.598,34.0,34.0,32.0,1.815,34.0,34.0,10.8,6.895,34.0,34.0,37.3,1.455,34.0,34.0,68.0,0.533,34.0,34.0,41.3,1.298,34.0,34.0,74.9,0.417,34.0,34.0,44.7,1.181,34.0,34.0,33.6,1.868,34.0,34.0,35.6,1.613,34.0,34.0,23.3,2.948,34.0,34.0,25.3,2.625,34.0,34.0,25.5,2.661,34.0,34.0,23.9,2.771,34.0,0.0,
21/05/2025 5:28:21 PM,300,34.0,35.7,1.647,34.0,3.0,99.2,31.2,34.0,34.0,37.6,1.534,34.0,3.0,99.2,31.2,34.0,34.0,27.4,2.412,34.0,3.0,99.2,31.2,34.0,34.0,31.3,1.967,34.0,34.0,28.2,2.269,34.0,34.0,41.2,1.345,34.0,34.0,41.7,1.338,34.0,34.0,37.9,1.499,34.0,34.0,39.6,1.436,34.0,34.0,43.0,1.261,34.0,34.0,41.8,1.250,34.0,34.0,27.4,2.412,34.0,34.0,35.5,1.665,34.0,34.0,10.4,6.974,34.0,34.0,39.5,1.437,34.0,34.0,67.7,0.533,34.0,34.0,40.2,1.356,34.0,34.0,74.6,0.434,34.0,34.0,43.6,1.205,34.0,34.0,32.9,1.803,34.0,34.0,35.3,1.643,34.0,34.0,22.8,2.972,34.0,34.0,25.2,2.649,34.0,34.0,25.6,2.760,34.0,34.0,23.9,2.786,34.0,0.0,
21/05/2025 5:29:21 PM,360,34.0,35.5,1.656,34.0,3.0,99.2,31.2,34.0,34.0,37.4,1.543,34.0,3.0,99.2,31.2,34.0,34.0,26.4,2.466,34.0,3.0,99.2,31.2,34.0,34.0,30.7,1.988,34.0,34.0,28.2,2.306,34.0,34.0,41.4,1.388,34.0,34.0,40.3,1.322,34.0,34.0,38.2,1.486,34.0,34.0,39.2,1.450,34.0,34.0,42.3,1.256,34.0,34.0,43.4,1.229,34.0,34.0,26.4,2.466,34.0,34.0,34.0,1.770,34.0,34.0,11.0,6.876,34.0,34.0,38.4,1.486,34.0,34.0,68.5,0.520,34.0,34.0,38.5,1.426,34.0,34.0,73.9,0.431,34.0,34.0,44.3,1.194,34.0,34.0,34.1,1.831,34.0,34.0,35.7,1.638,34.0,34.0,23.2,2.954,34.0,34.0,25.2,2.600,34.0,34.0,24.2,2.654,34.0,34.0,23.8,2.882,34.0,0.0,
21/05/2025 5:30:21 PM,420,34.0,36.0,,34.0,3.0,99.2,31.2,34.0,34.0,39.0,,34.0,3.0,99.2,31.2,34.0,34.0,26.3,,34.0,3.0,99.2,31.2,34.0,34.0,31.5,,34.0,34.0,28.6,,34.0,34.0,43.7,,34.0,34.0,42.7,,34.0,34.0,39.2,,34.0,34.0,39.7,,34.0,34.0,42.0,,34.0,34.0,42.4,,34.0,34.0,26.3,,34.0,34.0,34.9,,34.0,34.0,11.6,,34.0,34.0,38.2,,34.0,34.0,69.1,,34.0,34.0,39.4,,34.0,34.0,72.8,,34.0,34.0,44.9,,34.0,34.0,32.7,,34.0,34.0,37.1,,34.0,34.0,21.7,,34.0,34.0,24.8,,34.0,34.0,25.1,,34.0,34.0,24.6,,34.0,0.2,
21/05/2025 5:31:21 PM,480,34.0,36.0,1.618,34.0,3.0,99.2,31.2,34.0,34.0,39.0,1.441,34.0,3.0,99.2,31.2,34.0,34.0,27.3,2.415,34.0,3.0,99.2,31.2,34.0,34.0,30.3,1.955,34.0,34.0,27.9,2.309,34.0,34.0,44.3,1.192,34.0,34.0,43.0,1.247,34.0,34.0,39.3,1.425,34.0,34.0,40.0,1.368,34.0,34.0,42.3,1.296,34.0,34.0,42.9,1.240,34.0,34.0,27.3,2.415,34.0,34.0,33.5,1.713,34.0,34.0,10.8,6.816,34.0,34.0,39.0,1.474,34.0,34.0,69.4,0.534,34.0,34.0,41.4,1.360,34.0,34.0,74.7,0.419,34.0,34.0,45.2,1.143,34.0,34.0,34.0,1.812,34.0,34.0,35.9,1.616,34.0,34.0,22.2,3.024,34.0,34.0,23.9,2.614,34.0,34.0,25.0,2.757,34.0,34.0,22.5,2.888,34.0,0.1,
