Manikin #3.4.32
Interval (sec),60
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
22/05/2025 3:03:30 PM,0,34.0,35.3,,34.0,3.0,99.2,31.2,34.0,34.0,40.1,,34.0,3.0,99.2,31.2,34.0,34.0,19.3,,34.0,3.0,99.2,31.2,34.0,34.0,31.7,,34.0,34.0,29.7,,34.0,34.0,46.5,,34.0,34.0,45.1,,34.0,34.0,37.7,,34.0,34.0,38.0,,34.0,34.0,43.6,,34.0,34.0,46.5,,34.0,34.0,19.3,,34.0,34.0,36.9,,34.0,34.0,16.3,,34.0,34.0,50.1,,34.0,34.0,56.5,,34.0,34.0,49.1,,34.0,34.0,43.0,,34.0,34.0,42.3,,34.0,34.0,32.4,,34.0,34.0,32.6,,34.0,34.0,17.4,,34.0,34.0,17.2,,34.0,34.0,26.4,,34.0,34.0,26.4,,34.0,0.2,
22/05/2025 3:04:30 PM,60,34.0,42.8,,34.0,3.0,99.2,31.2,34.0,34.0,40.4,,34.0,3.0,99.2,31.2,34.0,34.0,22.4,,34.0,3.0,99.2,31.2,34.0,34.0,32.0,,34.0,34.0,29.0,,34.0,34.0,46.9,,34.0,34.0,44.5,,34.0,34.0,39.5,,34.0,34.0,41.5,,34.0,34.0,43.1,,34.0,34.0,45.4,,34.0,34.0,22.4,,34.0,34.0,39.5,,34.0,34.0,14.1,,34.0,34.0,55.4,,34.0,34.0,105.3,,34.0,34.0,54.2,,34.0,34.0,129.1,,34.0,34.0,54.9,,34.0,34.0,44.6,,34.0,34.0,47.2,,34.0,34.0,27.3,,34.0,34.0,30.8,,34.0,34.0,28.8,,34.0,34.0,26.8,,34.0,2.6,
22/05/2025 3:05:30 PM,120,34.0,44.6,,34.0,3.0,99.2,31.2,34.0,34.0,41.6,,34.0,3.0,99.2,31.2,34.0,34.0,26.9,,34.0,3.0,99.2,31.2,34.0,34.0,32.7,,34.0,34.0,27.9,,34.0,34.0,46.2,,34.0,34.0,43.2,,34.0,34.0,47.1,,34.0,34.0,44.0,,34.0,34.0,42.0,,34.0,34.0,47.1,,34.0,34.0,26.9,,34.0,34.0,36.2,,34.0,34.0,12.0,,34.0,34.0,57.8,,34.0,34.0,112.4,,34.0,34.0,49.2,,34.0,34.0,132.6,,34.0,34.0,61.6,,34.0,34.0,48.3,,34.0,34.0,51.9,,34.0,34.0,32.5,,34.0,34.0,36.4,,34.0,34.0,32.0,,34.0,34.0,28.5,,34.0,2.0,
22/05/2025 3:06:30 PM,180,34.0,45.2,,34.0,3.0,99.2,31.2,34.0,34.0,42.7,,34.0,3.0,99.2,31.2,34.0,34.0,28.8,,34.0,3.0,99.2,31.2,34.0,34.0,33.4,,34.0,34.0,29.1,,34.0,34.0,45.5,,34.0,34.0,45.2,,34.0,34.0,49.3,,34.0,34.0,45.7,,34.0,34.0,42.8,,34.0,34.0,46.1,,34.0,34.0,28.8,,34.0,34.0,37.5,,34.0,34.0,11.8,,34.0,34.0,57.0,,34.0,34.0,102.9,,34.0,34.0,52.1,,34.0,34.0,132.1,,34.0,34.0,62.5,,34.0,34.0,49.8,,34.0,34.0,51.8,,34.0,34.0,34.6,,34.0,34.0,38.7,,34.0,34.0,30.5,,34.0,34.0,28.7,,34.0,0.3,
22/05/2025 3:07:31 PM,240,34.0,45.8,,34.0,3.0,99.2,31.2,34.0,34.0,42.7,,34.0,3.0,99.2,31.2,34.0,34.0,32.7,,34.0,3.0,99.2,31.2,34.0,34.0,32.1,,34.0,34.0,28.5,,34.0,34.0,46.0,,34.0,34.0,44.5,,34.0,34.0,50.6,,34.0,34.0,49.0,,34.0,34.0,42.5,,34.0,34.0,46.7,,34.0,34.0,32.7,,34.0,34.0,39.3,,34.0,34.0,11.6,,34.0,34.0,60.5,,34.0,34.0,98.6,,34.0,34.0,50.3,,34.0,34.0,133.7,,34.0,34.0,60.1,,34.0,34.0,49.5,,34.0,34.0,52.9,,34.0,34.0,35.4,,34.0,34.0,40.3,,34.0,34.0,33.1,,34.0,34.0,29.0,,34.0,0.7,
22/05/2025 3:08:30 PM,300,34.0,46.1,1.111,34.0,3.0,99.2,31.2,34.0,34.0,43.2,1.231,34.0,3.0,99.2,31.2,34.0,34.0,31.8,1.961,34.0,3.0,99.2,31.2,34.0,34.0,32.8,1.880,34.0,34.0,29.1,2.113,34.0,34.0,44.9,1.170,34.0,34.0,44.8,1.150,34.0,34.0,52.5,0.885,34.0,34.0,46.6,1.093,34.0,34.0,43.1,1.232,34.0,34.0,46.4,1.101,34.0,34.0,31.8,1.961,34.0,34.0,40.5,1.396,34.0,34.0,11.6,6.744,34.0,34.0,56.3,0.775,34.0,34.0,101.2,0.113,34.0,34.0,53.0,0.909,34.0,34.0,136.6,-0.092,34.0,34.0,63.3,0.577,34.0,34.0,49.2,0.997,34.0,34.0,51.8,0.886,34.0,34.0,36.1,1.612,34.0,34.0,41.5,1.331,34.0,34.0,33.9,1.760,34.0,34.0,29.3,2.187,34.0,0.1,
22/05/2025 3:09:31 PM,360,34.0,46.3,,34.0,3.0,99.2,31.2,34.0,34.0,43.1,,34.0,3.0,99.2,31.2,34.0,34.0,34.8,,34.0,3.0,99.2,31.2,34.0,34.0,32.7,,34.0,34.0,29.6,,34.0,34.0,45.0,,34.0,34.0,44.8,,34.0,34.0,52.0,,34.0,34.0,46.9,,34.0,34.0,43.7,,34.0,34.0,46.0,,34.0,34.0,34.8,,34.0,34.0,39.4,,34.0,34.0,12.0,,34.0,34.0,57.5,,34.0,34.0,100.2,,34.0,34.0,51.5,,34.0,34.0,136.7,,34.0,34.0,65.3,,34.0,34.0,48.5,,34.0,34.0,53.2,,34.0,34.0,36.3,,34.0,34.0,41.5,,34.0,34.0,34.8,,34.0,34.0,29.1,,34.0,0.2,
22/05/2025 3:10:30 PM,420,34.0,45.9,,34.0,3.0,99.2,31.2,34.0,34.0,42.6,,34.0,3.0,99.2,31.2,34.0,34.0,33.8,,34.0,3.0,99.2,31.2,34.0,34.0,32.6,,34.0,34.0,28.8,,34.0,34.0,44.9,,34.0,34.0,43.3,,34.0,34.0,52.1,,34.0,34.0,45.8,,34.0,34.0,43.8,,34.0,34.0,45.9,,34.0,34.0,33.8,,34.0,34.0,38.5,,34.0,34.0,11.6,,34.0,34.0,58.6,,34.0,34.0,98.4,,34.0,34.0,49.9,,34.0,34.0,134.9,,34.0,34.0,62.0,,34.0,34.0,48.9,,34.0,34.0,53.0,,34.0,34.0,37.9,,34.0,34.0,40.8,,34.0,34.0,35.3,,34.0,34.0,30.2,,34.0,0.2,
22/05/2025 3:11:31 PM,480,34.0,45.9,1.123,34.0,3.0,99.2,31.2,34.0,34.0,42.8,1.244,34.0,3.0,99.2,31.2,34.0,34.0,35.1,1.715,34.0,3.0,99.2,31.2,34.0,34.0,33.3,1.905,34.0,34.0,29.4,2.124,34.0,34.0,44.2,1.144,34.0,34.0,44.1,1.197,34.0,34.0,52.2,0.896,34.0,34.0,46.6,1.081,34.0,34.0,44.0,1.216,34.0,34.0,46.3,1.102,34.0,34.0,35.1,1.715,34.0,34.0,38.9,1.487,34.0,34.0,11.5,6.728,34.0,34.0,61.2,0.666,34.0,34.0,98.0,0.154,34.0,34.0,49.1,1.010,34.0,34.0,133.8,-0.086,34.0,34.0,60.0,0.687,34.0,34.0,48.3,1.027,34.0,34.0,52.3,0.908,34.0,34.0,38.0,1.518,34.0,34.0,41.7,1.300,34.0,34.0,33.7,1.776,34.0,34.0,28.6,2.251,34.0,0.0,
